POA_CODE_2021,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA2000,99,15,6,0,119,0,0,0,119,6,0,128,78,42,3,0,121,4,0,0,125,6,0,133,44,10,13,4,66,0,0,0,67,4,0,71,0,6,0,0,3,0,0,0,3,0,0,3,228,68,18,0,315,3,0,6,323,19,0,337,4,0,0,0,3,0,0,0,3,0,0,3,7,3,0,0,11,0,0,0,11,0,0,11,8,4,3,0,18,0,0,0,18,0,0,18,233,73,22,0,335,3,0,6,338,19,0,356,94,42,14,0,153,3,4,8,161,41,0,207,0,0,0,0,0,0,0,0,0,0,0,0,325,121,40,4,486,8,6,14,495,62,0,564,44,11,0,0,57,0,0,0,56,6,0,66,52,25,0,0,78,0,0,0,86,0,0,83,8,3,11,0,24,0,0,0,24,0,0,24,3,0,0,0,3,0,0,0,3,0,0,6,111,40,10,0,160,3,0,3
POA2007,40,5,0,0,46,5,0,5,44,0,0,46,31,7,3,0,45,0,0,0,45,0,0,40,10,4,5,0,20,0,0,0,20,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,82,14,7,0,104,5,0,5,109,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,6,0,0,6,87,17,7,0,109,5,0,5,112,0,0,111,20,11,8,0,40,4,0,4,44,6,0,51,0,0,0,0,0,0,0,0,0,0,0,0,110,25,14,0,147,4,0,4,151,12,0,163,22,8,0,0,31,7,0,7,37,0,0,36,19,8,4,0,29,0,0,0,29,0,0,36,4,0,6,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,43,14,8,0,72,7,0,7
POA2008,36,0,0,0,36,0,0,0,36,6,0,51,30,11,0,0,41,0,0,0,41,0,0,41,17,9,0,0,23,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,81,21,0,0,100,0,0,0,104,6,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,21,0,0,106,0,0,0,102,6,0,112,28,7,3,0,40,0,4,0,46,8,0,50,0,0,0,0,0,0,0,0,0,0,0,0,109,25,5,0,141,0,4,3,153,15,0,163,21,3,0,0,26,0,0,0,27,0,0,24,11,8,0,0,22,0,0,0,22,0,0,25,5,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,40,9,0,0,55,0,0,0
POA2009,140,8,0,0,155,3,0,3,158,12,0,166,82,14,4,0,94,0,0,0,98,9,0,105,48,9,8,0,69,0,0,0,69,0,0,67,0,0,0,3,8,0,0,0,3,0,0,3,265,32,17,9,321,9,0,9,325,20,0,345,3,0,0,0,3,0,0,0,7,0,0,7,7,0,0,0,8,0,0,0,8,0,0,8,14,0,0,0,16,0,0,0,15,0,0,15,281,33,20,9,335,5,0,5,344,20,0,360,72,13,8,4,102,0,5,4,105,16,0,122,0,0,0,0,0,0,0,0,0,0,9,9,353,48,28,13,437,9,5,12,446,39,8,493,81,9,0,0,93,3,0,0,97,4,0,100,52,13,0,0,65,0,0,0,61,7,0,71,8,0,5,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,141,23,4,0,164,4,0,8
POA2010,130,9,10,0,144,6,0,6,152,12,0,162,80,28,3,0,110,0,0,0,113,11,0,120,95,8,8,0,113,5,0,8,117,0,0,117,0,0,0,0,4,0,0,0,4,0,0,4,299,48,19,4,369,10,0,12,379,16,0,402,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,4,0,0,4,4,3,0,0,9,0,0,0,9,0,0,9,306,45,19,3,375,10,0,12,389,16,0,410,51,13,3,3,71,0,0,0,73,15,0,88,0,0,0,0,0,0,0,0,0,0,0,0,355,65,21,4,450,17,0,15,466,30,0,496,108,18,4,0,130,3,0,3,130,8,0,138,65,21,4,0,83,3,0,3,89,7,0,92,7,0,0,0,7,0,0,0,8,0,0,11,0,0,0,0,3,0,0,0,3,0,0,3,176,38,8,0,224,4,0,4
POA2011,66,8,0,0,76,0,0,0,77,6,0,78,55,3,0,0,61,0,0,0,65,0,0,65,40,3,0,0,51,0,0,0,49,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,166,17,4,4,189,0,0,6,189,6,0,191,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,8,0,0,0,5,0,0,5,172,21,4,4,190,0,0,0,195,6,0,201,41,5,0,0,47,4,0,4,51,8,0,62,0,0,0,0,0,0,0,0,0,0,3,3,211,21,0,4,241,5,0,11,253,10,3,266,45,7,0,0,54,0,0,0,54,6,0,61,22,3,0,0,27,0,0,0,30,7,0,31,6,0,4,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,77,17,3,0,95,0,0,0
POA2015,134,16,4,0,151,4,0,4,150,6,0,157,128,23,4,0,162,0,0,0,163,5,0,171,72,17,7,0,91,0,0,0,91,0,0,91,3,0,0,0,3,0,0,0,3,0,0,3,337,52,14,0,412,10,0,10,414,16,0,429,0,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,9,0,0,0,8,0,0,8,0,0,3,0,6,0,0,0,8,0,0,8,342,52,20,0,414,11,0,11,425,16,0,434,38,10,0,0,45,0,3,3,48,14,0,63,0,0,0,0,0,0,0,0,0,0,0,3,381,61,17,0,467,11,3,8,473,22,0,502,131,17,0,0,144,4,0,4,150,8,0,152,81,30,3,0,111,0,0,0,113,6,0,119,13,0,4,0,17,0,0,0,17,0,0,17,0,0,0,0,5,0,0,0,5,0,0,5,223,44,12,0,278,0,0,0
POA2016,86,10,0,0,96,0,0,0,102,7,0,109,98,12,0,0,110,4,0,4,113,0,0,113,51,3,6,0,66,0,0,0,66,3,0,71,0,0,0,0,0,0,0,0,0,0,0,0,238,30,14,0,276,4,0,9,285,10,0,290,4,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,10,0,0,0,10,0,0,10,242,30,9,0,283,4,0,9,287,10,0,299,38,6,5,0,51,0,6,6,56,10,0,66,0,0,0,0,0,0,0,0,0,0,0,0,282,42,18,0,340,4,4,10,346,20,0,369,63,11,0,0,80,0,0,4,81,10,0,94,69,18,0,0,86,0,0,0,86,0,0,93,9,0,0,0,8,0,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,144,27,3,0,174,3,0,10
POA2017,191,23,10,0,223,0,3,3,226,16,0,239,177,44,10,0,235,3,0,3,237,7,0,247,120,29,24,0,179,3,0,3,182,11,4,196,0,4,0,7,8,0,0,0,8,0,0,8,487,104,44,7,639,7,7,11,654,38,4,688,4,0,3,0,11,0,0,0,11,0,0,11,0,3,0,0,10,0,0,0,8,4,0,7,12,3,3,0,15,0,0,0,13,4,0,19,496,105,46,7,652,15,7,19,669,36,4,707,176,56,13,7,245,12,7,15,261,58,0,322,0,0,0,0,5,0,0,0,5,0,5,7,669,164,64,6,903,19,7,29,930,97,5,1040,92,11,12,0,114,3,0,3,113,14,0,133,63,26,4,0,91,4,0,8,97,9,0,112,18,7,8,0,34,0,0,0,31,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,175,42,25,0,238,5,4,8
POA2018,195,28,11,0,239,0,0,0,238,10,0,243,174,56,9,0,239,0,0,0,239,10,0,246,114,26,11,0,151,6,0,6,153,10,0,160,0,0,3,0,11,0,0,0,7,0,0,7,483,107,41,4,633,6,0,7,640,20,0,662,16,0,0,0,9,3,0,3,16,0,0,15,17,3,0,0,21,0,0,0,16,3,0,23,26,3,0,0,32,4,0,4,38,5,0,40,508,114,42,4,667,8,0,8,676,25,0,704,153,35,16,0,204,3,0,9,210,51,0,261,0,0,0,3,4,0,0,0,4,0,4,10,665,146,55,9,872,14,3,16,891,80,7,973,135,38,8,0,181,3,0,3,188,18,0,203,123,44,3,0,168,3,0,3,172,3,0,175,25,7,6,0,39,0,0,0,39,0,0,42,0,0,0,0,5,0,0,0,5,0,0,6,286,87,16,4,392,11,0,16
