POA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
POA2000,0,0,0,0,0,253,20,8,9,3,0,5,6,0,8,307,26,0,0,0,0,0,0,0,0,0,28,17,0,0,0,0,0,0,0,0,0,22,26,5,0,0,0,0,5,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,5,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,71,5,4,0,0,0,5,0,0,0,83,1576,431,539,183,195,235,370,198,97,86,3901,2287,1590,2742,973,1064,1155,1621,619,184,272,12508,459,318,743,275,312,297,424,152,46,129,3157,7,4,0,0,5,0,0,3,3,5,31,2755,1904,3483,1248,1382,1449,2052,776,233,401,15689,3,0,11,0,0,7,5,0,0,44,72,4331,2340,4027,1431,1572,1693,2428,983,332,536,19667
POA2007,0,0,0,3,3,68,3,0,0,0,0,5,0,0,8,92,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,4,30,0,0,0,0,0,0,0,0,7,37,367,129,125,57,55,70,108,51,16,27,1000,492,322,555,243,278,369,536,242,29,44,3101,199,73,129,38,57,47,136,46,5,31,759,0,0,0,5,3,0,0,0,0,0,7,688,397,681,285,341,417,665,293,33,75,3873,0,0,0,0,0,0,0,0,0,22,27,1057,526,805,338,396,487,771,344,42,131,4903
POA2008,0,0,0,0,0,45,4,0,0,0,0,0,0,0,5,54,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,15,602,168,215,55,90,102,136,61,48,21,1492,483,370,738,353,407,464,704,324,74,52,3976,58,31,73,24,32,53,90,38,3,13,420,0,0,0,0,0,0,0,0,0,0,0,538,400,813,374,440,525,790,363,76,64,4392,4,0,0,0,0,0,0,0,0,6,12,1143,566,1026,433,536,626,929,422,127,97,5896
POA2009,0,0,0,0,0,190,10,3,3,0,0,0,0,0,0,213,18,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0,0,0,0,0,0,0,47,1188,311,359,79,83,108,134,76,35,29,2406,1167,514,629,207,214,275,411,133,29,35,3620,222,70,75,27,18,25,67,33,5,8,544,0,0,0,0,0,0,0,0,0,0,6,1391,585,707,235,238,301,481,165,32,43,4172,0,0,0,0,0,3,0,0,0,12,19,2583,899,1066,316,324,412,611,237,66,87,6591
POA2010,0,0,0,10,15,386,13,12,0,0,0,0,4,0,21,440,40,0,0,0,0,0,0,0,0,11,50,34,0,0,0,0,0,0,0,0,7,42,67,4,0,0,0,0,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,101,4,0,0,0,0,0,0,0,14,116,5,0,0,0,0,0,0,0,0,3,7,146,0,0,0,0,0,0,0,0,22,172,2818,712,859,267,257,331,405,197,91,83,6028,1324,524,835,292,311,355,438,179,37,75,4382,353,76,127,31,33,31,77,23,6,32,792,3,0,0,0,0,0,8,0,0,0,14,1681,608,963,325,344,390,520,204,44,112,5183,19,4,0,0,0,6,0,0,0,46,73,4508,1326,1819,595,603,723,928,407,134,237,11283
POA2011,0,0,0,14,14,317,0,6,0,0,0,3,0,0,22,356,76,0,0,0,0,0,0,0,0,6,83,19,0,0,0,0,0,0,0,0,3,24,15,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,31,0,5,0,0,0,0,0,0,3,37,0,0,0,0,0,0,0,0,0,18,18,109,0,6,0,0,0,0,0,0,21,137,2193,486,543,131,170,164,202,94,39,59,4069,766,326,436,174,175,201,222,85,13,29,2432,107,14,11,13,3,10,34,15,0,16,226,5,0,0,0,0,0,0,0,0,0,11,881,344,456,189,180,211,255,106,16,41,2664,0,0,0,0,0,0,0,0,0,33,43,3073,832,1000,320,344,366,460,199,57,135,6775
POA2015,0,0,0,0,0,71,0,0,0,0,0,0,0,0,7,77,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,4,21,1074,324,357,76,98,99,92,31,28,33,2206,577,242,336,110,111,110,90,56,7,31,1670,77,23,16,9,3,10,17,4,0,10,175,0,0,0,0,0,0,0,0,0,0,0,660,267,353,117,116,115,106,63,7,44,1849,0,0,0,0,0,0,0,0,0,0,3,1729,587,712,203,212,213,197,92,37,74,4057
POA2016,0,0,0,30,32,290,18,13,0,0,0,0,0,0,33,360,17,0,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0,0,28,84,3,0,0,0,0,0,0,0,0,89,6,0,0,0,0,0,0,0,0,0,6,107,3,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,10,10,127,3,0,0,0,0,0,0,0,14,143,1229,263,345,73,84,124,141,57,23,51,2394,740,233,299,138,138,187,279,97,15,39,2162,404,82,51,13,17,9,25,12,3,11,625,12,0,0,0,0,0,0,0,0,0,12,1152,308,349,145,156,192,298,111,19,54,2794,4,0,0,0,0,0,0,0,0,72,79,2391,577,700,218,242,321,445,167,46,175,5269
POA2017,0,0,0,6,3,351,14,16,0,0,4,3,0,0,6,405,18,0,0,0,0,0,0,0,0,0,24,26,0,0,0,0,0,0,0,0,0,26,91,4,3,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,120,4,3,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,134,4,3,0,0,0,0,0,0,0,150,1727,678,1148,400,407,496,581,216,58,78,5788,1902,1286,1979,754,903,955,1071,363,77,125,9414,599,138,200,64,106,126,221,85,15,41,1592,0,0,0,0,0,0,0,0,0,3,16,2500,1429,2181,814,1008,1084,1295,446,91,165,11022,0,0,0,3,0,0,0,0,0,15,19,4234,2107,3334,1217,1416,1577,1874,660,154,260,16832
POA2018,0,0,0,0,0,702,16,11,0,4,0,0,0,0,28,759,15,0,0,0,0,0,0,0,0,0,19,97,0,0,0,0,0,0,0,0,3,101,133,4,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,229,4,0,0,0,0,0,0,0,3,233,0,0,0,0,0,0,0,0,0,5,5,245,3,0,0,0,0,0,0,0,7,262,1241,366,527,140,131,145,163,71,14,39,2836,2634,796,998,310,351,334,370,130,18,89,6033,799,94,98,27,52,50,71,21,6,30,1246,14,0,4,0,0,0,0,5,0,0,18,3445,892,1105,336,402,389,440,154,22,117,7302,4,0,0,0,6,0,0,0,0,20,24,4683,1254,1631,476,540,535,608,224,36,176,10161
