POA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
POA2000,793,1132,1146,363,1396,1922,379,1199,179,8507,0,0,0,0,4,0,3,0,0,15,0,0,0,3,3,0,0,0,0,13,15,41,36,12,33,31,8,11,3,193,0,0,0,0,4,8,0,0,0,10,7,17,14,4,23,33,7,19,0,131,6,19,22,10,35,41,7,13,0,148,122,118,132,39,85,64,11,25,7,611,362,490,309,69,82,61,11,9,30,1433,17,21,39,3,33,12,6,12,0,142,7,4,7,3,34,39,4,21,0,117,28,36,43,36,175,232,46,139,6,738,13,34,20,10,31,51,9,16,4,186,29,82,85,35,274,297,72,141,9,1036,39,69,155,23,35,44,8,17,0,392,6,7,15,3,70,49,10,28,5,193,30,69,47,20,101,61,17,37,4,379,78,101,99,51,102,105,21,46,3,604,51,25,16,7,20,9,0,8,0,136,60,19,18,5,13,8,0,4,5,143
POA2007,212,308,285,99,368,456,101,216,41,2087,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,8,0,7,3,5,0,0,33,0,0,3,0,0,0,4,0,0,11,0,7,6,0,8,11,0,4,0,35,8,3,9,0,12,7,0,3,0,44,40,45,35,13,18,15,8,4,4,178,75,82,57,9,37,15,6,0,3,286,6,8,3,0,13,11,0,0,0,37,4,4,0,0,13,10,3,11,0,50,6,3,9,9,28,37,10,18,0,113,0,3,9,0,3,9,3,0,0,27,9,28,14,13,74,93,14,20,0,272,14,16,45,3,13,4,0,7,3,106,0,10,9,4,31,20,0,0,0,68,22,48,32,6,55,33,0,14,6,203,12,50,39,23,47,28,10,6,6,215,26,7,3,5,11,4,0,0,0,54,19,9,5,5,4,3,0,3,0,47
POA2008,287,413,263,121,610,745,170,379,47,3023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,21,4,9,10,17,3,9,0,70,0,0,0,0,3,3,0,3,0,9,9,5,0,0,7,14,0,8,0,48,3,4,3,0,14,12,0,5,0,40,68,61,25,21,46,27,9,12,0,270,107,85,45,9,20,14,5,5,0,298,7,3,0,3,5,12,3,4,0,43,5,4,6,4,17,29,6,18,0,82,3,5,12,12,44,65,14,21,4,179,7,11,0,0,11,9,0,8,0,43,15,38,57,25,121,162,42,65,3,522,4,14,23,8,14,14,7,0,0,79,4,8,15,5,47,42,4,11,0,137,14,106,34,24,72,39,11,26,5,329,29,66,44,27,74,74,9,20,3,349,23,8,8,7,17,13,0,4,0,81,17,18,5,0,9,8,3,0,5,68
POA2009,313,385,316,153,684,1025,252,648,51,3827,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,7,4,13,7,7,18,9,3,11,0,78,0,0,0,0,0,6,5,3,0,12,4,5,13,10,14,23,0,16,0,74,3,8,10,5,24,21,5,7,0,83,47,39,42,11,36,36,10,10,0,237,99,70,38,21,26,13,0,6,5,281,10,8,8,3,20,27,3,9,0,89,3,12,0,3,26,39,9,12,0,106,17,18,23,21,113,145,35,72,0,428,11,12,8,0,18,24,3,14,0,90,16,50,51,18,140,170,51,105,0,601,10,21,19,9,25,27,4,14,0,132,9,12,13,11,44,32,4,17,0,136,13,40,42,17,58,28,3,37,0,244,18,80,67,39,71,72,10,26,0,381,56,11,13,3,21,25,0,8,0,140,29,13,12,6,23,9,4,6,0,102
POA2010,668,888,633,427,1753,2622,749,2204,115,10060,0,0,0,0,3,0,0,0,0,8,0,0,0,0,5,0,0,0,0,3,6,12,14,5,38,34,15,20,3,154,5,3,0,0,4,7,4,9,0,29,7,4,5,7,13,34,11,20,0,99,11,9,9,7,26,44,14,27,0,138,69,88,65,24,88,84,13,46,4,486,169,168,65,23,38,25,10,13,5,509,9,13,6,4,32,38,6,8,0,119,15,8,9,6,75,108,27,72,0,323,13,18,20,20,129,213,61,195,9,675,8,9,9,5,28,48,13,9,0,130,37,86,84,66,300,477,159,357,8,1574,22,45,44,7,53,78,18,31,0,289,22,12,22,3,116,102,34,44,0,356,39,115,54,21,102,97,23,75,8,535,54,106,108,79,169,189,47,106,4,870,31,30,27,10,36,29,11,27,0,197,50,29,12,14,35,21,10,14,4,188
POA2011,385,503,410,242,1071,1659,456,1466,67,6250,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,4,14,8,9,22,25,15,11,0,104,0,0,0,0,3,8,0,5,0,16,3,3,7,7,13,28,8,18,0,91,4,8,3,0,19,33,15,15,0,92,52,55,43,25,59,58,19,39,5,349,89,61,31,15,30,11,6,13,6,258,10,8,13,3,13,15,8,8,0,82,9,12,9,13,46,79,27,60,0,254,6,5,7,21,101,156,49,140,5,495,5,14,10,3,20,34,11,19,0,123,31,60,84,33,169,318,125,269,3,1094,6,25,28,8,45,38,10,9,0,171,11,11,20,9,89,113,25,72,0,352,13,54,47,19,70,71,31,53,0,362,34,88,65,51,124,135,32,69,3,599,28,35,25,14,26,26,9,20,6,177,35,28,10,15,26,18,7,14,0,143
POA2015,236,293,254,149,844,1234,341,710,41,4107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,3,8,18,18,5,11,0,83,0,0,0,0,0,10,0,6,0,17,7,7,5,6,15,20,5,4,0,68,7,3,3,0,21,36,4,12,0,91,56,42,47,13,55,55,21,28,4,315,42,46,27,17,21,16,0,6,0,175,10,5,8,5,15,26,13,11,0,93,6,5,5,8,38,48,13,40,0,170,24,9,8,28,74,112,31,66,0,344,8,0,6,4,19,18,9,17,0,75,26,45,52,31,146,200,70,105,3,664,16,14,18,3,26,36,10,11,0,129,13,7,17,8,108,63,20,45,0,285,28,50,34,24,84,64,27,55,0,361,36,64,72,47,117,147,30,36,0,556,8,13,7,7,23,13,7,3,0,88,18,14,5,6,17,22,5,0,3,101
POA2016,317,394,316,191,792,1048,290,701,56,4107,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,3,0,3,3,16,11,7,16,13,3,5,0,75,0,0,0,0,10,0,0,0,0,13,0,9,3,3,13,12,0,7,0,47,7,0,3,0,10,20,3,7,0,48,36,36,26,26,42,30,8,18,0,232,75,64,27,5,12,13,7,7,0,213,4,9,4,3,6,12,6,5,0,56,15,13,14,9,31,60,17,39,0,191,10,8,8,7,50,70,22,42,0,210,5,3,0,3,11,14,10,12,0,52,22,52,50,36,116,207,66,117,0,669,16,16,19,4,14,24,6,6,0,111,8,3,16,11,81,53,11,32,0,220,20,54,50,34,69,63,14,39,5,348,30,70,58,39,104,115,28,42,4,491,25,22,18,12,14,17,4,17,0,117,21,15,12,11,14,12,0,8,0,86
POA2017,712,760,656,353,2020,2647,603,1350,157,9266,0,4,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,3,0,10,12,12,19,7,27,33,15,18,0,150,0,0,3,0,18,10,3,3,0,39,21,16,22,7,30,53,18,38,10,216,15,12,12,9,69,54,18,21,0,206,140,125,84,31,126,106,25,50,9,685,157,139,80,36,55,31,15,9,0,522,22,17,21,7,50,52,19,16,0,200,8,10,14,12,64,89,19,47,4,264,22,24,27,20,219,287,60,96,4,764,11,19,13,4,47,61,14,24,0,190,49,92,71,55,344,417,102,152,3,1295,25,38,36,10,86,107,20,15,3,337,25,10,17,13,131,74,37,55,7,378,48,110,75,34,176,102,28,39,9,609,73,117,149,83,263,218,41,85,8,1032,58,23,7,3,24,30,3,10,0,166,80,44,26,8,34,35,11,10,6,259
POA2018,452,605,441,238,1169,1403,291,719,113,5431,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,16,15,4,40,24,7,15,3,125,0,0,0,0,7,7,0,4,0,16,19,18,28,10,32,30,14,9,0,156,9,8,18,0,57,37,8,13,0,147,84,92,83,30,99,63,14,24,4,490,78,93,43,14,26,20,0,4,0,282,19,15,20,11,43,41,10,22,0,183,12,9,6,8,19,35,13,26,0,125,14,5,29,25,122,136,30,45,0,409,3,16,4,8,23,26,6,13,0,96,29,45,55,27,149,199,58,76,0,619,16,28,25,13,42,45,0,6,0,179,19,12,3,8,94,70,19,24,3,250,39,86,64,31,139,117,16,61,4,564,53,126,123,80,229,164,43,52,7,885,27,16,11,0,11,21,0,4,0,96,46,28,19,5,31,24,0,0,0,152
