POA_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
POA2000,0,3,0,0,0,0,0,0,0,11,28,144,0,0,5,3,0,0,5,184,353,691,43,36,103,54,13,28,18,1350,13,15,0,0,4,0,0,0,0,33,35,66,9,3,10,0,0,4,3,118,12,23,0,0,0,0,0,0,0,36,582,1512,243,150,242,136,120,195,55,3237,0,0,0,0,0,0,0,7,0,12,67,56,155,42,17,53,21,76,7,505,95,62,187,70,37,52,44,106,14,669,83,31,171,46,36,38,21,62,10,487,5,3,3,4,0,5,6,8,0,37,17,11,18,15,7,15,0,14,4,93,14,23,14,6,9,7,8,9,0,89,26,20,23,9,4,5,11,18,43,161,1325,2653,869,382,475,355,244,544,167,7017,4,7,0,4,0,0,0,0,0,10,15,86,0,0,6,0,0,0,0,116,239,635,30,63,188,88,3,19,22,1286,3,13,0,0,5,4,0,5,3,34
POA2007,0,0,0,0,0,0,0,0,0,0,3,61,0,0,0,0,0,0,0,70,60,189,14,17,26,22,14,12,4,366,0,6,0,0,0,0,0,0,0,3,3,21,0,0,0,0,4,0,0,30,0,4,0,0,0,0,0,0,0,8,102,332,71,50,62,45,38,63,12,774,0,0,3,0,0,0,0,0,0,3,11,12,13,5,5,7,0,9,0,69,19,28,40,20,5,18,4,16,0,146,11,21,48,12,12,3,4,15,5,140,0,3,3,3,0,0,0,0,0,14,6,0,3,4,0,0,0,6,0,19,0,3,3,4,0,0,0,0,0,18,0,4,5,0,6,0,4,5,12,33,231,691,208,114,117,101,76,119,30,1692,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0,0,0,0,50,53,180,9,24,45,20,3,14,11,361,0,0,0,0,0,0,0,0,0,5
POA2008,0,5,0,0,0,0,0,0,0,14,9,105,5,3,0,0,0,0,0,113,98,336,24,10,35,22,9,4,4,549,0,8,0,0,0,0,0,0,0,6,7,36,0,0,4,0,0,3,0,56,7,7,0,0,0,0,0,0,0,14,199,638,71,72,82,60,28,29,12,1195,0,0,0,0,0,0,0,0,0,0,19,15,27,12,10,11,3,10,0,105,28,33,37,19,13,13,4,15,0,165,23,22,62,21,11,12,0,14,0,171,3,8,0,0,0,0,0,0,0,15,3,3,0,3,0,5,0,0,0,13,4,9,0,10,0,0,3,0,0,22,3,5,0,5,3,0,3,0,5,28,397,1228,221,161,170,127,58,89,25,2473,0,6,0,0,0,0,0,0,0,10,8,63,0,0,3,0,0,0,0,72,99,334,10,19,58,17,0,3,5,559,5,5,0,3,0,0,0,0,0,17
POA2009,0,5,0,0,0,0,0,0,0,3,16,72,4,0,0,0,0,0,0,98,184,365,16,17,58,25,7,10,13,691,5,8,0,0,0,0,0,0,0,13,21,46,5,0,8,0,0,0,0,83,11,3,0,0,0,0,3,0,0,18,328,746,77,67,90,62,32,47,30,1483,0,0,0,0,0,0,0,0,0,0,44,43,23,16,12,3,5,9,0,159,48,62,45,30,4,15,15,17,0,242,60,27,95,22,19,17,15,35,0,294,0,0,4,5,0,3,0,0,0,15,12,6,3,8,0,3,0,3,0,40,10,9,4,0,3,0,8,0,0,45,13,10,8,9,4,0,3,3,8,55,762,1406,294,161,194,137,94,123,56,3243,7,9,0,0,0,0,0,0,0,6,16,59,0,0,0,0,0,0,0,83,163,303,8,27,71,24,4,9,6,615,5,7,0,0,0,4,0,0,0,18
POA2010,3,8,0,0,0,0,0,0,0,18,34,252,6,4,5,0,0,0,6,297,422,1002,36,27,96,41,7,12,18,1664,8,10,0,0,0,6,0,0,0,24,40,163,4,16,16,7,0,0,0,251,29,37,4,3,9,0,0,0,0,84,1001,2336,145,155,303,203,50,90,74,4358,0,0,0,0,0,0,0,0,0,3,71,111,39,36,27,34,10,24,3,359,121,119,74,48,50,41,12,28,11,513,113,70,221,73,51,40,26,41,13,651,10,12,6,4,4,4,3,7,0,48,17,24,11,13,10,5,0,9,3,101,11,30,7,5,0,8,4,6,0,73,20,23,11,12,5,10,3,8,23,121,1903,4209,564,391,584,397,126,242,150,8569,10,27,0,0,3,0,0,0,0,35,26,157,3,0,4,4,0,0,0,190,256,752,23,30,104,28,0,12,15,1219,4,13,0,0,0,5,0,0,0,31
POA2011,5,8,0,0,0,0,0,0,0,17,28,127,0,0,0,0,0,0,6,161,265,617,27,25,61,33,8,5,15,1050,4,12,0,0,5,0,0,0,0,17,35,87,3,4,10,6,0,0,3,147,14,21,0,0,3,3,0,0,0,42,582,1331,96,84,194,100,35,55,44,2524,6,0,0,0,0,0,0,0,0,9,71,82,28,21,23,20,5,11,6,273,84,74,39,39,33,20,4,15,4,311,90,47,188,67,34,33,8,30,13,519,4,7,6,7,9,3,4,0,0,37,19,16,15,13,13,12,7,4,0,103,12,22,5,3,6,4,4,0,0,57,12,22,0,5,0,7,6,5,14,82,1241,2470,407,281,393,247,76,133,98,5353,3,9,0,0,0,0,0,0,0,19,18,99,4,0,0,0,0,0,0,117,231,497,10,27,74,20,0,0,6,869,3,15,0,0,0,0,0,0,0,24
POA2015,3,3,0,0,0,0,0,0,0,10,11,92,0,0,0,0,0,0,0,100,124,353,26,12,40,18,0,3,9,583,0,3,0,0,0,0,0,0,0,8,18,50,0,3,13,0,0,0,0,96,9,32,0,0,7,0,0,0,0,49,368,877,80,59,109,78,30,26,18,1643,0,0,0,0,0,0,0,0,0,5,44,47,14,10,10,9,7,7,0,155,69,54,34,25,21,13,3,7,0,226,65,46,162,24,19,23,15,28,0,385,5,7,8,0,3,7,0,0,0,22,11,10,3,9,3,8,0,0,0,46,4,6,5,0,4,0,0,0,0,23,11,18,0,3,4,0,7,0,12,52,749,1596,329,144,235,160,73,77,46,3413,7,10,0,0,0,0,0,0,0,16,17,83,0,0,3,0,0,0,0,102,163,374,9,13,51,18,0,3,7,645,10,4,0,3,0,0,0,0,0,18
POA2016,0,3,0,0,0,0,0,0,0,6,16,103,0,0,3,0,0,0,3,120,137,374,16,15,43,21,3,11,7,627,14,7,0,0,0,0,0,0,0,27,10,78,0,0,5,5,6,3,0,103,5,15,3,5,4,0,0,0,0,29,281,904,69,69,121,58,23,41,32,1599,0,0,0,0,0,0,0,0,0,0,37,40,25,10,16,10,3,3,6,154,33,61,44,33,15,24,14,22,4,246,47,33,108,24,31,19,11,26,8,316,0,3,4,8,0,4,0,9,0,27,12,9,8,6,8,6,0,5,0,51,6,9,3,6,0,0,0,3,0,27,5,20,4,4,0,6,5,6,7,57,614,1662,284,167,250,151,74,126,74,3401,0,8,0,0,0,0,0,0,0,13,8,71,0,0,3,0,0,0,0,86,120,336,13,20,63,20,0,6,10,590,6,4,0,3,5,0,0,0,0,16
POA2017,8,15,0,0,0,4,0,0,0,21,15,200,3,3,3,0,0,0,0,231,289,889,62,22,121,71,26,16,17,1514,14,8,5,0,4,0,0,0,0,40,31,78,5,5,17,0,3,10,0,155,13,26,9,0,7,4,0,3,0,59,695,1800,214,117,286,189,95,123,48,3559,0,0,4,0,0,0,0,0,0,3,83,94,46,20,21,23,17,15,7,332,124,124,88,54,50,42,18,31,8,541,134,89,478,80,62,44,26,64,20,988,4,9,4,7,6,9,0,5,0,46,17,21,19,10,11,16,8,15,3,99,15,25,13,10,3,5,0,11,0,75,19,24,17,8,4,5,12,10,31,123,1453,3418,959,336,590,408,202,291,141,7792,0,12,0,0,0,0,0,0,0,17,14,116,7,0,0,0,0,0,0,138,256,927,32,38,207,77,8,9,19,1565,3,21,4,4,0,3,0,0,0,39
POA2018,3,8,0,0,0,0,0,0,0,10,15,129,4,0,6,0,0,5,0,154,156,374,26,16,57,34,24,7,7,710,0,3,0,0,0,3,0,0,0,11,14,32,0,0,3,0,0,0,0,63,4,12,6,0,3,0,0,0,0,24,327,716,100,102,159,81,69,58,20,1626,0,0,3,0,0,0,0,0,0,8,46,46,37,19,18,14,16,14,3,213,61,72,57,27,34,31,23,21,5,332,81,42,426,42,37,37,58,69,19,810,7,0,0,0,0,6,5,7,0,27,13,6,15,8,13,12,12,15,0,91,7,8,14,0,7,0,6,3,0,49,14,14,10,5,5,4,9,14,13,97,740,1467,711,229,343,224,223,205,72,4211,0,11,0,0,0,0,0,0,0,10,11,67,4,0,6,0,0,0,0,88,137,407,19,32,108,27,4,7,13,757,5,7,0,0,0,0,0,0,0,9
