POA_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA2000,117,12,0,0,12,0,135,55,309,17,0,330,0,383,0,21,22,0,41,0,47,0,0,0,0,0,0,0,51,333,38,0,370,6,426,0,0,0,0,0,0,0,169,347,45,0,389,6,564,57,13,0,0,15,0,65,30,160,19,0,176,0,206,0,11,7,0,20,0,20,0,0,0,0,0,0,0,30,170,28,0,199,0,229,0,0,0,0,0,0,0,83,178,27,0,208,0,293,27,0,0,0,0,0,29,3,67,6,0,71,0,76,0,4,9,0,14,0,14,0,0,0,0,0,0,0,3,69,10,0,82,0,90,0,0,0,0,0,0,0,32,76,10,0,86,0,120,20,0,0,0,0,0,19,3,33,3,0,36,0,45,0,0,3,0,5,0,5,0,0,0,0,0,0,0,3,32,6,0,42,0,45,0,0,0,0,0,0,0,28,35,6,0,42,0,70,47,0,0,0
POA2007,32,3,0,0,3,0,38,23,88,4,0,93,0,113,0,5,3,0,10,0,10,0,0,0,0,0,0,0,23,96,14,0,105,0,125,0,0,0,0,0,0,0,53,100,14,0,110,0,163,29,3,0,0,3,0,33,14,59,5,0,66,0,76,0,5,12,0,18,0,18,0,0,0,0,0,0,0,14,65,13,0,78,0,89,0,0,0,0,0,0,0,40,69,13,0,80,0,119,11,0,0,0,0,0,9,4,14,5,0,19,0,19,0,0,4,0,5,0,5,0,0,0,0,0,0,0,4,16,8,0,24,0,26,0,0,0,0,0,0,0,11,14,8,0,24,0,40,7,0,0,0,0,0,7,0,5,4,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,8,0,15,0,0,0,0,0,0,0,13,5,8,0,8,0,19,4,0,0,0
POA2008,69,4,0,0,4,0,79,26,50,0,0,52,0,76,0,0,3,0,7,0,5,0,0,0,0,0,0,0,25,53,3,0,59,0,84,0,0,0,0,0,0,0,98,57,3,0,64,0,163,40,5,0,0,5,0,43,3,26,6,0,27,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,6,0,28,0,35,0,0,0,0,0,0,0,42,29,6,0,31,0,76,19,0,0,0,0,0,17,3,8,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,0,9,0,13,0,0,0,0,0,0,0,20,10,4,0,10,0,29,14,5,0,0,5,0,18,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,6,0,22,16,0,0,0
POA2009,139,19,0,0,19,0,168,65,229,13,0,247,0,314,0,4,5,0,12,0,12,0,0,0,0,0,0,0,65,236,20,0,253,0,326,0,0,0,0,0,7,7,214,256,20,0,279,8,493,87,9,0,0,9,0,92,33,107,6,0,114,0,148,0,10,0,0,13,0,11,0,0,0,0,0,0,0,38,114,10,0,121,0,157,0,0,0,0,0,0,0,118,120,10,0,133,0,252,47,0,0,0,0,0,48,18,45,7,0,44,0,59,0,6,4,0,6,0,12,0,0,0,0,0,0,0,19,47,7,0,57,0,77,0,0,0,0,0,0,0,65,51,7,0,60,0,126,27,0,0,0,0,0,32,16,29,3,0,27,0,43,0,0,6,0,6,0,4,0,0,0,0,0,0,0,16,29,4,0,34,0,46,0,0,0,0,0,0,0,47,28,4,0,34,0,79,42,0,0,0
POA2010,293,24,0,0,24,0,318,64,95,3,0,101,0,162,0,10,3,0,16,0,16,0,0,0,0,0,0,0,64,106,8,0,115,0,176,0,0,0,0,0,0,0,356,130,8,0,138,0,496,194,10,0,0,10,5,201,28,56,0,0,59,0,89,0,3,0,0,10,0,10,0,0,0,0,0,0,0,28,61,5,0,68,0,94,0,0,0,0,0,0,0,222,68,5,0,76,5,298,97,11,0,0,11,0,102,14,22,0,0,22,0,41,0,5,5,0,0,0,0,0,0,0,0,0,0,0,14,24,5,0,27,0,45,0,0,0,0,0,0,4,110,37,5,0,38,0,146,50,0,0,0,0,0,51,17,9,0,0,9,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,14,3,0,18,0,25,0,0,0,0,0,0,0,65,14,3,0,18,0,80,63,0,0,0
POA2011,164,17,0,0,17,0,181,29,55,4,0,56,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,55,4,0,56,0,87,0,0,0,0,0,0,0,195,70,4,0,72,0,266,85,0,0,0,0,0,90,7,39,0,0,41,0,51,0,6,0,0,6,0,6,0,0,0,0,0,0,0,7,42,0,0,47,0,55,0,0,0,0,0,0,0,96,50,0,0,49,0,145,40,6,0,0,6,0,44,5,7,0,0,7,0,13,0,0,0,0,3,0,5,0,0,0,0,0,0,0,11,11,0,0,10,0,21,0,0,0,0,0,0,0,47,13,0,0,14,0,66,14,0,0,0,0,0,17,9,6,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,9,0,11,0,0,0,0,0,0,0,21,5,0,0,10,0,28,29,0,0,0
POA2015,321,23,0,0,23,0,347,60,81,4,0,84,0,149,0,4,0,0,4,0,4,0,0,0,0,0,0,0,60,86,4,0,86,0,152,0,0,0,0,0,0,0,383,112,4,0,115,0,502,196,18,0,0,18,0,216,35,72,0,0,75,0,109,0,5,0,0,5,0,5,0,0,0,0,0,0,0,35,76,0,0,78,0,110,0,0,0,0,0,0,0,231,93,0,0,97,0,325,85,12,0,0,12,0,98,15,30,0,0,31,0,47,0,0,4,0,4,0,4,0,0,0,0,0,0,0,15,30,0,0,32,0,48,0,0,0,0,0,0,0,103,42,0,0,41,0,147,47,3,0,0,3,0,43,4,11,0,0,14,0,16,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,15,3,0,16,0,24,0,0,0,0,0,0,0,50,15,3,0,19,0,63,55,3,0,0
POA2016,236,18,0,0,18,0,256,33,70,0,0,75,0,104,0,3,3,0,5,0,5,0,0,0,0,0,0,0,33,70,9,0,79,0,111,0,0,0,0,0,0,0,271,92,9,0,98,0,369,166,9,0,0,9,0,168,32,49,0,0,49,0,81,0,0,4,0,9,0,9,0,0,0,0,0,0,0,32,48,4,0,48,0,82,0,0,0,0,0,0,0,197,56,4,0,54,0,252,74,5,0,0,5,0,77,10,9,0,0,13,0,23,0,0,5,0,5,0,5,0,0,0,0,0,0,0,10,9,0,0,16,0,22,0,0,0,0,0,0,0,83,14,0,0,14,0,97,53,0,0,0,0,0,51,6,11,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,0,15,0,26,0,0,0,0,0,0,0,61,16,3,0,13,0,74,44,3,0,0
POA2017,360,48,0,0,48,0,413,89,469,24,0,496,0,587,4,20,3,0,28,0,30,0,0,0,0,0,0,0,94,493,36,0,526,3,618,0,0,0,0,0,0,3,456,541,36,0,575,4,1040,106,18,0,0,18,0,122,42,217,19,0,229,0,271,0,11,11,0,23,0,26,0,0,0,0,0,0,0,42,223,31,0,254,0,301,0,0,0,0,0,0,0,148,242,31,0,273,0,415,38,0,0,5,4,0,41,13,67,11,0,79,0,89,0,8,7,0,17,0,16,0,0,0,0,0,0,0,15,77,19,0,91,0,102,0,0,0,0,0,0,0,57,75,19,5,100,0,148,29,7,0,0,7,0,36,0,27,6,0,28,0,28,0,3,11,0,12,0,12,0,0,0,0,0,0,0,4,29,11,0,39,0,37,0,0,0,0,0,0,0,33,33,11,0,43,0,77,36,0,0,4
POA2018,398,30,0,0,31,0,434,96,405,8,0,420,0,516,3,19,5,0,28,0,32,0,0,0,0,0,0,0,102,425,16,0,440,0,544,0,0,0,0,0,0,3,499,458,16,0,476,0,973,212,21,0,0,21,0,234,56,287,11,0,298,0,354,0,30,13,0,39,0,43,0,0,0,0,0,0,0,55,310,23,0,340,0,389,0,0,0,0,0,0,0,263,340,23,0,363,0,624,124,9,0,0,9,0,135,27,162,10,0,174,0,201,0,10,8,0,18,0,21,0,0,0,0,0,0,0,27,175,20,0,190,0,222,0,0,0,0,0,0,0,148,187,20,0,204,0,359,72,9,0,0,10,0,84,8,83,4,0,82,0,92,0,14,0,0,14,0,14,0,0,0,0,0,0,0,8,90,9,0,100,0,113,0,0,0,0,0,0,0,85,104,7,0,109,0,193,116,6,0,0
