POA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
POA2000,0,0,0,0,0,7,3,6,0,0,0,0,0,28,0,42,0,0,0,0,5,3,6,6,4,3,0,5,6,0,0,48,0,0,5,6,5,5,12,20,4,4,3,13,14,0,3,90,0,9,11,19,184,377,847,682,226,302,272,358,140,24,98,3540,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,11,0,7,4,0,5,4,5,0,0,3,0,4,0,4,4,34,0,4,0,5,8,8,3,0,3,0,0,3,0,0,3,43,3,4,4,4,9,6,12,9,4,11,7,11,8,3,5,93,4,10,3,7,0,0,0,5,0,0,0,0,0,0,0,25,0,4,11,41,120,124,73,61,13,20,23,22,23,15,6,548,0,0,5,18,16,44,96,127,54,73,118,162,64,25,20,819,0,4,0,12,29,171,348,917,255,292,313,501,136,6,98,3098,0,0,0,6,15,15,20,33
POA2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,6,0,0,0,29,0,0,0,3,0,0,5,3,4,0,0,0,0,0,0,21,0,0,8,21,62,139,181,166,86,133,137,177,84,8,43,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,4,7,3,3,0,0,7,3,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,13,26,28,21,18,12,10,0,8,12,0,3,143,0,0,0,0,0,7,19,32,10,27,46,120,57,4,5,324,0,0,0,5,3,18,34,68,25,36,43,45,10,0,3,295,0,0,0,0,4,9,6,13
POA2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,7,7,4,0,0,33,0,0,4,5,0,3,3,9,3,5,10,6,10,0,0,57,0,0,0,6,26,59,189,347,174,199,234,330,164,16,22,1772,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,15,0,0,0,3,4,0,11,13,0,0,6,0,0,0,0,42,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,14,27,27,58,13,15,16,40,30,20,3,266,0,0,0,0,7,7,19,18,22,31,31,68,28,5,0,238,0,0,0,6,6,20,60,99,43,52,56,88,38,7,7,469,0,0,0,0,0,0,9,12
POA2009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,7,0,0,0,5,4,5,15,6,4,0,0,5,3,0,0,48,0,0,8,13,115,172,235,110,27,21,23,34,11,5,9,781,0,4,3,6,0,4,0,4,0,0,0,0,0,0,0,18,0,0,6,5,3,0,4,0,0,0,0,0,0,0,0,22,0,0,0,7,10,6,10,6,0,0,0,3,0,0,0,38,0,3,4,6,0,9,10,11,4,3,7,0,8,0,0,65,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,14,0,5,9,24,49,48,26,13,5,10,3,9,0,0,5,204,0,0,6,4,18,24,82,86,41,46,68,83,30,10,4,510,0,0,0,4,8,54,53,57,9,20,15,22,17,0,8,263,0,0,0,4,13,8,14,29
POA2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,10,7,3,0,0,3,0,0,3,43,0,0,10,16,8,17,28,38,9,6,14,22,8,0,0,175,4,10,11,10,91,166,138,92,30,40,31,35,11,7,17,690,0,5,14,0,5,4,0,0,0,0,0,0,0,0,4,37,0,3,7,0,0,0,3,0,0,0,0,4,0,0,0,23,0,0,7,11,12,9,5,3,0,0,3,0,0,0,0,52,6,13,12,18,15,22,40,25,4,7,10,17,3,0,0,190,0,4,40,8,0,0,0,5,0,0,3,3,0,0,0,72,0,3,16,21,38,46,28,24,3,0,4,8,6,0,0,201,0,0,4,11,11,29,46,42,24,23,33,27,19,3,7,277,0,0,0,8,13,44,47,76,28,13,29,25,12,0,4,311,0,0,3,6,21,6,17,11
POA2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,3,9,9,11,19,24,5,7,9,13,3,0,3,129,0,5,0,5,39,41,44,43,14,15,6,10,7,0,5,230,0,0,0,5,8,4,0,0,0,0,0,0,0,0,0,21,0,3,3,0,0,0,4,3,0,0,0,0,0,0,0,21,0,4,0,5,13,9,8,6,0,0,0,0,3,0,0,46,9,19,16,9,11,22,26,19,16,10,3,12,4,0,9,177,0,5,9,3,0,0,0,0,5,0,3,0,0,0,4,29,0,0,0,10,23,19,8,12,0,0,0,0,4,0,0,79,0,0,6,4,15,15,30,30,10,11,18,7,9,0,6,163,0,0,0,3,12,9,29,10,7,7,0,9,5,0,0,87,0,0,0,5,11,8,18,9
POA2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,8,5,8,18,13,5,6,0,0,4,0,0,66,0,0,0,5,28,51,93,62,6,14,15,11,4,0,7,297,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,3,10,9,6,0,0,0,0,0,0,0,0,32,0,0,0,0,0,7,9,7,3,3,3,0,0,0,0,40,0,5,3,4,0,4,0,0,0,0,0,0,0,0,3,17,0,0,0,5,26,27,23,3,5,3,0,3,6,0,0,106,0,0,0,0,14,18,22,10,6,13,14,10,5,0,6,124,0,0,0,10,12,41,40,20,7,6,3,11,0,0,4,160,0,0,0,0,0,6,4,10
POA2016,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,6,0,0,0,6,0,0,0,30,0,0,5,3,9,12,22,14,4,4,8,4,0,5,3,83,0,0,0,9,63,113,135,62,18,13,18,38,19,0,64,559,0,0,7,4,0,10,0,0,0,0,3,0,0,0,0,28,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,4,7,4,5,0,0,0,0,0,3,0,0,32,6,0,0,8,10,9,30,8,4,0,0,8,0,0,0,85,0,18,44,8,0,0,3,0,0,0,0,0,0,0,0,89,0,5,0,10,20,24,12,9,3,6,8,3,4,0,9,101,0,0,3,0,6,19,21,26,11,22,22,37,9,3,3,187,0,0,0,9,9,13,21,21,8,4,9,8,6,0,0,107,0,0,0,0,6,0,0,9
POA2017,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,12,0,0,0,0,5,4,13,14,3,0,5,4,3,0,0,53,0,0,3,6,5,13,25,28,13,6,9,15,14,4,0,142,0,3,4,12,111,255,968,1061,378,462,419,520,188,17,64,4474,0,0,13,3,0,5,10,0,0,0,0,0,0,0,0,30,0,0,10,0,10,0,4,0,0,0,0,7,0,0,0,46,0,0,0,14,25,14,11,9,0,0,0,0,0,0,4,78,3,3,5,9,11,12,26,22,12,11,17,14,3,0,0,150,4,0,8,4,9,0,0,9,0,3,0,0,3,0,3,54,0,0,4,19,61,63,54,69,36,32,28,32,20,5,5,417,0,0,5,0,13,42,84,73,44,54,59,85,36,10,5,509,0,0,0,8,23,116,129,80,30,33,48,39,14,0,10,535,0,0,0,0,14,11,43,50
POA2018,0,0,0,0,7,4,8,0,0,0,0,0,0,0,0,18,0,0,0,0,33,87,132,79,27,34,31,15,28,3,0,475,0,0,0,0,3,5,7,12,0,0,3,4,0,0,0,41,0,0,7,24,106,134,352,418,137,150,124,143,30,7,20,1658,0,0,13,4,4,10,5,0,0,0,0,0,0,0,0,41,3,10,46,19,15,9,6,0,0,0,0,0,0,0,0,114,0,0,0,9,28,7,14,3,0,0,0,0,0,0,0,64,3,4,4,5,0,8,21,11,0,0,0,8,0,0,0,63,5,122,287,57,14,7,9,10,3,0,0,0,0,0,21,532,0,0,8,23,40,36,24,16,8,11,5,3,9,0,5,193,0,0,0,5,24,33,73,57,22,38,27,55,16,0,6,358,0,0,6,25,71,150,161,76,15,19,24,20,3,0,12,579,0,0,0,0,11,14,17,30
