POA_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
POA2000,5110,..,..,..,..,5110,..,10,0,10,0,10,..,98,4,103,0,103,..,0,0,0,0,0,..,515,98,608,4,617,..,1399,431,1829,3,1832,..,75,25,97,0,97,..,1983,555,2535,11,2543,..,10,0,14,0,14,..,108,3,110,0,114,..,41,0,41,0,42,..,47,0,55,0,55,..,33,0,34,0,34,..,21,0,21,0,21,..,206,4,204,0,205,..,54,0,58,0,58,..,20,0,20,0,19,..,6,0,12,0,12,..,34,0,34,0,34,..,44,0,44,0,44,..,413,5,422,6,420,..,119,5,128,0,128,..,142,31,174,0,170,..,9,0,9,0,9,..,229,100,331,0,332,..,10,0,10,0,10,..,37,0,37,0,38,..,54,0,54,0,54,..,18,0,18,0,19,..,99,3,106,0,106,..,56,4,56,0,56,..,4,0,4,0,4,..,10,0,10,0,10,..,53
POA2007,1460,..,..,..,..,1460,..,0,0,0,0,0,..,27,4,31,0,31,..,0,0,0,0,0,..,138,61,205,0,205,..,444,147,586,0,588,..,18,3,28,0,27,..,597,218,820,3,821,..,0,0,0,0,0,..,22,0,20,0,19,..,11,0,13,0,13,..,5,0,5,0,5,..,20,0,20,0,20,..,10,0,10,0,8,..,84,0,87,0,87,..,12,0,12,0,12,..,8,0,8,0,8,..,9,0,9,0,9,..,13,0,13,0,13,..,17,0,19,0,19,..,169,3,174,0,177,..,42,0,43,0,43,..,32,0,38,0,38,..,8,0,8,0,8,..,37,9,48,0,48,..,0,0,0,0,0,..,12,0,12,0,12,..,21,4,29,0,29,..,15,0,13,0,13,..,29,0,29,0,29,..,24,0,24,0,24,..,0,0,0,0,0,..,8,0,12,0,12,..,18
POA2008,2625,..,..,..,..,2625,..,5,0,5,0,5,..,31,0,31,0,33,..,4,0,4,0,4,..,199,12,216,0,216,..,745,96,843,0,842,..,37,9,44,0,44,..,979,114,1097,0,1100,..,3,0,3,0,3,..,47,0,49,0,49,..,26,0,26,0,26,..,16,0,13,0,13,..,20,0,20,0,20,..,10,0,10,0,10,..,72,0,72,0,72,..,17,0,13,0,13,..,6,0,6,0,6,..,8,0,8,0,8,..,10,0,10,0,10,..,6,0,6,0,6,..,149,0,154,0,154,..,40,3,43,3,43,..,36,3,36,0,36,..,4,0,4,0,4,..,50,12,65,0,65,..,0,0,0,0,0,..,9,0,9,0,9,..,27,0,27,0,27,..,3,0,3,0,3,..,32,3,30,0,30,..,24,0,24,0,24,..,0,0,0,0,0,..,3,0,3,0,3,..,15
POA2009,3565,..,..,..,..,3565,..,8,0,8,0,8,..,41,0,41,0,41,..,4,0,5,0,5,..,187,46,231,0,231,..,272,77,343,5,347,..,15,4,18,0,18,..,468,131,598,0,600,..,8,5,10,0,10,..,62,3,63,0,68,..,30,0,27,0,27,..,41,4,41,3,41,..,12,0,12,0,12,..,17,0,17,0,20,..,102,0,101,0,102,..,10,0,10,0,10,..,19,0,19,0,19,..,10,0,10,0,10,..,19,0,20,0,20,..,15,0,15,0,15,..,201,3,205,4,206,..,102,5,109,0,109,..,44,17,56,0,58,..,5,0,5,0,5,..,52,24,83,0,83,..,10,0,10,0,10,..,48,0,51,0,51,..,35,4,39,0,39,..,19,0,19,0,19,..,101,5,102,0,105,..,49,4,59,0,57,..,5,0,5,0,5,..,20,3,24,0,24,..,26
POA2010,10836,..,..,..,..,10836,..,31,0,29,0,29,..,75,9,83,0,83,..,6,0,6,0,6,..,162,51,215,5,220,..,254,83,332,0,334,..,26,0,31,0,31,..,439,139,579,0,581,..,20,0,20,0,20,..,187,9,200,0,203,..,70,4,75,0,75,..,89,12,98,0,103,..,28,0,27,0,27,..,5,0,5,0,5,..,52,0,52,0,52,..,41,0,43,0,46,..,15,0,15,0,19,..,13,0,13,0,13,..,14,0,14,0,14,..,18,0,18,0,18,..,182,5,188,3,188,..,164,13,175,0,179,..,74,10,90,0,93,..,6,0,6,0,6,..,49,12,60,0,60,..,13,0,13,0,13,..,6,0,6,0,6,..,25,0,24,0,24,..,36,5,43,0,43,..,122,10,133,0,133,..,49,12,64,0,64,..,0,0,0,0,0,..,18,0,16,0,16,..,38
POA2011,7128,..,..,..,..,7128,..,20,0,23,0,23,..,49,0,49,0,49,..,0,0,0,0,0,..,51,10,61,0,66,..,93,12,102,0,102,..,12,0,12,0,12,..,150,18,174,0,172,..,7,0,7,0,8,..,152,8,155,0,161,..,63,0,68,0,68,..,52,3,48,0,56,..,6,0,6,0,6,..,9,0,9,0,9,..,40,0,40,0,40,..,25,0,25,0,25,..,4,0,4,0,4,..,10,0,10,0,10,..,12,0,15,0,15,..,8,0,8,0,8,..,107,0,110,0,110,..,108,4,111,0,112,..,42,7,45,0,45,..,0,0,0,0,0,..,22,0,27,0,24,..,5,0,6,0,6,..,6,0,6,0,6,..,17,0,20,0,20,..,19,4,22,0,22,..,76,8,88,0,87,..,46,6,47,0,47,..,0,0,0,0,0,..,21,0,23,0,23,..,15
POA2015,4381,..,..,..,..,4381,..,4,0,4,0,4,..,37,0,38,0,38,..,0,0,0,0,0,..,93,13,106,3,106,..,129,26,150,0,150,..,5,0,6,0,6,..,225,39,268,6,269,..,4,0,4,0,4,..,52,3,56,0,60,..,26,0,33,0,33,..,39,0,38,0,38,..,8,0,8,0,8,..,0,0,0,0,0,..,30,0,30,0,30,..,6,0,6,0,6,..,4,0,4,0,4,..,6,0,7,0,7,..,11,0,11,0,11,..,0,0,0,0,0,..,56,0,61,0,61,..,49,0,49,0,49,..,12,0,14,0,14,..,3,0,3,0,3,..,18,0,19,0,19,..,22,0,23,0,23,..,8,0,8,0,8,..,13,0,13,0,13,..,23,0,23,0,21,..,59,3,54,0,54,..,34,0,34,0,34,..,0,0,0,0,0,..,14,0,14,0,14,..,13
POA2016,4754,..,..,..,..,4754,..,3,0,3,0,3,..,80,7,88,0,92,..,17,0,17,0,17,..,76,56,132,3,131,..,135,59,194,6,197,..,8,0,11,0,11,..,214,117,332,5,338,..,9,0,13,0,13,..,71,3,77,0,78,..,32,0,32,0,32,..,91,10,99,0,105,..,16,0,15,0,15,..,0,0,3,0,3,..,46,0,46,0,46,..,26,0,26,0,26,..,5,0,5,0,5,..,7,0,7,0,7,..,13,0,13,0,13,..,9,0,9,0,9,..,127,0,125,0,125,..,52,8,55,0,55,..,26,5,27,0,27,..,4,0,6,0,6,..,27,3,26,0,26,..,5,0,5,0,5,..,8,0,8,0,8,..,12,0,12,0,12,..,16,0,16,0,16,..,70,9,72,0,72,..,33,30,62,0,62,..,0,0,0,0,0,..,26,5,24,0,24,..,11
POA2017,8067,..,..,..,..,8067,..,15,0,15,0,15,..,156,8,160,0,160,..,9,0,8,0,8,..,408,67,474,0,475,..,1836,384,2211,16,2230,..,79,26,105,0,105,..,2319,476,2797,18,2815,..,18,0,15,0,15,..,104,4,110,4,117,..,78,0,78,0,81,..,67,6,74,0,74,..,47,0,47,0,47,..,9,0,11,0,11,..,116,0,117,0,117,..,15,0,17,0,17,..,22,0,22,0,22,..,10,0,10,0,10,..,34,0,33,0,33,..,20,0,20,0,20,..,271,6,279,0,279,..,174,9,179,0,182,..,49,12,59,4,69,..,11,3,7,0,7,..,101,32,133,3,141,..,14,0,15,0,15,..,15,0,15,0,15,..,89,3,90,0,92,..,36,4,39,0,39,..,249,17,264,0,261,..,170,68,236,6,245,..,7,0,7,0,7,..,43,0,43,0,43,..,36
POA2018,4849,..,..,..,..,4849,..,8,0,8,0,8,..,133,6,143,0,148,..,0,0,0,0,0,..,209,50,260,3,263,..,679,119,798,9,804,..,26,3,27,0,27,..,914,173,1088,16,1103,..,23,4,25,0,25,..,44,6,48,0,46,..,14,0,14,0,14,..,481,94,575,0,576,..,297,26,325,7,329,..,11,0,11,0,11,..,83,0,83,0,83,..,18,0,17,0,17,..,25,0,25,0,25,..,15,0,15,0,15,..,59,0,60,0,60,..,10,0,10,0,10,..,517,24,543,9,553,..,119,4,126,0,126,..,28,6,30,0,35,..,7,0,8,0,8,..,39,9,50,4,56,..,10,0,13,0,13,..,15,0,13,0,13,..,54,6,60,0,58,..,18,0,18,0,18,..,138,17,153,4,155,..,137,37,172,0,172,..,7,0,11,0,11,..,41,5,45,0,48,..,37
