SA3_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
10102,136,339,72,196,82,44,77,995,0,0,3,13,12,32,42,22,20,3,10,20,184,0,0,0,0,6,13,30,6,11,3,0,12,92,0,0,0,0,0,5,16,12,18,16,20,11,100,10,0,10,22,33,53,71,15,16,12,9,28,278,0,0,0,0,0,0,0,0,0,5,0,383,396,22,6,35,74,112,424,1267,981,855,1321,856,894,6841,0,0,4,16,50,177,299,74,98,51,4,101,876,3,8,28,62,59,102,51,14,9,10,0,30,376,0,0,7,9,0,19,18,9,3,0,0,9,75,5,0,16,18,4,5,6,6,0,0,0,4,59,12,8,120,102,69,83,59,34,16,7,0,74,600,0,0,0,0,3,5,0,0,0,0,0,28,39,18,24,174,212,187,390,433,127,125,69,7,248,2019,87,34,292,750,586,1509,2734,1798,1460,2062,1242,1539,14088,5,0,0,5,8,40,221,344,275,426
10103,94,87,13,38,9,0,29,308,0,0,0,10,11,23,11,5,0,0,0,6,68,0,0,4,0,0,4,0,6,3,0,0,3,19,0,0,0,0,0,4,4,0,0,0,0,6,17,0,5,6,24,12,23,12,5,0,0,0,13,103,0,0,0,0,0,0,0,0,0,0,0,128,126,12,5,23,64,67,312,476,254,156,135,38,316,1868,0,0,4,12,22,55,48,9,3,10,0,29,197,0,3,13,37,31,40,13,0,4,0,0,17,162,0,0,0,3,0,8,4,0,0,0,0,4,19,3,0,3,8,0,0,0,0,0,0,0,4,29,3,6,49,56,47,47,14,4,4,0,0,25,248,0,0,0,0,0,0,0,0,0,0,0,6,10,5,11,80,124,107,148,77,16,13,7,0,89,664,30,20,168,526,372,910,1008,460,258,238,72,583,4652,4,0,0,7,4,51,164,117,79,56
10104,339,318,49,64,22,3,60,949,0,5,19,73,65,174,76,14,9,4,0,44,477,0,0,0,7,3,20,17,0,4,0,0,23,80,0,0,0,5,6,7,14,17,5,6,0,18,73,4,0,35,104,103,190,92,28,3,7,0,87,658,0,0,0,0,5,7,3,0,0,0,0,435,453,18,12,83,300,333,1332,1603,660,336,291,79,1002,6055,0,0,14,59,82,187,121,25,24,5,0,81,600,3,15,92,247,183,143,48,0,4,0,0,81,818,4,0,4,20,16,14,10,3,0,3,0,16,96,0,5,45,65,15,10,0,0,0,0,0,18,164,17,33,230,333,179,189,57,9,7,0,0,140,1191,0,0,0,5,3,0,0,0,0,0,0,57,66,21,51,391,732,488,540,241,40,33,6,0,384,2931,140,83,815,3183,1998,4292,3501,1247,635,514,148,2302,18855,3,3,0,20,14,90,321,240,142,115
10105,159,188,33,59,15,11,44,571,0,0,10,11,19,27,32,6,0,3,0,22,132,0,0,0,0,3,17,17,0,0,0,0,10,53,0,0,0,0,0,0,12,6,6,4,0,13,41,4,0,14,43,35,66,44,4,8,0,0,34,250,0,0,0,0,0,8,4,0,0,0,0,196,204,7,6,31,105,129,501,986,536,314,269,95,516,3498,7,4,5,27,57,129,103,16,14,7,0,55,415,0,0,37,77,60,62,32,7,0,0,0,27,306,0,0,5,7,7,9,6,0,0,0,0,13,51,0,3,31,32,9,6,6,0,0,0,0,8,94,10,13,98,166,97,111,55,0,3,0,0,64,619,0,0,0,0,4,5,0,0,0,0,0,13,22,12,22,175,313,225,325,192,25,23,4,5,184,1510,56,45,333,1115,673,1538,1894,901,500,447,148,1072,8729,4,0,0,13,8,46,186,170,113,112
10106,164,209,29,102,21,10,50,653,5,0,8,27,22,36,30,8,6,4,5,14,157,0,0,0,8,4,13,15,4,5,0,0,16,69,0,0,0,0,0,10,10,5,8,0,4,8,42,3,6,13,47,31,73,39,7,3,5,0,33,267,0,0,0,0,0,6,0,0,0,0,0,265,270,10,7,41,121,142,591,934,491,392,412,225,657,4039,0,6,5,16,38,106,94,18,24,8,0,34,353,4,5,29,62,72,61,24,7,0,0,0,31,297,0,0,0,11,7,5,4,0,0,0,0,3,34,0,0,16,17,3,5,0,0,0,0,0,6,44,6,4,98,148,73,99,21,10,6,0,0,55,517,0,0,0,3,0,0,4,0,0,0,0,13,17,17,10,148,252,190,280,146,30,35,18,3,132,1262,94,31,324,1018,680,1572,1805,840,629,702,368,1174,9240,10,4,0,12,16,60,183,172,121,155
10201,700,1360,217,724,195,61,284,3741,4,0,28,76,76,220,206,55,40,37,12,72,827,0,0,4,10,22,64,79,22,36,18,6,34,301,0,0,0,0,3,20,39,38,17,31,16,31,200,15,5,58,155,167,275,292,80,29,34,6,167,1281,0,0,0,0,5,10,16,0,5,3,0,1048,1103,55,27,135,368,507,2263,4902,2537,2271,2161,792,2733,18744,9,9,33,71,183,529,669,161,121,63,9,336,2192,5,15,134,385,356,462,204,33,27,8,0,227,1865,0,0,25,32,31,50,39,15,8,5,0,42,244,11,8,105,158,44,40,16,3,0,0,6,52,442,43,53,424,740,409,625,267,48,37,11,3,318,2991,0,0,3,8,5,6,4,0,0,0,0,97,119,75,84,723,1399,1038,1701,1202,269,188,88,21,1085,7857,288,139,1311,4545,3266,7361,9239,4363,3332,3197,1151,5213,43405,6,0,0,15,5,91,529,715,544,577
10202,878,1174,224,384,99,27,249,3271,4,0,17,106,93,230,165,42,26,18,5,101,808,5,0,0,8,19,64,68,21,20,10,0,54,282,0,0,3,0,4,24,41,35,23,17,9,28,186,22,4,81,244,211,391,275,57,26,24,11,194,1531,0,0,4,6,4,4,9,0,0,3,5,836,874,54,27,134,457,604,2519,4598,2366,1466,1323,376,2273,16195,8,3,22,92,228,568,570,134,91,36,8,281,2046,0,20,154,461,405,439,190,25,20,4,0,186,1909,3,0,18,53,41,71,33,8,8,0,0,41,266,10,10,134,218,68,56,22,4,3,0,0,60,577,43,37,574,1059,609,647,249,58,22,10,8,378,3686,0,0,3,4,9,14,5,3,0,0,0,131,171,72,72,903,1888,1355,1796,1070,232,135,60,12,1071,8663,260,126,1539,5934,3606,7288,8286,3801,2145,1895,552,4592,40025,0,0,0,9,7,71,616,712,477,393
10301,201,319,55,93,36,9,58,830,0,0,0,14,14,55,40,11,8,0,3,14,164,0,0,0,13,0,21,20,3,5,3,5,8,71,0,0,0,0,0,3,11,7,4,13,4,10,53,4,0,16,57,31,61,46,11,4,0,5,34,262,0,0,0,0,0,6,3,0,0,0,0,303,313,12,3,34,121,129,598,1266,703,485,503,167,667,4696,4,6,7,24,55,137,168,32,20,5,3,45,501,0,4,27,120,62,92,43,8,0,0,0,37,395,0,0,8,10,7,11,10,0,6,0,0,15,64,5,0,28,26,17,8,0,0,0,0,0,14,95,16,16,145,187,117,100,49,13,3,0,0,72,718,0,0,0,0,3,0,3,0,0,0,0,23,29,19,19,215,372,261,352,268,51,31,3,3,204,1806,72,35,354,1179,787,1784,2420,1240,780,765,260,1245,10897,5,3,4,9,12,42,220,233,185,187
10302,290,317,47,96,23,9,89,1045,0,3,8,30,29,69,36,7,3,4,0,23,212,0,0,0,12,5,25,30,4,7,0,0,17,102,0,0,0,4,3,16,18,13,8,8,0,19,79,8,3,25,94,70,126,70,9,0,0,0,70,471,0,0,0,0,0,5,0,0,0,0,0,370,389,45,21,82,265,293,1062,1474,615,348,326,109,978,5618,4,3,10,34,68,153,114,18,15,4,0,67,486,0,3,75,109,79,102,33,10,4,0,0,40,459,4,0,7,16,4,10,6,0,0,0,0,10,63,4,4,60,51,14,6,4,0,0,0,0,14,155,18,16,217,277,178,189,42,13,8,6,3,116,1083,0,0,0,0,6,4,0,0,0,0,0,44,60,33,33,380,490,343,468,202,35,27,8,3,287,2311,194,66,728,2225,1290,2897,2709,1061,575,529,204,1933,14410,12,10,7,20,35,106,347,261,144,146
10303,191,284,43,195,42,6,74,913,0,0,8,25,20,62,34,9,11,0,0,30,209,0,0,0,0,8,15,12,4,10,6,0,16,71,0,0,0,0,0,7,13,9,5,6,0,10,53,3,3,24,100,63,126,65,6,6,7,3,65,466,0,0,0,7,0,4,5,0,0,0,0,273,283,12,4,58,182,188,651,1076,492,550,507,141,714,4577,0,3,9,31,45,115,109,11,15,11,4,46,400,4,7,56,100,78,82,24,8,4,6,0,22,394,0,0,3,9,8,14,9,0,0,0,0,7,52,4,0,34,38,12,0,0,0,0,0,0,12,106,9,8,190,226,158,145,52,14,6,0,0,114,924,0,0,3,3,3,0,0,0,0,0,0,28,42,19,26,295,406,304,358,200,31,28,12,6,233,1912,89,41,528,1718,921,1929,2060,878,833,815,222,1444,11481,5,3,3,13,19,46,203,174,101,136
