SA3_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
10102,210,74,227,302,44,42,89,751,814,1562,304,196,495,9,6,15,57,64,119,73,239,312,22,21,44,459,525,985,188,73,259,13,4,16,37,24,61,77,349,424,11,14,19,320,464,784,13019,12931,25944,756,844,1604,2184,2403,4590,441,1472,1909,9701,8398,18103,26103,26046,52153
10103,97,43,111,154,21,11,35,407,380,785,173,112,285,21,8,27,14,21,36,40,113,156,13,13,20,254,277,526,101,44,145,0,3,6,12,11,26,62,208,272,19,11,27,203,274,474,3920,3784,7705,303,277,579,800,861,1662,238,672,912,3631,2874,6507,8897,8471,17367
10104,581,197,606,806,104,67,164,2168,2188,4356,889,603,1500,40,27,65,129,140,276,206,634,846,58,25,79,1329,1427,2758,600,278,877,13,5,21,74,93,163,330,1128,1459,31,32,64,1051,1535,2586,15615,15573,31194,1131,1267,2399,3613,4266,7877,1168,3741,4912,10395,8884,19282,31925,33732,65655
10105,208,105,266,370,53,45,97,773,820,1605,306,189,495,13,9,17,49,49,95,98,273,370,36,32,62,494,545,1043,207,112,319,7,4,15,37,41,73,147,439,582,15,20,37,412,623,1034,7345,7158,14503,546,600,1144,1481,1700,3183,527,1562,2086,5915,4799,10713,15814,15818,31629
10106,182,69,229,295,38,29,67,782,758,1542,326,209,533,15,3,20,57,44,106,64,249,319,22,9,32,486,526,1010,188,90,282,4,0,9,20,18,38,123,418,543,11,26,30,351,554,902,7780,7741,15522,554,508,1064,1282,1546,2828,437,1413,1849,4939,4555,9498,14991,15773,30759
10201,1344,354,1138,1493,197,191,389,3832,4259,8088,1637,1173,2814,49,39,84,271,419,690,417,1299,1712,101,118,220,2467,3049,5516,1169,611,1782,27,19,46,133,316,447,693,2584,3275,101,119,216,2126,3646,5769,34234,34226,68458,2397,2880,5280,6387,9838,16217,2141,7404,9539,25064,22681,47746,70212,77025,147240
10202,1128,383,1179,1566,183,138,324,3273,3877,7147,1471,937,2407,72,39,114,261,356,622,383,1257,1640,89,77,162,2280,2664,4946,931,486,1418,31,22,50,122,263,385,647,2120,2773,71,77,153,1802,2972,4781,29012,29220,58230,2689,3299,5985,6324,9258,15585,2215,7009,9218,25339,22651,47988,65572,71437,137009
10301,259,90,266,358,48,45,89,887,889,1782,372,236,607,11,9,22,43,81,133,95,271,370,20,35,56,549,634,1180,241,145,384,8,3,17,23,40,61,127,512,645,18,44,62,418,742,1156,8939,8708,17641,723,832,1557,1684,2067,3759,532,1657,2190,8207,6656,14866,20084,19929,40011
10302,320,133,411,541,80,42,124,1225,1229,2458,514,394,909,18,13,34,95,67,162,163,488,651,58,37,96,854,997,1854,356,199,555,9,12,16,35,41,76,244,790,1035,35,40,72,677,1076,1757,10259,10212,20471,836,887,1724,2074,2022,4093,863,2574,3439,7917,6598,14519,21948,22296,44247
10303,323,129,341,463,98,53,149,1134,1136,2265,364,227,589,23,12,40,73,71,143,124,367,487,50,30,82,627,710,1341,206,112,327,7,8,22,29,38,70,163,548,715,22,26,50,435,741,1178,8932,8810,17741,776,758,1532,1917,2173,4087,712,1944,2653,7317,5816,13130,19644,19493,39139
10304,268,111,351,466,58,53,114,1047,1135,2189,435,287,726,18,12,35,61,83,143,97,367,466,33,25,56,646,781,1420,277,137,416,6,7,12,39,55,89,210,637,846,27,25,48,557,856,1414,11388,11480,22867,714,867,1583,1911,2543,4451,673,2080,2753,8541,8009,16545,23224,24976,48201
10401,380,119,427,545,91,42,133,1406,1442,2854,589,379,969,17,16,35,98,99,201,127,425,552,53,36,86,882,953,1834,359,209,564,11,4,19,48,53,110,228,773,1002,34,34,67,681,1070,1754,10141,9938,20077,878,932,1804,2528,2807,5331,795,2507,3298,8068,6513,14580,22403,22697,45096
