SA3_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
10102,38,12,0,0,54,34,25,3,3,67,169,98,39,6,316,235,207,76,34,547,361,362,99,26,854,366,401,120,27,919,667,826,284,69,1840,1055,1409,487,136,3082,184,235,100,45,561,18,19,4,3,45,3172,3609,1221,344,8352
10103,0,4,3,0,15,11,17,4,0,36,69,60,32,9,175,78,94,40,14,223,105,146,54,16,317,88,104,40,14,247,148,154,61,19,378,119,155,63,16,343,69,73,21,17,175,7,4,0,0,15,717,815,317,101,1954
10104,67,23,9,9,106,70,65,25,14,177,405,263,115,61,843,365,364,146,42,914,401,471,161,59,1083,293,297,130,49,767,313,393,135,47,887,208,264,101,30,602,217,239,119,54,620,25,10,15,0,51,2412,2438,971,360,6178
10105,24,19,9,11,57,38,16,13,0,66,138,120,54,27,338,178,183,83,44,484,234,221,91,41,587,192,211,88,32,522,251,308,123,43,721,189,239,109,35,576,119,116,72,35,344,11,10,3,4,24,1396,1459,652,286,3798
10106,31,16,6,11,56,36,21,18,7,85,151,115,65,25,349,180,179,84,47,490,208,198,114,49,564,175,185,77,27,465,286,332,125,39,780,285,434,211,49,985,128,142,105,49,425,13,12,4,4,41,1515,1645,826,318,4306
10201,127,60,20,7,211,167,83,27,18,293,751,447,168,63,1423,888,784,295,93,2065,1075,1150,432,99,2761,901,1206,409,119,2632,1411,1969,662,172,4213,1409,2356,858,242,4874,451,510,269,100,1331,50,51,21,5,126,7357,8686,3195,920,20157
10202,108,79,16,8,213,168,88,32,30,310,768,582,221,95,1667,997,934,364,136,2433,1074,1255,469,153,2950,915,1163,397,140,2623,1104,1490,569,162,3325,749,1146,477,156,2522,442,501,261,126,1333,60,60,15,10,147,6498,7355,2855,1034,17746
10301,22,20,9,8,55,26,30,11,3,78,194,122,60,35,414,211,203,99,54,563,254,287,134,47,723,240,284,126,44,691,345,442,177,64,1021,264,390,158,52,858,164,168,94,36,463,14,10,6,4,33,1758,1977,876,351,4963
10302,42,26,16,3,95,54,49,19,13,133,262,180,109,53,604,277,263,134,53,722,281,290,160,69,795,204,246,121,51,626,252,301,152,55,764,193,223,131,49,591,197,188,138,72,593,23,13,11,5,52,1827,1815,1024,427,5094
10303,44,25,13,0,84,51,23,11,5,97,190,132,57,35,415,213,214,87,31,551,264,285,128,42,724,221,241,108,37,606,276,343,159,40,814,223,328,188,52,788,175,180,85,43,481,21,17,4,0,46,1724,1810,852,306,4685
10304,33,24,13,8,71,40,33,14,14,99,221,156,92,48,516,281,260,120,45,705,348,386,194,63,994,332,378,189,61,955,404,547,282,114,1339,382,594,312,89,1369,198,216,160,53,625,11,19,9,4,52,2291,2636,1383,498,6799
10401,41,30,13,7,98,76,34,21,14,142,294,203,97,52,645,282,285,116,50,734,279,293,125,51,749,196,238,78,36,547,216,226,99,39,580,88,173,72,28,361,197,185,81,42,508,23,15,7,0,45,1750,1696,718,325,4489
10402,69,48,25,13,155,98,82,32,19,231,478,371,166,78,1096,507,482,176,75,1242,531,627,224,74,1458,422,507,173,73,1177,464,618,262,67,1417,336,537,202,61,1136,291,277,144,51,769,26,23,8,3,58,3297,3635,1440,537,8909
10501,21,4,0,0,26,30,20,14,5,65,71,56,37,31,191,72,57,31,22,179,76,92,55,23,244,70,71,30,5,179,89,105,43,19,257,90,81,43,15,228,80,91,60,41,281,13,14,3,9,40,628,599,340,171,1735
