SA3_CODE_2021,C21_SH_Tot_NPGH_6_mor,C21_SH_Tot_Tot,C21_SDRTHT_0b_s_a_b_NPGH_2,C21_SDRTHT_0b_s_a_b_NPGH_3,C21_SDRTHT_0b_s_a_b_NPGH_4,C21_SDRTHT_0b_s_a_b_NPGH_5,C21_SDRTHT_0b_s_a_b_NPGH_6mor,C21_SDRTHT_0b_s_a_b_Tot,C21_SDRTHT_1b_NPGH_2,C21_SDRTHT_1b_NPGH_3,C21_SDRTHT_1b_NPGH_4,C21_SDRTHT_1b_NPGH_5,C21_SDRTHT_1b_NPGH_6_mor,C21_SDRTHT_1b_Tot,C21_SDRTHT_2b_NPGH_2,C21_SDRTHT_2b_NPGH_3,C21_SDRTHT_2b_NPGH_4,C21_SDRTHT_2b_NPGH_5,C21_SDRTHT_2b_NPGH_6_mor,C21_SDRTHT_2b_Tot,C21_SDRTHT_3b_NPGH_2,C21_SDRTHT_3b_NPGH_3,C21_SDRTHT_3b_NPGH_4,C21_SDRTHT_3b_NPGH_5,C21_SDRTHT_3b_NPGH_6_mor,C21_SDRTHT_3b_Tot,C21_SDRTHT_4mb_NPGH_2,C21_SDRTHT_4mb_NPGH_3,C21_SDRTHT_4mb_NPGH_4,C21_SDRTHT_4mb_NPGH_5,C21_SDRTHT_4mb_NPGH_6_mor,C21_SDRTHT_4mb_Tot,C21_SDRTHT_NB_NS_NPGH_2,C21_SDRTHT_NB_NS_NPGH_3,C21_SDRTHT_NB_NS_NPGH_4,C21_SDRTHT_NB_NS_NPGH_5,C21_SDRTHT_NB_NS_NPGH_6_mor,C21_SDRTHT_NB_NS_Tot,C21_SDRTHT_Tot_NPGH_2,C21_SDRTHT_Tot_NPGH_3,C21_SDRTHT_Tot_NPGH_4,C21_SDRTHT_Tot_NPGH_5,C21_SDRTHT_Tot_NPGH_6_mor,C21_SDRTHT_Tot_Tot,C21_F_a_0b_s_a_b_NPGH_2,C21_F_a_0b_s_a_b_NPGH_3,C21_F_a_0b_s_a_b_NPGH_4,C21_F_a_0b_s_a_b_NPGH_5,C21_F_a_0b_s_a_b_NPGH_6_mor,C21_F_a_0b_s_a_b_Tot,C21_F_a_1b_NPGH_2,C21_F_a_1b_NPGH_3,C21_F_a_1b_NPGH_4,C21_F_a_1b_NPGH_5,C21_F_a_1b_NPGH_6_mor,C21_F_a_1b_Tot,C21_F_a_2b_NPGH_2,C21_F_a_2b_NPGH_3,C21_F_a_2b_NPGH_4,C21_F_a_2b_NPGH_5,C21_F_a_2b_NPGH_6_mor,C21_F_a_2b_Tot,C21_F_a_3b_NPGH_2,C21_F_a_3b_NPGH_3,C21_F_a_3b_NPGH_4,C21_F_a_3b_NPGH_5,C21_F_a_3b_NPGH_6_mor,C21_F_a_3b_Tot,C21_F_a_4mb_NPGH_2,C21_F_a_4mb_NPGH_3,C21_F_a_4mb_NPGH_4,C21_F_a_4mb_NPGH_5,C21_F_a_4mb_NPGH_6_mor,C21_F_a_4mb_Tot,C21_F_a_NB_NS_NPGH_2,C21_F_a_NB_NS_NPGH_3,C21_F_a_NB_NS_NPGH_4,C21_F_a_NB_NS_NPGH_5,C21_F_a_NB_NS_NPGH_6_mor,C21_F_a_NB_NS_Tot,C21_F_a_Tot_NPGH_2,C21_F_a_Tot_NPGH_3,C21_F_a_Tot_NPGH_4,C21_F_a_Tot_NPGH_5,C21_F_a_Tot_NPGH_6_mor,C21_F_a_Tot_Tot,C21_OD_0b_s_a_b_NPGH_2,C21_OD_0b_s_a_b_NPGH_3,C21_OD_0b_s_a_b_NPGH_4,C21_OD_0b_s_a_b_NPGH_5,C21_OD_0b_s_a_b_NPGH_6_mor,C21_OD_0b_s_a_b_Tot,C21_OD_1b_NPGH_2,C21_OD_1b_NPGH_3,C21_OD_1b_NPGH_4,C21_OD_1b_NPGH_5,C21_OD_1b_NPGH_6_mor,C21_OD_1b_Tot,C21_OD_2b_NPGH_2,C21_OD_2b_NPGH_3,C21_OD_2b_NPGH_4,C21_OD_2b_NPGH_5,C21_OD_2b_NPGH_6_mor,C21_OD_2b_Tot,C21_OD_3b_NPGH_2,C21_OD_3b_NPGH_3,C21_OD_3b_NPGH_4,C21_OD_3b_NPGH_5,C21_OD_3b_NPGH_6_mor,C21_OD_3b_Tot,C21_OD_4mb_NPGH_2,C21_OD_4mb_NPGH_3,C21_OD_4mb_NPGH_4,C21_OD_4mb_NPGH_5,C21_OD_4mb_NPGH_6_mor,C21_OD_4mb_Tot,C21_OD_NB_NS_NPGH_2,C21_OD_NB_NS_NPGH_3,C21_OD_NB_NS_NPGH_4,C21_OD_NB_NS_NPGH_5,C21_OD_NB_NS_NPGH_6_mor,C21_OD_NB_NS_Tot,C21_OD_Tot_NPGH_2,C21_OD_Tot_NPGH_3,C21_OD_Tot_NPGH_4,C21_OD_Tot_NPGH_5,C21_OD_Tot_NPGH_6_mor,C21_OD_Tot_Tot,C21_DS_NS_NPGH_2,C21_DS_NS_NPGH_3,C21_DS_NS_NPGH_4,C21_DS_NS_NPGH_5,C21_DS_NS_NPGH_6_mor,C21_DS_NS_Tot,C21_Tot_NPGH_2,C21_Tot_NPGH_3,C21_Tot_NPGH_4,C21_Tot_NPGH_5,C21_Tot_NPGH_6_mor,C21_Tot_Tot
10102,5,279,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,60,28,3,9,0,0,37,0,3,0,0,0,3,0,0,0,0,0,0,89,6,9,0,0,104,4,0,0,0,0,4,13,0,0,0,0,13,80,12,6,0,0,98,6,0,0,0,0,5,0,0,0,0,0,6,4,0,0,0,0,4,102,12,6,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,67,29,3,5,512
10103,13,199,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,13,9,9,5,0,0,30,6,0,0,0,0,6,0,0,0,0,0,0,23,13,12,0,0,47,0,0,0,0,0,0,5,0,0,0,0,5,23,9,7,0,0,42,20,9,4,0,0,35,4,0,0,0,0,7,0,0,0,0,0,0,53,23,8,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,7,226,58,42,3,19,350
10104,0,652,0,0,0,0,0,0,3,0,0,0,0,3,31,0,0,0,0,31,23,0,0,0,0,32,4,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0,0,64,0,0,0,0,0,0,4,0,0,0,0,4,41,0,0,0,0,46,10,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,3,57,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,22,4,0,0,0,0,3,706,76,18,4,0,803
10105,6,297,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,16,5,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,32,8,3,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,288,37,10,7,5,346
10106,0,239,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,25,5,0,0,273
10201,6,1290,3,0,0,0,0,3,5,0,0,0,0,5,95,3,0,0,0,96,127,24,0,0,0,155,9,3,6,0,0,16,8,0,0,0,0,8,249,31,7,0,0,279,0,0,0,0,0,0,5,0,0,0,0,5,200,15,0,0,0,216,70,42,4,0,0,114,3,4,0,0,0,6,3,4,0,0,0,11,286,58,7,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,7,4,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,21,4,0,0,0,27,3,0,0,0,0,8,1589,266,80,15,6,1956
10202,11,1521,0,0,0,0,0,0,4,0,0,0,0,4,72,4,0,0,0,82,78,7,0,0,0,89,8,6,0,0,0,12,7,0,0,0,0,7,172,20,0,0,0,193,0,0,0,0,0,0,6,0,0,0,0,6,82,3,0,0,0,85,22,16,0,0,0,37,9,0,0,0,0,9,9,0,0,0,0,9,128,19,0,0,0,144,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,9,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,20,0,0,0,0,0,0,1592,200,64,24,11,1887
10301,0,457,0,0,0,0,0,0,4,0,0,0,0,8,33,3,0,0,0,34,19,16,0,0,0,34,0,0,0,0,0,4,0,0,0,0,0,0,59,21,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,26,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,30,7,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,100,25,11,0,584
10302,0,431,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,20,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,0,415,48,8,3,0,474
10303,0,423,0,0,0,0,0,0,6,0,0,0,0,6,13,3,0,0,0,17,15,10,0,0,0,28,0,0,0,0,0,3,6,0,0,0,0,6,36,14,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,419,57,13,0,0,490
