SA3_CODE_2021,C11_Chr_Tot_0_14,C11_Chr_Tot_15_24,C11_Chr_Tot_25_34,C11_Chr_Tot_35_44,C11_Chr_Tot_45_54,C11_Chr_Tot_55_64,C11_Chr_Tot_65_74,C11_Chr_Tot_75_84,C11_Chr_Tot_85ov,C11_Chr_Tot_Tot,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_Au_Ab_Tr_R_0_14,C11_OR_Au_Ab_Tr_R_15_24,C11_OR_Au_Ab_Tr_R_25_34,C11_OR_Au_Ab_Tr_R_35_44,C11_OR_Au_Ab_Tr_R_45_54,C11_OR_Au_Ab_Tr_R_55_64,C11_OR_Au_Ab_Tr_R_65_74,C11_OR_Au_Ab_Tr_R_75_84,C11_OR_A_Ab_Tr_Re_85ov,C11_OR_Au_Ab_Tr_Re_Tot,C11_OR_Sikhism_0_14,C11_OR_Sikhism_15_24,C11_OR_Sikhism_25_34,C11_OR_Sikhism_35_44,C11_OR_Sikhism_45_54,C11_OR_Sikhism_55_64,C11_OR_Sikhism_65_74,C11_OR_Sikhism_75_84,C11_OR_Sikhism_85ov,C11_OR_Sikhism_Tot,C11_OR_OR_0_14,C11_OR_OR_15_24,C11_OR_OR_25_34,C11_OR_OR_35_44,C11_OR_OR_45_54,C11_OR_OR_55_64,C11_OR_OR_65_74,C11_OR_OR_75_84,C11_OR_OR_85ov,C11_OR_OR_Tot,C11_OR_Tot_0_14,C11_OR_Tot_15_24,C11_OR_Tot_25_34,C11_OR_Tot_35_44,C11_OR_Tot_45_54,C11_OR_Tot_55_64,C11_OR_Tot_65_74,C11_OR_Tot_75_84,C11_OR_Tot_85ov,C11_OR_Tot_Tot,C11_SBOSB_No_RA_0_14,C11_SBOSB_No_RA_15_24,C11_SBOSB_No_RA_25_34,C11_SBOSB_No_RA_35_44,C11_SBOSB_No_RA_45_54,C11_SBOSB_No_RA_55_64,C11_SBOSB_No_RA_65_74,C11_SBOSB_No_RA_75_84,C11_SBOSB_No_RA_85ov,C11_SBOSB_No_RA_Tot,C11_Rel_aff_ns_0_14,C11_Rel_aff_ns_15_24,C11_Rel_aff_ns_25_34,C11_Rel_aff_ns_35_44,C11_Rel_aff_ns_45_54,C11_Rel_aff_ns_55_64,C11_Rel_aff_ns_65_74,C11_Rel_aff_ns_75_84,C11_Rel_aff_ns_85ov,C11_Rel_aff_NS_Tot,C11_Tot_0_14,C11_Tot_15_24,C11_Tot_25_34,C11_Tot_35_44,C11_Tot_45_54,C11_Tot_55_64,C11_Tot_65_74,C11_Tot_75_84,C11_Tot_85ov,C11_Tot_Tot,C16_Buddhism_0_14,C16_Buddhism_15_24,C16_Buddhism_25_34,C16_Buddhism_35_44,C16_Buddhism_45_54,C16_Buddhism_55_64,C16_Buddhism_65_74,C16_Buddhism_75_84,C16_Buddhism_85ov,C16_Buddhism_Tot,C16_Christ_Angl_0_14,C16_Christ_Angl_15_24,C16_Christ_Angl_25_34,C16_Christ_Angl_35_44,C16_Christ_Angl_45_54,C16_Christ_Angl_55_64,C16_Christ_Angl_65_74,C16_Christ_Angl_75_84,C16_Christ_Angl_85ov,C16_Christ_Angl_Tot,C16_C_Assyr_Apo_0_14,C16_C_Assyr_Apo_15_24,C16_C_Assyr_Apo_25_34,C16_C_Assyr_Apo_35_44,C16_C_Assyr_Apo_45_54,C16_C_Assyr_Apo_55_64,C16_C_Assyr_Apo_65_74,C16_C_Assyr_Apo_75_84,C16_C_Assyr_Apo_85ov,C16_C_Assyr_Apo_Tot,C16_C_Baptist_0_14,C16_C_Baptist_15_24,C16_C_Baptist_25_34,C16_C_Baptist_35_44,C16_C_Baptist_45_54,C16_C_Baptist_55_64,C16_C_Baptist_65_74,C16_C_Baptist_75_84,C16_C_Baptist_85ov,C16_C_Baptist_Tot,C16_Christ_Breth_0_14,C16_Christ_Breth_15_24,C16_Christ_Breth_25_34,C16_Christ_Breth_35_44,C16_Christ_Breth_45_54,C16_Christ_Breth_55_64,C16_Christ_Breth_65_74,C16_Christ_Breth_75_84,C16_Christ_Breth_85ov,C16_Christ_Breth_Tot,C16_Ch_Catholic_0_14,C16_Ch_Catholic_15_24,C16_Ch_Catholic_25_34,C16_Ch_Catholic_35_44,C16_Ch_Catholic_45_54,C16_Ch_Catholic_55_64,C16_Ch_Catholic_65_74,C16_Ch_Catholic_75_84,C16_Ch_Catholic_85ov,C16_C_Catholic_Tot,C16_C_Chur_Christ_0_14,C16_C_Chur_Christ_15_24,C16_C_Chur_Christ_25_34,C16_C_Chur_Christ_35_44,C16_C_Chur_Christ_45_54,C16_C_Chur_Christ_55_64,C16_C_Chur_Christ_65_74,C16_C_Chur_Christ_75_84,C16_C_Chur_Christ_85ov,C16_C_Chur_Christ_Tot,C16_C_East_Ortho_0_14,C16_C_East_Ortho_15_24,C16_C_East_Ortho_25_34,C16_C_East_Ortho_35_44,C16_C_East_Ortho_45_54,C16_C_East_Ortho_55_64,C16_C_East_Ortho_65_74,C16_C_East_Ortho_75_84,C16_C_East_Ortho_85ov,C16_C_East_Ortho_Tot,C16_C_Jeh_Wit_0_14,C16_C_Jeh_Wit_15_24,C16_C_Jeh_Wit_25_34,C16_C_Jeh_Wit_35_44,C16_C_Jeh_Wit_45_54,C16_C_Jeh_Wit_55_64,C16_C_Jeh_Wit_65_74,C16_C_Jeh_Wit_75_84,C16_C_Jeh_Wit_85ov,C16_C_Jeh_Wit_Tot
10102,7028,4326,3984,5617,5809,4454,2547,1294,452,35506,102,23,149,63,25,14,3,0,0,377,129,57,145,76,33,16,7,0,0,456,9,9,3,8,11,5,8,0,0,51,4,4,3,0,5,0,0,0,0,12,35,33,89,28,3,0,0,0,0,191,23,31,49,45,56,30,6,0,0,236,61,59,140,72,59,39,5,0,0,437,2658,1612,1802,1960,1652,1196,457,136,43,11524,968,641,644,685,744,546,249,125,55,4654,11024,6764,6952,8605,8424,6346,3289,1561,550,53512,53,51,73,100,91,79,30,12,0,482,1414,966,868,1214,1813,1496,977,463,204,9429,0,0,0,0,0,0,0,0,0,0,80,46,57,53,99,76,30,10,0,467,37,30,30,20,17,6,7,3,0,160,3295,2056,1828,2035,2466,1740,1184,567,220,15390,0,3,0,0,4,4,5,0,0,27,257,138,163,221,215,178,142,106,37,1460,23,17,8,19,29,20,5,3,0,123
10103,2165,1233,1055,1577,2041,1833,1349,794,329,12373,8,4,11,3,9,8,0,0,0,34,7,6,0,8,8,10,3,0,0,36,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,13,19,15,19,0,3,0,80,3,10,13,19,15,19,0,3,0,77,972,612,505,558,566,427,202,79,23,3955,460,309,284,394,329,222,151,85,58,2300,3635,2198,1892,2596,2990,2543,1713,960,409,18933,21,23,32,19,43,30,11,3,0,180,505,316,270,445,619,710,612,327,145,3948,0,0,0,0,0,0,0,0,0,0,84,52,22,52,47,43,20,16,6,336,0,0,0,0,0,0,0,0,0,0,767,509,415,492,726,629,577,322,124,4559,0,0,0,0,0,0,0,0,0,6,21,17,11,19,20,18,18,9,0,136,11,4,8,11,17,12,6,4,0,69
10104,6071,3514,2570,4421,6397,7834,6862,4018,1510,43193,8,12,9,6,20,13,3,0,0,74,12,10,11,19,10,5,0,0,0,67,0,4,0,0,7,10,8,8,0,43,12,6,3,4,6,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,25,24,38,49,62,68,21,8,0,302,35,29,43,54,64,66,21,8,0,330,3973,2028,1535,1937,2489,2694,1405,615,214,16885,1304,673,550,716,896,1076,711,471,202,6594,11508,6351,4767,7272,10036,11841,9050,5125,1931,67878,89,60,66,99,103,153,87,6,4,665,1573,1019,691,1212,1975,3082,3377,1865,865,15662,0,0,0,0,0,0,0,0,0,0,89,48,33,54,86,129,152,90,34,708,0,0,0,0,0,0,0,0,0,4,2048,1176,1010,1361,1935,2503,2279,1268,400,13961,4,0,0,0,0,4,11,4,4,32,38,12,13,33,48,38,67,34,11,296,74,39,43,54,77,83,52,30,15,466
10105,4567,2869,2385,3182,3762,3591,2814,1749,646,25568,11,4,11,9,0,5,0,0,0,51,26,7,11,15,3,3,0,0,4,71,5,0,0,0,5,3,0,0,0,17,0,4,0,4,0,0,0,0,0,6,0,5,4,0,4,0,0,0,0,12,4,12,11,18,11,15,7,0,0,76,6,15,15,21,18,15,7,0,0,93,1117,605,531,577,536,516,251,98,21,4241,503,328,413,429,409,337,262,144,50,2861,6262,3852,3388,4275,4769,4502,3344,1991,720,33104,34,17,43,43,41,28,26,4,0,239,1338,892,808,1021,1317,1497,1365,757,312,9304,0,0,0,0,0,0,0,0,0,0,80,35,44,41,51,40,44,27,10,383,33,36,11,19,16,3,4,9,0,123,1959,1232,1065,1204,1477,1387,1106,623,245,10295,0,0,0,3,0,0,0,0,0,10,32,18,15,19,37,36,18,30,5,212,13,0,5,11,10,5,16,7,5,79
10106,4970,2668,2154,3399,3741,3683,2668,1534,605,25418,10,3,8,10,0,3,0,0,0,29,75,38,40,19,19,14,9,0,0,213,3,0,0,0,4,4,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,12,26,21,18,0,0,0,97,18,6,12,32,21,19,0,0,0,103,1589,694,646,905,745,668,328,88,18,5685,711,311,269,376,352,306,234,157,63,2771,7384,3736,3142,4774,4908,4726,3257,1778,693,34395,22,19,8,26,27,27,16,9,0,152,1277,793,637,1007,1273,1368,1307,704,318,8699,0,0,0,0,0,0,0,0,0,0,104,44,42,43,53,38,37,14,7,390,30,21,13,16,12,10,7,3,0,108,2379,1344,962,1290,1550,1346,1162,613,241,10886,0,0,0,0,0,0,0,0,0,0,27,8,10,29,11,23,22,9,0,136,15,4,3,11,5,15,10,4,0,82
10201,19249,12801,10036,14098,16572,15407,12140,8731,3911,112947,72,40,88,74,70,32,20,11,0,415,129,65,129,77,68,44,21,4,0,547,32,27,26,30,43,44,31,28,15,272,0,4,5,5,5,3,0,0,0,13,15,16,28,9,5,4,0,0,0,74,83,61,79,100,98,67,18,9,4,511,95,73,109,111,106,70,21,10,4,599,8003,4858,4418,4703,4183,3296,1747,999,380,32588,2641,1660,1462,1711,1896,1605,1189,1055,807,14028,30504,19696,16506,21166,23276,20724,15257,10848,5130,163109,249,155,273,360,365,320,167,34,3,1924,4205,2947,2416,3782,5078,5624,5764,3625,1849,35271,0,0,0,3,0,0,0,0,0,6,561,274,256,333,344,440,373,255,110,2930,53,32,34,26,16,13,12,5,11,197,7614,4607,3690,4624,5634,5351,4556,2621,1152,39836,55,25,37,35,39,53,37,26,12,326,196,106,101,168,203,153,137,106,33,1196,118,42,68,91,90,82,78,32,19,621
10202,19587,12260,10237,13983,14920,14046,12172,8185,3171,108554,78,34,78,44,37,20,14,9,0,304,112,57,75,74,43,41,18,4,3,432,7,10,10,6,16,17,17,3,11,99,0,7,0,0,4,0,0,0,0,17,3,4,18,3,0,7,0,0,0,31,44,57,67,90,90,54,26,5,0,437,48,71,81,92,93,62,26,8,0,487,7794,4478,3902,3430,2903,2145,1190,674,262,26773,2414,1539,1285,1355,1371,1206,1087,773,383,11409,30192,18553,15834,19188,19576,17677,14550,9664,3830,149079,177,133,186,231,248,193,65,12,0,1251,5082,3719,3170,4387,5462,5754,5695,3690,1584,38544,4,3,0,4,0,0,0,0,0,16,510,283,221,302,325,385,380,198,84,2689,10,5,8,7,4,4,4,0,3,43,8318,5172,4060,4775,5589,5122,4452,2672,994,41163,13,9,4,10,15,23,20,16,7,111,163,73,74,130,135,130,127,88,27,951,111,101,88,80,109,110,68,51,15,727
10301,6370,4429,3181,4016,4351,4106,2839,1731,640,31674,26,8,16,16,7,7,0,0,0,81,35,23,20,26,11,7,3,3,0,130,0,5,0,0,3,4,0,0,0,13,3,0,5,4,0,0,0,0,0,15,0,0,4,0,0,0,0,0,0,11,20,26,26,24,33,11,6,0,0,144,22,26,34,27,27,20,11,0,0,170,1795,1531,978,858,779,631,298,112,27,7012,738,784,660,575,488,434,296,158,53,4184,9024,6846,4941,5578,5717,5241,3465,2011,729,43554,51,38,51,57,61,47,17,5,0,330,1310,944,811,1066,1240,1319,1217,655,309,8870,0,0,0,0,0,0,0,0,0,0,96,74,42,70,86,101,59,30,7,566,45,26,30,20,14,13,11,4,0,170,3392,2121,1529,1562,1938,1711,1293,706,263,14528,16,5,0,10,5,7,5,0,0,45,34,17,11,33,29,21,29,12,4,179,21,4,23,21,17,20,17,9,0,132
10302,8594,4621,3958,5165,6210,6264,5032,3325,1284,44441,17,3,10,12,10,4,0,0,0,54,23,11,10,12,7,4,0,0,0,64,0,0,0,0,0,5,0,0,0,14,3,0,4,0,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,9,12,16,26,18,13,8,0,0,101,21,11,19,26,24,19,4,0,0,116,1745,838,779,656,689,542,278,141,46,5714,988,532,418,468,459,533,425,288,113,4223,11404,6039,5225,6371,7426,7380,5749,3762,1445,54794,22,20,26,37,38,33,8,0,4,202,2171,1285,1130,1423,1953,2199,1981,1383,585,14108,0,0,0,0,0,0,0,3,0,3,211,60,106,97,106,104,93,33,16,834,113,59,57,65,27,36,13,6,9,385,3365,1976,1544,1632,2015,2060,1713,1053,408,15769,0,0,0,0,0,0,3,0,0,8,20,9,13,17,17,10,12,7,0,100,32,18,29,14,20,42,29,10,14,204
10303,5668,3370,2832,4078,4813,4691,3809,2109,750,32122,6,3,16,9,8,4,4,0,0,47,21,9,15,13,7,3,3,0,0,67,0,6,0,3,0,3,3,0,0,16,4,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,0,0,0,15,17,18,19,25,28,23,14,0,0,143,22,15,27,37,31,27,14,0,0,167,1924,1103,846,911,875,736,449,154,34,7029,893,528,490,543,560,508,359,235,92,4208,8581,5041,4241,5631,6345,6025,4659,2512,884,43918,46,20,41,43,51,54,23,10,4,284,1596,945,894,1261,1715,1818,1800,994,401,11417,0,0,0,0,0,0,0,0,0,0,95,48,66,61,82,73,68,43,13,552,42,26,25,19,9,8,0,5,3,146,2436,1306,1235,1272,1578,1459,1257,693,212,11438,0,0,0,0,0,0,0,0,0,10,8,8,13,29,25,17,27,8,7,135,36,19,24,23,29,36,32,16,8,212
