SA3_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
10102,37,38,38,2060,2080,2167,833,930,1155,290,310,355,2070,2296,2791,0.8,0.8,0.8,1688,1878,2290,2.6,2.6,2.6
10103,41,44,43,1300,1300,1408,556,669,825,195,240,300,1252,1539,2067,0.8,0.8,0.8,966,1176,1562,2.3,2.3,2.3
10104,49,52,53,1335,1387,1517,437,524,631,220,260,320,972,1211,1466,0.8,0.7,0.7,813,961,1183,2.3,2.2,2.2
10105,42,43,43,1517,1517,1694,510,618,744,185,260,310,1263,1491,1915,0.8,0.8,0.7,968,1178,1449,2.4,2.4,2.4
10106,41,43,44,1560,1560,1699,551,662,806,190,240,270,1354,1637,2077,0.8,0.8,0.7,1068,1288,1596,2.5,2.5,2.5
10201,42,43,44,1950,1900,2150,534,632,762,285,360,400,1396,1691,2103,0.8,0.8,0.8,1090,1330,1615,2.5,2.5,2.5
10202,40,41,41,1733,1733,1900,469,568,692,265,340,385,1169,1448,1806,0.8,0.8,0.8,932,1190,1422,2.5,2.5,2.5
10301,37,38,39,1612,1638,1733,542,642,793,220,275,315,1414,1616,2009,0.8,0.8,0.7,1122,1301,1568,2.5,2.5,2.5
10302,42,44,44,1100,1108,1200,437,543,663,150,185,220,1025,1305,1605,0.8,0.7,0.7,824,1025,1217,2.4,2.4,2.3
10303,42,44,44,1497,1517,1600,446,529,667,190,250,300,1182,1375,1819,0.8,0.8,0.7,903,1054,1332,2.4,2.4,2.3
10304,37,38,38,1600,1603,1700,573,663,831,220,260,315,1450,1670,2116,0.8,0.8,0.7,1159,1314,1665,2.5,2.5,2.5
10401,46,49,49,1300,1300,1387,397,478,579,220,260,310,925,1133,1399,0.8,0.8,0.8,769,912,1126,2.4,2.3,2.3
10402,43,44,45,1517,1560,1733,460,557,676,250,305,370,1065,1325,1651,0.8,0.8,0.8,880,1086,1336,2.4,2.4,2.4
10501,39,40,40,987,1000,1000,461,557,707,130,155,180,1111,1345,1717,0.8,0.8,0.8,876,1040,1289,2.4,2.4,2.3
10502,43,44,44,932,932,867,417,524,640,150,180,205,987,1260,1583,0.8,0.8,0.7,791,965,1166,2.3,2.2,2.2
10503,39,40,38,1300,1365,1450,506,617,779,170,230,280,1163,1429,1845,0.8,0.8,0.8,932,1176,1463,2.5,2.5,2.5
10601,37,38,38,1700,1625,1733,511,578,727,240,285,340,1417,1543,1941,0.8,0.8,0.8,1181,1284,1604,2.6,2.6,2.6
10602,36,36,36,1742,1733,1862,569,652,812,265,320,375,1582,1690,2112,0.8,0.8,0.8,1315,1436,1792,2.7,2.7,2.7
