SA3_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
10102,25,13,0,8,46,25,16,9,0,46,34,0,41,122,5,5,5,0,16,26,0,19,59,6390,8269,2273,224,17164,5927,512,1270,24870
10103,18,11,0,3,34,8,7,3,0,24,29,0,66,129,14,10,4,0,25,28,7,107,171,2377,1944,686,49,5049,2337,350,1341,9085
10104,23,12,3,12,53,158,28,31,0,224,333,22,376,953,40,16,7,0,63,60,3,40,166,11440,6124,3059,215,20841,9654,803,2942,34239
10105,24,22,4,3,52,18,9,9,6,38,52,5,46,137,3,5,3,0,14,24,0,7,41,4326,3768,1599,123,9814,4379,346,1076,15613
10106,18,14,0,11,34,16,9,8,0,34,40,0,36,109,15,14,0,0,37,38,0,14,88,4275,4258,1368,113,10017,3605,273,1013,14912
10201,39,37,3,5,82,99,34,64,0,207,357,27,103,695,34,20,19,0,73,100,8,15,195,18988,19944,8147,576,47656,18975,1956,3311,71898
10202,40,22,7,13,77,86,19,39,4,145,219,20,118,505,20,19,7,0,47,48,0,18,120,16691,17535,9475,651,44351,16890,1887,3150,66274
10301,14,5,0,0,23,15,12,0,0,25,21,0,50,103,12,7,7,0,24,25,0,13,62,5064,4920,2246,179,12400,4989,584,1190,19166
10302,28,22,4,14,72,22,16,10,0,54,86,8,160,307,25,34,3,0,68,51,0,43,161,6263,5054,2353,223,13897,6665,474,2132,23167
10303,41,31,6,15,84,35,19,6,0,60,115,4,98,280,15,10,6,0,31,27,0,12,70,5389,4651,2059,174,12268,5735,490,1554,20045
10304,145,56,6,27,233,69,65,18,7,159,82,6,59,304,12,19,3,0,41,19,9,7,77,6264,6774,2532,224,15791,6155,601,1450,23994
10401,105,42,3,21,172,165,53,20,12,240,281,11,439,976,20,12,11,0,42,43,4,45,137,6897,4447,2502,233,14084,5986,685,1899,22655
10402,18,14,0,3,31,167,37,34,6,240,357,21,532,1156,34,21,14,0,71,66,4,60,207,10523,8788,4492,312,24117,9761,1261,2654,37796
10501,14,7,0,10,35,67,24,18,0,111,153,14,305,589,36,29,17,0,87,85,4,85,262,1969,1715,938,114,4733,2514,206,1931,9382
10502,0,0,0,0,5,4,0,4,0,5,14,0,133,153,23,30,4,0,54,68,5,63,188,2097,1566,1148,102,4908,2993,179,1034,9114
10503,42,25,0,15,85,37,18,9,0,72,81,3,178,335,20,24,11,0,60,48,7,62,180,7290,7110,3284,302,17989,7376,806,2857,29023
10601,17,15,0,5,44,38,8,16,0,66,117,10,78,272,23,15,8,0,48,31,4,15,97,9562,10776,4893,344,25577,8267,802,1861,36513
10602,19,27,0,4,49,30,9,9,3,56,153,7,16,227,3,14,3,0,27,17,0,3,51,8518,10725,4156,328,23721,6981,773,974,32449
