SA3_CODE_2021,C21_450_549_1PF_CU15_DS,C21_450_549_1PF_CU15_NDS,C21_450_549_1PFnoCU15_DS,C21_450_549_1PF_NDCO,C21_450_549_Tot,C21_550_649_1PF_CU15_DS,C21_550_649_1PF_CU15_NDS,C21_550_649_1PFnoCU15_DS,C21_550_649_1PF_NDCO,C21_550_649_Tot,C21_650_749_1PF_CU15_DS,C21_650_749_1PF_CU15_NDS,C21_650_749_1PFnoCU15_DS,C21_650_749_1PF_NDCO,C21_650_749_Tot,C21_750_849_1PF_CU15_DS,C21_750_849_1PF_CU15_NDS,C21_750_849_1PFnoCU15_DS,C21_750_849_1PF_NDCO,C21_750_849_Tot,C21_850_949_1PF_CU15_DS,C21_850_949_1PF_CU15_NDS,C21_850_949_1PFnoCU15_DS,C21_850_949_1PF_NDCO,C21_850_949_Tot,C21_950over_1PF_CU15_DS,C21_950over_1PF_CU15_NDS,C21_950over_1PFnoCU15_DS,C21_950over_1PF_NDCO,C21_950over_Tot,C21_Rns_1PF_CU15_DS,C21_Rns_1PF_CU15_NDS,C21_Rns_1PFnoCU15_DS,C21_Rns_1PF_NDCO,C21_Rns_Tot,C21_Tot_1PF_CU15_DS,C21_Tot_1PF_CU15_NDS,C21_Tot_1PFnoCU15_DS,C21_Tot_1_pa_f_NDCO,C21_Tot_Tot
10102,18,115,28,40,200,7,46,12,13,83,3,22,4,8,43,0,11,0,0,16,0,0,0,0,0,0,0,0,0,0,0,16,3,3,28,69,562,90,219,939
10103,3,16,9,7,26,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,8,0,4,10,22,158,26,56,262
10104,17,75,16,26,131,8,11,0,4,25,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,24,4,16,53,131,728,115,346,1324
10105,4,34,4,6,50,0,4,0,5,14,0,3,0,0,3,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,19,3,4,27,58,464,69,184,774
10106,0,16,3,4,21,0,6,0,0,7,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,5,18,47,316,49,123,530
10201,106,488,110,249,950,65,204,46,97,410,28,82,19,22,153,15,23,9,11,57,13,10,3,0,33,3,17,8,4,24,7,35,4,38,84,413,1859,450,1104,3822
10202,124,632,113,257,1126,40,170,39,64,316,9,59,9,20,92,3,16,0,4,25,0,9,0,3,11,0,0,0,0,0,16,77,6,38,138,394,2652,508,1311,4866
10301,17,61,12,20,108,3,6,0,4,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,25,5,8,38,122,636,113,253,1116
10302,4,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,29,3,12,46,94,655,76,226,1056
10303,10,46,10,12,74,0,3,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,4,18,41,84,570,68,221,951
10304,26,87,10,26,146,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,3,10,41,120,786,92,264,1258
10401,10,52,10,24,95,0,10,0,9,21,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,5,36,101,685,99,272,1162
10402,60,253,55,98,469,20,87,17,30,150,4,21,0,5,38,3,11,4,3,14,0,0,0,0,0,0,0,0,0,3,0,38,0,26,78,206,1251,228,619,2306
10501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,27,42,338,24,117,518
10502,0,3,0,0,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,18,33,302,31,100,470
10503,11,40,9,12,65,0,5,0,5,9,0,4,0,0,3,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,9,41,8,8,67,143,1060,138,369,1707
10601,30,130,19,39,215,4,19,4,5,32,0,6,0,0,9,0,0,0,3,3,0,0,0,0,3,3,0,0,0,5,3,39,3,18,62,229,1415,163,538,2343
10602,71,262,48,62,452,3,32,7,16,60,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,7,20,82,230,1292,222,495,2241
10603,32,146,37,64,287,14,37,4,18,73,3,9,3,10,29,0,0,0,0,3,0,4,0,0,4,0,0,0,0,5,4,34,3,10,54,175,930,156,435,1699
10604,0,16,0,4,23,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,5,3,27,57,413,49,153,674
10701,52,213,57,87,410,19,74,19,25,134,4,13,0,0,20,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,32,4,23,64,193,1046,208,554,1996
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,69,341,82,166,654,37,140,27,43,250,5,25,10,9,50,0,11,0,0,12,0,0,0,0,4,0,4,0,0,6,3,33,7,28,66,219,1125,236,597,2169
10704,54,231,93,168,543,42,123,28,57,251,21,47,12,17,98,9,25,3,7,37,5,8,0,9,18,4,8,0,3,20,5,26,14,32,75,224,1134,332,796,2489
10801,8,61,15,31,109,5,10,4,0,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,5,8,67,365,62,198,688
10802,7,34,6,13,64,0,6,0,5,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,0,22,50,128,687,99,327,1242
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10804,48,221,43,83,397,17,50,10,25,108,9,18,4,4,29,0,7,0,0,10,0,0,0,0,0,0,0,0,0,4,3,22,5,20,47,195,1036,218,502,1946
