LGA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
LGA10050,3048,5291,2340,2328,993,407,14407,532,313,82,27,6,0,953,33,36,24,6,6,0,104,567,349,100,30,10,0,1057,1824,788,204,78,17,6,2909,70,21,4,0,0,0,101,10,4,0,5,0,0,19,..,..,..,..,..,..,..,8,4,0,0,0,0,11,1911,818,209,83,17,6,3047,43,14,5,0,0,0,69,0,0,0,0,0,0,0,8,4,8,0,0,0,20,54,20,10,4,4,0,92,5,0,3,4,0,0,12,5582,6484,2661,2448,1024,413,18616,3660,5721,2428,2414,1008,407,15634,1781,766,233,94,24,13,2913,248,118,32,17,0,0,412,2030,885,262,112,28,12,3322,196,66,28,0,0,0,293,38,15,5,5,0,0,56,21,7,0,0,0,0,27,..,..,..,..,..,..,..,0,0,0,0,0,0,3,246,81,37,5,0,0,380,39,15,5,4,0,0,67,0,0,0,0,0,0,0,5,13,4,0
LGA10180,1905,3037,1246,1195,591,266,8238,251,132,37,18,6,0,453,39,14,3,3,5,0,65,295,147,43,21,8,4,513,527,268,81,38,13,3,929,17,13,5,3,0,0,35,0,0,0,0,0,0,0,..,..,..,..,..,..,..,16,3,0,0,0,0,15,563,278,80,47,16,3,985,27,8,4,0,5,0,45,0,0,0,0,0,0,0,10,7,0,0,6,0,20,37,16,5,0,4,0,68,7,0,0,0,0,0,14,2803,3483,1375,1262,621,273,9818,2023,3118,1262,1164,551,255,8371,408,217,73,53,14,3,769,84,35,6,12,0,0,143,491,255,82,59,16,5,911,305,116,31,17,8,4,483,28,3,8,6,0,0,44,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,337,123,37,27,8,7,532,13,6,3,0,0,0,25,0,3,0,0,0,0,0,4,3,5,0
LGA10250,2136,4478,1696,1707,732,333,11094,567,473,138,65,17,9,1271,212,290,127,75,17,8,725,776,768,270,137,32,13,1994,994,591,159,64,19,3,1830,22,44,4,3,4,0,77,32,33,6,0,0,0,67,..,..,..,..,..,..,..,20,4,0,0,0,0,17,1060,660,172,73,22,3,1994,267,166,22,8,0,4,466,3,5,0,0,0,0,6,10,10,9,4,0,0,26,283,176,26,13,0,4,504,6,0,0,0,0,0,9,4263,6087,2161,1927,793,359,15595,2182,4549,1725,1719,736,312,11225,1038,683,221,124,51,12,2129,639,526,190,97,27,4,1484,1677,1210,414,223,78,16,3607,279,206,52,28,6,3,577,73,61,20,3,0,0,159,30,21,3,0,0,0,55,..,..,..,..,..,..,..,8,4,0,0,0,0,10,386,298,75,29,6,3,797,299,133,16,5,0,0,457,3,0,0,0,0,0,3,9,8,5,3
LGA10300,184,298,113,97,59,32,769,17,0,0,0,0,0,16,0,0,0,0,0,0,0,17,0,0,0,0,0,18,18,5,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,18,5,3,0,0,0,22,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,4,0,0,0,0,14,0,0,0,0,0,0,0,220,302,116,104,59,26,824,181,270,103,74,73,36,736,11,0,0,0,0,0,17,0,5,0,0,0,0,5,11,5,0,0,0,0,18,17,6,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,17,6,0,0,0,0,36,9,6,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0
LGA10470,2437,4160,1863,1880,884,442,11661,408,262,88,33,10,4,811,73,75,21,23,11,0,196,481,335,110,55,21,6,1006,551,209,43,17,5,0,824,25,11,0,0,0,0,30,3,5,0,0,0,0,3,..,..,..,..,..,..,..,21,4,6,5,3,0,36,589,227,45,22,11,0,902,21,13,0,0,0,0,29,0,0,0,0,0,0,4,11,11,0,0,0,0,22,30,23,5,0,0,0,58,12,14,0,0,0,0,32,3552,4757,2032,1955,918,447,13653,2607,4247,1955,1995,916,443,12165,598,356,110,58,11,5,1137,174,99,31,14,7,0,323,778,454,140,72,18,5,1459,359,160,30,15,3,4,576,8,6,0,0,0,0,8,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,367,168,34,18,3,4,590,11,5,0,0,5,0,18,0,3,0,0,0,0,3,8,10,3,0
LGA10500,3640,6393,4143,4656,2276,1461,22581,1237,1278,700,582,194,94,4094,400,632,504,526,209,87,2354,1639,1911,1203,1109,408,178,6451,1167,858,422,307,89,50,2893,2931,2881,1795,1112,320,104,9152,2088,2574,1269,712,214,80,6938,..,..,..,..,..,..,..,33,26,13,6,3,0,87,6220,6341,3499,2140,635,230,19063,55,13,3,0,0,0,74,0,0,0,0,0,0,0,62,94,38,43,15,19,267,115,107,44,41,13,19,344,33,24,19,8,5,4,90,11661,14777,8905,7957,3331,1890,48527,3278,5808,3869,4667,2346,1560,21539,1386,1379,696,705,213,101,4474,658,828,627,667,269,113,3153,2038,2204,1323,1370,482,213,7632,1099,784,490,338,115,48,2867,2156,2118,1253,890,263,81,6758,3631,5418,3008,1888,590,270,14810,..,..,..,..,..,..,..,36,21,19,11,5,0,92,6922,8348,4772,3121,971,402,24534,53,14,4,0,0,0,69,5,0,0,0,0,0,6,119,111,69,48
LGA10550,2325,4546,1485,1275,608,258,10501,269,161,25,10,4,0,472,148,187,30,24,3,3,388,413,343,52,34,6,4,863,566,310,70,49,11,0,1011,9,6,0,0,0,0,10,0,0,0,0,0,0,0,..,..,..,..,..,..,..,17,6,0,0,0,0,30,584,324,71,51,11,0,1045,100,56,9,5,8,0,181,14,6,8,0,0,0,26,14,20,6,0,0,0,43,130,83,14,8,3,3,245,7,9,0,0,0,0,17,3467,5312,1635,1374,635,265,12680,2728,4715,1432,1252,537,281,10935,510,258,38,19,7,0,836,240,198,53,7,8,0,501,746,451,88,24,14,4,1334,334,139,35,13,6,0,525,13,10,0,0,0,0,24,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,7,348,151,39,13,6,0,549,116,56,9,4,0,0,184,28,11,4,3,0,0,41,21,16,6,6
LGA10600,1035,1835,660,593,260,114,4495,44,17,5,4,0,0,68,23,14,5,0,0,0,40,68,27,9,3,0,0,106,130,33,0,4,0,0,167,15,5,0,0,0,0,22,0,0,0,0,0,0,0,..,..,..,..,..,..,..,21,0,3,0,0,0,24,167,41,6,4,3,0,216,98,48,4,3,0,0,149,12,4,0,0,0,0,20,9,8,5,5,0,0,18,117,58,8,8,4,0,192,0,0,0,0,0,0,7,1381,1960,681,606,264,114,5010,1162,1785,629,555,225,111,4464,95,47,17,18,0,0,180,19,15,10,11,0,0,52,114,63,24,25,3,4,229,83,30,8,4,0,0,123,7,0,0,0,0,0,15,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,96,30,8,4,0,0,134,52,19,4,3,0,0,82,0,0,0,0,0,0,0,3,0,0,0
LGA10650,783,1214,311,307,153,86,2857,94,32,5,3,0,0,134,3,5,8,0,0,5,15,95,38,8,3,0,5,148,109,42,9,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,109,42,9,0,0,0,164,36,19,0,0,0,0,56,4,0,0,0,0,0,4,7,7,3,0,0,3,23,45,31,3,0,0,3,83,0,0,0,3,0,0,8,1026,1325,334,317,157,90,3250,851,1195,309,310,165,86,2905,79,27,0,0,0,0,101,0,0,0,0,0,0,0,79,27,0,0,0,0,101,82,29,9,0,0,0,120,3,0,0,0,0,0,3,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,85,29,9,0,0,0,124,45,26,4,3,0,0,84,0,0,0,0,0,0,0,13,15,6,6
LGA10750,10753,20023,15126,17334,8555,5881,77676,1104,1074,649,601,267,174,3871,1128,1626,1603,1358,653,481,6849,2233,2699,2254,1965,920,658,10723,916,194,43,29,11,10,1206,482,492,299,179,62,39,1541,419,636,459,289,73,39,1914,..,..,..,..,..,..,..,67,48,14,5,3,0,141,1881,1373,810,502,150,84,4803,175,63,22,13,0,0,275,3,0,0,0,0,0,11,29,34,18,11,8,6,99,209,98,42,25,8,3,385,24,18,12,12,8,0,69,15095,24208,18245,19837,9642,6628,93658,10579,19287,15478,17863,8879,6682,78769,1251,1542,1185,1418,542,291,6235,1512,2156,2234,2479,1042,642,10059,2760,3697,3415,3893,1583,939,16289,807,308,183,182,66,25,1565,252,211,121,68,26,11,682,648,941,705,468,130,62,2950,..,..,..,..,..,..,..,22,10,7,5,0,0,47,1728,1468,1014,722,220,104,5249,138,65,14,10,0,0,224,33,12,4,11,3,4,67,31,48,36,25
