LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA14300,0,0,5,0,0,0,0,3,13,0,6,0,0,0,0,34,0,0,0,3,0,3,0,0,0,0,0,4,6,4,0,0,4,3,6,7,0,0,0,0,0,21,3,0,0,3,10,29,7,6,0,0,0,8,69,36,17,15,43,48,140,94,83,13,28,20,22,548
LGA14350,0,0,35,5,5,0,16,14,68,36,29,5,7,0,16,190,5,6,0,5,9,20,10,5,3,0,0,9,70,7,5,9,15,18,35,17,16,4,0,0,11,136,14,14,12,31,43,130,76,48,10,3,0,32,425,104,71,63,140,175,604,503,445,133,111,36,161,2545
LGA14400,0,0,23,0,0,0,3,4,0,14,32,12,6,3,3,85,4,0,0,0,4,4,10,3,3,8,3,0,41,4,4,0,4,3,13,5,10,6,3,0,8,59,7,7,0,7,10,21,32,53,26,18,11,11,203,114,35,28,44,61,198,240,464,381,406,271,125,2366
LGA14500,61,10,143,21,4,3,3,13,21,16,48,35,73,183,24,442,19,0,4,13,9,17,29,46,28,48,98,30,346,46,6,9,8,0,25,26,44,32,24,58,19,280,95,17,18,21,22,67,71,150,110,167,393,83,1213,853,134,109,154,176,620,559,1345,1197,2201,6698,991,15029
LGA14550,0,0,17,5,4,0,0,0,16,3,3,0,0,0,0,34,0,0,0,0,0,5,0,0,0,0,0,0,15,4,0,0,0,4,17,7,3,0,0,0,3,39,5,13,0,3,15,41,16,12,0,0,0,4,103,33,29,34,57,71,176,123,101,31,24,27,46,743
LGA14600,0,0,4,0,0,0,7,4,4,0,0,0,0,0,5,20,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,3,8,0,0,0,0,0,0,15,4,4,3,7,8,12,0,0,0,0,0,9,48,52,20,24,46,54,76,37,38,8,12,15,39,423
LGA14650,9,5,278,38,25,15,26,61,184,285,351,121,77,26,88,1300,20,11,12,12,44,105,110,101,40,28,16,32,536,65,44,38,50,64,193,178,144,55,42,21,92,981,135,83,72,103,173,533,643,650,247,172,75,219,3096,1033,434,366,603,859,2844,4067,6908,3732,2475,1407,1365,26094
LGA14700,12,6,29,0,0,6,0,0,9,9,31,17,25,28,7,133,4,3,0,0,3,10,7,12,10,12,27,0,96,5,5,0,0,4,3,10,21,14,8,18,8,99,16,11,0,0,8,28,24,69,50,53,83,28,363,194,32,22,34,45,150,167,497,480,704,1499,248,4071
LGA14750,0,0,9,6,0,4,0,11,23,13,7,0,0,0,5,64,0,0,0,0,9,0,8,0,0,0,0,0,19,6,0,0,7,9,12,0,4,0,0,0,3,38,7,0,6,11,27,38,24,6,0,0,0,10,131,62,24,32,72,103,264,182,167,59,46,26,72,1104
LGA14850,0,3,71,7,9,8,21,19,74,62,57,7,9,4,17,302,8,0,0,3,12,35,27,16,10,3,3,9,126,15,9,16,29,28,58,44,32,3,5,0,12,262,44,17,23,58,64,189,152,110,26,23,10,43,763,200,71,108,175,258,810,926,982,326,258,146,222,4486
LGA14870,0,0,20,6,0,4,10,16,19,19,13,7,0,0,9,105,0,0,0,0,5,9,6,8,3,0,0,0,31,7,4,3,7,7,27,16,13,6,4,3,7,106,16,5,12,15,29,60,47,33,21,4,0,14,265,65,53,37,73,129,395,384,355,185,136,69,98,1971
LGA14900,23,22,322,45,6,8,20,27,101,139,269,166,167,70,96,1130,32,11,18,7,25,74,80,120,57,65,29,49,569,64,27,26,42,65,148,176,256,147,111,61,91,1223,153,49,54,77,130,354,451,734,417,370,179,260,3238,1050,285,273,433,623,2020,2727,5722,4504,4341,2262,1811,26045
LGA14920,0,0,10,0,0,3,8,6,4,6,0,0,0,0,0,33,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,5,5,5,7,0,0,0,0,0,5,22,0,4,11,13,16,14,8,3,5,0,0,6,72,23,12,26,48,71,120,97,56,28,21,18,45,578
LGA14950,0,0,12,0,0,0,3,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,13,3,0,6,8,0,6,9,0,0,0,0,0,38,33,7,14,29,32,48,44,37,12,5,14,17,293
LGA15050,4,6,120,13,4,9,23,26,101,148,135,43,27,7,28,568,8,4,3,9,9,28,39,43,16,7,10,7,178,17,24,14,19,35,75,84,62,21,9,9,34,396,43,30,29,51,74,228,301,271,81,56,25,80,1266,342,147,141,235,355,1426,2200,3214,1369,882,435,540,11275
LGA15240,0,3,122,13,6,10,30,40,103,99,77,29,14,5,25,452,3,5,6,11,13,42,22,21,9,3,0,9,147,42,16,19,27,39,77,65,41,8,7,14,33,383,61,25,31,72,101,255,212,161,53,27,19,80,1099,381,189,193,367,541,1508,1516,1563,633,380,237,451,7950
LGA15270,0,0,22,0,5,0,6,9,25,28,24,11,7,4,5,126,0,3,3,0,4,4,8,3,3,0,0,0,28,6,4,4,4,11,19,11,7,4,0,0,4,76,9,9,7,9,20,55,57,39,15,8,5,9,249,89,63,50,83,131,395,505,616,259,196,128,139,2666
LGA15300,0,0,8,7,3,0,3,5,11,5,8,0,0,0,4,45,0,0,0,0,0,5,0,0,0,0,0,0,8,0,5,0,6,5,5,0,3,0,0,0,8,23,6,7,3,7,4,23,14,7,0,0,3,7,86,65,23,23,50,60,195,153,99,38,36,24,68,835
LGA15350,9,0,17,6,0,0,0,5,0,3,4,5,13,40,5,94,6,0,0,0,0,0,4,5,4,6,22,7,57,7,0,0,0,0,0,0,8,4,4,9,3,31,16,0,0,0,5,4,14,20,17,27,84,16,196,173,22,12,7,31,82,74,174,135,277,1278,181,2435
LGA15520,0,0,8,0,0,3,10,6,9,13,0,0,0,0,0,45,3,0,0,0,0,4,3,0,0,0,0,0,12,4,0,0,5,0,3,5,0,0,0,0,0,26,6,0,0,12,4,22,20,9,4,0,4,4,91,69,26,25,74,83,225,221,216,70,44,54,81,1183
LGA15560,0,0,7,3,0,0,4,5,4,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,12,0,0,3,4,9,11,4,0,0,0,0,4,31,39,13,11,34,29,57,30,12,6,5,10,20,259
LGA15650,0,0,25,6,0,0,3,5,28,25,8,4,0,3,4,94,0,0,0,0,8,4,3,0,0,0,0,3,19,6,3,0,5,0,7,8,6,0,0,0,5,54,7,8,5,15,18,47,42,18,8,5,3,17,195,48,25,30,71,95,311,387,310,130,89,57,86,1639
LGA15700,0,0,32,0,4,3,3,19,16,19,17,7,0,0,5,100,0,0,0,0,3,6,7,4,0,0,0,0,20,4,3,0,7,10,19,14,11,5,3,0,4,81,12,4,3,12,31,45,50,28,16,3,0,19,230,67,57,48,89,142,326,325,305,97,66,43,99,1667
LGA15750,0,0,12,4,3,6,6,8,14,9,4,0,0,0,0,51,0,0,0,0,0,8,0,0,0,0,0,4,18,7,0,0,0,5,13,9,4,0,0,0,4,47,10,3,6,9,14,33,19,8,0,0,0,11,120,60,13,21,65,92,271,225,179,71,41,24,88,1154
LGA15800,0,0,12,0,4,0,10,3,8,3,0,0,0,0,0,31,0,0,0,0,3,3,0,0,0,0,0,0,11,0,3,0,4,5,3,4,0,0,0,0,0,23,0,7,3,17,19,17,4,0,0,0,0,3,69,38,19,27,49,91,116,58,47,16,12,10,31,501
LGA15850,0,0,5,0,0,0,5,4,10,8,0,0,0,0,0,33,0,0,4,0,0,7,0,0,0,0,0,0,13,0,0,0,3,0,7,0,0,3,0,0,0,22,8,3,4,6,14,22,13,3,3,0,0,0,70,54,13,15,45,75,115,87,63,27,12,16,31,557
LGA15900,6,11,186,24,9,14,20,34,142,191,213,91,64,38,36,871,24,4,7,16,29,64,76,99,42,24,18,23,423,40,26,21,33,47,99,117,99,38,22,12,50,602,86,40,40,78,122,331,415,453,201,122,70,122,2079,666,232,216,394,550,1796,2568,4345,2442,1866,1366,837,17267
LGA15950,12,0,42,9,3,0,0,4,10,16,39,26,41,69,18,231,6,3,0,4,0,7,7,9,8,25,32,12,118,15,5,0,7,5,9,12,14,7,12,19,9,116,23,10,6,7,9,29,37,68,55,88,138,36,510,244,35,26,48,51,204,209,454,436,803,1850,257,4625
LGA15990,66,25,252,43,4,3,16,7,45,55,153,114,178,268,64,935,35,9,9,13,14,55,61,96,69,100,110,54,631,65,17,12,25,37,97,76,117,71,109,96,66,781,151,30,32,61,73,216,203,380,276,439,544,204,2605,1301,268,222,340,511,1333,1449,3107,2966,5469,11212,1901,30077
LGA16100,0,0,10,0,0,0,6,0,11,6,3,0,0,0,6,27,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,4,0,5,3,0,4,0,0,0,0,17,0,0,8,8,6,13,17,10,0,0,0,6,62,18,3,20,23,32,100,100,115,41,46,21,38,559
LGA16150,0,0,65,5,4,4,16,20,47,66,45,12,4,8,14,234,0,0,5,0,8,23,26,10,4,6,4,6,86,10,3,5,6,9,32,35,27,4,3,5,8,146,15,9,15,29,43,112,136,90,25,15,13,25,531,122,52,63,140,210,698,1053,1109,403,307,207,207,4564
LGA16200,0,0,18,0,0,4,9,15,34,4,14,0,10,0,0,92,0,0,0,0,5,9,0,0,0,6,0,0,22,3,7,0,9,9,13,4,0,0,0,0,6,46,4,6,7,18,31,52,14,19,3,9,0,10,181,67,28,39,89,138,365,237,204,62,51,32,75,1385
LGA16260,20,13,163,24,14,4,9,11,54,82,201,143,140,116,55,849,20,8,5,15,22,45,68,111,70,59,71,39,536,85,18,10,25,33,98,105,180,95,83,82,66,871,137,43,26,46,66,209,270,526,343,299,283,172,2412,1136,225,195,287,458,1398,1997,4608,3711,4257,4241,1580,24101
LGA16350,22,14,281,46,9,14,23,35,119,202,322,161,125,63,84,1195,17,7,8,14,22,68,82,98,53,40,21,22,449,54,16,22,48,76,176,200,254,102,102,54,103,1199,123,33,50,86,138,400,536,733,355,300,156,219,3125,786,251,220,434,617,2059,3207,6465,4957,3808,1900,1597,26303
LGA16380,0,4,103,9,3,7,13,19,85,91,102,26,16,9,23,413,6,4,0,10,3,24,35,33,15,5,3,3,143,14,15,20,12,31,68,62,37,19,16,3,23,323,30,21,26,44,57,201,213,200,68,41,19,55,981,323,159,135,247,349,1004,1436,2083,930,624,325,347,7957
LGA16400,0,3,78,7,0,6,15,24,79,70,63,36,19,7,31,368,3,0,4,6,6,32,28,36,10,7,4,7,143,16,15,14,20,26,61,53,55,19,20,6,36,339,31,23,20,53,62,186,173,177,66,45,26,73,926,310,147,121,279,317,1059,1337,1831,936,684,345,447,7815
LGA16490,3,0,82,9,0,3,15,13,39,62,102,51,37,16,18,369,5,4,0,9,3,21,15,23,8,17,8,12,131,11,10,5,12,17,46,42,41,15,19,8,22,251,31,20,13,33,38,109,142,186,85,80,36,58,832,261,97,94,153,222,677,1009,1944,1481,1453,780,404,8587
LGA16550,20,4,96,18,0,5,4,0,21,29,55,43,68,111,26,379,11,8,0,6,13,15,30,31,22,37,40,16,232,37,10,6,7,13,28,29,44,29,50,44,35,324,77,14,6,24,31,72,92,141,106,166,217,79,1031,548,90,71,114,182,460,522,1008,929,1724,3904,725,10274
LGA16610,0,0,24,6,0,8,10,12,40,20,16,0,3,0,12,133,0,6,0,0,10,19,5,7,0,0,0,3,42,8,5,3,8,8,24,20,7,0,0,3,6,100,11,11,13,29,34,87,46,31,11,13,4,20,303,95,44,52,121,173,523,426,384,153,89,45,126,2233
LGA16700,15,5,74,21,5,4,4,14,31,32,85,46,68,94,29,429,18,4,3,4,10,23,20,42,31,39,37,20,248,41,5,4,15,8,38,44,70,29,47,42,39,376,84,13,11,23,35,98,99,207,115,160,183,89,1126,667,111,100,155,203,616,696,1875,1543,2120,3376,863,12333
LGA16900,0,10,91,14,5,4,3,15,61,81,118,53,41,12,32,444,5,0,0,6,9,38,36,38,11,11,5,9,180,28,6,6,22,29,67,67,91,30,16,7,32,406,46,14,17,40,52,183,198,269,105,77,27,75,1112,313,119,113,199,264,892,1165,2444,1536,1067,511,530,9151
LGA16950,5,10,121,8,11,7,16,38,97,119,116,37,40,13,27,515,13,7,0,8,9,35,30,31,13,8,4,7,166,35,26,18,14,36,92,78,55,16,11,11,36,437,54,39,34,38,87,253,260,227,73,59,32,86,1242,509,215,167,301,500,1437,1648,2254,1009,787,484,540,9856
LGA17000,0,0,18,7,0,0,4,9,29,37,32,11,8,7,6,157,0,0,0,0,3,7,14,10,0,3,0,4,45,5,4,0,0,7,13,16,8,4,13,10,7,87,12,4,0,6,24,58,64,61,13,20,13,19,299,98,31,30,53,101,365,557,773,384,331,163,169,3059
LGA17040,0,0,13,3,3,0,10,12,19,21,3,6,0,7,5,79,0,0,0,3,9,15,9,4,0,3,0,4,53,7,3,3,6,0,25,6,5,0,0,3,8,80,17,3,3,20,19,60,43,18,14,5,7,14,226,90,37,37,104,155,415,364,363,169,135,96,98,2070
LGA17080,0,0,17,4,5,3,15,5,18,7,0,0,0,0,0,60,0,0,0,0,3,9,3,0,0,0,0,0,26,3,4,5,4,9,13,4,10,0,0,0,4,56,12,11,6,15,24,47,24,11,0,0,0,6,152,55,36,35,101,124,330,249,229,57,42,35,72,1374
LGA17100,6,0,32,3,3,0,0,0,4,10,29,8,13,21,4,98,0,5,0,0,0,3,6,15,7,14,17,12,86,10,10,0,8,0,10,26,31,18,16,26,12,169,22,10,3,13,13,18,40,84,43,47,67,32,385,180,33,27,45,61,213,289,941,492,484,838,300,3907
LGA17150,41,15,276,31,15,4,6,18,78,83,219,132,164,136,61,950,22,7,4,13,14,65,78,92,66,75,58,33,524,50,12,27,29,50,119,122,133,94,97,73,62,864,110,37,40,58,87,291,315,498,328,375,307,171,2609,1038,298,263,362,553,1647,1975,4397,4117,6396,6569,1653,29273
LGA17200,16,4,46,21,0,5,4,3,33,33,63,60,79,99,34,437,21,5,3,9,8,7,17,34,29,40,42,17,231,18,5,3,11,9,32,19,49,22,35,51,25,278,67,8,12,19,25,67,79,158,117,169,204,78,992,553,84,71,111,169,558,623,1475,1524,2366,3565,598,11703
LGA17310,0,0,60,12,4,4,14,43,126,96,61,15,9,4,16,392,0,5,6,9,5,21,27,12,0,4,0,6,93,15,9,6,21,26,57,50,14,8,0,0,11,226,25,16,20,44,80,217,187,100,24,17,7,36,772,192,96,108,242,448,1297,1333,1257,470,293,208,287,6235
LGA17350,0,0,9,0,0,0,4,3,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,3,0,6,0,0,0,0,0,0,23,0,4,5,5,8,16,5,5,0,0,0,7,58,31,27,10,35,73,109,86,55,20,12,11,43,508
LGA17400,0,0,6,5,0,0,4,3,10,3,4,0,0,0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,5,3,0,4,0,0,5,0,3,0,0,0,0,18,6,0,5,4,9,17,6,6,0,0,0,5,56,35,23,16,28,49,98,55,66,9,12,11,35,444
LGA17420,29,15,177,35,6,12,14,13,46,57,114,71,123,123,52,650,23,3,7,14,16,41,54,79,45,58,77,32,449,56,15,7,16,21,57,66,115,63,71,101,57,654,114,23,22,43,56,166,191,350,199,280,324,155,1927,1174,263,183,313,436,1250,1525,3342,3358,6246,7546,1879,27507
LGA17550,6,3,119,27,7,11,11,32,91,110,141,47,24,17,40,551,9,10,0,4,9,43,47,50,16,9,8,13,206,32,17,9,24,29,78,74,84,34,11,8,35,440,72,33,18,52,79,235,251,287,105,50,40,98,1320,430,180,125,264,368,1100,1465,2406,1286,971,573,597,9759
LGA17620,0,6,7,0,4,4,3,3,13,6,11,0,5,0,0,51,3,0,0,0,0,6,3,5,0,0,0,0,17,0,0,0,3,4,9,11,0,5,0,0,6,48,6,4,5,7,5,29,19,19,3,7,3,5,123,71,28,25,53,79,257,299,290,122,96,76,80,1485
LGA17640,0,0,3,0,0,0,0,0,15,6,6,5,0,4,6,39,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,6,6,3,0,0,0,0,25,0,0,6,3,5,22,14,15,5,0,4,9,72,33,22,10,45,37,170,163,168,88,51,42,46,871
LGA17650,0,0,4,0,3,0,4,6,9,3,0,4,0,0,0,25,4,0,0,0,3,0,0,0,0,0,0,5,9,3,0,6,0,7,0,4,6,0,0,0,0,22,4,3,3,5,15,4,4,7,4,4,4,5,63,32,17,21,37,62,135,133,110,39,26,28,33,686
LGA17750,0,5,81,12,9,6,16,47,120,95,51,11,8,4,27,395,11,3,6,9,11,30,35,15,5,3,3,7,139,20,10,4,14,28,61,42,29,9,5,0,12,232,35,24,16,38,96,231,193,107,24,23,10,52,847,213,111,98,215,399,1510,1569,1411,476,391,276,363,7034
LGA17850,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,4,3,3,4,0,4,3,0,0,0,0,0,17,30,4,6,14,25,34,21,23,7,6,13,16,212
LGA17900,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,0,0,4,0,3,4,0,0,0,0,4,24,37,9,18,22,19,31,10,14,7,8,14,13,196
LGA17950,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,4,4,18,23,0,6,16,19,30,17,13,7,3,9,21,169
LGA18020,0,0,14,5,0,6,4,4,3,0,0,0,0,0,4,31,0,3,0,0,0,3,4,0,0,0,0,0,12,0,0,0,7,0,4,5,0,0,0,0,0,23,9,11,4,13,5,15,8,0,3,0,3,8,77,62,42,44,61,65,121,63,42,19,21,32,49,624
LGA18050,28,6,62,11,0,9,0,5,16,16,22,22,35,71,17,226,7,0,0,0,0,8,12,19,10,16,32,7,116,12,0,0,0,0,7,9,11,15,7,18,15,101,30,6,11,8,7,33,40,59,51,75,149,44,503,274,33,30,44,68,184,202,415,387,791,2439,435,5305
LGA18100,0,0,4,0,0,0,5,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,4,3,4,0,0,0,0,0,0,12,7,4,0,7,9,7,0,0,0,0,0,0,34,33,26,11,30,32,60,35,27,12,6,5,18,291
LGA18200,0,0,5,0,0,3,0,4,4,3,0,0,0,0,0,30,0,0,0,0,3,3,6,0,0,0,0,0,13,0,0,0,7,0,6,0,0,0,0,0,0,18,5,3,7,10,7,17,11,4,0,0,0,0,62,39,28,27,56,76,157,128,123,44,30,22,35,758
LGA18250,16,9,55,17,0,0,0,0,18,14,28,18,42,89,15,232,8,3,0,0,5,15,11,13,18,25,38,11,154,17,0,5,4,10,10,10,14,17,15,34,13,145,32,4,5,7,15,42,38,64,60,94,180,43,580,395,47,49,68,90,296,272,611,529,977,2848,412,6583
LGA18350,4,5,67,8,3,3,4,10,26,32,42,22,22,20,14,211,8,0,6,0,8,14,16,18,9,7,5,4,100,14,8,0,12,7,50,29,41,17,10,11,24,222,29,15,8,22,24,98,104,119,57,42,33,56,598,245,85,67,109,173,534,671,1311,835,744,684,343,5804
LGA18400,10,6,72,13,5,3,7,8,30,43,83,40,48,24,23,325,9,4,3,11,4,18,19,27,8,8,5,0,113,20,13,7,6,4,34,48,45,33,22,13,21,260,29,18,13,29,22,85,118,179,90,90,51,52,773,230,86,69,137,157,615,839,1751,1509,1429,944,482,8265
LGA18450,9,18,236,19,12,11,15,42,115,193,227,118,88,45,65,954,9,11,11,16,18,93,92,109,35,33,26,24,482,42,24,23,36,53,140,141,128,61,45,37,49,768,77,49,50,72,120,378,476,516,235,194,114,147,2439,773,303,270,472,639,2013,2795,5050,3671,3383,2094,1165,22631
LGA18500,18,3,39,11,0,5,0,0,8,8,12,22,26,82,11,191,12,0,0,0,3,7,6,14,10,7,45,11,104,10,0,0,4,0,3,4,14,4,12,29,3,87,40,0,0,0,4,24,18,42,34,45,169,33,427,318,32,22,33,42,127,127,284,217,493,2154,323,4171
LGA18710,0,0,25,0,3,0,6,5,10,19,19,5,7,7,4,92,0,0,0,0,0,5,10,3,11,9,5,0,45,4,0,5,9,6,6,16,15,5,7,4,3,70,3,3,3,15,13,23,46,49,23,24,16,8,228,86,36,28,54,62,230,344,514,353,420,262,112,2511
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,11,0,7,4,4,9,3,54
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
