LGA_CODE_2021,C16_SH_3b_NPGH_4,C16_SH_3b_NPGH_5,C16_SH_3b_NPGH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPGH_2,C16_SH_4mb_NPGH_3,C16_SH_4mb_NPGH_4,C16_SH_4mb_NPGH_5,C16_SH_4mb_NPGH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPGH_2,C16_SH_NB_NS_NPGH_3,C16_SH_NB_NS_NPGH_4,C16_SH_NB_NS_NPGH_5,C16_SH_NB_NS_NPGH_6_mor,C16_SH_NB_NS_Tot,C16_SH_Tot_NPGH_2,C16_SH_Tot_NPGH_3,C16_SH_Tot_NPGH_4,C16_SH_Tot_NPGH_5,C16_SH_Tot_NPGH_6_mor,C16_SH_Tot_Tot,C16_SDRTHT_0b_s_a_b_NPGH_2,C16_SDRTHT_0b_s_a_b_NPGH_3,C16_SDRTHT_0b_s_a_b_NPGH_4,C16_SDRTHT_0b_s_a_b_NPGH_5,C16_SDRTHT_0b_s_a_b_NPGH_6mor,C16_SDRTHT_0b_s_a_b_Tot,C16_SDRTHT_1b_NPGH_2,C16_SDRTHT_1b_NPGH_3,C16_SDRTHT_1b_NPGH_4,C16_SDRTHT_1b_NPGH_5,C16_SDRTHT_1b_NPGH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPGH_2,C16_SDRTHT_2b_NPGH_3,C16_SDRTHT_2b_NPGH_4,C16_SDRTHT_2b_NPGH_5,C16_SDRTHT_2b_NPGH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPGH_2,C16_SDRTHT_3b_NPGH_3,C16_SDRTHT_3b_NPGH_4,C16_SDRTHT_3b_NPGH_5,C16_SDRTHT_3b_NPGH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPGH_2,C16_SDRTHT_4mb_NPGH_3,C16_SDRTHT_4mb_NPGH_4,C16_SDRTHT_4mb_NPGH_5,C16_SDRTHT_4mb_NPGH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPGH_2,C16_SDRTHT_NB_NS_NPGH_3,C16_SDRTHT_NB_NS_NPGH_4,C16_SDRTHT_NB_NS_NPGH_5,C16_SDRTHT_NB_NS_NPGH_6_mor,C16_SDRTHT_NB_NS_Tot,C16_SDRTHT_Tot_NPGH_2,C16_SDRTHT_Tot_NPGH_3,C16_SDRTHT_Tot_NPGH_4,C16_SDRTHT_Tot_NPGH_5,C16_SDRTHT_Tot_NPGH_6_mor,C16_SDRTHT_Tot_Tot,C16_F_a_0b_s_a_b_NPGH_2,C16_F_a_0b_s_a_b_NPGH_3,C16_F_a_0b_s_a_b_NPGH_4,C16_F_a_0b_s_a_b_NPGH_5,C16_F_a_0b_s_a_b_NPGH_6_mor,C16_F_a_0b_s_a_b_Tot,C16_F_a_1b_NPGH_2,C16_F_a_1b_NPGH_3,C16_F_a_1b_NPGH_4,C16_F_a_1b_NPGH_5,C16_F_a_1b_NPGH_6_mor,C16_F_a_1b_Tot,C16_F_a_2b_NPGH_2,C16_F_a_2b_NPGH_3,C16_F_a_2b_NPGH_4,C16_F_a_2b_NPGH_5,C16_F_a_2b_NPGH_6_mor,C16_F_a_2b_Tot,C16_F_a_3b_NPGH_2,C16_F_a_3b_NPGH_3,C16_F_a_3b_NPGH_4,C16_F_a_3b_NPGH_5,C16_F_a_3b_NPGH_6_mor,C16_F_a_3b_Tot,C16_F_a_4mb_NPGH_2,C16_F_a_4mb_NPGH_3,C16_F_a_4mb_NPGH_4,C16_F_a_4mb_NPGH_5,C16_F_a_4mb_NPGH_6_mor,C16_F_a_4mb_Tot,C16_F_a_NB_NS_NPGH_2,C16_F_a_NB_NS_NPGH_3,C16_F_a_NB_NS_NPGH_4,C16_F_a_NB_NS_NPGH_5,C16_F_a_NB_NS_NPGH_6_mor,C16_F_a_NB_NS_Tot,C16_F_a_Tot_NPGH_2,C16_F_a_Tot_NPGH_3,C16_F_a_Tot_NPGH_4,C16_F_a_Tot_NPGH_5,C16_F_a_Tot_NPGH_6_mor,C16_F_a_Tot_Tot,C16_OD_0b_s_a_b_NPGH_2,C16_OD_0b_s_a_b_NPGH_3,C16_OD_0b_s_a_b_NPGH_4,C16_OD_0b_s_a_b_NPGH_5,C16_OD_0b_s_a_b_NPGH_6_mor,C16_OD_0b_s_a_b_Tot,C16_OD_1b_NPGH_2,C16_OD_1b_NPGH_3,C16_OD_1b_NPGH_4,C16_OD_1b_NPGH_5,C16_OD_1b_NPGH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPGH_2,C16_OD_2b_NPGH_3,C16_OD_2b_NPGH_4,C16_OD_2b_NPGH_5,C16_OD_2b_NPGH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPGH_2,C16_OD_3b_NPGH_3,C16_OD_3b_NPGH_4,C16_OD_3b_NPGH_5,C16_OD_3b_NPGH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPGH_2,C16_OD_4mb_NPGH_3,C16_OD_4mb_NPGH_4,C16_OD_4mb_NPGH_5,C16_OD_4mb_NPGH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPGH_2,C16_OD_NB_NS_NPGH_3,C16_OD_NB_NS_NPGH_4,C16_OD_NB_NS_NPGH_5,C16_OD_NB_NS_NPGH_6_mor,C16_OD_NB_NS_Tot,C16_OD_Tot_NPGH_2,C16_OD_Tot_NPGH_3,C16_OD_Tot_NPGH_4,C16_OD_Tot_NPGH_5,C16_OD_Tot_NPGH_6_mor,C16_OD_Tot_Tot,C16_DS_NS_NPGH_2,C16_DS_NS_NPGH_3,C16_DS_NS_NPGH_4,C16_DS_NS_NPGH_5,C16_DS_NS_NPGH_6_mor,C16_DS_NS_Tot,C16_Tot_NPGH_2,C16_Tot_NPGH_3,C16_Tot_NPGH_4,C16_Tot_NPGH_5,C16_Tot_NPGH_6_mor,C16_Tot_Tot,C21_SH_0b_s_a_b_NPGH_2,C21_SH_0b_s_a_b_NPGH_3,C21_SH_0b_s_a_b_NPGH_4,C21_SH_0b_s_a_b_NPGH_5,C21_SH_0b_s_a_b_NPGH_6_mor,C21_SH_0b_s_a_b_Tot,C21_SH_1b_NPGH_2,C21_SH_1b_NPGH_3,C21_SH_1b_NPGH_4,C21_SH_1b_NPGH_5,C21_SH_1b_NPGH_6_mor,C21_SH_1b_Tot,C21_SH_2b_NPGH_2,C21_SH_2b_NPGH_3,C21_SH_2b_NPGH_4,C21_SH_2b_NPGH_5,C21_SH_2b_NPGH_6_mor,C21_SH_2b_Tot,C21_SH_3b_NPGH_2,C21_SH_3b_NPGH_3,C21_SH_3b_NPGH_4,C21_SH_3b_NPGH_5,C21_SH_3b_NPGH_6_mor,C21_SH_3b_Tot,C21_SH_4mb_NPGH_2,C21_SH_4mb_NPGH_3,C21_SH_4mb_NPGH_4,C21_SH_4mb_NPGH_5,C21_SH_4mb_NPGH_6_mor,C21_SH_4mb_Tot,C21_SH_NB_NS_NPGH_2,C21_SH_NB_NS_NPGH_3,C21_SH_NB_NS_NPGH_4,C21_SH_NB_NS_NPGH_5,C21_SH_NB_NS_NPGH_6_mor,C21_SH_NB_NS_Tot,C21_SH_Tot_NPGH_2,C21_SH_Tot_NPGH_3,C21_SH_Tot_NPGH_4,C21_SH_Tot_NPGH_5
LGA10050,4,0,0,283,93,45,33,14,0,185,11,8,0,0,0,18,418,99,44,10,0,577,0,0,0,0,0,0,10,0,0,0,0,10,112,5,0,0,0,116,39,18,0,0,0,55,0,0,3,0,0,3,3,3,0,0,0,8,165,24,5,0,0,198,0,0,0,0,0,0,5,0,0,0,0,5,11,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,8,20,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,607,131,48,14,0,799,0,0,0,0,0,0,3,0,0,0,0,10,84,3,0,0,0,85,250,48,13,0,0,311,108,55,24,16,4,200,6,0,0,0,0,10,450,108,40,16
LGA10180,4,0,0,162,45,24,30,18,4,118,11,3,0,0,0,9,215,80,36,15,4,348,0,0,0,0,0,0,0,0,0,0,0,3,44,3,0,0,0,51,10,0,4,0,0,18,0,0,0,0,0,4,0,0,0,0,0,0,60,8,7,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,24,9,0,0,0,0,7,0,0,3,0,0,3,4,0,0,0,0,6,33,9,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,95,49,15,4,472,0,0,0,0,0,3,3,0,0,0,0,3,44,0,0,0,0,46,129,37,7,0,0,173,67,34,33,0,0,133,7,0,0,0,0,9,245,73,38,0
LGA10250,4,0,0,157,79,17,17,8,0,123,15,4,0,0,0,21,265,50,21,8,0,344,0,0,0,0,0,0,4,0,0,0,0,4,62,4,0,0,0,66,45,18,4,0,0,62,8,3,0,0,0,10,7,0,0,0,0,7,116,22,8,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,8,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,12,3,0,0,0,0,3,448,73,28,8,0,554,0,0,0,0,0,8,13,0,0,0,0,7,53,3,0,0,0,60,150,32,3,0,0,185,97,26,26,5,5,158,10,5,0,0,0,14,320,72,27,5
LGA10300,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0
LGA10470,4,0,0,212,81,26,36,7,4,154,10,0,0,0,0,9,312,68,41,7,4,426,0,0,0,0,0,0,6,0,0,0,0,6,48,0,0,0,0,48,23,14,0,0,0,40,3,9,0,0,0,13,6,0,0,0,0,0,85,27,0,0,0,113,0,0,0,0,0,0,4,0,0,0,0,4,33,0,0,0,0,32,8,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,443,91,40,9,4,595,0,0,0,0,0,0,3,0,0,0,0,8,43,0,0,0,0,44,157,41,3,0,0,200,105,27,17,11,0,157,7,3,0,0,0,11,319,66,17,11
LGA10500,19,9,5,280,62,39,39,39,27,211,20,13,9,0,0,36,366,137,66,48,34,651,0,0,0,0,0,0,4,0,0,0,0,4,83,5,0,0,0,90,71,36,5,0,0,122,9,8,17,3,8,54,8,0,0,0,0,8,179,46,31,3,13,276,6,4,0,0,0,11,101,8,0,0,0,113,1214,307,111,36,10,1672,125,191,77,32,28,457,7,13,13,8,5,45,65,25,6,5,0,104,1526,548,210,78,42,2404,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,18,8,6,0,0,0,20,0,0,4,0,0,3,0,0,0,0,0,0,27,14,3,4,0,45,6,6,4,0,0,18,2106,739,318,134,85,3391,3,0,0,0,0,4,6,0,0,0,0,10,82,0,0,0,0,83,163,64,17,7,5,253,77,61,56,24,29,244,10,0,3,4,3,22,337,126,77,36
LGA10550,0,0,0,107,48,7,3,0,0,60,4,0,0,0,0,3,224,16,7,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,24,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,42,3,0,0,0,41,0,0,0,0,0,0,4,0,0,0,0,4,13,0,0,0,0,13,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,6,0,0,0,0,6,298,21,7,0,0,323,0,0,0,0,0,3,5,0,0,0,0,10,58,0,0,0,0,59,138,10,0,0,0,148,58,16,6,0,0,80,8,0,0,0,0,8,270,31,3,0
LGA10600,0,0,0,74,30,0,0,0,0,33,3,0,0,0,0,3,137,8,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,152,8,0,0,0,159,0,0,0,0,0,3,3,0,0,0,0,7,34,6,0,0,0,37,96,11,0,0,0,105,25,4,5,0,0,34,0,0,0,0,0,0,165,19,6,0
LGA10650,0,0,0,35,19,0,0,0,0,15,0,0,0,0,0,0,68,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,76,3,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,28,0,0,0,0,33,15,0,0,0,0,17,3,0,0,0,0,3,55,9,0,0
LGA10750,41,10,10,953,283,88,66,50,39,528,63,20,7,0,4,99,1287,251,125,66,56,1790,0,0,0,0,0,0,9,0,0,0,0,9,65,4,0,0,0,73,130,33,7,3,0,181,29,22,13,8,5,76,12,7,0,0,0,16,254,63,23,9,5,354,5,0,0,0,0,5,11,0,0,0,0,11,107,12,8,0,0,126,11,9,0,0,0,25,0,0,0,0,0,0,19,3,3,0,0,25,146,23,14,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,12,18,3,0,0,0,23,1712,354,161,77,70,2369,8,0,0,0,0,3,22,8,0,0,0,29,264,38,3,0,0,300,787,196,65,13,3,1069,423,192,127,63,44,841,45,13,9,3,0,64,1541,433,204,83
LGA10800,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,3,27,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,13,0,0,0,0,13,4,0,0,0,0,5,0,0,0,0,0,0,23,0,0,0
