LGA_CODE_2021,C11_1_74_1PF_CU15DS,C11_1_74_1PF_CU15NDS,C11_1_74_1PFnCU15DS,C11_1_74_1PF_NDCO,C11_1_74_Tot,C11_75_99_1PF_CU15DS,C11_75_99_1PF_CU15NDS,C11_75_99_1PFnCU15DS,C11_75_99_1PF_NDCO,C11_75_99_Tot,C11_100_149_1PF_CU15DS,C11_100_149_1PF_CU15NDS,C11_100_149_1PFnCU15DS,C11_100_149_1PF_NDCO,C11_100_149_Tot,C11_150_199_1PF_CU15DS,C11_150_199_1PF_CU15NDS,C11_150_199_1PFnCU15DS,C11_150_199_1PF_NDCO,C11_150_199_Tot,C11_200_224_1PF_CU15DS,C11_200_224_1PF_CU15NDS,C11_200_224_1PFnCU15DS,C11_200_224_1PF_NDCO,C11_200_224_Tot,C11_225_274_1PF_CU15DS,C11_225_274_1PF_CU15NDS,C11_225_274_1PFnCU15DS,C11_225_274_1PF_NDCO,C11_225_274_Tot,C11_275_349_1PF_CU15DS,C11_275_349_1PF_CU15NDS,C11_275_349_1PFnCU15DS,C11_275_349_1PF_NDCO,C11_275_349_Tot,C11_350_449_1PF_CU15DS,C11_350_449_1PF_CU15NDS,C11_350_449_1PFnCU15DS,C11_350_449_1PF_NDCO,C11_350_449_Tot,C11_450_549_1PF_CU15DS,C11_450_549_1PF_CU15NDS,C11_450_549_1PFnCU15DS,C11_450_549_1PF_NDCO,C11_450_549_Tot,C11_550_649_1PF_CU15DS,C11_550_649_1PF_CU15NDS,C11_550_649_1PFnCU15DS,C11_550_649_1PF_NDCO,C11_550_649_Tot,C11_650_749_1PF_CU15DS,C11_650_749_1PF_CU15NDS,C11_650_749_1PFnCU15DS,C11_650_749_1PF_NDCO,C11_650_749_Tot,C11_750_849_1PF_CU15DS,C11_750_849_1PF_CU15NDS,C11_750_849_1PFnCU15DS,C11_750_849_1PF_NDCO,C11_750_849_Tot,C11_850_949_1PF_CU15DS,C11_850_949_1PF_CU15NDS,C11_850_949_1PFnCU15DS,C11_850_949_1PF_NDCO,C11_850_949_Tot,C11_950over_1PF_CU15DS,C11_950over_1PF_CU15NDS,C11_950over_1PFnCU15DS,C11_950over_1PF_NDCO,C11_950over_Tot,C11_Rns_1PF_CU15DS,C11_Rns_1PF_CU15NDS,C11_Rns_1PFnCU15DS,C11_Rns_1PF_NDCO,C11_Rns_Tot,C11_Tot_1PF_CU15DS,C11_Tot_1PF_CU15NDS,C11_Tot_1PFnCU15DS,C11_Tot_1PF_NDCO,C11_Tot_Tot,C16_1_74_1PF_CU15DS,C16_1_74_1PF_CU15NDS,C16_1_74_1PFnCU15DS,C16_1_74_1PF_NDCO,C16_1_74_Tot,C16_75_99_1PF_CU15DS,C16_75_99_1PF_CU15NDS,C16_75_99_1PFnCU15DS,C16_75_99_1PF_NDCO,C16_75_99_Tot,C16_100_149_1PF_CU15DS,C16_100_149_1PF_CU15NDS,C16_100_149_1PFnCU15DS,C16_100_149_1PF_NDCO,C16_100_149_Tot,C16_150_199_1PF_CU15DS,C16_150_199_1PF_CU15NDS,C16_150_199_1PFnCU15DS,C16_150_199_1PF_NDCO,C16_150_199_Tot,C16_200_224_1PF_CU15DS,C16_200_224_1PF_CU15NDS,C16_200_224_1PFnCU15DS,C16_200_224_1PF_NDCO,C16_200_224_Tot,C16_225_274_1PF_CU15DS,C16_225_274_1PF_CU15NDS,C16_225_274_1PFnCU15DS,C16_225_274_1PF_NDCO,C16_225_274_Tot,C16_275_349_1PF_CU15DS,C16_275_349_1PF_CU15NDS,C16_275_349_1PFnCU15DS,C16_275_349_1PF_NDCO,C16_275_349_Tot,C16_350_449_1PF_CU15DS,C16_350_449_1PF_CU15NDS,C16_350_449_1PFnCU15DS,C16_350_449_1PF_NDCO,C16_350_449_Tot,C16_450_549_1PF_CU15DS,C16_450_549_1PF_CU15NDS,C16_450_549_1PFnCU15DS,C16_450_549_1PF_NDCO,C16_450_549_Tot,C16_550_649_1PF_CU15DS,C16_550_649_1PF_CU15NDS,C16_550_649_1PFnCU15DS,C16_550_649_1PF_NDCO,C16_550_649_Tot,C16_650_749_1PF_CU15DS,C16_650_749_1PF_CU15NDS,C16_650_749_1PFnCU15DS,C16_650_749_1PF_NDCO,C16_650_749_Tot,C16_750_849_1PF_CU15DS,C16_750_849_1PF_CU15NDS,C16_750_849_1PFnCU15DS,C16_750_849_1PF_NDCO,C16_750_849_Tot,C16_850_949_1PF_CU15DS,C16_850_949_1PF_CU15NDS,C16_850_949_1PFnCU15DS,C16_850_949_1PF_NDCO,C16_850_949_Tot,C16_950over_1PF_CU15_DS,C16_950over_1PF_CU15_NDS,C16_950over_1PFnoCU15_DS,C16_950over_1PF_NDCO,C16_950over_Tot,C16_Rns_1PF_CU15DS,C16_Rns_1PF_CU15NDS,C16_Rns_1PFnCU15DS,C16_Rns_1PF_NDCO,C16_Rns_Tot,C16_Tot_1PF_CU15DS,C16_Tot_1PF_CU15NDS,C16_Tot_1PFnCU15DS,C16_Tot_1PF_NDCO,C16_Tot_Tot,C21_1_74_1PF_CU15DS,C21_1_74_1PF_CU15NDS,C21_1_74_1PFnCU15DS,C21_1_74_1PF_NDCO,C21_1_74_Tot,C21_75_99_1PF_CU15DS,C21_75_99_1PF_CU15NDS,C21_75_99_1PFnCU15DS,C21_75_99_1PF_NDCO,C21_75_99_Tot,C21_100_149_1PF_CU15DS,C21_100_149_1PF_CU15NDS,C21_100_149_1PFnCU15DS,C21_100_149_1PF_NDCO,C21_100_149_Tot,C21_150_199_1PF_CU15DS,C21_150_199_1PF_CU15NDS,C21_150_199_1PFnCU15DS,C21_150_199_1PF_NDCO,C21_150_199_Tot,C21_200_224_1PF_CU15DS,C21_200_224_1PF_CU15NDS,C21_200_224_1PFnCU15DS,C21_200_224_1PF_NDCO,C21_200_224_Tot,C21_225_274_1PF_CU15DS,C21_225_274_1PF_CU15NDS,C21_225_274_1PFnCU15DS,C21_225_274_1PF_NDCO,C21_225_274_Tot,C21_275_349_1PF_CU15DS,C21_275_349_1PF_CU15NDS,C21_275_349_1PFnCU15DS,C21_275_349_1PF_NDCO,C21_275_349_Tot,C21_350_449_1PF_CU15DS,C21_350_449_1PF_CU15NDS,C21_350_449_1PFnCU15DS,C21_350_449_1PF_NDCO,C21_350_449_Tot
LGA10050,0,7,5,8,16,6,27,10,15,57,6,120,16,34,179,11,155,23,51,243,14,119,17,29,187,18,161,35,52,274,23,109,25,21,180,10,27,3,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,8,33,106,750,133,226,1209,0,4,0,6,10,0,0,0,8,12,5,62,13,24,103,14,92,12,46,158,7,86,8,29,134,20,219,35,57,330,46,192,39,59,337,19,76,25,21,135,4,6,0,4,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,8,38,124,760,135,267,1287,0,0,0,6,7,0,3,0,10,13,3,48,9,21,74,10,77,9,33,134,5,57,4,40,114,28,156,22,72,284,43,273,51,83,445,46,193,35,38,317
LGA10180,0,0,0,3,7,0,9,0,5,16,5,55,0,12,79,7,96,8,23,135,18,54,6,18,91,13,86,10,19,135,8,62,12,8,85,3,25,5,8,35,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,3,17,56,408,50,96,609,0,0,0,0,0,0,3,0,0,8,0,23,6,13,32,3,32,0,23,60,4,42,9,15,69,9,79,12,25,126,19,127,15,39,201,19,57,21,7,102,4,7,0,0,16,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,15,58,379,70,129,634,0,0,0,3,3,0,0,0,0,0,0,0,0,5,7,0,7,3,5,19,0,35,4,15,52,10,76,4,23,118,26,127,20,40,209,22,90,26,38,181
LGA10250,0,4,0,0,7,0,10,7,14,25,4,42,9,11,68,6,34,3,32,78,0,25,7,8,44,6,81,19,32,132,31,153,45,47,281,31,150,31,44,253,11,35,9,7,53,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,3,7,0,3,19,93,545,132,204,979,0,0,0,0,3,0,0,0,0,0,0,16,8,9,40,0,25,4,13,40,0,18,6,22,48,4,47,14,17,84,21,117,37,55,233,37,164,44,63,309,6,67,21,15,110,7,24,10,12,49,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,7,16,84,497,143,212,933,0,0,0,0,4,0,0,0,0,0,8,9,7,9,36,3,11,0,9,22,0,11,0,10,22,3,30,3,13,50,14,52,10,38,112,19,134,32,79,256
LGA10300,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,12,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,6,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,7,3,4,12,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,3,3,32,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,9,0,9,0,0,5,0,8,0,0,9,0,0,0,0,0
LGA10470,0,5,3,0,12,5,14,5,3,24,8,57,7,17,90,6,85,17,34,143,6,98,18,21,150,21,143,15,22,208,29,87,16,14,148,4,36,6,8,54,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,5,6,23,87,550,83,134,862,0,4,0,0,5,0,3,0,0,3,3,35,6,13,57,6,40,10,15,67,6,41,10,21,80,19,105,16,35,174,30,211,32,50,322,34,129,26,26,216,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,30,98,595,108,171,974,0,0,0,0,4,0,0,0,0,0,4,19,3,11,40,6,35,3,4,37,6,25,4,26,59,5,61,9,31,108,28,162,33,67,293,35,198,44,60,337
LGA10500,0,10,4,8,23,3,28,15,31,74,10,53,21,36,113,10,58,20,41,126,10,21,7,14,57,10,40,20,49,122,34,214,67,132,439,55,379,104,191,733,41,163,56,113,374,14,76,20,33,136,3,34,16,21,74,5,13,0,0,21,0,6,0,0,8,0,9,0,5,11,16,36,13,28,84,200,1136,364,700,2404,0,6,3,9,14,0,11,3,9,16,4,42,12,47,106,8,32,23,24,82,6,29,7,44,85,4,24,11,39,89,10,37,23,52,129,44,317,105,203,669,42,239,91,223,594,24,164,65,107,370,27,80,26,63,198,9,33,16,15,72,3,11,12,12,31,4,14,8,8,37,6,33,18,35,91,190,1072,415,885,2564,0,3,0,7,6,0,0,0,5,8,0,31,9,33,76,9,32,16,33,86,4,18,14,25,65,3,29,12,28,78,3,38,18,55,111,29,273,83,210,591
LGA10550,0,6,0,0,0,0,8,0,3,16,6,44,13,7,70,6,86,18,28,137,5,66,13,15,107,27,105,25,19,170,13,59,15,11,99,4,10,0,0,16,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,7,25,66,392,85,94,641,0,3,0,0,4,0,0,0,0,0,0,14,8,11,26,7,33,8,12,51,3,27,0,15,51,10,80,21,21,134,36,105,23,41,205,14,50,12,19,99,0,4,0,0,9,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,15,67,330,73,121,597,0,0,0,0,0,0,4,0,0,4,0,8,0,13,19,10,16,3,7,30,4,28,0,13,42,3,29,9,13,61,11,84,13,45,151,23,108,15,47,197
LGA10600,0,0,0,0,0,0,4,4,0,7,5,10,0,14,29,4,21,8,3,44,6,25,7,10,50,6,42,10,10,66,6,56,14,7,87,6,27,0,3,38,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,196,47,58,332,0,0,0,0,3,0,0,0,0,3,0,4,0,3,13,0,3,3,4,15,0,17,0,4,22,0,24,4,9,34,17,65,11,17,105,15,42,6,8,73,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,174,24,51,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,8,0,7,0,4,5,0,5,5,3,18,4,34,6,20,63,23,60,12,15,114
LGA10650,0,0,0,0,0,0,0,0,0,3,4,18,3,10,28,3,27,7,3,39,3,9,0,0,17,0,12,0,0,11,0,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,12,67,20,23,119,0,0,0,0,0,0,0,0,0,0,0,7,0,4,15,4,21,3,5,36,3,19,4,3,25,4,25,0,0,27,0,11,3,4,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,14,85,13,22,134,0,0,0,0,0,0,0,0,0,0,0,6,0,3,8,6,11,0,0,13,0,7,0,0,16,3,18,0,3,24,5,12,6,6,31,3,7,0,6,11
LGA10750,11,55,26,70,162,18,145,59,147,362,133,593,93,159,974,135,487,88,308,1021,68,281,45,165,564,87,482,71,209,854,162,1062,179,346,1745,183,924,181,262,1551,41,191,50,64,343,14,51,10,21,94,4,15,0,13,34,0,0,0,0,6,0,0,0,0,0,0,20,5,10,31,47,157,29,87,323,902,4473,847,1858,8077,3,22,0,22,51,0,34,13,25,72,34,360,60,159,607,81,368,62,161,678,52,175,24,152,404,80,232,54,156,526,130,672,135,400,1339,279,1389,337,659,2665,147,521,175,236,1084,61,189,71,96,415,22,63,22,34,146,3,13,0,6,23,0,5,0,6,11,0,9,0,0,9,34,133,28,92,284,921,4182,1000,2212,8315,0,13,4,12,33,3,19,7,35,57,25,241,63,137,463,68,330,58,139,603,38,168,36,122,367,62,212,44,188,501,78,548,95,320,1034,278,1336,297,844,2761
