LGA_CODE_2021,C16_CFNC_BF_4000more,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_Neg_ni_inc,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_399,C16_CFNC_BPT_400_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_1249,C16_CFNC_BPT_1250_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000more,C16_CFNC_BPT_Ns,C16_CFNC_BPT_Tot,C16_CFNC_1F1P_Neg_ni_inc,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_399,C16_CFNC_1F1P_400_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_1249,C16_CFNC_1F1P_1250_1999,C16_CFNC_1F1P_2000_2499,C16_CFNC_1F1P_2500_2999,C16_CFNC_1F1P_3000_3999,C16_CFNC_1F1P_4000more,C16_CFNC_1F1P_Ns,C16_CFNC_1F1P_Tot,C16_CFNC_1E1A_Neg_ni_inc,C16_CFNC_1E1A_1_149,C16_CFNC_1E1A_150_399,C16_CFNC_1E1A_400_649,C16_CFNC_1E1A_650_799,C16_CFNC_1E1A_800_1249,C16_CFNC_1E1A_1250_1999,C16_CFNC_1E1A_2000_2499,C16_CFNC_1E1A_2500_2999,C16_CFNC_1E1A_3000_3999,C16_CFNC_1E1A_4000more,C16_CFNC_1E1A_Ns,C16_CFNC_1E1A_Tot,C16_CFNC_1F1NW_Neg_ni_inc,C16_CFNC_1F1NW_1_149,C16_CFNC_1F1NW_150_399,C16_CFNC_1F1NW_400_649,C16_CFNC_1F1NW_650_799,C16_CFNC_1F1NW_800_1249,C16_CFNC_1F1NW_1250_1999,C16_CFNC_1F1NW_2000_2499,C16_CFNC_1F1NW_2500_2999,C16_CFNC_1F1NW_3000_3999,C16_CFNC_1F1NW_4000more,C16_CFNC_1F1NW_Ns,C16_CFNC_1F1NW_Tot,C16_CFNC_1P1NW_Neg_ni_inc,C16_CFNC_1P1NW_1_149,C16_CFNC_1P1NW_150_399,C16_CFNC_1P1NW_400_649,C16_CFNC_1P1NW_650_799,C16_CFNC_1P1NW_800_1249,C16_CFNC_1P1NW_1250_1999,C16_CFNC_1P1NW_2000_2499,C16_CFNC_1P1NW_2500_2999,C16_CFNC_1P1NW_3000_3999,C16_CFNC_1P1NW_4000more,C16_CFNC_1P1NW_Ns,C16_CFNC_1P1NW_Tot,C16_CFNC_1A1NW_Neg_ni_inc,C16_CFNC_1A1NW_1_149,C16_CFNC_1A1NW_150_399,C16_CFNC_1A1NW_400_649,C16_CFNC_1A1NW_650_799,C16_CFNC_1A1NW_800_1249,C16_CFNC_1A1NW_1250_1999,C16_CFNC_1A1NW_2000_2499,C16_CFNC_1A1NW_2500_2999,C16_CFNC_1A1NW_3000_3999,C16_CFNC_1A1NW_4000more,C16_CFNC_1A1NW_Ns,C16_CFNC_1A1NW_Tot,C16_CFNC_BA_Neg_ni_inc,C16_CFNC_BA_1_149,C16_CFNC_BA_150_399,C16_CFNC_BA_400_649,C16_CFNC_BA_650_799,C16_CFNC_BA_800_1249,C16_CFNC_BA_1250_1999,C16_CFNC_BA_2000_2499,C16_CFNC_BA_2500_2999,C16_CFNC_BA_3000_3999,C16_CFNC_BA_4000more,C16_CFNC_BA_Ns,C16_CFNC_BA_Tot,C16_CFNC_BNW_Neg_ni_inc,C16_CFNC_BNW_1_149,C16_CFNC_BNW_150_399,C16_CFNC_BNW_400_649,C16_CFNC_BNW_650_799,C16_CFNC_BNW_800_1249,C16_CFNC_BNW_1250_1999,C16_CFNC_BNW_2000_2499,C16_CFNC_BNW_2500_2999,C16_CFNC_BNW_3000_3999,C16_CFNC_BNW_4000more,C16_CFNC_BNW_Ns,C16_CFNC_BNW_Tot,C16_CFNC_LFns_Neg_ni_inc,C16_CFNC_LFns_1_149,C16_CFNC_LFns_150_399,C16_CFNC_LFns_400_649,C16_CFNC_LFns_650_799,C16_CFNC_LFns_800_1249,C16_CFNC_LFns_1250_1999,C16_CFNC_LFns_2000_2499,C16_CFNC_LFns_2500_2999,C16_CFNC_LFns_3000_3999,C16_CFNC_LFns_4000more,C16_CFNC_LFns_Ns,C16_CFNC_LFns_Tot,C16_CFNC_Tot_Neg_ni_inc,C16_CFNC_Tot_1_149,C16_CFNC_Tot_150_399,C16_CFNC_Tot_400_649,C16_CFNC_Tot_650_799,C16_CFNC_Tot_800_1249,C16_CFNC_Tot_1250_1999,C16_CFNC_Tot_2000_2499,C16_CFNC_Tot_2500_2999,C16_CFNC_Tot_3000_3999,C16_CFNC_Tot_4000more,C16_CFNC_Tot_Ns,C16_CFNC_Tot_Tot,C16_CFC_BFT_Neg_ni_inc,C16_CFC_BFT_1_149,C16_CFC_BFT_150_399,C16_CFC_BFT_400_649,C16_CFC_BFT_650_799,C16_CFC_BFT_800_1249,C16_CFC_BFT_1250_1999,C16_CFC_BFT_2000_2499,C16_CFC_BFT_2500_2999,C16_CFC_BFT_3000_3999,C16_CFC_BFT_4000more,C16_CFC_BFT_Ns,C16_CFC_BFT_Tot,C16_CFC_BPT_Neg_ni_inc,C16_CFC_BPT_1_149,C16_CFC_BPT_150_399,C16_CFC_BPT_400_649,C16_CFC_BPT_650_799,C16_CFC_BPT_800_1249,C16_CFC_BPT_1250_1999,C16_CFC_BPT_2000_2499,C16_CFC_BPT_2500_2999,C16_CFC_BPT_3000_3999,C16_CFC_BPT_4000more,C16_CFC_BPT_Ns,C16_CFC_BPT_Tot,C16_CFC_1F1P_Neg_ni_inc,C16_CFC_1F1P_1_149,C16_CFC_1F1P_150_399,C16_CFC_1F1P_400_649,C16_CFC_1F1P_650_799,C16_CFC_1F1P_800_1249,C16_CFC_1F1P_1250_1999,C16_CFC_1F1P_2000_2499,C16_CFC_1F1P_2500_2999,C16_CFC_1F1P_3000_3999,C16_CFC_1F1P_4000more,C16_CFC_1F1P_Ns,C16_CFC_1F1P_Tot,C16_CF_1E1A_Neg_ni_inc,C16_CF_1E1A_1_149,C16_CF_1E1A_150_399,C16_CF_1E1A_400_649,C16_CF_1E1A_650_799,C16_CF_1E1A_800_1249,C16_CF_1E1A_1250_1999,C16_CF_1E1A_2000_2499,C16_CF_1E1A_2500_2999,C16_CF_1E1A_3000_3999,C16_CF_1E1A_4000more,C16_CF_1E1A_Ns,C16_CF_1E1A_Tot,C16_CF_1F1NW_Neg_ni_inc,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_399,C16_CF_1F1NW_400_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_1249,C16_CF_1F1NW_1250_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000more,C16_CF_1F1NW_Ns,C16_CF_1F1NW_Tot,C16_CF_1P1NW_Neg_ni_inc,C16_CF_1P1NW_1_149
LGA10050,68,15,1006,0,0,3,12,17,65,85,18,19,13,12,7,249,0,0,0,10,13,102,334,148,99,52,51,16,825,0,0,0,0,0,17,26,14,13,8,8,3,90,0,0,0,15,33,144,163,59,22,27,24,12,490,0,0,16,47,66,117,83,24,9,9,3,12,390,0,0,0,4,3,12,19,8,0,4,0,3,53,0,0,0,0,0,0,7,3,8,3,0,4,31,50,20,28,203,536,463,234,56,29,17,15,90,1744,0,4,0,3,8,9,6,0,0,0,0,318,347,49,27,50,298,689,967,1216,626,371,289,183,479,5238,0,0,0,0,3,25,158,200,207,248,141,92,1088,0,0,4,3,7,33,50,33,20,17,11,13,191,0,0,0,3,11,99,562,394,259,254,130,119,1831,0,0,0,0,0,17,75,57,44,39,21,22,271,0,0,0,17,21,184,277,106,49,52,33,51,793,0,0
LGA10180,55,17,576,0,0,0,20,16,58,43,14,6,5,3,4,168,0,0,0,4,5,67,152,80,45,26,36,8,422,0,0,0,4,0,5,11,3,10,7,5,4,48,0,0,4,13,12,59,61,39,21,22,8,8,247,0,4,0,31,26,63,42,10,7,5,6,4,206,0,0,0,0,0,5,9,7,0,0,0,0,33,0,0,0,0,0,0,0,0,0,5,0,0,13,23,10,20,105,238,194,141,51,22,18,10,40,871,0,0,0,0,3,4,3,0,0,0,0,161,172,37,20,28,188,322,498,608,335,196,160,126,242,2759,5,0,0,0,4,22,119,99,85,134,101,64,623,0,0,0,0,3,27,38,13,9,8,9,7,115,0,0,0,3,9,60,240,141,99,100,62,64,779,0,0,0,0,6,7,30,24,10,14,4,7,105,0,0,0,8,16,94,142,57,17,34,17,21,404,0,4
LGA10250,64,15,705,0,0,3,23,30,70,91,37,19,17,14,6,310,0,0,0,0,7,76,254,115,74,56,44,6,637,0,0,0,0,4,5,27,13,9,9,15,5,83,0,0,0,15,22,102,103,42,35,15,23,15,371,0,0,10,46,63,141,100,20,17,12,13,13,431,0,0,4,6,6,10,8,4,3,5,0,4,54,0,0,0,5,0,5,7,8,0,0,0,4,31,28,21,25,229,681,651,359,90,39,33,39,97,2283,0,0,3,6,8,3,8,4,0,0,0,234,273,35,28,41,333,824,1117,1152,529,287,240,208,397,5190,0,0,0,4,11,22,122,149,125,176,120,74,808,0,0,0,3,7,64,80,42,23,21,19,27,276,0,0,0,4,10,89,392,273,203,142,113,96,1323,0,0,0,5,0,22,51,36,17,25,7,13,167,0,0,0,8,20,123,187,89,23,40,36,41,561,0,0
LGA10300,3,0,51,0,0,0,0,0,5,6,0,0,0,0,0,13,0,0,0,0,5,13,22,9,0,0,5,0,47,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,8,11,5,0,0,0,0,29,0,0,0,9,4,3,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,18,12,8,0,0,0,0,8,57,0,0,0,0,0,0,0,0,0,0,0,16,20,3,0,0,11,24,49,77,22,7,0,11,33,243,0,0,0,0,0,0,14,9,13,3,6,4,50,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,16,20,9,8,6,0,6,67,0,0,0,0,0,0,0,3,7,0,0,0,13,0,0,0,3,4,10,22,5,0,3,0,3,50,0,0
LGA10470,78,14,858,0,0,0,3,8,37,50,20,9,11,6,3,147,3,0,5,7,13,75,209,113,64,52,40,6,576,0,0,0,3,4,8,19,17,7,10,0,3,69,0,0,0,8,21,79,131,43,30,21,8,16,361,0,0,5,32,47,93,59,21,5,5,9,5,291,0,0,0,4,8,16,7,3,0,4,3,0,49,0,0,0,0,0,11,8,9,3,4,0,3,38,35,19,25,180,368,312,180,43,13,14,7,70,1277,0,0,0,5,9,3,3,6,6,0,0,196,223,40,29,44,248,493,659,860,474,296,286,147,318,3886,0,0,0,0,5,27,158,189,210,286,158,98,1132,0,0,0,0,4,16,50,31,16,7,5,9,153,0,0,0,10,8,80,355,292,225,211,93,92,1363,0,0,0,0,0,10,52,39,42,46,22,18,231,0,0,0,12,12,121,227,108,39,37,35,48,648,0,0
LGA10500,608,42,4071,8,0,0,37,68,258,244,56,22,13,11,18,743,0,0,0,4,17,194,746,316,180,136,97,23,1711,0,0,0,3,5,34,54,62,48,42,29,23,301,0,3,7,62,107,446,461,198,65,103,49,27,1516,9,10,74,158,101,227,150,47,17,7,14,20,827,3,4,0,24,6,29,35,14,3,3,4,7,134,0,0,0,0,4,14,34,17,11,13,9,11,115,425,132,128,706,1268,734,355,107,35,41,40,176,4151,7,0,0,9,17,13,8,4,0,0,0,812,877,460,154,215,1006,1594,2015,2755,1806,1111,1294,867,1165,14439,5,0,0,8,3,58,490,660,701,1027,1046,303,4294,0,0,0,20,46,129,206,91,73,58,53,55,737,0,0,4,14,16,235,1014,802,676,710,705,270,4448,0,0,0,6,3,42,132,130,117,183,123,47,789,4,4,12,81,117,750,1072,592,235,378,230,194,3663,3,0
LGA10550,21,11,539,0,0,0,28,21,82,83,23,9,5,7,5,269,6,4,3,12,17,94,187,93,54,32,26,9,533,0,0,0,3,0,14,30,10,10,5,5,6,93,0,4,4,16,21,104,92,39,15,15,3,10,321,0,8,9,61,52,155,73,21,8,6,0,14,412,0,0,3,7,10,14,13,3,3,5,0,0,65,5,0,0,0,6,5,8,9,3,0,3,4,43,31,32,47,275,619,554,314,75,34,20,16,86,2119,5,0,0,4,8,12,8,4,0,0,0,292,329,49,52,68,427,762,1087,962,410,215,156,91,443,4732,0,0,0,4,3,29,97,124,77,99,51,57,546,0,0,0,4,10,38,80,20,8,9,4,15,185,0,0,4,7,8,97,295,187,97,66,36,72,880,0,0,0,0,0,17,43,28,17,16,0,8,124,0,0,0,8,13,117,136,51,18,16,11,35,403,0,3
LGA10600,16,6,160,0,0,0,10,12,31,43,14,12,4,0,0,125,0,0,0,3,4,31,75,44,20,11,4,4,196,0,0,0,0,4,0,11,4,0,0,0,4,33,0,0,0,7,3,44,48,10,6,0,3,7,135,0,3,4,18,30,59,29,7,0,0,4,0,152,0,0,0,0,0,4,4,0,3,0,3,0,23,0,0,0,0,0,9,5,0,0,0,0,3,13,9,11,14,87,198,170,96,9,9,7,0,35,645,0,0,4,0,3,0,3,0,0,0,0,88,103,10,17,20,131,263,366,361,118,74,47,31,148,1593,0,0,0,0,0,8,40,38,35,31,20,15,185,0,0,0,7,7,30,34,13,8,9,4,10,115,0,0,0,9,4,39,101,58,35,26,15,25,308,0,0,0,0,0,5,11,9,5,10,3,4,52,0,0,0,3,5,40,65,23,8,9,8,17,169,0,0
LGA10650,5,0,131,0,0,0,4,4,16,13,3,0,0,0,0,49,0,0,0,0,3,26,64,28,6,10,6,8,150,0,0,0,0,0,3,11,3,4,0,3,0,34,0,0,0,9,10,18,17,11,7,0,0,4,88,0,0,9,20,17,35,8,0,0,0,4,0,96,0,0,0,0,4,0,7,0,4,0,0,0,15,0,0,0,0,0,3,4,0,0,0,0,0,10,8,8,13,67,174,102,46,0,0,0,5,28,455,0,0,0,4,3,6,0,0,4,0,0,65,75,13,14,22,102,222,223,217,75,43,28,33,105,1098,0,0,0,3,0,11,37,39,22,21,10,15,164,0,0,0,0,0,13,8,3,6,0,0,0,26,0,0,0,4,0,34,88,53,21,19,8,26,251,0,0,0,0,0,0,10,15,8,0,0,4,36,0,0,0,3,5,20,47,12,3,0,4,9,106,0,0
LGA10750,544,105,5913,3,6,3,37,41,184,217,73,28,21,13,6,639,0,0,0,18,23,288,1004,503,310,181,113,32,2480,0,0,0,3,6,29,115,94,55,53,27,17,400,3,9,16,93,211,945,974,358,112,105,59,74,2958,9,12,74,232,183,366,184,51,20,24,10,40,1202,0,0,4,15,29,64,66,20,4,10,3,36,264,0,0,0,6,7,7,41,33,19,22,5,27,151,777,170,195,1194,2203,1247,604,116,39,22,25,309,6905,6,0,8,18,43,19,26,4,0,0,0,930,1054,812,212,308,1619,2753,3244,4354,2898,1799,1594,793,1572,21962,6,7,0,11,11,113,1502,2549,2490,3399,2449,820,13365,3,0,8,23,39,254,438,217,134,136,70,91,1411,6,0,0,25,49,514,2831,2239,1842,1629,1066,532,10730,0,0,4,9,9,84,378,382,329,353,194,119,1859,15,7,29,217,345,2084,3719,2003,755,949,515,583,11221,14,7
