LGA_CODE_2021,C21_85_over_UOL_SE_Tot,C21_85_over_LPE_NS,C21_85_over_Tot,C21_Tot_SEO,C21_Tot_UOL_SE_Vw_w,C21_Tot_UOL_SE_Nw_Na,C21_Tot_UOL_SE_P_E_n,C21_Tot_UOL_SE_Tot,C21_Tot_LPE_NS,C21_Tot_Tot
LGA10050,98,89,1385,48134,4146,790,68,5003,2956,56093
LGA10180,7,129,713,23203,2658,462,31,3150,2776,29124
LGA10250,53,229,1834,41545,2090,183,38,2312,2436,46296
LGA10300,0,5,47,1695,155,53,0,218,299,2208
LGA10470,29,74,1052,38175,2175,245,41,2455,2936,43567
LGA10500,1946,585,3802,73964,77251,13696,755,91709,9515,175184
LGA10550,48,168,1089,32334,1161,104,14,1276,2330,35942
LGA10600,14,33,395,11768,480,37,9,523,954,13253
LGA10650,10,45,334,7560,257,25,8,287,812,8665
LGA10750,1877,454,4304,188793,163887,20903,1810,186599,21384,396776
LGA10800,0,22,176,4897,131,17,4,154,500,5547
LGA10850,0,11,165,6908,116,10,0,131,457,7497
LGA10900,145,193,1763,70398,4825,394,74,5289,2429,78121
LGA10950,0,16,71,2183,86,3,0,94,195,2467
LGA11150,0,0,34,1840,95,3,0,103,388,2340
LGA11200,0,3,17,1094,45,3,0,48,208,1356
LGA11250,20,112,590,15480,585,65,5,649,1460,17588
LGA11300,647,231,1177,12641,19787,5567,176,25531,2049,40217
LGA11350,59,68,584,28996,3384,195,40,3621,3497,36116
LGA11400,9,35,331,12493,275,27,8,315,962,13766
LGA11450,213,60,1220,88349,24366,2751,307,27421,3552,119325
LGA11500,467,315,1953,102037,56451,7651,643,64747,9729,176519
LGA11520,1045,315,2219,50084,29973,5397,306,35675,3420,89177
LGA11570,4278,1236,8374,125243,172176,47826,1909,221907,23850,371006
LGA11600,0,5,56,2247,240,47,5,295,321,2866
LGA11650,638,1536,10545,304010,22559,2956,324,25839,16744,346596
LGA11700,0,3,22,1334,30,8,0,39,351,1725
LGA11720,23,130,1167,57361,1642,242,31,1918,4357,63632
LGA11730,33,128,1757,48046,1457,154,24,1634,4435,54115
LGA11750,0,5,75,3278,167,19,0,186,591,4059
LGA11800,126,322,2320,66787,5931,1497,119,7543,4425,78759
LGA12000,0,12,135,4070,61,6,0,64,255,4385
LGA12150,0,7,85,3122,81,7,0,90,516,3732
LGA12160,5,37,382,10161,310,83,3,391,854,11403
LGA12350,12,21,411,11237,438,67,8,514,971,12724
LGA12380,1750,442,3442,62732,121477,33384,1317,156185,16524,235439
LGA12390,30,137,1186,45188,3889,401,59,4343,5390,54922
LGA12700,5,9,184,9027,112,12,0,125,388,9541
LGA12730,8,18,286,7430,228,28,4,256,769,8456
LGA12750,77,139,1498,35935,1528,169,33,1727,2920,40593
LGA12850,3122,560,4440,48753,99413,47801,986,148201,11522,208475
LGA12870,11,42,468,11684,276,39,9,323,885,12899
LGA12900,4,28,284,8358,191,20,4,216,755,9319
LGA12930,1648,667,4229,64097,65594,15746,630,81975,6208,152274
LGA12950,0,17,129,3727,70,3,5,77,485,4295
LGA13010,17,38,303,7718,218,24,0,239,968,8931
LGA13310,46,81,825,27516,1805,281,29,2119,2418,32053
LGA13340,0,18,229,10014,230,24,4,257,884,11157
LGA13450,219,128,689,18662,5025,1305,69,6404,2018,27086
LGA13550,5,40,332,11402,384,54,8,449,1082,12929
LGA13660,4,15,173,4418,58,6,0,66,424,4910
LGA13800,113,138,1215,59393,4380,550,44,4975,2839,67207
LGA13850,8,16,90,2422,107,18,3,131,329,2882
LGA13910,12,38,541,16836,886,159,13,1060,1353,19254
LGA14000,778,569,4327,92951,47172,7206,492,54871,3990,151811
LGA14100,112,250,734,10052,2334,362,20,2718,792,13559
LGA14170,2046,293,3569,127518,38932,8676,451,48060,7239,182818
LGA14220,15,57,471,15509,614,91,14,723,1616,17853
LGA14300,0,15,125,4953,188,116,4,308,1157,6415
LGA14350,21,70,863,26714,859,107,24,990,2986,30688
LGA14400,38,118,777,20993,971,93,11,1080,997,23074
LGA14500,658,324,4138,79470,35752,5855,339,41949,2655,124076
LGA14550,4,53,228,8140,313,26,4,341,887,9359
LGA14600,4,21,199,5149,209,20,3,233,713,6094
LGA14650,383,535,6305,194306,10475,1295,162,11937,7599,213845
LGA14700,139,134,725,26798,10006,1187,150,11342,1295,39438
LGA14750,30,23,284,9374,880,250,13,1146,933,11452
LGA14850,57,119,1081,38754,2206,198,24,2432,3147,44334
LGA14870,21,33,534,18199,852,112,8,972,1673,20842
LGA14900,1408,577,2943,92144,103840,22941,1026,127808,13494,233446
LGA14920,0,29,189,6498,203,18,0,220,829,7551
LGA14950,0,12,125,3000,55,8,0,68,253,3319
LGA15050,49,183,1494,81723,4475,655,69,5196,3312,90226
LGA15240,133,385,3884,86805,2996,321,48,3359,6412,96579
LGA15270,35,58,598,22921,827,89,14,928,1856,25713
LGA15300,6,40,199,9658,456,43,3,502,2593,12751
LGA15350,101,37,916,22671,4286,439,59,4774,875,28329
LGA15520,9,65,401,11466,388,81,6,478,913,12850
LGA15560,5,15,76,2895,129,13,6,142,318,3353
LGA15650,5,30,256,14400,645,56,3,709,1249,16357
LGA15700,20,59,713,18156,630,95,11,740,1500,20407
LGA15750,7,26,303,11039,293,41,4,336,1322,12703
LGA15800,3,24,203,4937,203,9,4,214,546,5698
LGA15850,0,51,173,5372,130,10,3,138,849,6360
LGA15900,455,529,4421,143184,15705,2457,206,18376,7318,168873
LGA15950,183,147,1226,49499,15081,1443,177,16701,2748,68950
LGA15990,956,642,7243,213359,37505,4139,441,42087,8111,263554
LGA16100,8,9,107,4612,235,35,7,278,687,5580
LGA16150,55,126,1049,37958,2837,381,50,3266,2290,43512
LGA16200,13,38,438,12796,478,56,9,538,1032,14361
LGA16260,1355,311,4067,98111,120871,24213,1365,146460,12169,256729
LGA16350,531,508,2713,161419,38410,4870,440,43721,12525,217664
LGA16380,101,297,3417,79252,3307,336,42,3687,3824,86762
LGA16400,88,244,1860,68383,2863,334,29,3229,3669,75276
LGA16490,198,65,777,51554,7907,791,78,8782,2967,63304
LGA16550,1138,624,3371,88767,33553,4118,295,37961,7515,134252
LGA16610,23,87,765,20715,579,61,12,656,2200,23565
LGA16700,1111,369,3111,59738,53440,10567,622,64622,4760,129123
LGA16900,302,354,1695,65160,6696,1001,83,7781,3334,76271
LGA16950,198,275,3504,95928,4943,582,82,5608,6996,108531
LGA17000,3,21,353,22267,788,114,8,906,1405,24577
LGA17040,47,45,483,18588,1232,144,22,1396,1683,21666
LGA17080,13,28,398,12979,630,64,3,694,1220,14891
LGA17100,479,29,826,13277,24883,5020,240,30144,2172,45593
LGA17150,776,893,6435,190743,28475,3651,322,32450,7017,230211
LGA17200,748,285,2037,122723,63419,10835,561,74815,14097,211632
LGA17310,25,190,1579,54968,3136,638,60,3836,4265,63070
LGA17350,10,23,236,5562,149,15,5,169,307,6034
LGA17400,6,22,211,5968,205,18,8,235,612,6810
LGA17420,842,250,2845,112395,65748,8859,679,75285,4196,191876
LGA17550,124,533,3844,85814,4664,450,72,5189,6379,97392
LGA17620,4,60,406,12728,483,132,8,623,879,14229
LGA17640,4,20,229,7604,215,17,0,235,674,8514
LGA17650,3,7,118,5447,142,6,0,156,367,5971
LGA17750,43,192,1567,57697,5276,1045,82,6397,3514,67609
LGA17850,4,7,81,2665,65,3,0,69,282,3016
LGA17900,16,16,83,3595,264,36,5,304,1353,5253
LGA17950,0,28,87,2202,77,3,0,85,270,2550
LGA18020,3,76,345,7757,225,14,0,244,1231,9225
LGA18050,398,265,1381,50164,13422,1110,121,14654,3791,68605
LGA18100,0,14,143,3302,58,0,0,62,244,3608
LGA18200,13,13,136,6255,283,41,0,324,868,7453
LGA18250,657,165,1954,41979,25940,5168,245,31352,2276,75613
LGA18350,80,266,1764,46361,3439,332,46,3819,2531,52709
LGA18400,77,183,766,48361,2887,330,23,3239,2364,53961
LGA18450,1410,665,5754,171184,29024,5404,288,34710,8673,214564
LGA18500,206,364,1724,42520,7735,645,85,8461,2511,53496
LGA18710,10,33,338,15750,660,71,12,741,792,17281
LGA19399,0,4,20,893,39,6,0,39,81,1016
LGA19499,6,17,49,6417,1003,162,25,1187,3764,11371
LGA19799,0,0,0,0,0,0,0,0,0,0
