LGA_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
LGA13910,10,11,0,11,25,11,11,0,0,23,35,0,21,77,8,5,0,0,14,13,0,6,38,2243,1828,792,74,4938,2290,175,602,8010
LGA14000,35,24,0,3,60,28,25,3,0,61,59,3,22,142,12,9,7,0,28,35,0,4,71,12779,23251,4696,421,41149,9546,936,1218,52852
LGA14100,0,5,0,0,10,0,0,0,0,3,5,0,3,9,0,0,0,0,3,11,0,0,10,1264,1792,377,38,3475,1126,73,166,4839
LGA14170,479,416,185,105,1180,248,122,85,26,482,419,182,113,1200,34,20,7,5,64,73,14,20,173,19764,19079,6261,985,46078,22451,5558,2881,76964
LGA14220,8,5,3,6,21,13,3,3,0,21,27,6,54,105,5,0,0,0,3,20,4,20,47,2042,1556,843,82,4513,1934,181,700,7326
LGA14300,6,0,0,0,3,10,6,0,0,13,0,0,0,20,0,0,0,0,0,3,0,0,5,638,563,235,18,1452,585,62,139,2241
LGA14350,11,8,0,3,22,34,0,9,0,47,75,21,231,366,6,9,9,0,23,16,0,12,53,3559,2378,1617,151,7705,3282,371,1154,12510
LGA14400,21,6,0,7,33,14,9,5,0,29,22,3,32,86,3,0,0,0,7,8,0,4,25,3123,2618,680,68,6490,1957,164,450,9064
LGA14500,75,33,3,11,130,39,33,11,0,82,35,3,16,138,4,15,4,0,28,12,0,3,43,10588,19510,3830,300,34227,7065,569,818,42683
LGA14550,8,10,0,5,22,10,3,0,0,16,38,3,39,97,4,8,5,0,11,8,0,0,23,1209,708,447,35,2405,1208,129,384,4125
LGA14600,0,5,0,3,3,0,5,0,0,5,8,0,18,28,4,4,0,0,13,0,0,6,21,626,584,229,35,1475,674,35,321,2514
LGA14650,40,36,7,10,103,88,19,34,10,149,236,22,114,522,25,15,13,0,53,64,6,14,133,23334,24391,10185,775,58685,20010,1984,2755,83435
LGA14700,14,0,0,0,13,3,3,0,0,14,0,0,0,15,3,5,0,0,11,6,0,0,19,4238,5125,1184,139,10682,4163,578,509,15930
LGA14750,13,5,0,4,23,8,11,6,0,25,21,0,22,74,11,5,0,0,17,4,3,3,28,1129,1114,471,42,2756,1114,99,382,4347
LGA14850,16,14,0,9,31,29,6,15,0,57,199,12,71,336,7,3,3,5,19,28,3,17,63,4491,4072,2408,184,11150,5212,798,1235,18390
LGA14870,25,12,0,5,45,9,9,7,0,25,36,0,13,77,9,3,0,0,15,9,0,11,37,2314,1872,1013,84,5280,2831,203,623,8946
LGA14900,23,13,0,4,44,12,4,7,0,17,19,0,13,52,44,75,34,4,159,47,7,20,233,12434,32361,10381,908,56085,11919,1314,3958,73273
LGA14920,7,4,0,5,10,0,0,0,0,5,7,0,17,31,0,0,0,0,6,4,0,0,11,864,663,324,41,1892,876,76,379,3222
LGA14950,3,0,0,0,3,5,0,0,0,3,0,0,0,5,3,8,0,0,8,3,0,3,21,389,325,123,9,849,323,33,90,1293
LGA15050,19,27,0,4,49,30,9,9,3,56,153,7,16,227,3,14,3,0,27,20,0,3,58,8811,11010,4405,351,24585,7256,811,1014,33667
LGA15240,53,62,7,16,142,164,36,38,4,237,397,27,229,892,31,7,3,0,47,74,4,56,183,14035,7456,4472,367,26332,12219,1110,2982,42636
LGA15270,14,15,0,4,34,24,5,3,0,33,76,9,79,195,4,3,4,0,12,12,0,5,30,2897,2668,990,88,6641,2724,267,861,10502
LGA15300,5,4,0,9,19,8,6,4,0,22,27,3,116,164,10,4,0,0,23,17,5,60,97,1103,1042,524,67,2729,1185,128,1249,5288
LGA15350,57,25,8,14,104,33,19,9,3,59,25,8,15,114,10,6,0,0,11,19,0,3,33,3293,3383,853,92,7620,3658,261,381,11921
LGA15520,7,0,0,3,11,26,4,4,0,30,28,0,53,116,18,3,5,0,20,11,4,11,48,1789,1253,359,27,3434,1341,98,428,5304
LGA15560,8,0,0,4,12,3,0,0,0,8,10,0,10,24,3,0,0,0,8,0,0,0,8,412,303,121,12,857,413,25,155,1446
LGA15650,3,4,0,0,14,14,3,3,0,20,18,0,22,59,9,0,0,0,9,19,0,10,38,1582,1703,776,58,4131,1712,164,493,6498
LGA15700,22,18,0,6,49,48,7,13,4,76,91,3,195,372,13,4,4,0,21,32,6,11,77,2542,1630,1005,84,5264,2737,263,838,9103
LGA15750,6,0,0,0,4,6,3,0,0,10,16,3,72,112,4,4,3,0,8,3,0,7,22,1347,1228,509,47,3126,1316,132,669,5243
LGA15800,11,7,0,0,13,5,0,3,0,10,7,0,9,26,0,0,0,0,5,0,4,3,15,611,493,270,29,1405,685,51,217,2353
LGA15850,3,0,0,0,9,0,0,0,0,4,5,0,19,31,4,3,0,0,12,3,0,6,15,632,585,281,33,1522,649,54,302,2523
LGA15900,82,107,32,20,237,46,22,25,0,89,124,32,60,305,25,12,8,0,49,78,5,23,154,16835,17052,7295,867,42051,19486,4588,2692,68811
LGA15950,35,26,15,5,74,26,5,3,0,35,28,15,10,84,16,4,4,0,24,45,6,9,87,9771,6086,2053,372,18279,12490,1630,1393,33794
LGA15990,185,97,30,24,336,99,62,42,11,217,140,30,70,459,40,41,14,3,99,73,12,14,191,25487,35799,8329,711,70330,21056,2990,2994,97369
LGA16100,0,0,0,0,0,0,0,0,0,7,6,0,9,18,0,0,0,0,0,3,0,0,7,680,496,217,6,1402,587,46,314,2350
LGA16150,12,13,0,8,42,7,8,3,0,19,29,0,18,71,5,12,3,0,24,19,6,6,61,4210,4665,1954,169,10996,4669,515,998,17181
LGA16200,10,9,0,5,21,4,5,3,0,12,25,0,37,65,7,10,3,0,25,21,0,8,52,1484,1373,688,41,3587,1683,127,488,5889
LGA16260,114,48,24,21,206,24,72,18,0,120,48,24,39,228,65,44,19,0,122,86,19,21,257,22555,34123,8699,1372,66741,20742,4627,4127,96232
LGA16350,33,12,0,8,57,26,13,23,5,71,100,8,21,198,24,24,9,0,57,44,9,18,123,16464,27324,10804,904,55491,15971,1939,3789,77183
LGA16380,26,26,4,6,60,100,15,19,0,138,228,10,193,567,22,11,6,0,44,50,6,50,149,11687,7987,3841,271,23785,10035,1031,1783,36631
LGA16400,20,12,4,3,42,116,23,42,7,186,234,29,168,614,28,8,4,0,42,52,4,12,110,9475,7576,3395,220,20670,7503,694,1546,30415
LGA16490,25,13,0,8,46,23,12,6,0,37,24,0,38,101,5,10,5,0,16,25,0,19,57,6220,8098,2253,219,16785,5819,503,1207,24311
LGA16550,207,171,64,38,475,111,53,37,7,207,171,64,38,478,12,11,8,0,27,37,7,14,87,12939,14759,4641,705,33050,14505,3873,2408,53835
LGA16610,16,10,4,4,31,42,14,19,0,74,118,7,173,367,4,5,4,0,11,18,3,12,47,2677,2073,1145,100,5989,2578,256,994,9820
LGA16700,66,42,8,10,128,32,20,10,5,67,46,8,16,138,10,8,3,0,28,48,14,18,112,12647,16295,4220,739,33907,12976,2159,1757,50800
LGA16900,21,16,4,4,43,72,10,22,5,103,204,10,56,372,11,6,6,0,24,16,0,3,45,7643,9167,3914,285,21014,5942,586,972,28517
LGA16950,37,25,4,5,70,260,45,34,5,340,491,18,252,1103,49,19,6,4,74,175,7,46,302,14572,9655,4746,380,29348,12150,1169,3227,45896
LGA17000,3,0,0,3,10,17,0,7,0,31,60,7,44,143,6,3,0,0,11,3,0,5,19,2337,3014,930,75,6360,1901,184,557,8998
LGA17040,18,11,0,3,34,8,7,3,0,24,29,0,66,129,14,8,4,0,27,28,7,107,167,2485,2061,703,52,5291,2386,358,1374,9417
LGA17080,7,14,0,0,19,6,4,0,0,11,19,0,55,83,8,9,3,0,16,12,3,21,52,1802,1447,613,43,3905,1668,97,561,6228
LGA17100,50,20,26,0,97,13,29,3,0,50,20,26,0,97,10,8,0,0,18,39,10,19,84,3981,5456,1349,363,11147,3224,1375,777,16521
LGA17150,103,50,22,20,195,61,37,32,4,132,127,30,48,332,23,20,6,5,53,56,4,14,123,22413,31746,8189,654,63002,18511,1779,2259,85555
LGA17200,198,237,112,49,584,115,47,26,14,198,236,112,112,654,86,24,12,7,134,257,38,101,524,29523,10821,4557,1398,46287,40160,11299,7046,104787
LGA17310,8,8,0,9,24,21,3,4,0,36,87,3,136,257,23,8,11,3,46,68,0,19,133,6586,6260,3051,269,16167,6726,722,1724,25341
LGA17350,9,9,0,5,23,9,0,0,0,10,18,0,14,42,0,3,0,0,4,0,0,0,12,768,572,236,23,1601,756,27,134,2527
LGA17400,0,9,0,0,8,0,6,0,0,9,28,5,45,85,6,0,0,0,12,8,0,0,19,1015,464,276,20,1772,1024,85,356,3233
LGA17420,8,0,0,0,13,0,5,3,0,6,4,0,3,16,24,38,7,0,76,33,0,9,121,14290,31781,5220,409,51702,7282,831,1216,61028
LGA17550,22,13,0,3,40,211,24,33,4,276,421,17,604,1322,23,11,12,0,43,60,5,73,174,11193,9370,4509,362,25436,10812,1355,3077,40683
LGA17620,3,3,0,3,12,19,0,3,0,29,34,3,12,80,9,0,0,0,6,4,0,3,21,1718,1498,509,32,3763,1581,153,401,5899
LGA17640,4,0,0,0,4,0,3,3,0,11,6,0,15,32,8,4,5,0,9,8,0,0,18,1160,881,250,23,2312,894,38,349,3595
LGA17650,14,0,0,0,9,5,3,7,0,14,14,0,9,37,0,0,0,0,3,0,0,0,4,770,590,241,30,1630,604,54,164,2450
LGA17750,21,23,14,7,69,21,9,3,0,33,40,14,61,156,6,11,0,0,17,28,0,35,82,6491,7303,2924,248,16963,6859,946,1375,26149
LGA17850,0,0,0,0,0,3,0,0,0,3,7,0,6,12,0,0,0,0,0,0,0,3,5,458,275,71,13,812,358,15,125,1310
LGA17900,9,4,0,0,8,55,16,13,0,88,134,18,173,406,19,5,12,0,36,47,3,35,120,445,300,206,23,980,621,63,763,2421
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,0,0,6,9,0,3,14,273,237,91,11,612,303,25,99,1037
LGA18020,5,3,0,5,12,7,0,3,0,11,17,0,51,75,8,14,4,0,19,12,0,9,39,1059,738,372,37,2210,1114,79,595,3990
LGA18050,216,167,52,54,492,129,55,24,3,216,167,52,56,501,15,5,0,0,18,29,7,3,65,7346,7087,1891,257,16587,8216,2645,1583,29041
LGA18100,5,0,0,0,3,4,0,0,0,6,3,0,4,8,0,0,0,0,0,4,0,0,3,505,312,128,23,963,514,28,111,1611
LGA18200,0,0,0,0,3,17,4,0,0,22,26,0,59,101,4,3,0,0,5,6,0,13,23,857,759,232,29,1876,631,41,407,2952
LGA18250,39,27,5,5,79,18,11,5,0,39,31,5,12,85,6,7,4,0,17,18,0,14,47,6818,10501,2550,347,20207,6320,1067,872,28465
LGA18350,21,18,3,8,47,24,12,6,7,44,94,9,42,185,6,10,4,0,18,16,0,4,40,6838,5571,1918,153,14478,5280,430,1133,21320
LGA18400,15,20,0,0,37,16,10,4,0,23,77,0,19,120,11,7,10,0,25,17,0,4,43,4792,7431,1828,113,14163,2911,245,686,18010
LGA18450,147,131,28,20,332,123,59,42,18,238,288,37,82,639,24,29,17,0,75,70,9,31,183,20954,24587,9413,842,55796,21265,3593,3206,83868
LGA18500,78,101,14,19,207,44,28,10,0,78,101,14,16,209,13,16,0,0,29,28,0,21,67,6280,5484,1630,212,13611,6946,1353,990,22894
LGA18710,4,0,0,0,6,5,0,0,0,7,3,0,14,27,3,11,0,0,16,26,0,10,46,1854,2228,531,38,4653,1186,91,349,6277
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,19,29,5,11,0,0,12,14,3,22,54,112,105,28,4,246,91,14,114,467
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
