LGA_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
LGA15800,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,4,4,5,0,14,54,6,3,71,0,0,0,0,0,7,0,26,40,0,0,0,0,0,0,0,6,9,0,5,0,0,4,0,0,0,4,3,5,0,0,7,7,0,38,51,8,5,0,0,10,0,0,0,15,596,555,244,18,1408,683,57,252,2404,594,482,266,29,1364,600,50,183,2199,3,5,0,0,12,31,0,8,50,0,0,0,0,0,6,0,0,6,3,5,0,0,12,34,0,8,52,3,5,0,0,13,39,3,9,64,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,13,41,3,9,62,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,3,0,3,0
LGA15850,0,0,0,3,0,3,4,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,12,3,3,0,19,69,0,13,104,0,0,0,0,0,8,0,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,4,8,0,12,19,4,7,0,0,9,16,0,0,23,678,602,312,32,1617,655,49,227,2544,611,578,266,26,1475,545,54,248,2321,8,0,8,0,21,61,0,14,98,0,0,0,0,0,0,0,3,6,10,0,8,0,20,61,0,16,100,4,0,0,0,8,33,0,6,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,33,0,6,51,0,0,0,0,3,3,0,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA15900,90,8,835,847,148,272,2105,..,..,..,..,..,..,..,..,..,33,12,5,0,55,91,12,6,162,1557,449,542,83,2629,4337,678,719,8364,11,5,3,0,22,10,4,47,82,4,0,0,0,4,5,0,74,81,32,18,26,5,74,79,17,26,195,46,22,29,5,99,89,22,144,355,50,35,17,5,100,140,31,17,290,14640,15940,6986,818,38388,17488,4104,2357,62328,12061,15045,5460,591,33159,9738,2715,1202,46814,953,433,525,64,1979,2254,290,218,4748,1514,916,708,108,3244,2163,783,312,6502,2472,1348,1234,170,5228,4418,1078,525,11248,608,215,233,43,1094,2120,291,326,3826,531,150,146,30,850,1244,206,286,2586,595,131,105,16,849,929,145,158,2078,434,91,57,10,594,701,86,91,1480,65,46,33,3,143,124,35,25,326,2231,625,570,102,3528,5128,753,887,10297,10,0,3,0,12,14,0,19,51,0,0,0,0,0,0,0,17,22,37,20,17,0
LGA15950,483,165,5864,5043,778,1432,13124,..,..,..,..,..,..,..,..,..,4,8,3,0,12,12,0,4,29,7174,3102,1108,321,11702,9019,1655,2335,24718,0,0,0,0,0,9,0,5,10,0,0,0,0,0,0,0,3,3,21,11,3,0,38,18,4,10,69,21,11,3,0,39,30,4,15,88,21,13,3,0,37,47,4,3,96,9354,5912,1748,403,17413,10632,2018,2792,32851,1066,1520,317,35,2939,587,68,105,3703,304,397,111,9,821,297,50,33,1207,925,900,234,31,2088,735,121,94,3044,1229,1290,352,40,2909,1031,171,132,4250,1002,681,285,39,2004,1366,230,146,3740,2121,957,421,97,3599,3126,440,244,7403,1790,699,283,74,2845,2745,325,267,6186,2516,913,383,84,3905,3552,375,485,8312,10,4,3,0,15,9,0,0,29,7438,3263,1373,294,12365,10796,1371,1139,25672,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,26,5,3,0
LGA15990,611,97,5013,3079,542,634,9273,..,..,..,..,..,..,..,..,..,19,22,7,3,50,42,4,8,114,8614,5165,2296,304,16383,10279,1834,2134,30632,30,13,10,0,57,105,3,179,344,0,5,0,0,5,28,0,49,88,78,57,38,7,173,59,23,33,287,111,70,53,3,237,188,30,263,716,91,91,37,3,210,143,25,20,400,23009,34442,7563,756,65762,19132,3043,4454,92389,13552,27824,4843,365,46587,6526,927,1295,55334,496,482,131,14,1128,924,46,108,2206,1732,1745,613,36,4126,1929,146,211,6413,2223,2234,749,55,5252,2854,189,320,8623,1816,1258,514,50,3638,2783,339,307,7069,4152,2545,1258,131,8089,4740,930,512,14271,2787,1415,735,78,5024,3081,443,345,8888,657,279,120,13,1068,734,101,80,1984,153,154,51,3,367,133,18,50,563,9570,5645,2685,280,18181,11466,1828,1296,32767,13,8,3,0,31,43,0,40,109,0,0,0,0,0,3,0,3,14,80,54,33,9
LGA16100,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,4,0,3,0,10,32,0,9,51,4,4,0,0,5,3,0,4,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,5,9,0,4,15,19,8,9,0,41,20,0,3,65,611,504,197,6,1320,513,49,219,2091,660,491,203,6,1370,505,42,280,2192,11,0,5,0,24,52,0,21,97,0,0,0,0,0,0,0,0,0,10,0,5,0,23,52,0,21,98,0,0,0,0,0,11,3,5,16,0,0,0,0,0,12,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,16,4,8,33,0,0,0,0,7,9,0,5,19,0,0,0,0,0,0,0,0,4,0,0,0,0
LGA16150,0,0,6,5,0,0,15,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,3,76,26,36,3,143,388,22,98,646,0,0,0,0,0,23,0,45,72,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,0,4,12,0,6,3,0,3,26,0,50,84,14,17,8,0,34,87,7,13,138,3822,4271,1848,119,10055,4216,464,960,15700,3870,4495,1759,143,10268,3283,416,697,14662,224,106,135,17,477,828,41,151,1505,22,10,24,3,57,132,8,31,234,247,113,157,13,536,967,47,181,1733,75,24,26,0,133,349,25,70,578,3,4,3,0,10,16,6,25,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,9,0,0,17,83,25,31,11,151,377,33,93,658,5,0,3,0,7,18,0,10,31,0,0,0,0,0,0,0,0,0,6,8,0,0
LGA16200,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,38,8,16,0,69,215,10,74,368,3,3,0,0,9,8,0,42,65,0,0,0,0,7,3,0,0,6,3,4,0,0,11,7,0,0,14,8,4,3,0,19,22,0,46,90,12,10,3,0,27,17,3,27,75,1446,1451,670,45,3608,1579,104,554,5850,1396,1318,655,39,3411,1316,115,375,5219,33,14,9,0,61,108,4,12,188,0,0,0,0,0,17,0,4,18,33,14,9,0,61,122,4,17,205,44,12,15,0,69,202,10,55,331,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,43,15,15,0,70,207,10,55,340,3,0,0,0,6,14,0,29,46,0,0,0,0,0,0,0,3,5,3,3,3,0
LGA16260,1076,271,10449,3550,1182,1637,16816,..,..,..,..,..,..,..,..,..,7,7,0,4,24,16,0,5,49,7521,8780,2299,548,19140,7887,2047,2752,31829,3,3,4,0,4,5,0,10,18,0,0,0,0,0,0,0,25,24,32,95,11,8,147,54,27,20,253,35,100,16,8,155,56,23,51,295,59,74,20,0,161,123,21,29,321,17862,30694,7376,1140,57074,15216,3533,4341,80166,8515,17218,3858,377,29960,4974,939,992,36867,494,732,302,23,1544,1031,82,148,2795,1949,4282,1161,112,7503,1725,369,352,9949,2438,5012,1458,140,9049,2755,451,498,12751,891,727,263,93,1974,2011,269,268,4518,1925,2309,887,191,5312,2897,737,542,9495,4472,4825,1312,316,10927,4161,1025,933,17046,4153,3826,855,244,9075,3730,1146,813,14771,86,89,25,10,201,75,17,15,308,11522,11771,3349,844,27486,12878,3199,2574,46139,0,0,5,0,3,3,0,11,15,0,0,0,0,0,0,0,8,8,24,75,17,0
LGA16350,135,13,343,292,45,105,790,..,..,..,..,..,..,..,..,..,5,10,4,0,21,16,4,9,52,643,421,568,60,1687,1934,204,566,4397,24,6,7,7,47,94,3,60,208,5,6,4,0,14,11,4,18,49,10,11,13,0,34,19,4,10,60,44,28,19,9,99,125,9,83,318,48,69,29,3,151,81,10,11,255,14549,24962,9477,787,49777,12235,1654,3402,67065,13603,24435,8340,621,47008,9210,1255,2336,59806,450,495,453,32,1436,1221,96,222,2969,1103,1665,1209,92,4075,1881,237,472,6660,1549,2166,1660,131,5510,3100,329,693,9628,221,119,171,35,547,1130,67,179,1918,241,152,177,33,608,843,73,164,1688,501,263,287,55,1105,1071,132,313,2622,229,79,75,21,413,361,63,51,884,66,72,43,0,183,111,11,19,317,1259,685,758,148,2852,3518,339,721,7432,21,0,9,0,31,83,4,10,126,0,5,0,0,6,4,0,3,12,8,15,17,0
LGA16380,72,3,435,467,70,135,1111,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,731,149,328,26,1227,1883,181,400,3695,168,14,22,13,215,402,18,371,1002,4,0,0,0,6,12,0,37,54,16,6,11,0,29,25,8,4,67,186,22,35,13,248,437,24,409,1115,45,31,17,0,94,81,11,23,213,10322,7137,3411,221,21091,8815,952,2158,33017,9524,7416,2986,217,20147,5556,681,1006,27395,927,214,374,19,1533,1874,121,190,3718,321,130,171,12,630,424,63,71,1191,1243,344,546,32,2163,2301,179,263,4904,294,71,158,17,544,988,71,124,1735,148,45,42,5,241,321,19,52,640,277,45,68,3,398,522,54,64,1032,58,7,8,0,74,58,0,20,155,12,15,3,0,31,9,0,8,45,797,187,284,24,1289,1895,151,271,3613,92,8,10,0,107,202,5,168,493,0,0,0,0,0,0,0,14,17,12,8,8,0
LGA16400,27,4,154,160,13,35,365,..,..,..,..,..,..,..,..,..,0,3,4,0,11,12,0,6,24,235,56,85,3,379,496,28,118,1026,155,11,23,3,199,307,19,240,771,7,3,0,0,16,0,0,3,23,12,7,11,0,28,12,0,5,50,177,26,35,6,244,321,24,255,844,32,15,16,0,65,57,3,37,158,8095,7188,2966,195,18450,6356,646,1992,27449,7893,7053,2774,183,17900,4942,524,1026,24390,563,173,217,18,968,1142,48,136,2291,573,265,264,8,1110,598,43,110,1864,1131,441,480,25,2080,1738,94,241,4155,55,14,30,4,111,206,13,45,368,64,9,17,0,92,120,10,21,242,167,19,36,4,224,195,17,29,459,0,0,0,0,0,0,0,0,0,16,7,10,3,40,21,0,8,66,302,52,91,11,463,537,43,95,1135,107,15,35,7,167,222,26,149,558,0,0,0,0,0,5,0,15,22,10,0,3,0
LGA16490,55,9,375,511,42,117,1045,..,..,..,..,..,..,..,..,..,0,5,0,0,6,9,0,3,16,399,312,168,22,900,1372,102,287,2666,11,0,3,0,22,27,0,69,114,3,5,0,0,13,0,0,13,32,6,7,5,0,19,10,0,9,34,23,21,8,0,51,39,0,84,179,18,19,0,7,44,32,8,5,85,5197,7053,1963,172,14381,5168,471,1511,21535,5062,7162,1697,133,14057,2755,266,771,17849,328,281,199,24,830,813,49,105,1794,342,325,171,21,863,658,57,78,1653,668,608,371,47,1690,1467,104,183,3444,146,111,72,16,339,687,39,92,1154,93,67,35,8,211,306,40,53,603,193,118,59,17,388,508,38,46,983,20,7,5,0,34,40,3,0,79,3,4,5,0,14,10,0,3,32,457,312,177,39,988,1554,126,192,2857,11,3,3,0,11,9,0,12,41,0,0,0,0,0,3,0,18,18,11,7,4,0
LGA16550,517,249,4374,2834,1433,952,9597,..,..,..,..,..,..,..,..,..,13,14,0,0,32,32,7,5,81,7177,4290,2153,602,14228,9494,4386,2773,30883,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,3,102,75,47,10,240,135,77,45,494,102,76,47,10,236,134,80,56,505,32,50,11,0,91,90,19,23,214,11864,14472,4437,1005,31775,13094,5503,3783,54161,3196,6657,1367,170,11389,1940,461,340,14129,695,1399,340,38,2475,792,118,111,3493,1135,2322,631,62,4145,897,176,209,5428,1828,3721,973,96,6621,1688,299,327,8920,1273,941,535,74,2815,2109,536,330,5790,3629,1841,1090,217,6784,5171,1571,854,14383,2217,1133,463,90,3908,2622,663,397,7584,646,368,163,43,1217,731,265,89,2302,31,39,10,0,78,46,10,10,152,7801,4324,2256,432,14808,10677,3049,1687,30214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,111,53,37,7
LGA16610,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,76,45,67,8,197,403,30,75,713,48,5,4,0,62,112,5,242,421,0,0,0,0,0,0,0,11,18,8,5,4,0,18,12,0,9,39,55,9,11,0,85,128,7,259,479,9,9,3,0,16,15,0,8,38,2424,2122,1127,108,5781,2503,262,907,9456,2395,1981,997,89,5452,1790,212,650,8101,124,34,63,6,226,340,18,72,655,60,33,32,3,131,97,15,34,269,189,63,97,7,353,434,32,109,921,42,10,31,3,90,198,11,54,352,0,0,0,0,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,7,9,0,0,22,48,13,33,3,98,220,11,59,380,35,8,12,0,56,101,4,167,325,0,0,3,0,3,8,4,0,16,9,3,3,0
LGA16700,418,163,4284,1742,617,374,7017,..,..,..,..,..,..,..,..,..,6,7,0,0,15,9,0,3,30,4250,2964,1060,351,8632,4784,1263,819,15496,6,0,0,0,4,7,0,43,57,0,0,0,0,0,0,0,6,4,23,19,7,5,53,39,16,10,113,27,19,7,5,58,47,16,56,170,40,56,19,0,120,79,10,13,222,10155,14818,3670,740,29390,9579,2300,1745,43013,4779,9693,1945,239,16660,2761,593,459,20472,610,914,297,23,1842,766,48,115,2777,955,1572,448,63,3037,1100,161,128,4433,1560,2487,742,91,4877,1869,207,245,7203,278,163,97,18,558,746,51,89,1447,1435,1040,507,128,3109,2989,384,244,6726,2232,1706,523,136,4601,2435,449,322,7808,2292,1146,360,124,3929,2019,432,352,6732,24,30,20,0,74,56,16,11,155,6262,4087,1518,407,12275,8253,1330,1015,22872,0,0,0,0,0,6,0,8,9,0,0,0,0,0,0,0,0,0,32,19,10,5
LGA16900,0,0,3,0,0,0,6,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,5,162,78,161,13,407,478,33,95,1024,74,4,16,7,101,196,6,44,344,0,0,0,0,0,0,0,12,18,16,4,10,0,31,16,5,13,58,89,11,26,7,133,213,7,66,416,40,13,9,0,62,46,5,18,130,6241,8428,3436,226,18322,4858,461,1085,24726,6330,8441,3100,213,18086,3465,417,661,22630,449,165,273,30,913,878,50,77,1921,504,436,356,26,1320,683,75,99,2179,949,602,627,58,2236,1561,124,173,4099,167,87,131,16,400,568,30,63,1066,52,4,6,0,65,47,0,0,113,37,6,0,0,42,51,4,6,103,0,0,0,0,0,0,0,0,0,27,19,10,0,57,27,0,4,92,288,116,151,18,569,696,36,83,1381,62,4,16,0,81,190,9,52,327,0,0,0,0,0,0,0,0,0,12,4,5,0
LGA16950,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,..,0,0,0,0,0,9,0,0,16,168,55,99,10,334,598,31,118,1078,279,42,41,3,365,557,15,245,1178,5,7,0,0,7,10,0,19,39,14,6,10,0,29,21,0,5,56,293,53,44,6,401,579,23,266,1270,74,57,22,0,158,115,7,34,310,12772,8854,4363,302,26291,10910,986,2745,40932,13208,9304,4297,330,27131,9121,979,2534,39765,692,159,240,30,1120,1411,98,201,2823,189,61,96,9,357,455,26,96,937,881,223,336,34,1483,1861,128,294,3761,122,56,57,6,237,435,33,88,793,9,3,0,0,12,20,0,3,33,0,0,0,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,29,15,16,0,64,48,3,8,126,165,74,72,7,324,504,39,104,972,246,27,24,4,298,461,18,175,947,0,0,3,0,3,3,0,75,77,12,15,9,0
LGA17000,0,0,4,0,0,0,4,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,30,16,33,0,87,173,12,42,314,11,3,5,0,20,27,3,25,74,4,0,0,0,5,6,0,0,15,4,0,0,0,0,0,0,11,15,21,3,7,0,26,36,3,34,98,10,13,4,0,27,22,0,4,56,2099,2831,842,76,5848,1716,171,618,8355,2190,2921,807,59,5972,1360,140,412,7892,67,58,59,4,185,201,12,34,434,31,11,35,5,82,117,19,31,243,99,69,95,9,269,315,27,62,679,36,19,22,0,73,155,8,29,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,36,19,22,0,73,156,8,29,265,16,0,9,0,23,56,9,33,122,0,0,0,0,0,3,0,6,9,0,0,3,0
LGA17040,0,0,6,16,5,39,75,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,3,65,27,22,3,117,245,53,576,993,14,9,0,0,26,44,4,156,224,3,0,0,0,5,6,0,11,24,4,4,5,0,13,13,0,11,33,22,17,3,0,47,60,4,173,284,63,45,18,4,124,109,10,158,401,2269,1966,682,52,4966,2295,257,1706,9222,2269,1951,629,48,4888,1895,203,804,7791,44,22,13,0,82,112,9,36,240,32,21,13,0,66,71,37,68,245,74,47,24,0,149,189,47,100,482,95,40,35,0,170,212,80,219,679,13,3,6,0,21,25,8,57,115,7,0,0,0,7,5,0,5,16,0,0,0,0,0,0,0,0,0,3,5,0,0,8,8,3,3,32,118,48,38,0,207,250,93,292,839,9,0,0,0,9,17,0,42,65,0,0,0,0,0,3,0,21,28,4,7,0,0
LGA17080,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,24,8,8,0,41,102,7,32,186,3,5,6,0,17,13,0,19,44,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,7,8,5,5,0,15,11,0,25,55,8,11,0,0,24,9,0,0,39,1743,1368,554,51,3715,1574,97,498,5890,1724,1406,581,42,3748,1352,89,420,5604,61,24,26,3,119,232,5,45,397,0,0,0,0,3,4,0,0,8,58,21,31,3,118,237,5,43,404,9,4,0,0,10,40,0,29,72,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,11,3,0,0,17,43,0,29,77,0,0,0,0,0,11,0,50,58,0,5,0,0,5,0,0,6,5,6,3,0,0
LGA17100,257,103,2086,505,488,419,3498,..,..,..,..,..,..,..,..,..,0,0,0,0,0,3,0,0,5,1529,1926,537,168,4169,1370,779,598,6910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,14,4,79,30,27,11,144,24,36,14,4,79,30,27,15,145,21,23,9,8,61,24,22,7,126,2766,5080,1294,291,9428,2215,1023,872,13537,1263,2668,569,62,4564,675,150,147,5537,24,41,14,0,80,55,4,3,142,140,291,100,10,531,117,44,20,716,162,328,111,10,611,175,46,28,861,201,226,85,30,541,421,103,74,1138,507,605,160,70,1337,582,182,89,2193,1255,1183,287,123,2848,981,616,342,4785,564,413,135,54,1166,335,247,78,1827,0,3,0,0,5,0,0,0,8,2537,2429,659,281,5904,2321,1147,577,9947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,3,0
LGA17150,403,61,2527,1791,213,349,4877,..,..,..,..,..,..,..,..,..,3,3,3,0,14,9,4,0,26,4501,2463,1794,208,8966,6887,869,1229,17949,31,14,16,0,66,99,8,35,209,0,0,0,0,0,5,0,12,17,46,37,19,0,107,68,18,28,217,79,51,34,0,176,171,28,76,443,50,45,16,0,114,65,14,15,207,19530,30690,7646,718,58579,16035,1738,2807,79165,13693,25440,4539,352,44029,6054,600,845,51517,607,603,295,22,1531,1079,42,103,2759,2303,2756,1198,60,6315,2428,170,298,9210,2910,3358,1492,88,7845,3507,209,405,11967,798,437,333,25,1596,1923,141,205,3871,2238,1285,1051,97,4674,3604,456,338,9064,2067,899,543,69,3579,2479,273,309,6636,569,222,173,18,985,715,64,79,1845,45,50,17,4,111,52,5,19,195,5723,2895,2123,207,10946,8772,936,950,21610,14,7,3,4,31,69,3,30,134,0,0,0,0,0,0,0,0,0,43,31,27,3
