SA1_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
10102100701,28,4,0,0,0,0,0,32
10102100702,28,0,0,0,0,0,0,32
10102100703,40,7,4,0,0,0,0,44
10102100704,22,8,0,0,0,0,0,26
10102100705,34,4,0,3,0,0,0,40
10102100706,15,3,3,0,0,0,0,25
10102100707,32,3,0,0,0,0,0,34
10102100708,57,4,0,0,0,0,0,62
10102100709,45,4,3,0,0,0,0,51
10102100710,37,0,0,0,0,0,0,34
10102100801,44,4,4,0,0,0,0,50
10102100802,63,12,11,0,0,0,0,86
10102100803,21,5,4,0,0,0,0,29
10102100804,31,7,0,0,0,0,0,40
10102100805,12,5,0,0,0,0,0,15
10102100806,37,3,3,0,0,0,0,47
10102100807,45,10,0,0,0,0,0,58
10102100808,55,5,0,3,0,0,0,60
10102100809,0,0,0,0,0,0,0,0
10102100810,31,0,4,0,0,0,0,36
10102100811,29,10,5,0,0,0,0,40
10102100812,31,4,3,0,0,0,0,43
10102100813,61,0,0,0,0,0,0,66
10102100814,56,7,5,0,0,0,0,64
10102100815,41,5,4,0,0,0,0,48
10102100816,32,8,3,0,0,0,0,42
10102100817,31,4,7,0,0,0,0,40
10102100818,32,6,3,0,0,0,0,39
10102100819,58,4,0,0,0,0,0,65
10102100820,34,3,5,0,0,0,0,45
10102100821,67,8,0,0,0,0,0,75
10102100822,28,3,0,0,0,0,0,35
10102100823,26,0,4,0,0,0,0,28
10102100901,27,0,0,0,0,0,0,35
10102100902,36,5,0,0,0,0,0,42
10102100904,39,3,3,0,0,0,0,44
10102100905,38,5,0,0,0,0,0,46
10102100907,54,3,4,0,0,0,0,57
10102100908,27,4,0,0,0,0,0,29
10102100909,53,0,0,0,0,0,0,52
10102100910,35,3,7,0,0,0,0,43
10102100911,42,0,3,0,0,0,0,49
10102100912,27,0,0,0,0,0,0,29
10102100913,60,5,0,0,0,0,0,71
10102100914,34,3,7,0,0,0,0,47
10102100915,58,5,3,0,0,0,0,64
10102100916,37,3,6,0,0,0,0,51
10102100917,11,0,0,0,0,0,0,11
10102100918,42,0,0,0,0,0,0,46
10102100919,40,4,0,0,0,0,0,51
10102100920,17,0,0,0,0,0,0,23
10102100921,28,3,0,0,0,0,0,32
10102100923,44,3,0,0,0,0,0,51
10102100924,4,0,0,0,0,0,0,4
10102100925,31,6,0,0,0,0,0,37
10102100926,22,0,0,0,0,0,0,21
10102100927,47,0,0,0,0,0,0,53
10102100928,22,5,3,0,0,0,0,34
10102100929,31,0,0,0,0,0,0,38
10102101001,10,4,0,0,0,0,0,18
10102101002,37,4,3,0,0,0,0,50
10102101003,35,9,0,0,0,0,0,44
10102101004,31,6,3,0,0,0,0,43
10102101006,25,4,0,0,0,0,0,33
10102101007,13,0,0,0,0,0,0,20
10102101008,37,0,0,0,0,0,0,39
10102101009,31,9,3,0,0,0,0,38
10102101010,36,4,0,0,0,0,0,38
10102101011,0,0,0,0,0,0,0,0
10102101012,13,3,0,0,0,0,0,13
10102101013,5,0,0,0,0,0,0,5
10102101014,17,0,0,0,0,0,0,13
10102101015,49,0,0,0,0,0,0,50
10102101016,58,7,0,0,0,0,0,71
10102101017,32,5,3,0,0,0,0,39
10102101201,24,0,0,0,0,0,0,28
10102101202,45,0,0,0,0,0,0,46
10102101203,99,4,6,0,0,0,0,107
10102101204,72,0,5,0,0,0,0,75
10102101205,51,7,0,0,0,0,0,55
10102101206,55,3,3,4,0,0,0,63
10102101207,21,5,0,0,0,0,0,24
10102101208,40,4,0,0,0,0,0,46
10102101209,139,5,0,0,0,0,0,150
10102101210,52,9,0,0,0,0,0,67
10102101211,100,4,3,0,0,0,0,113
10102101212,49,7,4,0,0,0,0,57
10102101213,74,13,0,0,0,0,0,79
10102101214,77,8,6,0,0,0,0,88
10102101215,54,5,5,0,0,0,0,64
10102101216,48,4,5,0,0,0,0,54
10102101217,9,0,0,0,0,0,0,10
10102101218,67,0,0,0,0,0,0,69
10102101219,39,5,5,0,0,0,0,52
10102101220,53,4,3,0,0,0,0,59
10102101221,49,3,6,0,0,0,0,55
10102101222,73,8,0,0,0,0,0,90
10102101223,64,15,0,0,0,0,0,82
10102101224,82,10,0,3,0,0,0,97
10102101225,0,0,0,0,0,0,0,0
10102101226,0,0,0,0,0,0,0,0
10102101227,69,9,0,4,0,0,0,79
10102101228,43,3,3,0,0,0,0,47
10102101229,45,5,0,0,0,0,0,47
10102101230,11,0,3,0,0,0,0,12
10102101231,44,4,0,0,0,0,0,49
10102101232,78,5,3,0,0,0,0,86
10102161001,51,7,0,0,0,0,0,60
