SA4_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
101,32764,1970,826,492,101,36144,27477,1677,784,55,54,30048,6707,2375,2627,65,27,11806,1346,404,172,10,0,1935,330,301,118,3,4,753,3973,617,585,56,33,5267,996,118,140,115,45,1414,88,33,25,4,3,146,13435,3857,3667,260,115,21324,1497,371,92,47,40,2057,1174,164,100,29,41,1503,76349,8034,5476,872,342,91076
102,37541,5025,2517,340,48,45475,40498,2468,1683,66,37,44753,16035,3790,4626,312,89,24857,1236,1307,781,5,14,3330,361,373,368,5,3,1107,4281,647,654,59,32,5669,659,137,61,122,11,991,118,41,40,9,0,206,22687,6295,6529,510,144,36168,1233,1499,534,25,12,3301,1258,454,229,40,34,2012,103225,15743,11486,983,280,131713
103,28663,1002,231,248,77,30225,24422,482,109,113,45,25177,8950,2437,1154,71,25,12643,1867,466,250,0,6,2589,336,238,111,4,7,693,3726,352,140,31,32,4291,657,79,57,62,35,889,123,27,20,0,0,172,15662,3599,1734,178,100,21278,1482,243,109,28,37,1908,1143,142,79,64,33,1460,71378,5467,2273,627,293,80039
104,20192,1288,817,677,78,23054,14679,747,383,104,25,15934,4976,1616,1858,41,35,8524,617,290,255,3,0,1158,308,253,149,0,0,711,2724,418,416,58,33,3651,346,60,44,196,24,672,70,33,21,8,3,132,9045,2677,2740,307,90,14854,662,202,102,27,24,1014,704,131,109,56,22,1025,45287,5051,4150,1162,235,55888
105,14314,345,100,234,163,15158,11866,149,39,32,54,12139,3949,789,831,28,19,5614,1057,196,207,4,13,1474,501,139,99,4,10,747,2513,124,116,39,27,2811,850,104,123,27,26,1130,81,23,25,3,3,132,8949,1371,1404,98,96,11916,1062,192,89,50,57,1452,829,66,55,34,49,1037,37014,2120,1690,462,420,41704
106,32653,2409,482,504,109,36149,36780,1324,208,48,40,38392,13302,4137,1164,72,31,18705,1839,624,224,6,5,2696,527,395,124,7,0,1054,3734,526,145,49,19,4475,1184,140,27,235,24,1609,87,46,11,7,0,154,20682,5869,1686,365,88,28695,1735,672,56,29,25,2520,1113,207,58,34,20,1435,92959,10485,2490,980,277,107191
107,33641,3567,3268,482,34,41000,32494,3275,2616,87,26,38496,9116,4244,7112,174,56,20705,3223,2005,1538,8,3,6782,213,295,252,3,7,769,2955,754,1084,64,35,4884,295,67,120,70,11,560,78,41,47,0,0,168,15874,7416,10146,317,113,33869,771,474,676,25,14,1953,904,238,277,27,20,1463,83681,14978,16984,929,209,116785
108,36217,3053,1641,674,104,41696,21647,1021,551,58,27,23299,8153,2414,3027,124,35,13758,730,308,337,0,0,1380,695,472,404,5,10,1581,3464,488,469,64,24,4508,452,112,75,146,30,821,88,55,35,5,4,183,13581,3845,4351,347,102,22225,1230,491,371,49,26,2176,1484,344,188,192,55,2269,74159,8754,7108,1322,317,91662
109,16741,1025,77,138,69,18047,14112,451,21,22,23,14631,4773,2904,258,29,4,7973,713,228,19,0,0,958,202,180,13,0,0,405,2052,388,27,10,12,2493,507,75,13,49,20,665,62,36,10,0,0,112,8309,3815,336,83,52,12598,1109,200,35,17,25,1381,783,143,28,31,39,1029,41057,5636,501,295,206,47684
110,24611,642,80,191,98,25618,19125,311,47,49,27,19553,8153,2864,764,42,24,11844,1257,330,163,0,3,1753,567,291,161,6,10,1032,3635,301,77,26,26,4065,870,86,26,79,35,1096,117,60,14,4,0,193,14593,3929,1196,156,94,19975,1939,210,21,34,48,2244,1189,173,51,55,34,1492,61453,5263,1395,478,303,68894
