SA4_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101,61770,61895,123664,11142,11816,22956,17777,18712,36491,1518,1567,3085,1366,1401,2769,276,269,550,438,429,865,107,117,220,242,250,493,5722,5933,11653,8,10,21,27453,28691,56144,2436,2493,4927,749,611,1355,41778,43617,85393,9029,7972,16997,112573,113483,226054
102,89860,95013,184867,10702,11524,22225,41601,45316,86915,550,600,1141,865,1037,1904,128,129,259,257,291,552,83,98,187,85,100,186,179,193,373,0,0,4,43746,47781,91521,2955,3262,6218,1306,1215,2522,58720,63770,122490,9399,10420,19816,157972,169200,327182
103,54673,54931,109607,11728,12469,24195,19604,21008,40615,451,448,897,948,1009,1964,157,176,335,236,233,470,79,76,151,101,108,211,206,224,431,5,8,7,21781,23303,45079,1432,1609,3047,694,582,1273,35629,37961,73594,9364,7829,17190,99674,100725,200392
104,36680,38010,74691,7065,7909,14972,12421,13702,26126,764,877,1645,1806,1965,3769,117,115,228,216,242,455,81,75,155,136,146,282,126,155,284,8,9,18,15663,17284,32953,1619,1829,3449,639,573,1215,24991,27602,52591,6228,5441,11663,67894,71053,138949
105,29103,29297,58397,5564,6357,11928,8248,9050,17286,371,325,693,613,641,1256,266,276,541,179,169,343,48,54,103,70,77,150,66,68,134,0,0,0,9857,10652,20510,1039,1098,2133,412,370,783,16870,18487,35355,7453,6765,14221,53428,54545,107970
106,72078,73003,145083,13396,14532,27935,33963,36335,70295,702,669,1377,1770,1795,3567,304,291,590,369,339,710,126,102,230,279,235,522,239,253,493,3,3,8,37756,40027,77777,1859,1996,3850,1206,1119,2325,54213,57675,111893,9843,7548,17389,136134,138228,274364
107,85401,88423,173825,10216,10679,20900,34241,36752,70992,631,675,1308,771,843,1615,130,156,284,266,268,533,80,92,164,101,100,199,390,446,833,0,5,5,36610,39330,75941,4057,3934,7995,1034,954,1993,51914,54898,106817,7529,7834,15365,144850,151158,296011
108,57426,60169,117598,10687,11845,22531,23722,26219,49942,780,892,1677,1566,1750,3319,124,131,249,262,263,524,117,122,234,167,174,345,265,282,545,3,3,8,26999,29846,56843,1303,1522,2823,832,835,1667,39822,44047,83868,8900,8483,17383,106149,112698,218844
109,31292,31872,63165,5719,6192,11908,7002,7717,14718,5316,5619,10932,615,656,1265,209,215,423,196,202,398,99,103,201,119,122,243,119,138,259,0,3,4,13673,14768,28437,1039,1096,2139,425,341,765,20855,22395,43254,5115,4883,10002,57261,59150,116417
110,45720,46837,92556,10695,11543,22239,13883,15199,29080,400,409,807,2002,2275,4273,127,139,264,189,210,402,59,72,136,115,120,238,80,96,179,0,0,4,16860,18515,35375,2222,2323,4545,567,554,1124,30345,32936,63285,9540,9498,19036,85603,89269,174877
