SA4_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
101,0,47,..,1383,117,1498,13,1512,..,435,45,483,0,489,..,70,0,67,0,73,..,27,5,36,0,36,..,69,20,90,0,90,..,367,67,436,0,436,..,177,15,192,10,196,..,36,5,33,0,33,..,116,11,123,3,127,..,90,15,109,0,111,..,107,14,116,0,118,..,33,3,38,0,38,..,181,17,197,0,203,..,217,9,229,0,229,..,93,3,96,0,96,..,298,10,311,0,315,..,75,4,80,0,76,..,679,27,708,9,713,..,278,27,307,3,308,..,55,0,58,0,58,..,214,44,256,0,257,..,39,0,41,0,41,..,109,39,146,0,146,..,1163,118,1280,22,1303,..,7525,847,8374,106,8480,..,352,37,381,7076,7465,103774,7875,881,8757,7179,119720,206290,..,..,..,..,206290,..,223,0,230,3,229,..,624,86,704,14,721,..,236,3,244,9,249,..,245,62,304,0,305,..,576,211,789,18,805
102,0,59,..,1078,96,1171,15,1184,..,461,40,503,3,502,..,251,25,275,0,275,..,34,13,44,0,44,..,321,152,469,0,476,..,20,0,20,0,20,..,382,47,427,8,435,..,91,8,104,0,104,..,198,19,219,0,217,..,307,26,336,3,342,..,351,40,394,5,397,..,48,8,59,0,59,..,111,14,123,0,123,..,374,11,381,6,394,..,183,13,194,0,200,..,597,23,625,0,626,..,142,6,147,5,150,..,1296,57,1349,16,1365,..,913,75,983,4,984,..,93,3,98,0,99,..,433,95,535,5,544,..,72,11,86,0,86,..,207,57,267,0,271,..,1914,180,2095,52,2144,..,11567,1563,13132,152,13281,..,558,57,615,8719,9335,156001,12123,1624,13746,8873,178618,304010,..,..,..,..,304010,..,535,8,541,4,541,..,681,50,733,11,740,..,236,7,247,0,248,..,665,233,896,4,898,..,1352,587,1937,15,1953
103,0,13,..,800,76,882,18,899,..,149,16,162,0,162,..,48,0,55,0,55,..,21,14,35,0,35,..,57,14,71,0,67,..,12,0,10,0,10,..,220,20,242,0,240,..,33,4,38,0,38,..,49,5,52,0,53,..,17,7,23,0,23,..,68,8,79,0,81,..,18,0,18,0,18,..,28,6,36,0,40,..,156,0,156,3,161,..,44,0,45,0,53,..,244,9,254,0,254,..,31,0,31,0,31,..,479,8,490,9,493,..,179,14,192,4,191,..,74,8,77,4,80,..,138,52,193,0,193,..,17,3,21,0,21,..,94,27,115,0,119,..,814,85,898,19,917,..,4259,532,4794,70,4871,..,243,14,259,6815,7076,94819,4498,552,5054,6890,106759,187700,..,..,..,..,187700,..,289,0,292,0,294,..,301,36,334,3,335,..,295,11,307,5,313,..,192,120,312,4,318,..,352,113,472,5,476
104,0,13,..,925,183,1105,5,1112,..,106,3,114,3,116,..,100,12,112,0,112,..,15,0,15,0,15,..,17,8,29,0,27,..,3,0,3,0,3,..,46,3,44,0,45,..,11,3,16,0,16,..,31,4,34,0,34,..,39,0,41,0,42,..,34,4,39,0,39,..,5,0,5,5,14,..,5,0,6,0,6,..,89,3,91,0,94,..,48,3,43,0,49,..,158,9,162,0,162,..,68,20,86,5,90,..,362,29,394,3,398,..,163,15,177,0,178,..,9,0,6,0,6,..,119,24,146,6,145,..,6,0,6,0,6,..,48,13,63,5,67,..,1088,402,1495,38,1528,..,3970,880,4852,79,4924,..,221,37,258,4481,4741,64968,4193,916,5107,4559,74634,126613,..,..,..,..,126613,..,137,0,137,0,137,..,167,41,209,0,207,..,369,7,380,3,386,..,103,48,153,6,162,..,293,165,459,7,464
105,0,13,..,915,74,985,12,992,..,59,8,62,0,65,..,16,5,25,0,25,..,10,4,12,0,12,..,29,8,34,0,34,..,8,0,8,0,8,..,150,20,175,8,178,..,15,0,15,0,15,..,13,0,13,0,13,..,12,3,13,0,13,..,14,0,14,0,14,..,0,0,0,0,0,..,9,8,18,0,22,..,154,3,156,0,156,..,14,4,15,0,15,..,160,8,164,3,168,..,32,4,40,0,40,..,357,21,378,4,379,..,60,4,66,0,66,..,39,4,43,0,47,..,53,5,57,0,61,..,6,0,6,0,6,..,38,17,56,0,60,..,517,39,554,14,568,..,2742,285,3021,45,3070,..,170,16,178,6234,6413,48768,2906,294,3206,6279,58251,95955,..,..,..,..,95955,..,115,3,117,0,117,..,135,16,145,0,145,..,315,8,324,5,325,..,109,43,149,0,149,..,188,71,256,0,256
106,0,33,..,685,75,762,4,760,..,162,12,167,5,168,..,60,3,65,0,65,..,9,6,13,0,13,..,70,18,84,0,86,..,29,0,25,0,25,..,221,22,241,4,246,..,18,0,17,0,17,..,92,11,104,0,102,..,74,6,88,0,89,..,68,3,75,0,75,..,54,0,60,0,60,..,30,3,35,0,35,..,262,12,272,4,270,..,60,0,62,0,62,..,421,16,439,0,439,..,82,8,88,0,89,..,821,32,855,0,860,..,246,22,270,6,270,..,54,8,55,0,57,..,273,68,344,0,345,..,17,5,19,0,26,..,115,74,190,0,197,..,1007,141,1150,33,1187,..,5454,758,6214,74,6289,..,339,29,367,6505,6876,133638,5793,785,6583,6585,146804,264108,..,..,..,..,264108,..,505,11,521,4,520,..,292,28,316,4,321,..,214,4,217,0,221,..,251,130,379,0,383,..,476,217,694,7,701
107,0,65,..,1197,88,1278,4,1281,..,1525,320,1845,11,1858,..,178,17,195,0,195,..,31,11,39,0,40,..,146,38,189,3,193,..,2318,735,3047,17,3062,..,377,32,409,4,410,..,152,27,174,4,180,..,218,40,257,3,259,..,512,152,659,4,665,..,135,20,154,0,158,..,38,0,38,0,38,..,774,176,949,9,961,..,283,9,288,5,294,..,159,14,171,0,171,..,438,31,469,4,474,..,94,0,102,0,98,..,972,52,1029,12,1036,..,1115,199,1313,13,1334,..,86,5,89,0,94,..,445,99,541,0,548,..,498,138,638,4,644,..,516,188,707,4,710,..,2247,418,2663,44,2708,..,18335,3651,21992,180,22168,..,535,95,629,6551,7179,130424,18868,3743,22615,6729,159771,257269,..,..,..,..,257269,..,233,0,229,0,232,..,2792,504,3294,17,3314,..,114,5,115,5,125,..,506,164,672,5,676,..,2004,508,2513,32,2543
108,0,19,..,415,37,449,6,455,..,135,18,152,4,159,..,58,11,69,0,75,..,11,5,14,0,14,..,42,18,59,0,59,..,4,0,4,0,4,..,136,7,145,0,145,..,21,4,21,0,24,..,53,0,60,0,60,..,69,6,70,0,75,..,56,7,64,0,64,..,3,0,3,0,3,..,21,4,20,0,20,..,177,6,183,0,186,..,58,0,58,0,58,..,205,4,210,3,216,..,53,0,53,0,58,..,497,9,507,6,512,..,175,14,188,3,198,..,26,10,30,0,31,..,182,27,207,0,211,..,21,3,23,0,23,..,86,34,124,0,124,..,803,88,892,28,916,..,3851,418,4270,66,4335,..,309,27,335,6877,7216,106152,4161,443,4602,6948,117699,206095,..,..,..,..,206095,..,167,0,164,0,164,..,220,11,227,0,232,..,413,15,428,22,449,..,167,66,239,0,236,..,269,117,384,8,391
109,0,18,..,808,246,1050,9,1061,..,163,15,178,3,182,..,28,7,31,0,31,..,10,0,10,0,10,..,32,7,38,0,38,..,11,0,11,0,11,..,69,10,85,0,86,..,16,0,16,0,16,..,22,0,21,0,21,..,13,0,13,0,13,..,23,5,22,0,22,..,4,0,4,0,4,..,14,0,20,0,20,..,122,7,130,4,134,..,27,0,30,0,30,..,171,7,180,0,176,..,46,10,55,4,62,..,369,31,397,5,407,..,81,3,83,0,83,..,33,3,37,0,36,..,93,21,106,0,106,..,4,5,7,0,7,..,57,15,72,0,72,..,527,110,640,14,656,..,2921,572,3491,44,3532,..,165,24,187,4258,4446,54653,3087,595,3681,4304,62639,107423,..,..,..,..,107423,..,91,3,97,0,97,..,114,5,120,6,121,..,109,4,107,0,113,..,82,37,116,6,126,..,240,103,342,3,346
110,0,11,..,753,52,805,13,817,..,68,6,73,3,78,..,60,6,65,0,68,..,3,0,10,0,10,..,46,15,55,0,56,..,3,0,3,0,3,..,117,10,130,0,131,..,32,0,38,0,38,..,13,0,13,0,13,..,44,10,56,0,56,..,30,4,33,0,33,..,7,0,11,0,11,..,17,4,18,0,18,..,175,3,175,0,180,..,43,0,51,0,51,..,287,5,294,0,294,..,51,0,54,3,56,..,562,14,566,6,580,..,104,7,109,0,109,..,35,0,35,0,35,..,89,16,104,0,106,..,7,0,7,0,10,..,167,91,263,0,259,..,994,227,1227,21,1249,..,4036,652,4690,61,4751,..,297,43,344,8498,8839,80708,4332,700,5031,8561,94298,158447,..,..,..,..,158447,..,173,8,180,0,180,..,229,33,257,6,257,..,452,14,466,8,470,..,176,66,242,3,248,..,480,310,792,11,808
