SA4_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
101,29944,59717,441,2455,2365,10852,874,4013,13339,52326,17012,69656,1052,4343,1742,5756,4773,15081,7566,25178,24573,94835,138,634,591,2015,367,1304,3693,9922,4793,13876,288,916,739,1572,3437,7345,4472,9838,9265,23716,724,1506,64508,179775
102,37532,75501,723,3990,3613,16697,1228,5733,19782,77449,25338,103870,1929,8165,2842,9710,7792,25197,12566,43083,37902,146951,265,1266,1195,4075,698,2569,6746,18237,8906,26136,688,2222,1494,3314,7103,15609,9296,21136,18194,47270,1228,2557,94861,272280
103,23651,47143,477,2684,2182,10158,768,3592,11969,47887,15399,64317,800,3303,1470,4757,3869,12118,6148,20175,21547,84489,144,675,647,2344,474,1767,3988,11153,5249,15935,249,779,650,1381,3282,7025,4182,9183,9433,25118,796,1656,55419,158400
104,18169,36390,224,1286,1306,6085,516,2434,7181,28536,9237,38343,480,1968,911,2971,2775,8694,4160,13631,13396,51971,88,398,480,1689,312,1109,2980,8103,3856,11301,205,657,531,1145,2654,5681,3390,7485,7248,18784,543,1158,39359,108305
105,11773,23469,191,1037,1021,4784,387,1756,5978,23727,7585,31300,375,1467,623,1935,1903,5953,2903,9362,10486,40664,82,402,316,1164,287,1110,2567,7399,3258,10080,125,401,328,681,1850,4077,2313,5165,5563,15245,518,1087,28335,80466
106,32939,65921,637,3526,2995,13962,1329,6180,17459,68440,22417,92107,1439,6029,2043,6777,6542,20819,10026,33629,32446,125732,238,1129,973,3484,671,2470,6013,16627,7897,23717,439,1397,971,2130,4964,10875,6379,14410,14278,38128,987,2083,80651,231866
107,33226,66836,617,3466,3427,15810,1032,4786,18946,74212,24027,98275,2046,8731,2776,9740,7820,25568,12644,44031,36671,142312,192,904,938,3214,545,1996,4992,13288,6675,19403,604,1942,1270,2793,5825,12846,7694,17585,14369,36983,1200,2508,85470,248636
108,31544,63152,377,2102,1889,8831,795,3668,9795,38909,12861,53515,764,3140,1372,4505,4387,13711,6521,21359,19384,74873,185,877,727,2556,505,1887,4326,12141,5740,17459,289,920,815,1750,4306,9273,5410,11941,11156,29406,856,1804,62940,169238
109,14895,29597,240,1329,1240,5797,386,1760,6659,26563,8533,35456,504,2071,830,2648,2166,6746,3500,11470,12031,46924,67,312,377,1331,212,770,2099,5613,2749,8024,157,473,418,894,1682,3579,2250,4944,5000,12962,407,851,32339,90333
110,20802,41500,340,1944,1763,8186,592,2757,9632,38350,12329,51240,599,2449,1187,3782,3073,9600,4858,15834,17190,67074,112,526,562,2119,350,1322,3811,10917,4833,14886,203,650,554,1200,2799,6016,3562,7869,8402,22757,785,1652,47169,132986
