SA4_CODE_2021,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
101,72,166,169,101,178,48,17,748,10,54,54,45,38,10,5,216,8,12,6,4,8,0,0,41,10,7,6,0,6,0,0,34,105,239,234,150,228,62,19,1036,6,9,7,3,10,0,0,36,0,5,11,3,3,0,0,18,6,12,15,10,14,3,0,58,113,251,249,164,243,61,19,1090,35,78,68,40,58,3,4,290,0,4,9,5,3,0,0,24,147,333,321,208,305,68,25,1410,200,526,473,359,490,114,44,2208,377,742,502,334,336,57,16,2361,80,66,46,42,30,5,0,266,15,20,21,16,19,0,0,90,668,1345,1042,748,874,177,72,4927,16,36,29,20,16,4,3,117,34,50,30,25,22,0,0,163,47,88,54,43,40,4,5,280,721,1432,1101,787,914,178,77,5206,794,717,379,246,201,33,9,2386,14,21,18,9,3,3,0,72,1531,2168,1499,1047,1120,220,87,7666,271,691,640,462,668,165,63,2956
102,90,212,198,148,241,69,47,1003,32,78,81,58,88,21,13,381,19,27,14,22,16,14,4,104,11,5,4,0,8,7,0,41,149,324,302,226,360,111,58,1531,8,27,18,7,27,4,0,91,4,9,10,6,4,3,0,35,10,38,30,11,26,5,0,125,159,356,331,237,384,113,62,1651,51,133,107,104,94,25,15,524,8,6,5,4,0,0,0,26,224,500,436,347,480,142,81,2203,292,714,718,550,759,286,128,3454,667,1174,814,547,670,179,76,4136,242,305,183,130,134,39,15,1048,33,49,29,19,14,4,0,152,1240,2239,1746,1248,1588,508,219,8790,34,68,56,37,35,8,5,241,84,89,51,28,37,13,4,311,117,155,104,66,69,26,7,547,1361,2394,1854,1316,1656,530,227,9335,1681,1649,906,618,574,126,54,5611,22,25,21,18,13,6,0,109,3060,4075,2777,1951,2246,663,282,15062,377,925,913,699,1003,356,177,4455
103,70,166,143,125,166,29,11,699,20,55,29,35,45,0,0,183,7,7,6,8,4,3,0,33,3,10,0,3,0,0,0,20,96,232,176,168,215,37,11,935,10,8,12,7,10,0,0,52,4,7,3,0,4,3,0,25,9,15,13,11,18,3,0,68,105,254,191,178,228,41,8,1007,43,93,82,76,57,7,7,360,0,5,9,6,5,0,0,30,155,348,278,254,296,49,14,1395,251,556,473,354,433,96,27,2187,442,862,513,400,390,68,7,2679,88,67,59,33,35,6,0,283,16,30,11,14,14,5,0,94,799,1514,1057,796,869,171,39,5241,32,62,40,26,19,7,0,189,81,115,38,23,24,3,0,289,117,177,84,52,41,7,0,474,914,1694,1140,848,908,183,39,5715,1018,981,515,309,247,23,13,3098,36,22,23,22,8,0,0,116,1971,2697,1672,1179,1160,202,47,8930,321,724,609,481,600,129,36,2885
104,55,98,101,85,92,23,7,457,14,42,52,43,36,0,3,197,5,8,3,3,9,0,0,33,3,10,4,0,5,0,0,23,80,158,162,131,140,25,14,705,4,4,11,11,3,0,0,36,3,13,0,0,6,0,0,26,7,18,8,11,13,0,0,62,88,179,175,139,150,31,14,764,51,65,54,45,42,6,0,268,0,0,6,5,0,0,0,14,137,242,227,192,193,39,14,1048,124,350,311,232,310,65,18,1410,356,597,412,283,283,59,16,1998,41,49,40,23,26,4,0,187,17,19,13,9,10,0,0,69,535,1012,784,551,629,122,35,3672,16,38,33,27,24,0,0,143,30,50,39,19,20,0,0,162,49,83,78,41,42,0,0,305,587,1094,860,597,674,128,33,3975,686,633,366,241,221,36,9,2184,19,24,18,9,7,0,0,79,1293,1749,1240,845,907,162,42,6240,177,447,412,314,403,84,23,1863
105,48,89,96,64,74,16,0,390,11,18,20,18,27,0,0,96,0,4,0,0,4,0,0,13,3,9,0,6,0,0,0,18,67,122,121,86,107,19,0,518,0,3,5,4,6,0,0,34,0,3,4,3,0,0,0,13,0,10,10,13,6,0,0,43,68,134,127,96,111,21,0,557,49,69,52,48,29,4,0,245,0,4,3,5,3,0,0,17,117,208,182,146,141,27,0,822,148,380,290,211,235,38,7,1316,317,449,286,175,154,24,7,1410,52,35,17,9,9,0,0,131,27,35,24,17,13,0,0,120,546,912,627,415,407,66,15,2973,14,33,22,12,12,0,0,96,32,46,22,22,19,0,0,142,49,81,41,34,30,6,0,242,591,985,670,443,437,68,17,3211,810,682,340,205,173,19,3,2225,24,31,14,13,10,0,0,97,1424,1698,1021,666,621,85,18,5532,199,476,389,272,308,57,6,1701
106,107,223,179,175,232,57,22,1006,20,81,56,42,51,11,4,263,5,19,14,5,17,6,3,61,11,9,7,9,4,0,0,38,150,335,252,233,294,73,32,1369,11,16,11,11,9,3,0,72,0,5,0,3,3,0,0,18,13,24,12,13,9,5,0,82,162,358,265,252,308,75,34,1453,70,151,101,101,88,14,5,534,3,7,8,6,4,0,0,27,242,512,371,361,401,90,44,2017,282,725,573,417,573,160,61,2798,692,1194,752,532,562,114,42,3885,169,191,105,64,64,9,3,617,55,68,41,19,16,4,0,203,1205,2181,1466,1034,1218,288,111,7497,42,78,48,39,32,6,3,246,104,133,89,61,33,4,0,427,143,210,138,97,68,6,4,676,1350,2395,1605,1135,1283,300,114,8177,1577,1528,831,520,453,61,33,5007,20,45,25,13,10,4,0,110,2951,3961,2459,1667,1741,364,146,13292,389,953,749,595,806,218,89,3799
107,73,154,156,143,196,74,35,835,18,59,55,47,60,22,7,266,6,35,16,7,14,9,3,87,8,6,3,5,4,0,0,27,108,256,228,210,273,102,46,1217,3,18,19,16,9,3,0,71,0,5,0,0,0,0,0,20,8,24,21,18,13,0,0,90,114,279,251,222,285,105,47,1306,49,126,93,90,86,26,16,487,4,12,6,3,0,0,0,24,168,413,351,315,367,133,65,1814,177,512,538,444,571,249,127,2632,482,954,628,418,527,170,86,3263,175,199,141,84,90,35,13,734,21,16,15,11,10,3,5,85,857,1688,1318,964,1195,461,237,6716,17,46,22,26,36,6,0,156,45,54,37,32,33,11,4,208,60,97,60,57,70,20,6,365,920,1784,1377,1019,1264,479,240,7077,1189,1177,648,452,464,121,56,4108,21,20,28,11,4,4,0,86,2121,2979,2053,1482,1729,600,302,11271,251,672,694,591,768,328,160,3464
108,55,97,110,106,146,26,9,545,20,67,54,49,36,6,0,246,3,3,3,0,8,0,0,15,5,16,9,4,0,0,0,32,88,186,178,156,188,36,13,844,6,19,18,10,11,0,0,59,4,6,5,0,5,0,0,14,7,23,18,14,21,0,0,77,100,207,196,164,206,34,15,919,61,124,106,90,78,19,6,480,8,10,8,5,0,0,0,35,168,334,308,265,284,54,18,1431,172,435,399,344,439,89,23,1905,495,938,656,457,452,82,19,3095,91,78,63,40,44,13,0,333,24,41,32,16,13,4,5,130,783,1485,1149,856,957,191,42,5457,35,71,47,33,31,0,0,223,74,90,41,34,32,5,0,276,101,161,92,70,58,6,0,500,887,1644,1241,923,1015,195,44,5958,1212,1076,604,406,381,47,23,3753,40,45,42,37,18,0,0,180,2139,2776,1887,1365,1414,243,68,9886,231,531,513,443,584,114,34,2446
109,32,87,98,80,105,23,10,438,8,21,27,11,17,0,0,90,0,9,6,4,0,3,0,22,0,3,0,0,0,0,0,4,45,117,127,99,131,28,9,556,0,3,6,3,6,0,0,28,0,3,0,0,4,0,0,13,3,12,6,6,14,6,0,39,45,126,136,109,141,32,9,599,27,39,33,30,43,0,3,180,0,3,4,0,0,0,0,8,73,170,171,140,183,34,13,784,106,256,199,168,243,76,10,1058,263,434,282,193,193,37,12,1413,57,51,16,17,15,0,0,157,14,20,14,6,6,4,0,65,436,756,515,386,463,115,24,2693,6,25,17,10,12,0,0,69,40,43,21,13,14,0,0,136,43,73,35,20,30,0,0,207,477,828,550,405,497,114,26,2898,518,415,253,167,166,30,10,1561,14,22,11,6,6,0,0,59,1019,1261,817,581,661,146,38,4520,135,340,295,251,350,98,22,1492
110,63,145,102,81,130,14,4,544,24,47,34,28,29,0,0,157,5,7,6,0,8,0,0,32,0,4,14,7,7,0,0,30,92,202,156,109,171,15,6,758,11,22,7,3,12,0,0,51,3,6,6,8,4,0,0,26,15,30,15,14,19,0,0,77,105,232,173,121,189,15,6,841,62,85,72,72,46,14,3,354,6,3,3,9,7,0,0,23,174,324,253,198,238,30,8,1217,178,481,388,278,374,54,16,1771,431,722,459,313,318,38,3,2293,67,71,41,26,31,7,0,241,27,33,38,19,6,0,0,120,704,1307,924,636,726,100,22,4425,38,83,55,38,26,4,0,251,68,96,55,35,27,8,0,282,106,181,112,79,48,12,0,537,811,1486,1036,712,777,112,24,4958,1204,1000,528,339,283,38,10,3396,41,43,18,11,9,6,0,130,2049,2531,1586,1063,1067,147,36,8486,242,627,494,363,501,74,25,2314
