SA4_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
101,6,0,6,0,6682,6696,122,4,0,7,5539,5678,3944,170,189,6,8946,13251,7551,445,705,24,4437,13167,8763,797,1796,95,3965,15413,10425,837,2877,297,3096,17535,10254,755,2646,670,1432,15755,5327,249,951,970,402,7909,1288,40,178,737,82,2332,47685,3297,9358,2809,34577,97725,0,0,0,0,6075,6085,239,17,8,3,4938,5199,5157,331,307,27,7675,13501,8074,675,1032,82,4100,13960,9367,904,2369,268,3127,16034,10576,839,3256,881,2280,17838,9282,540,2674,2088,934,15513,3901,155,957,2951,291,8257,592,24,183,2540,96,3448,47193,3492,10783,8850,29517,99836,13,5,7,6,12761,12785,364,21,3,12,10472,10876,9100,500,494,35,16620,26755,15623,1115,1739,114,8536,27123,18133,1702,4170,365,7085,31454,20998,1680,6140,1182,5370,35370,19534,1290,5314,2757,2366,31264,9228,408,1907,3921,695,16162,1882,66,366,3279,181,5776,94874,6789,20141,11665,64095,197558
102,11,4,0,7,10507,10523,158,13,4,0,9208,9383,4987,310,244,16,13055,18615,11291,889,1192,49,6495,19909,12115,1305,2664,131,5181,21395,12507,1188,3602,365,3622,21289,12268,914,3209,915,1588,18898,7809,390,1545,1538,572,11851,2100,63,250,1345,175,3929,63243,5083,12709,4353,50403,135785,10,6,0,3,9737,9754,310,27,7,8,8756,9107,6790,595,460,32,11631,19505,12325,1252,1859,106,5900,21445,12408,1598,3904,407,4482,22793,12877,1446,5223,1290,2762,23597,11680,942,4839,2984,1355,21797,5943,282,2237,4873,516,13850,1104,37,577,4709,196,6619,63441,6180,19096,14409,45333,148463,12,7,0,6,20246,20276,467,44,10,9,17960,18486,11777,905,706,46,24689,38119,23617,2144,3053,154,12399,41358,24524,2903,6561,538,9661,44183,25382,2633,8820,1657,6386,44882,23949,1856,8047,3897,2942,40693,13749,671,3780,6408,1090,25702,3200,97,830,6046,369,10545,126684,11261,31805,18759,95737,284248
103,10,7,3,0,6660,6682,170,10,3,0,5620,5806,3861,257,203,11,7939,12266,6516,509,710,26,4173,11940,7265,701,1532,100,3253,12847,8116,764,2210,266,2561,13916,7978,547,1934,682,1241,12385,4509,222,861,938,438,6972,1078,37,124,750,97,2090,39507,3050,7583,2784,31983,84902,5,0,0,7,5995,6010,277,21,6,0,5041,5354,4772,384,279,21,7129,12591,6954,705,927,74,3528,12185,7750,787,1991,235,2602,13355,8292,778,2517,772,1650,14006,7275,474,2039,1801,676,12259,3286,163,890,2853,322,7516,601,29,174,2489,133,3417,39208,3340,8809,8252,27078,86692,15,7,5,6,12658,12689,450,39,15,0,10656,11161,8635,638,477,37,15071,24861,13468,1215,1631,99,7707,24125,15013,1486,3520,342,5847,26203,16404,1540,4734,1039,4207,27917,15259,1014,3976,2485,1916,24652,7792,385,1747,3798,760,14480,1679,61,299,3233,232,5504,78712,6392,16391,11032,59063,171594
104,5,4,0,0,4090,4101,86,8,3,6,3191,3291,2002,142,117,12,5146,7415,3869,326,410,22,3102,7727,4583,483,1123,61,2391,8641,5566,552,1880,169,2028,10197,6396,527,1901,456,965,10242,3701,159,725,582,296,5462,972,32,134,561,65,1758,27182,2229,6289,1871,21268,58824,0,0,3,0,3839,3849,157,17,5,3,2893,3073,2575,254,173,22,4598,7617,4270,504,690,56,2730,8243,4871,626,1583,236,2159,9471,5920,683,2339,597,1519,11056,5890,413,2120,1326,652,10399,2813,100,836,2113,174,6036,517,18,172,1948,67,2718,27004,2609,7923,6302,18630,62467,11,3,3,0,7929,7950,246,27,7,3,6085,6369,4575,393,290,27,9744,15030,8134,826,1102,80,5832,15975,9451,1111,2705,297,4546,18106,11486,1231,4217,776,3545,21252,12285,941,4027,1781,1616,20649,6512,261,1561,2696,463,11492,1483,47,302,2507,128,4473,54179,4838,14212,8166,39896,121293
105,12,0,0,0,3391,3408,74,8,0,6,2949,3038,2343,131,92,12,5000,7578,3332,274,314,15,2404,6344,3457,341,788,63,1961,6613,4166,446,1146,167,1640,7562,3771,402,1065,403,772,6418,2204,135,450,511,231,3526,560,24,65,406,56,1104,19919,1755,3924,1582,18410,45590,9,0,0,0,3120,3133,138,8,3,5,2788,2945,2813,228,163,18,4689,7914,3501,354,461,37,2285,6641,3543,432,947,152,1777,6852,4237,460,1333,451,1184,7663,3458,269,995,1062,425,6204,1700,88,408,1639,148,3973,280,13,91,1345,40,1761,19668,1864,4393,4696,16463,47084,15,0,0,0,6518,6541,212,15,3,6,5740,5979,5156,362,256,26,9689,15489,6837,632,775,51,4688,12978,6997,781,1738,207,3739,13463,8402,907,2481,617,2822,15228,7233,671,2054,1467,1196,12627,3898,225,854,2142,384,7498,842,33,152,1747,91,2866,39588,3614,8316,6276,34874,92669
106,8,7,0,0,9186,9202,202,12,8,9,8101,8325,5454,365,348,15,11907,18093,9545,892,1138,40,5816,17424,9989,1055,2280,131,4323,17779,11126,923,2941,355,2785,18133,10989,687,2484,790,1127,16078,5994,230,975,1050,344,8597,1279,31,130,738,79,2259,54586,4192,10313,3129,43663,115891,9,3,0,0,8371,8383,332,36,9,6,7474,7855,6957,588,473,42,10363,18420,10144,1149,1577,125,4805,17801,10551,1222,2963,355,3364,18448,11380,1012,3657,1028,1791,18866,10043,543,2896,2335,756,16575,4412,153,1046,3254,268,9129,668,28,217,2655,101,3668,54498,4730,12829,9796,37293,119155,16,4,0,0,17559,17584,532,46,13,10,15576,16178,12414,955,825,60,22270,36516,19690,2037,2718,163,10619,35227,20538,2274,5248,488,7686,36228,22506,1932,6602,1386,4573,37003,21029,1233,5377,3125,1887,32654,10408,379,2024,4300,615,17724,1944,56,346,3393,181,5922,109081,8925,23144,12930,80961,235041
107,6,4,0,4,9692,9703,154,7,0,6,10661,10836,5393,241,238,9,14021,19903,11236,711,1055,32,5751,18791,11520,956,2217,136,4283,19114,11923,808,2889,313,3055,18989,10783,576,2157,761,1198,15471,6386,233,898,1191,421,9129,1780,41,158,1109,93,3187,59189,3577,9615,3566,49175,125125,12,0,0,3,9410,9419,300,16,8,0,10167,10487,7292,454,431,29,11883,20093,12023,984,1558,113,5093,19780,11955,1168,3209,301,3526,20156,12063,1017,3820,1031,2231,20163,10058,539,3070,2325,848,16842,4885,174,1309,3981,270,10615,912,28,274,3725,94,5039,59505,4379,13679,11517,43519,132598,18,3,0,3,19095,19124,455,18,15,13,20831,21328,12692,694,669,40,25908,39997,23265,1700,2616,144,10848,38572,23478,2122,5430,437,7805,39273,23988,1822,6706,1347,5288,39152,20842,1118,5223,3089,2044,32307,11270,410,2201,5170,692,19744,2693,71,433,4833,193,8227,118697,7957,23296,15080,92692,257723
108,5,0,0,3,6255,6267,115,11,3,0,4702,4835,2468,166,140,3,6779,9552,5102,508,637,16,4054,10315,6641,782,1647,92,3636,12794,9066,932,3027,321,3049,16402,11910,912,3374,886,1549,18637,7315,352,1472,1294,476,10910,1871,53,249,1113,110,3396,44489,3724,10555,3731,30615,93102,0,0,0,3,5931,5942,180,16,0,3,4321,4529,3288,324,287,21,6292,10220,5775,751,979,77,3721,11306,7273,992,2359,298,3096,14011,10174,1022,3862,1041,2286,18396,11140,742,3547,2413,1047,18899,5602,192,1485,4044,330,11656,982,25,330,3684,117,5138,44429,4087,12855,11581,27148,100094,15,0,0,5,12189,12206,292,30,5,3,9025,9356,5757,496,426,26,13072,19774,10879,1260,1610,95,7776,21625,13910,1773,4008,386,6729,26807,19240,1959,6890,1362,5342,34795,23056,1661,6924,3299,2597,37531,12914,546,2958,5337,811,22565,2853,84,578,4795,227,8536,88910,7811,23405,15315,57760,193195
109,5,0,0,0,3599,3602,61,4,3,0,3081,3152,1967,97,93,4,4581,6738,3705,279,363,15,2165,6530,4148,443,859,46,1731,7224,5048,452,1245,154,1379,8281,5340,402,1306,418,681,8142,2957,142,491,581,221,4386,772,28,78,448,61,1382,23984,1847,4429,1670,17506,49443,0,3,3,5,3479,3485,120,12,3,0,2935,3073,2592,198,170,14,3970,6944,4077,370,578,57,1968,7048,4370,493,1135,144,1441,7584,5312,458,1635,431,906,8737,4901,325,1337,1098,355,8014,2306,86,525,1824,143,4889,370,15,90,1496,65,2032,24050,1961,5474,5066,15264,51818,4,3,4,4,7074,7090,177,15,9,4,6022,6222,4556,299,257,19,8551,13683,7782,650,935,75,4136,13574,8520,936,2003,185,3172,14812,10352,915,2877,584,2291,17022,10238,722,2637,1524,1038,16158,5260,233,1017,2406,366,9280,1142,37,173,1941,124,3413,48034,3808,9905,6737,32774,101262
110,5,3,0,3,5756,5771,142,13,3,3,5011,5172,3198,192,134,9,7118,10649,5413,444,554,23,3413,9843,6024,575,1238,63,2837,10734,6979,653,1878,239,2294,12042,6902,566,1732,571,1062,10835,4124,203,630,846,360,6162,999,38,101,562,82,1773,33783,2689,6270,2310,27923,72974,11,4,0,6,5770,5790,251,25,5,6,4759,5044,4040,348,251,23,6644,11307,5715,569,736,92,3370,10485,6441,676,1528,211,2437,11300,7286,741,2254,699,1565,12547,6272,433,1758,1623,647,10739,3193,122,731,2706,233,6981,468,12,131,2167,120,2895,33677,2923,7403,7527,25554,77085,12,11,0,12,11526,11556,396,33,7,6,9767,10211,7228,542,387,33,13761,21953,11127,1012,1291,120,6785,20328,12466,1249,2770,267,5276,22031,14259,1396,4136,933,3861,24586,13181,998,3496,2193,1709,21574,7323,325,1352,3551,595,13144,1468,48,230,2722,194,4669,67463,5612,13672,9836,53479,150057
