SA4_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
101,739,1097,1839,18616,21357,39974,8,5,6,1013,1053,2067,252,256,504,25471,27365,52839,32,43,76,1266,1200,2464,377,530,910,107,133,242,371,493,860,45,37,81,345,364,708,610,726,1331,2178,2373,4552,216,245,469,226,248,473,2856,3482,6337,2116,2393,4515,62,79,141,56163,62374,118537,1179,1015,2193,1019,883,1903,81,85,160,30,29,58,493,419,915,320,481,800,848,930,1779,47789,43606,91394,419,335,757,190,280,469,48401,44216,92620,10666,9118,19775,119088,119720,238810
102,1316,2095,3414,25964,32140,58107,7,8,20,2334,2872,5199,123,141,268,34987,40367,75356,116,175,294,1181,1253,2427,570,809,1377,324,377,700,296,375,670,175,162,345,1550,1679,3228,1387,1772,3153,3142,3756,6901,263,376,640,631,720,1353,3544,4775,8318,3620,4183,7796,128,152,278,80326,96098,176433,1172,1034,2205,802,690,1500,214,231,439,64,52,114,277,266,546,407,573,976,748,886,1633,71293,65281,136578,578,455,1036,282,481,758,72153,66219,138374,11234,11370,22602,167980,178618,346596
103,511,723,1235,18535,20977,39514,6,5,4,1225,1381,2606,533,533,1068,26480,28494,54978,42,55,94,336,316,646,285,365,649,102,111,211,243,274,517,33,28,66,456,478,941,774,953,1725,3129,3411,6549,179,245,423,177,221,400,4124,4915,9043,2008,2204,4211,51,59,109,58723,65030,123749,719,653,1366,474,365,838,51,41,96,33,35,68,208,185,396,238,359,598,483,581,1064,34593,30691,65286,270,209,479,87,149,229,34945,31056,65997,10301,8320,18622,106203,106759,212962
104,537,843,1380,10918,12779,23695,0,0,0,976,1061,2035,5,9,13,11123,13093,24208,32,34,64,130,127,263,400,485,885,59,72,129,125,173,294,22,24,40,239,270,511,756,959,1713,2288,2621,4909,143,206,349,191,247,438,1645,2123,3771,1417,1806,3228,32,46,74,30493,36126,66615,240,231,470,287,241,530,65,63,125,32,27,53,1004,953,1957,430,596,1026,1461,1576,3036,30959,29094,60057,249,187,438,132,242,371,31342,29517,60861,7077,6036,13111,71497,74634,146127
105,265,340,603,9570,10768,20339,0,0,3,711,773,1484,7,10,23,12962,14504,27473,37,39,76,139,141,283,99,133,229,47,57,100,180,207,392,31,27,60,152,159,315,345,430,772,1606,1739,3346,125,177,304,161,193,359,2092,2599,4687,991,1153,2143,16,16,38,29283,33136,62414,772,699,1473,378,303,681,19,17,35,34,36,67,182,153,337,70,127,193,285,311,599,18232,16263,34495,119,83,202,48,65,107,18396,16410,34808,7931,7026,14956,57315,58251,115566
106,646,1084,1731,27911,32096,60007,0,0,0,1930,2147,4079,173,163,334,28577,31542,60124,79,106,187,491,477,967,323,474,798,198,227,420,180,253,428,54,42,98,623,734,1359,1042,1253,2298,3134,3491,6624,317,431,748,372,410,782,4525,5899,10422,2622,2938,5558,109,102,215,72658,82791,155452,707,604,1313,547,442,993,67,72,138,29,33,68,246,200,446,261,484,746,537,717,1253,58106,51979,110085,396,308,709,166,264,431,58669,52553,111223,11300,8543,19837,145140,146804,291946
107,1205,1917,3128,19394,23656,43052,13,10,20,1180,1365,2546,148,156,309,34297,38625,72921,111,145,257,6077,6090,12168,564,735,1293,164,203,371,430,550,977,247,229,468,433,521,955,1143,1337,2488,2460,2951,5413,248,357,605,146,196,349,3326,4549,7880,4189,4573,8764,73,89,165,74646,86344,160994,1287,1007,2296,3364,3179,6545,115,99,218,25,29,54,171,163,336,358,550,906,558,739,1296,62639,56712,119355,550,469,1017,234,364,595,63426,57541,120970,9474,8936,18403,154066,159771,313842
108,630,972,1602,21171,24634,45802,3,0,3,1278,1429,2709,6,5,7,19428,22569,42001,54,91,151,278,290,574,650,836,1486,130,159,290,191,260,446,45,43,96,559,628,1186,677,894,1571,3017,3503,6521,380,539,913,614,795,1409,3589,4975,8565,2312,2795,5108,46,70,118,54433,64515,118947,428,408,831,235,229,464,78,79,153,72,71,141,129,101,232,252,404,655,455,575,1028,44599,41324,85917,326,253,579,169,320,486,45091,41891,86984,9984,9034,19019,111336,117699,229035
109,321,469,789,7810,9364,17177,0,0,0,554,591,1150,76,74,147,13252,14448,27699,41,65,108,207,215,424,131,198,328,54,84,135,954,1120,2072,14,18,35,119,134,252,422,527,944,1890,2083,3974,78,98,174,135,167,302,2337,3029,5359,1059,1180,2238,26,28,48,29145,33421,62568,782,667,1447,271,210,478,25,28,54,10,9,21,419,348,765,120,171,290,546,524,1073,23946,22003,45949,119,78,198,56,73,133,24121,22156,46277,5704,5171,10872,60918,62639,123552
110,457,631,1087,20133,22766,42895,3,0,3,670,756,1424,175,176,352,17661,19887,37544,35,53,91,149,137,283,292,384,674,71,82,156,164,212,375,20,18,41,248,203,444,626,769,1400,3102,3360,6457,267,352,619,256,291,547,2629,3236,5870,1852,2105,3956,75,66,150,48440,54843,103283,637,593,1228,470,371,843,41,29,72,74,70,137,165,150,319,431,616,1052,671,833,1505,29906,26910,56816,200,156,353,80,129,208,30186,27193,57373,10362,9800,20168,91262,94298,185560
