SA4_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
101,0,0,3,13,9,0,5,0,0,36,0,15,7,64,21,28,45,22,6,207,3,3,5,37,18,69,127,104,65,434,0,10,4,12,0,4,7,0,0,37,0,5,6,48,11,0,0,0,0,81,0,0,6,23,25,37,22,12,0,127,0,8,3,39,32,36,10,4,0,143,0,0,0,3,3,19,49,41,13,115,0,0,0,5,0,6,7,3,0,25,0,0,0,7,3,4,0,0,0,17,3,6,40,373,8,6,0,0,0,440,0,0,9,24,34,38,124,95,28,356,10,32,80,320,260,317,312,102,18,1452,0,5,6,52,49,84,82,33,13,323,6,9,13,127,12,5,4,0,0,162,0,0,0,8,39,38,8,0,0,100,11,60,79,201,82,34,15,0,0,487,0,0,0,18,14,10,29,13,7,89,0,0,0,12,12,3,3,0,0,35,0,0,4,32,53,124,133,96,24,470
102,0,0,0,10,13,3,0,0,0,28,0,31,28,122,92,82,108,96,14,574,0,4,8,38,33,84,167,159,73,569,0,16,16,18,21,9,11,3,0,99,3,23,27,111,79,43,37,22,3,347,0,0,9,12,27,34,35,15,6,137,0,9,20,70,33,42,28,11,4,227,0,0,3,6,15,43,157,122,17,366,0,0,0,8,14,16,17,15,6,81,0,0,0,3,4,4,7,9,4,26,0,6,28,233,9,3,0,0,0,282,0,4,9,14,31,47,153,143,45,446,18,102,140,693,659,596,490,211,44,2946,0,0,0,0,3,14,4,0,0,29,4,9,12,74,5,5,6,0,0,115,0,3,5,29,45,35,14,4,0,136,11,68,70,332,110,84,50,14,0,746,0,3,3,50,30,26,45,28,9,188,0,0,0,20,9,6,4,0,0,35,0,19,22,94,129,205,188,178,57,893
103,0,4,3,9,11,5,0,0,0,33,0,8,3,30,32,14,27,19,3,143,0,3,0,19,11,35,47,23,21,162,0,0,7,0,0,3,6,0,0,21,0,3,0,48,7,6,0,0,0,66,0,0,0,13,16,11,15,7,0,67,0,0,9,28,23,21,5,0,0,95,0,0,0,5,4,10,23,15,0,53,0,0,0,7,0,5,3,0,0,10,0,0,0,0,3,0,0,0,0,13,6,4,24,239,16,3,3,0,0,285,0,0,0,17,14,20,76,58,13,210,0,26,55,243,188,208,171,66,9,972,0,0,0,0,0,0,0,4,0,12,0,14,6,80,8,0,3,0,0,114,0,0,0,12,12,8,3,4,0,40,10,52,66,201,61,27,5,0,0,425,0,0,0,8,3,6,7,13,6,42,0,0,6,18,3,0,0,0,0,24,0,6,8,24,30,43,82,51,17,263
104,3,77,28,54,3,3,8,0,0,186,0,8,8,26,25,15,20,5,4,98,0,4,4,21,9,13,29,25,10,110,0,9,4,21,0,0,6,3,0,42,0,0,3,22,3,0,0,0,0,38,0,0,0,8,8,3,0,0,0,19,8,35,17,91,27,15,3,4,0,216,0,0,0,0,0,3,22,8,0,29,0,0,0,0,4,0,7,0,0,10,0,11,39,112,31,11,9,0,0,222,0,0,3,56,0,0,0,0,0,60,0,3,7,15,12,19,81,65,22,220,8,20,32,187,174,203,199,84,21,935,0,0,0,0,0,0,0,0,0,6,0,4,9,8,0,3,0,0,0,28,0,0,5,15,23,20,4,0,0,63,5,28,20,55,16,4,4,0,0,138,0,0,0,8,8,3,11,4,5,34,0,0,0,4,0,0,0,0,0,8,0,8,6,17,24,60,61,52,15,253
105,0,0,0,4,3,0,0,0,0,5,0,3,6,25,6,0,6,6,0,53,0,0,0,4,0,5,19,6,15,51,0,3,0,6,0,0,0,0,0,10,0,0,0,19,0,3,0,0,0,32,0,0,0,12,5,4,5,0,0,29,0,3,5,16,8,9,0,0,0,45,0,0,0,0,0,0,12,4,0,21,0,0,0,3,0,0,0,0,0,9,0,0,0,8,0,0,0,0,0,9,0,3,36,350,13,0,0,0,0,397,0,0,0,4,6,8,18,21,8,63,0,8,25,92,58,87,64,33,5,379,0,0,0,0,0,0,4,3,0,9,4,7,4,95,8,0,3,0,0,125,0,8,0,3,4,11,0,0,0,31,6,48,29,113,46,12,0,5,0,261,0,0,0,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,9,10,15,15,19,3,73
106,0,0,0,21,8,4,4,3,0,29,0,16,10,85,38,30,42,24,11,260,0,0,3,13,11,25,71,50,24,197,5,0,4,6,0,0,9,0,0,23,0,0,6,50,16,6,3,0,0,80,0,0,0,11,19,13,8,3,0,57,5,5,16,72,36,39,10,0,0,187,0,0,0,0,3,19,47,33,5,104,0,0,0,8,8,9,10,3,4,40,0,0,0,4,0,4,0,0,0,9,0,3,33,118,6,0,0,0,0,159,0,0,0,14,18,35,94,79,27,274,6,60,118,425,383,376,266,130,21,1784,0,0,0,0,0,3,10,3,0,25,0,8,16,72,19,12,9,0,0,125,0,0,0,12,24,13,13,0,0,57,7,68,76,200,75,20,17,4,4,468,0,0,0,17,8,9,30,18,3,80,0,0,0,17,7,9,3,3,0,35,4,7,14,52,60,118,150,107,24,531
107,0,38,36,72,31,29,6,9,0,222,0,24,23,89,79,53,54,42,18,378,0,7,11,54,64,187,423,339,238,1328,3,10,17,26,10,3,4,0,0,68,0,5,20,76,28,24,4,0,0,173,3,7,10,100,70,82,67,45,9,390,3,11,32,64,23,37,21,10,4,209,0,0,3,6,15,48,137,91,35,338,0,0,0,8,5,6,6,4,0,33,0,3,5,65,24,11,5,4,0,125,0,4,26,151,5,0,0,0,0,196,0,3,7,26,28,36,175,154,45,477,13,74,135,503,348,315,191,82,22,1671,3,0,11,112,245,451,637,327,84,1871,8,28,44,233,20,12,7,0,0,352,0,0,0,18,19,11,13,0,0,63,3,55,56,239,93,43,34,16,0,531,0,0,0,30,22,35,68,27,9,192,0,0,5,12,5,0,0,3,0,33,0,9,19,56,94,252,263,189,49,937
108,0,0,0,16,4,6,0,0,0,29,0,7,0,40,26,19,43,44,7,193,0,4,0,11,6,31,83,46,21,198,0,6,0,6,6,0,5,0,0,29,0,0,3,28,3,3,3,0,0,38,0,0,0,8,5,9,11,8,0,39,0,5,4,26,9,30,10,4,0,95,0,0,0,0,3,12,47,31,7,105,0,0,0,0,0,4,7,0,0,14,0,0,0,3,6,0,0,4,0,16,0,0,22,128,4,0,0,0,0,154,0,0,0,13,13,38,129,128,30,354,0,30,31,193,230,290,303,172,43,1286,0,0,0,0,0,5,0,0,0,9,0,4,6,36,0,4,0,0,0,47,0,5,0,4,20,13,14,0,0,66,9,21,34,119,31,22,12,3,0,254,0,4,0,6,3,8,23,11,5,59,0,0,0,7,0,0,0,0,0,9,0,13,8,24,24,82,154,109,20,432
109,0,0,0,9,8,0,0,0,0,13,0,0,4,24,5,4,14,12,0,69,0,4,0,16,3,13,55,38,21,153,0,4,0,3,3,0,0,0,0,9,0,4,0,26,0,0,0,0,0,37,0,0,0,6,6,0,0,0,0,15,0,6,12,59,16,5,0,0,0,98,0,0,0,0,0,3,12,9,0,26,0,0,0,3,5,0,4,0,0,12,0,0,0,8,0,0,0,0,0,8,0,20,63,104,8,0,0,0,0,197,0,0,3,14,8,21,77,62,9,187,3,20,27,153,97,120,103,36,3,571,0,0,0,0,0,0,3,0,0,0,0,8,5,41,3,0,0,6,0,58,0,0,0,0,7,9,5,0,0,24,6,22,42,127,38,16,8,0,0,257,0,0,0,4,0,4,11,0,0,14,0,0,0,7,5,0,0,0,0,12,0,0,0,11,22,30,60,37,16,173
110,13,79,87,63,19,7,5,0,0,279,0,7,0,28,16,11,18,11,0,82,0,6,0,9,0,10,12,20,12,60,0,8,3,6,0,0,5,0,0,33,3,0,9,33,4,0,0,0,0,50,0,0,0,3,0,7,0,4,0,19,0,5,14,44,21,17,11,0,0,110,0,0,0,0,3,4,16,4,0,28,0,0,0,0,0,0,4,0,0,4,0,5,4,28,5,0,4,0,0,40,0,6,18,240,9,0,0,0,0,276,0,4,0,9,8,12,53,40,9,135,0,23,40,150,131,151,158,59,10,726,0,0,0,0,0,0,3,0,0,3,0,3,14,60,4,0,5,0,0,92,0,8,7,11,20,11,10,0,0,69,4,75,76,185,79,14,0,0,0,444,0,0,0,4,0,0,7,7,0,17,0,0,3,18,0,0,0,0,0,24,0,6,7,18,15,46,50,31,10,181
