SA4_CODE_2021,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_North_Macedonia_0_4,F_North_Macedonia_5_14,F_North_Macedonia_15_24,F_North_Macedonia_25_44,F_North_Macedonia_45_54,F_North_Macedonia_55_64,F_North_Macedonia_65_74,F_North_Macedonia_75_84,F_North_Macedonia_85ov,F_North_Macedonia_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Samoa_0_4,F_Samoa_5_14,F_Samoa_15_24,F_Samoa_25_44,F_Samoa_45_54,F_Samoa_55_64,F_Samoa_65_74,F_Samoa_75_84,F_Samoa_85ov,F_Samoa_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
101,0,0,0,0,0,15,40,25,4,91,0,0,4,5,5,0,5,0,0,20,0,0,0,13,4,4,0,4,0,25,0,10,33,321,7,4,0,0,0,378,0,0,7,25,28,51,164,95,26,396,7,27,67,305,311,326,255,101,16,1418,0,4,6,60,48,67,62,29,11,283,4,17,0,71,3,5,7,0,0,106,0,4,7,14,53,37,14,0,0,122,8,52,69,337,165,127,103,19,6,890,0,0,0,24,16,23,33,17,10,122,0,0,3,16,8,7,4,0,0,34,0,4,4,29,47,99,116,100,27,433,4,5,8,21,17,16,13,0,0,80,0,19,22,122,88,71,55,23,5,404,0,9,3,52,19,15,12,6,0,109,0,0,3,81,4,5,0,0,0,90,0,16,22,134,97,50,21,3,0,342,0,0,0,11,10,7,0,0,0,36,11,42,27,139,70,100,110,26,5,531
102,0,0,0,6,5,39,135,92,23,300,0,0,3,15,8,19,30,13,14,100,0,0,0,12,8,3,7,7,5,39,0,6,37,204,7,0,0,0,0,253,0,4,8,42,36,60,144,142,67,507,12,82,136,653,595,624,502,233,83,2917,0,0,0,0,0,10,3,0,0,16,0,11,9,44,8,13,8,0,4,88,0,0,4,31,45,45,24,5,4,161,5,66,95,659,309,346,200,47,18,1750,0,0,0,86,35,29,55,20,17,246,0,0,0,5,7,6,0,3,0,27,3,14,26,93,106,166,236,187,86,915,0,15,3,36,26,29,24,3,0,136,8,48,76,314,229,170,143,84,21,1084,0,7,3,50,26,19,21,6,3,141,0,13,0,30,15,10,5,0,0,75,3,35,42,322,145,80,22,4,0,654,0,0,0,13,15,18,9,4,0,59,4,44,70,213,104,95,78,26,3,645
103,0,0,0,0,8,11,21,5,0,38,0,0,0,6,0,5,0,0,0,6,0,0,0,3,0,0,4,0,4,13,0,8,39,217,4,3,3,0,0,274,0,0,4,12,6,30,75,77,20,227,5,22,45,204,188,225,152,68,18,915,0,0,0,3,0,4,0,0,0,7,4,12,3,50,7,0,5,0,0,78,0,4,8,10,11,17,5,0,0,65,0,44,38,280,124,119,77,6,0,689,0,0,0,7,4,8,11,12,14,66,0,0,0,4,7,0,0,0,0,10,0,0,8,26,30,60,68,54,17,265,0,11,3,14,15,7,0,4,0,55,3,18,31,116,73,33,36,7,0,317,0,13,4,51,7,13,11,4,0,107,0,3,0,20,5,5,4,0,0,37,5,12,18,118,46,35,8,0,0,234,0,0,0,4,4,0,0,0,0,12,0,17,18,76,29,33,42,7,0,225
104,0,0,0,0,0,7,18,5,0,41,0,0,3,0,3,0,0,0,0,8,0,14,44,133,24,16,7,6,0,238,0,0,5,45,0,0,0,0,0,50,0,0,4,22,15,36,77,60,23,235,6,24,39,181,166,243,209,110,24,1008,0,0,0,0,0,0,0,0,0,0,0,3,8,9,0,3,3,0,0,23,0,0,3,24,33,28,19,0,3,108,3,27,20,213,75,118,54,9,0,522,0,0,0,9,12,9,18,5,0,53,0,0,5,0,7,0,3,0,0,13,0,0,14,14,33,45,66,56,19,241,0,3,0,13,5,4,4,3,0,34,7,12,17,79,73,40,54,25,6,307,0,0,0,13,5,4,4,0,0,32,0,4,4,67,3,5,0,4,0,88,4,24,26,72,48,28,10,4,0,205,5,0,0,0,0,0,5,0,0,13,0,16,16,79,40,39,57,15,7,260
105,0,0,0,0,0,0,4,8,0,24,0,0,0,4,3,0,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,12,22,336,4,5,7,0,0,375,0,0,0,6,3,9,38,21,3,78,0,11,16,107,73,71,62,18,9,365,0,0,0,0,0,0,3,0,0,4,0,7,12,65,6,0,0,0,0,81,0,0,3,8,15,9,3,0,0,37,9,31,43,211,74,53,42,21,4,483,0,0,0,9,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,15,23,24,0,77,0,9,0,0,0,4,0,0,0,17,0,10,14,47,19,18,7,4,4,132,0,12,11,42,10,5,4,4,0,94,0,6,0,28,0,0,0,0,0,30,0,9,0,47,14,8,5,0,0,85,0,0,0,0,0,0,0,0,0,0,0,10,7,32,8,13,19,9,0,92
106,0,0,0,3,0,12,46,28,8,99,0,0,4,9,0,12,4,5,0,36,0,0,0,0,0,6,4,0,0,11,0,3,12,100,0,0,0,0,0,116,0,0,3,16,16,34,104,79,25,279,6,64,96,416,366,347,275,108,25,1696,0,0,0,0,5,9,4,0,0,21,0,5,3,39,6,9,3,0,0,74,0,0,0,11,30,22,15,4,0,82,7,54,74,451,176,201,132,28,4,1133,0,0,0,12,13,18,27,8,9,86,0,0,0,11,13,8,3,0,0,39,0,3,9,48,45,101,138,98,34,479,0,7,0,11,13,16,14,4,0,64,8,38,44,168,142,64,57,33,8,558,0,6,5,43,4,5,11,4,0,74,0,0,3,59,7,0,0,0,0,76,3,21,34,193,96,48,18,0,0,411,0,0,0,10,0,6,3,0,0,21,6,23,25,128,46,52,53,12,0,355
107,0,0,0,3,14,41,123,77,31,296,0,0,0,8,7,10,6,0,0,31,0,7,8,84,19,9,19,4,5,150,0,0,29,137,12,0,4,0,0,174,3,5,10,45,23,46,174,147,72,524,9,52,125,454,320,333,239,96,30,1659,0,7,15,187,265,450,595,364,101,1987,3,11,13,113,16,12,9,0,0,184,0,4,9,15,22,16,6,0,0,69,5,45,74,462,202,253,190,52,12,1293,0,0,3,58,35,33,88,37,30,286,0,0,0,11,7,10,0,0,0,28,0,10,17,56,101,259,274,204,91,1015,0,26,12,28,24,13,13,4,0,117,0,28,46,206,98,81,74,25,8,568,0,5,23,66,28,22,13,7,8,175,0,8,0,35,13,10,7,0,0,77,0,44,86,326,144,71,20,10,0,710,0,6,3,64,115,86,57,59,8,394,7,40,63,222,96,64,69,32,6,602
108,0,0,0,4,4,10,38,21,8,88,0,0,0,3,0,7,5,0,0,20,0,0,0,6,3,0,0,0,0,14,0,4,25,122,0,0,0,0,0,152,0,5,3,20,16,42,139,103,49,375,3,28,33,200,217,375,352,156,55,1427,0,0,0,0,0,0,0,0,0,6,0,3,0,13,8,0,0,0,0,23,0,5,0,12,25,27,11,9,0,89,3,28,29,290,138,157,118,29,4,798,0,0,0,16,8,14,21,14,5,83,0,0,0,3,5,0,3,0,0,10,0,7,4,22,31,100,134,117,23,442,0,3,4,7,13,8,20,3,0,51,0,8,27,80,68,65,88,29,9,373,0,3,3,27,13,9,5,6,0,61,0,0,6,18,9,7,0,0,0,37,0,13,13,119,72,32,15,7,0,279,0,4,0,5,4,5,0,0,0,16,3,23,23,83,39,59,73,22,0,335
109,0,0,0,0,0,0,9,8,0,21,0,0,0,8,0,5,0,0,0,12,0,0,0,4,3,0,0,0,0,7,0,25,60,88,7,3,0,0,0,184,0,0,0,6,17,18,76,51,22,196,3,28,23,136,90,133,103,46,4,567,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,6,0,0,0,28,0,0,0,3,9,8,0,0,0,24,3,32,34,195,84,68,44,11,3,474,0,0,0,3,0,3,5,4,4,23,0,0,0,3,0,0,0,0,0,3,0,0,0,13,15,39,54,40,20,173,0,0,6,5,8,5,6,0,0,28,0,11,16,41,26,23,13,15,3,144,0,8,3,36,12,3,7,0,0,71,0,0,0,23,0,0,0,0,0,25,0,8,7,60,35,19,7,3,0,136,0,0,0,3,0,0,0,0,0,0,0,9,12,48,9,18,12,0,0,112
110,0,0,0,0,0,0,10,5,0,20,0,0,0,0,0,0,4,0,0,9,0,0,4,20,6,6,0,0,0,37,0,7,38,257,3,4,0,0,0,311,0,0,3,14,14,12,50,32,10,130,0,32,42,173,150,130,135,45,16,734,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0,0,45,0,3,0,11,25,15,5,0,0,57,5,42,64,298,116,86,57,9,0,684,0,0,0,5,0,3,11,3,0,22,0,0,0,13,0,0,0,0,0,8,0,5,6,25,20,38,46,28,13,183,0,5,6,3,5,3,8,4,0,33,0,18,26,82,47,26,26,8,3,241,3,14,7,41,16,6,8,6,0,101,0,5,3,110,0,0,0,0,0,124,0,12,11,68,34,14,3,0,0,142,0,0,0,4,0,0,0,0,0,6,3,17,22,94,34,51,45,23,6,296
