SA4_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
101,570,159,1332,696,602,378,199,479,69,4482,10,9,7,10,9,18,3,15,0,72,278,272,106,162,153,53,75,79,40,1223,292,189,335,234,217,170,181,289,323,2241,13822,18649,11829,9539,9364,3656,2950,4672,1430,75910
102,686,222,1654,998,762,586,322,586,62,5886,15,11,10,19,12,11,6,17,4,106,169,272,178,154,189,81,118,118,52,1325,256,248,372,303,306,199,236,267,399,2582,14148,28371,16795,14261,13102,5667,3982,5716,1546,103592
103,483,82,1123,689,424,274,268,450,45,3836,4,5,8,24,14,10,8,17,3,85,127,115,100,86,78,33,90,64,31,734,254,124,297,223,195,163,259,315,280,2113,10040,15237,10763,8299,7183,2874,4066,4200,918,63584
104,310,72,854,535,287,265,115,345,41,2823,0,3,3,3,4,4,0,14,0,41,93,102,71,60,62,27,40,79,21,556,173,107,189,182,107,98,93,255,183,1382,5143,10495,6056,6316,4773,2274,1459,3183,593,40296
105,206,59,486,326,205,152,93,181,19,1715,0,3,5,12,6,7,4,9,0,52,51,51,48,54,53,16,45,50,18,387,153,99,144,148,106,95,134,189,177,1237,5058,7528,4852,4833,3546,1467,1687,2132,548,31645
106,580,151,1780,1098,581,534,507,590,57,5879,0,6,7,11,3,11,5,23,0,73,147,116,175,143,131,56,212,107,60,1149,251,177,392,284,242,162,407,348,397,2658,10427,17481,17917,12018,10146,4371,7018,5346,1370,86085
107,567,159,1445,897,649,420,290,485,52,4961,6,9,0,12,6,15,6,10,3,69,183,280,147,155,172,59,123,102,44,1251,180,198,325,253,229,146,201,246,366,2143,13205,31203,16623,13546,12377,4806,4700,5082,1480,103026
108,475,108,1286,783,398,398,127,516,49,4146,5,9,0,17,4,9,0,18,0,68,92,113,97,110,71,39,74,81,24,705,210,152,297,296,177,214,177,320,290,2125,7409,14635,9322,9697,6481,3344,2160,4164,946,58160
109,298,52,733,401,268,193,136,270,27,2383,6,4,3,8,7,9,6,12,0,55,74,65,61,60,43,26,49,66,8,447,176,67,202,127,90,79,119,214,163,1224,5970,8500,5933,4821,4054,1734,1789,2603,560,35966
110,357,77,857,514,290,271,195,383,29,2969,7,7,6,9,9,12,0,17,0,62,106,103,64,68,63,30,60,89,18,601,271,113,244,190,173,159,205,353,218,1918,8531,12620,7568,6802,5751,2557,2824,4198,751,51597
111,650,232,2227,1214,849,617,338,618,60,6801,8,10,10,16,20,12,12,15,0,103,210,342,195,184,225,90,145,121,50,1566,261,268,467,344,281,206,234,317,460,2839,16504,43685,20733,16665,15833,6093,5272,5971,1714,132466
112,620,131,1696,901,440,437,168,578,53,5030,5,5,9,8,4,3,0,10,0,63,177,193,143,134,118,71,54,122,44,1058,298,234,368,271,193,177,150,361,373,2434,10851,21305,12038,10967,8025,4196,2496,5525,1297,76695
113,344,77,811,551,297,240,146,392,32,2879,8,3,10,13,8,15,11,30,4,100,116,82,75,69,66,29,64,108,22,625,235,92,234,172,140,109,172,325,267,1746,7672,11551,7886,6506,5269,2287,2329,3843,807,48145
114,353,94,997,547,273,265,122,332,32,3024,5,3,3,5,0,12,4,8,0,42,120,139,79,103,76,45,47,65,27,701,174,100,215,154,134,143,113,174,153,1363,6968,11996,8425,6307,4948,2680,1675,3072,668,46741
115,496,166,760,440,639,333,130,229,36,3217,9,5,6,5,12,5,7,10,0,71,270,347,102,112,296,100,62,60,33,1384,256,250,188,100,225,124,97,79,351,1671,20640,37247,11084,7114,14130,5227,2396,2848,1520,102199
116,551,191,1178,721,704,506,702,538,82,5167,15,13,13,16,22,7,20,29,4,130,226,290,214,287,366,164,440,210,83,2270,228,267,307,277,386,185,446,340,710,3146,15774,39651,14646,13644,18979,6619,9438,6657,2493,127895
117,941,296,2157,924,609,430,181,443,75,6049,17,21,23,15,17,25,10,35,0,168,666,1073,209,226,411,195,84,98,76,3040,326,521,309,258,284,190,105,262,677,2927,29310,70816,12681,11146,16781,8266,3023,5562,2626,160225
118,495,205,972,430,406,214,83,194,37,3029,12,21,7,12,14,8,9,11,0,94,471,721,118,137,251,138,42,48,59,1978,325,413,215,141,209,136,53,120,475,2089,24705,51900,8178,6759,11376,6065,1562,2625,2191,115361
119,932,239,2152,1133,1053,738,459,719,101,7526,23,28,27,24,38,31,32,59,12,265,381,530,247,256,401,192,239,198,100,2544,409,551,530,386,517,337,391,414,986,4524,24356,57506,20024,18156,25609,11830,7687,9780,3569,178515
120,592,170,1275,523,464,343,149,330,55,3904,5,12,19,11,15,17,12,21,10,119,443,703,146,163,344,142,72,89,57,2159,274,396,236,165,297,167,96,189,565,2380,23954,54563,10030,8866,15427,7027,2538,4751,2163,129302
121,732,242,1199,566,580,354,98,264,40,4077,14,24,9,18,17,14,8,20,3,111,640,899,138,176,428,183,63,79,102,2699,366,469,193,137,298,159,69,111,577,2376,40636,84475,10620,10071,20903,8751,1945,3394,2944,183747
122,594,222,1098,500,495,312,109,207,39,3577,9,9,0,15,7,8,5,3,5,52,383,439,130,126,190,90,61,52,50,1526,290,297,237,137,208,140,71,119,340,1842,24598,38321,11350,8085,11774,5793,2036,2857,1538,106351
123,485,136,1042,614,712,444,375,443,57,4300,12,11,6,11,18,10,12,18,0,97,169,181,160,150,182,89,159,155,44,1292,231,186,315,220,298,145,277,250,494,2407,11423,22448,14175,11339,12550,5025,5646,5003,1666,89270
124,577,185,1255,790,876,518,430,525,48,5199,3,12,7,12,25,8,8,19,3,105,198,273,171,169,231,88,223,143,58,1562,209,214,336,251,333,155,318,239,484,2541,13845,28561,16663,13033,14727,5256,6227,5437,1707,105458
125,594,177,1511,725,702,453,463,546,70,5242,15,13,24,16,19,17,28,44,7,185,281,460,200,239,358,145,250,209,92,2239,294,414,433,325,420,238,310,380,1048,3866,19807,54693,15470,14567,20921,8768,7460,8311,3402,153400
126,343,110,748,278,311,227,73,164,30,2288,10,6,6,0,10,4,7,14,3,63,199,299,62,81,190,84,40,48,35,1036,159,270,130,85,143,79,43,58,306,1262,14618,36752,6635,5250,10736,4444,1504,2197,1294,83416
