SA4_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
101,12,18,4,0,0,0,0,0,0,41,111,362,11,9,15,3,0,10,0,521,949,1230,114,143,193,77,70,87,50,2924,13,37,3,3,11,8,5,0,0,69,182,354,21,49,50,14,8,14,10,709,86,112,9,42,32,3,5,5,4,296,1776,3110,485,566,478,255,146,304,117,7239,4,4,4,3,0,4,5,6,0,23,598,389,275,289,139,81,76,117,40,1998,815,534,511,511,265,137,133,190,50,3144,2883,646,8118,1066,660,657,1878,1909,329,18160,106,40,109,78,43,62,79,124,12,646,195,84,106,103,49,84,124,152,14,915,62,56,54,22,15,21,20,29,5,281,167,85,152,45,39,62,153,164,126,1002,7972,7061,9982,2935,1986,1456,2685,3111,768,37959,13,37,0,6,3,0,0,0,0,60,108,341,5,13,33,0,0,0,8,507,745,1699,46,226,277,78,3,42,59,3180,32,66,4,9,9,0,0,0,0,130
102,12,27,0,0,0,0,0,0,0,42,53,441,3,4,7,3,3,8,8,532,742,1554,97,114,140,72,49,58,22,2845,22,43,4,5,8,0,0,0,0,86,118,377,34,46,36,15,10,13,4,653,84,132,9,16,20,6,0,11,0,274,2076,5401,640,713,599,402,233,305,125,10491,7,7,13,3,4,0,4,0,0,40,667,665,385,406,203,163,135,156,33,2814,1071,907,735,646,363,284,225,258,59,4544,3107,1058,11785,1505,1030,1039,2280,2518,446,24777,81,70,124,79,71,99,110,175,16,821,240,180,221,162,97,117,187,200,28,1433,78,103,69,37,31,30,39,48,13,444,129,131,181,87,62,52,152,154,140,1084,8488,11098,14304,3814,2668,2276,3424,3906,901,50887,13,78,0,4,7,0,0,0,0,104,47,343,6,10,19,3,0,0,9,435,584,2245,61,184,282,76,3,26,34,3498,13,112,0,6,18,0,0,0,6,155
103,0,20,0,0,0,0,0,0,0,33,56,222,7,6,17,0,0,4,0,312,372,737,63,66,62,27,31,34,8,1405,17,36,0,0,3,0,0,0,0,62,91,205,25,22,12,10,12,9,3,395,45,70,6,14,13,0,7,5,0,160,1289,2622,363,363,253,154,146,201,44,5437,0,5,8,0,4,6,0,4,4,22,426,248,222,188,71,66,90,87,11,1425,558,284,429,333,155,118,168,125,22,2200,2751,492,7615,799,519,561,2747,1744,266,17496,127,26,96,38,38,59,118,140,9,662,199,41,94,66,40,64,125,121,13,768,46,31,38,21,4,19,37,32,4,245,164,52,117,59,29,45,186,168,97,919,6152,5105,9087,1986,1216,1127,3678,2683,498,31529,3,44,0,0,3,0,0,0,0,55,45,215,4,8,8,0,0,0,0,289,305,1259,29,105,134,24,7,26,11,1898,11,44,0,0,5,3,0,0,0,71
104,0,9,0,0,0,0,0,0,0,17,26,162,4,0,6,0,0,0,0,198,165,466,30,33,58,9,9,15,0,792,5,16,0,0,3,0,0,0,0,31,48,205,15,27,20,3,4,9,4,321,24,41,0,9,9,0,0,4,0,85,691,1970,238,256,174,106,49,171,30,3679,5,0,0,4,0,0,5,0,0,14,199,183,105,145,67,46,46,67,9,872,322,244,236,284,109,81,75,114,27,1492,1319,337,4221,768,367,466,959,1356,147,9939,43,10,50,46,21,54,51,92,7,372,92,39,54,70,21,48,66,114,12,521,28,34,20,11,3,7,7,32,3,148,82,48,87,41,24,32,71,132,64,590,3065,3764,5064,1700,881,858,1342,2095,304,19075,10,34,0,0,0,0,0,0,0,43,18,141,0,3,8,0,0,0,0,174,152,775,19,67,76,17,3,24,12,1147,8,47,0,4,0,5,0,3,3,62
105,0,6,0,0,0,0,0,0,0,10,10,81,0,0,0,0,0,3,0,99,133,307,46,73,50,57,26,46,6,748,3,12,4,4,0,0,0,0,0,23,42,107,10,17,8,0,5,5,8,195,25,31,0,11,4,0,0,4,0,80,585,1096,145,262,134,88,60,137,31,2545,3,0,0,0,0,0,0,0,0,12,230,104,67,153,38,20,35,34,7,686,301,139,149,209,94,52,51,70,21,1084,1394,231,3553,554,287,280,1089,861,157,8401,57,16,41,32,15,23,52,64,4,306,94,21,43,35,10,39,76,61,6,392,23,21,26,7,3,6,17,7,5,116,101,34,71,34,18,31,100,91,70,548,2997,2211,4144,1395,666,607,1518,1382,320,15235,0,11,0,5,0,0,0,0,0,14,6,60,0,5,0,3,0,0,0,72,137,595,25,122,68,48,0,27,12,1035,9,31,0,0,0,0,0,0,0,39
106,7,20,0,0,0,0,0,0,0,27,49,190,5,5,4,3,0,0,0,254,428,708,76,72,68,40,30,31,11,1470,8,22,3,0,0,0,0,0,0,37,107,220,22,20,27,3,5,6,3,422,67,78,17,14,11,0,6,3,0,195,1177,2948,457,361,253,177,200,190,66,5841,5,4,8,5,0,0,3,3,0,24,505,426,444,227,129,82,119,84,20,2043,759,573,782,462,236,157,292,216,45,3518,2697,828,12965,1260,803,757,4662,2177,505,26653,77,28,162,107,47,92,194,189,9,897,155,68,161,84,46,73,207,163,14,966,45,45,50,13,16,16,39,47,9,287,134,74,162,65,41,58,248,183,145,1103,6227,6236,15307,2708,1683,1451,5997,3293,834,43732,8,49,0,0,4,0,0,0,0,63,34,175,3,3,14,0,0,0,4,239,329,1229,33,105,144,42,12,15,15,1924,5,51,0,0,3,0,0,0,0,64
107,14,41,3,0,0,0,0,0,0,58,118,949,23,9,19,0,9,8,15,1137,928,2161,145,150,250,143,165,89,56,4074,24,55,3,8,0,0,0,6,0,93,139,557,41,61,43,15,13,19,7,885,85,124,15,23,29,5,4,9,3,300,2179,6284,774,945,703,416,311,361,126,12103,0,10,13,4,3,0,4,0,0,31,553,557,481,418,144,104,147,119,29,2557,905,845,1069,700,350,243,255,279,63,4704,2459,888,11346,1240,919,804,2907,2170,392,23124,66,42,94,96,43,71,107,155,8,688,181,121,152,102,93,81,174,138,29,1071,47,82,56,29,12,8,31,34,12,323,94,104,139,81,47,58,141,125,134,918,7784,12817,14346,3871,2654,1948,4280,3497,871,52070,19,105,0,3,6,0,0,0,0,138,85,754,11,12,22,0,0,7,5,902,720,3146,65,228,351,88,17,45,40,4694,26,98,3,9,11,4,0,0,0,143
108,0,17,0,4,3,0,0,0,0,23,28,182,4,6,0,0,0,0,0,215,266,653,35,37,51,17,10,33,8,1112,12,27,3,0,0,6,0,3,0,48,59,240,14,21,16,4,10,10,4,387,45,71,5,14,9,0,5,6,0,148,818,2569,252,325,196,124,62,135,44,4532,4,0,3,0,0,0,0,0,0,7,308,311,212,188,83,73,49,70,23,1308,416,349,360,359,129,142,74,160,22,2013,2080,516,6604,1293,494,706,1432,1927,272,15329,74,20,81,86,40,60,80,118,3,561,136,45,96,121,29,64,101,152,21,758,40,40,38,30,10,7,13,37,6,217,134,63,155,78,19,43,144,153,119,912,4418,5100,7852,2566,1088,1250,1977,2802,511,27570,12,32,0,4,7,0,0,0,0,54,23,161,0,5,4,0,0,0,0,206,219,1089,14,72,90,17,0,19,18,1542,13,57,0,5,5,0,0,0,0,87
109,3,6,0,0,0,4,0,0,0,11,24,110,0,3,3,0,0,0,0,138,195,350,20,23,33,22,31,18,11,702,7,14,0,3,0,0,0,0,0,27,55,162,12,23,6,5,8,7,3,279,35,36,3,10,8,0,0,5,0,95,776,1468,168,203,160,78,105,125,27,3111,5,0,0,0,0,5,0,0,0,15,300,135,139,117,38,49,50,52,17,892,366,199,243,201,70,76,123,112,30,1421,1692,298,4233,395,321,365,1111,1070,154,9639,72,13,42,29,12,34,43,64,6,314,110,31,40,35,11,36,50,71,6,393,23,15,20,14,6,9,15,14,0,108,96,32,88,23,12,28,89,116,72,552,3765,2862,5012,1074,696,705,1615,1659,323,17715,5,23,0,0,0,0,0,0,0,27,16,108,3,3,3,0,0,0,5,136,154,600,16,70,75,21,10,23,10,972,9,33,0,5,6,5,0,0,0,52
110,3,13,0,0,0,0,0,0,0,19,72,381,8,7,14,0,5,7,4,502,264,509,51,63,43,28,27,56,11,1058,7,16,0,0,4,0,0,0,0,24,91,198,15,15,26,7,9,8,8,363,34,55,4,16,5,0,0,0,0,124,1061,1945,267,308,205,119,123,303,36,4366,6,3,0,0,0,0,0,0,0,17,427,188,122,169,53,47,69,67,10,1150,485,233,236,258,106,86,112,146,31,1693,2337,388,5305,569,425,502,1817,1587,196,13144,105,21,73,57,19,57,83,158,8,584,174,36,66,47,30,71,109,109,9,660,46,34,35,14,7,16,20,38,0,207,181,31,131,38,24,62,137,179,88,866,5293,4054,6311,1564,959,1012,2507,2663,414,24768,3,27,0,0,4,0,0,0,0,36,53,355,7,3,17,0,0,5,0,445,217,1055,34,107,82,23,0,44,16,1577,13,34,0,3,12,0,0,3,0,65
