SA4_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
101,0,0,0,0,5,3,14,11,0,0,0,0,4,0,3,37,0,0,0,4,0,11,61,56,21,24,23,41,0,0,4,243,0,11,39,75,61,62,89,54,12,9,8,15,6,5,12,444,13,14,16,11,40,72,170,90,28,31,14,93,14,14,31,648,10,68,191,61,21,26,3,7,0,5,0,0,0,0,10,406,3,18,17,4,6,6,21,9,0,10,0,8,3,0,7,122,0,7,10,29,43,51,71,23,6,9,19,17,6,4,14,317,170,342,205,114,122,76,84,38,6,0,7,13,4,0,42,1230,11,61,143,28,12,7,3,6,0,0,0,0,0,0,9,273,3,12,16,24,27,14,18,11,4,0,3,3,7,0,7,141,7,16,39,28,29,73,560,491,154,182,204,171,67,12,33,2057,3,20,8,12,21,26,39,44,9,15,12,11,3,0,8,234,0,0,0,3,12,7,23,27
102,0,0,0,4,3,8,0,6,0,0,0,0,0,0,0,20,0,0,0,5,0,12,27,38,6,12,10,7,3,0,0,131,5,12,60,82,68,120,165,86,11,23,8,16,6,0,10,681,16,54,47,34,211,279,584,358,79,60,40,71,17,4,45,1893,3,52,149,40,5,29,3,9,0,0,3,0,0,0,11,307,28,79,100,37,27,21,20,34,5,22,7,16,5,7,16,424,7,9,19,60,112,90,52,33,14,3,16,14,9,3,10,443,174,275,156,112,108,85,170,69,8,14,5,9,0,0,42,1219,11,96,147,42,9,4,9,5,0,0,0,3,0,0,8,341,11,13,24,43,84,57,53,25,14,6,6,9,7,7,9,364,22,25,60,83,81,136,604,674,135,168,144,140,49,8,39,2362,12,25,20,35,52,75,118,89,14,15,25,38,18,0,3,536,0,0,3,21,31,30,51,63
103,0,0,0,0,0,5,16,9,0,0,0,0,0,0,0,26,0,0,0,0,0,4,23,45,4,18,5,7,7,0,4,126,4,3,11,22,31,24,61,33,0,10,7,7,9,0,9,224,6,20,17,34,43,69,156,86,8,28,18,14,4,3,22,512,5,17,59,23,9,9,0,3,0,0,0,0,0,0,8,122,0,7,8,0,4,5,4,3,0,0,6,0,6,0,0,44,0,3,8,14,40,30,41,25,4,6,12,12,0,0,10,204,121,153,79,34,56,26,25,16,8,5,0,3,0,0,20,547,0,29,42,17,0,3,0,0,0,3,0,0,0,0,9,97,0,0,13,9,31,11,8,9,0,5,0,0,10,0,3,101,7,7,13,15,28,40,276,315,96,117,125,129,61,18,21,1267,0,14,3,7,10,5,33,29,9,6,6,7,0,0,7,135,0,0,0,0,10,9,13,32
104,0,0,0,0,0,0,3,32,11,11,0,10,0,0,0,65,0,0,0,0,3,0,9,9,0,0,0,0,0,0,0,10,4,8,30,44,49,31,58,41,3,7,7,12,10,3,14,316,4,10,8,8,20,25,60,43,9,26,20,34,0,0,25,286,4,9,19,4,4,0,5,0,0,0,0,0,0,0,0,41,3,10,3,5,4,3,9,6,3,0,0,0,0,0,0,55,3,11,9,21,22,17,30,14,0,3,4,4,0,0,8,127,61,145,89,62,94,48,77,34,0,7,0,0,3,0,19,649,0,11,15,0,0,0,0,0,0,0,5,0,0,0,0,37,0,5,14,16,15,8,14,14,0,7,9,0,5,0,8,107,8,26,67,58,110,87,439,298,72,72,81,125,40,3,44,1535,0,5,3,7,9,8,17,22,5,10,3,12,7,3,5,125,0,0,0,0,3,0,4,7
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,3,36,46,25,11,10,12,0,0,0,160,0,0,6,12,10,5,19,8,0,0,0,0,0,0,0,70,0,0,4,12,19,16,63,52,7,17,14,16,15,10,19,252,0,8,12,5,0,0,0,0,0,0,0,0,0,0,0,30,0,5,4,0,0,3,5,0,0,5,0,4,6,0,4,33,0,0,4,0,12,9,27,20,7,8,5,11,0,13,10,126,29,52,36,15,23,13,24,9,0,0,0,0,0,3,6,221,0,12,26,4,6,4,0,0,0,0,0,0,0,0,0,46,0,3,0,8,10,4,5,3,0,0,0,0,0,0,12,50,0,0,5,11,12,16,235,272,87,107,101,84,44,25,16,1019,0,4,0,0,3,10,16,3,0,5,3,0,7,0,3,57,0,0,0,0,5,0,0,9
106,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,17,0,0,0,0,0,3,32,29,4,7,9,7,0,0,5,103,0,3,19,42,37,46,74,54,15,0,7,10,0,0,11,321,4,9,14,15,61,51,174,79,28,32,51,64,27,4,37,638,3,25,65,28,11,5,0,0,0,0,0,0,4,0,7,149,7,21,19,4,3,0,20,9,0,0,0,0,0,0,7,105,8,9,5,25,26,45,42,39,7,9,7,10,0,17,15,266,221,272,100,51,71,37,50,35,8,3,4,4,4,0,35,898,0,33,39,10,4,4,3,3,0,0,0,0,0,0,5,110,0,7,13,30,37,23,20,18,4,11,3,4,5,4,10,179,14,4,37,36,15,55,398,368,88,75,93,110,29,16,29,1368,5,6,10,12,3,23,39,30,7,4,12,4,3,0,11,159,5,0,0,6,4,4,3,20
107,0,0,0,0,4,3,13,17,0,0,10,0,0,0,5,57,0,0,0,0,0,8,41,53,15,33,25,27,13,4,0,231,4,4,40,62,61,82,177,90,25,27,29,29,23,7,11,664,7,18,11,27,100,201,582,476,110,134,142,174,48,14,43,2082,0,135,381,89,33,184,107,4,0,0,0,0,0,0,25,969,15,40,40,23,21,18,38,46,5,14,13,23,4,3,11,315,0,5,18,36,64,62,52,25,13,10,15,8,4,3,3,328,205,643,267,92,100,72,104,47,8,14,19,12,5,0,52,1640,12,222,361,83,20,15,9,31,0,0,0,0,0,0,49,805,0,6,11,28,32,49,48,24,4,14,3,11,6,0,10,259,6,12,57,80,51,114,401,581,161,173,298,389,241,11,53,2647,3,10,8,10,21,62,91,61,6,26,15,29,7,0,5,370,3,0,3,7,38,50,73,109
108,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,25,13,0,4,0,0,0,0,0,44,4,6,42,53,51,39,75,39,13,13,3,10,8,0,11,377,4,9,9,10,37,40,107,72,6,26,34,34,0,0,26,416,4,21,55,20,7,3,3,0,0,0,0,0,0,0,5,109,10,24,22,5,7,8,19,9,5,3,3,12,7,0,8,128,9,12,18,17,37,28,33,15,3,5,0,0,6,3,7,177,137,251,139,76,107,51,63,42,3,11,3,4,0,0,55,942,0,23,29,12,3,0,6,0,0,0,0,0,0,0,9,79,7,5,14,17,16,12,12,16,0,5,4,0,0,0,8,112,14,9,33,30,13,28,161,203,41,52,52,78,46,8,30,802,6,15,14,3,15,20,25,22,13,7,3,9,5,0,3,173,0,0,5,7,11,3,12,8
109,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,23,36,3,4,0,0,6,3,0,71,0,0,10,12,6,15,18,14,0,5,3,0,0,0,0,104,0,0,0,7,9,28,45,40,18,14,17,21,4,0,4,225,0,12,37,12,0,7,0,0,0,0,0,0,0,0,0,60,0,6,7,5,0,3,6,0,3,0,0,3,0,0,0,33,0,0,3,3,17,12,21,26,5,6,6,5,4,0,0,115,81,175,75,26,22,9,20,15,5,3,0,4,7,0,17,454,5,28,19,5,3,0,5,0,0,0,0,0,0,0,0,65,0,0,3,5,12,3,10,7,3,3,4,0,0,0,0,53,4,3,14,10,11,31,311,353,123,140,120,110,44,15,15,1312,0,5,3,0,0,4,18,23,5,0,10,4,7,0,0,76,0,0,0,0,3,6,10,6
110,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,0,0,0,3,24,40,13,26,27,9,4,0,0,137,0,3,11,33,20,24,38,30,7,11,9,6,7,0,4,199,0,4,3,10,30,42,113,94,38,43,67,71,7,0,17,538,3,9,9,3,0,7,3,0,0,0,0,0,0,0,0,35,0,3,3,3,0,0,6,10,3,0,0,16,0,3,5,61,0,0,3,12,23,19,36,44,4,8,11,17,72,58,8,310,27,90,43,46,35,24,38,22,0,5,3,8,4,0,6,372,0,7,11,0,0,0,0,6,0,0,0,0,3,0,4,35,0,0,8,12,19,11,11,10,0,0,3,4,3,5,0,80,11,4,14,16,8,23,216,218,74,76,122,172,52,17,17,1027,3,5,4,6,5,17,14,18,0,8,8,34,18,0,12,161,0,0,0,0,3,4,8,25
