SA4_CODE_2021,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
101,0,73,6005,6081,107,773,3976,4858,3423,3073,4899,11397,6779,2062,2899,11738,7907,2013,3783,13704,9120,1794,4571,15489,9009,1103,3729,13839,4699,287,1944,6937,1026,37,713,1769,42066,11213,32520,85798,5,131,5352,5487,224,1121,3211,4551,4712,3345,4072,12130,7422,2124,3225,12769,8649,2098,3992,14735,9355,1688,4875,15921,8202,815,4782,13806,3428,190,3607,7228,464,22,1806,2295,42462,11543,34919,88918,5,206,11355,11559,328,1893,7189,9414,8138,6416,8972,23528,14199,4186,6122,24505,16550,4116,7770,28441,18482,3482,9444,31409,17204,1922,8510,27644,8131,479,5550,14159,1487,61,2521,4069,84528,22756,67434,174718
102,5,101,9700,9810,148,1139,7331,8622,4587,4726,7766,17084,10581,3076,4836,18498,11407,2640,5829,19876,11714,1968,6121,19799,11485,1063,4879,17430,7176,461,3156,10794,1657,58,1311,3036,58776,15242,50929,124948,7,170,8952,9133,278,1705,6339,8322,6359,5021,6757,18137,11725,3029,5459,20213,11804,2589,7152,21547,12182,1850,8165,22196,10890,922,8398,20209,5393,287,6692,12373,795,34,3800,4624,59429,15610,61704,136741,8,274,18652,18943,431,2844,13670,16942,10952,9746,14519,35215,22306,6108,10297,38713,23212,5235,12979,41428,23892,3814,14287,41998,22376,1987,13278,37637,12574,753,9842,23163,2454,91,5112,7657,118204,30852,112632,261690
103,0,79,5762,5840,143,925,3720,4785,3367,2972,4117,10449,5773,1701,2763,10235,6499,1426,3405,11337,7170,1193,3932,12291,7076,601,3220,10898,3935,200,1891,6023,861,20,686,1566,34814,9114,29500,73434,4,164,5065,5227,251,1349,2991,4590,4356,3069,3935,11354,6384,1707,3049,11139,7111,1409,3650,12174,7449,1082,4142,12671,6524,430,4059,11015,2851,133,3526,6509,444,14,1830,2287,35380,9346,32240,76971,7,238,10827,11075,393,2274,6711,9371,7717,6034,8051,21801,12151,3405,5812,21374,13613,2840,7054,23508,14618,2270,8074,24966,13594,1032,7284,21913,6788,328,5414,12541,1302,39,2516,3859,70195,18466,61742,150403
104,0,57,3654,3707,65,466,2255,2788,1667,1656,2802,6122,3370,1196,1984,6556,4100,1149,2370,7626,4985,1087,2984,9063,5752,785,2653,9192,3322,225,1330,4880,796,43,544,1383,24065,6667,20578,51318,3,86,3350,3441,145,683,1851,2680,2296,1759,2757,6808,3886,1253,2337,7481,4509,1223,2973,8704,5354,1151,3541,10048,5366,601,3468,9430,2499,132,2723,5354,382,25,1469,1880,24437,6909,24466,55812,5,138,7001,7147,208,1152,4102,5465,3956,3417,5557,12928,7259,2454,4320,14034,8607,2373,5348,16326,10341,2235,6528,19112,11120,1384,6126,18623,5818,359,4056,10228,1184,67,2013,3260,48500,13580,45045,107125
105,0,61,2765,2827,44,503,1849,2395,1859,1606,2659,6125,2740,875,1499,5109,2886,754,1870,5508,3544,649,2232,6426,3227,313,1929,5469,1852,108,970,2926,431,11,351,795,16590,4866,16119,37579,0,104,2506,2611,110,705,1608,2434,2431,1721,2643,6796,3033,855,1767,5655,3089,774,2046,5904,3669,599,2365,6639,2963,244,2148,5355,1411,57,1797,3270,196,13,903,1116,16907,5071,17799,39777,4,164,5269,5435,162,1205,3459,4825,4292,3325,5301,12921,5771,1732,3272,10764,5975,1525,3914,11410,7217,1247,4605,13071,6188,556,4078,10820,3263,165,2771,6198,632,24,1257,1912,33499,9944,33921,77358
106,6,113,8257,8369,168,1329,5700,7202,4894,4580,6418,15892,8709,2668,4182,15562,9216,2265,4637,16111,10161,1605,4655,16425,10029,850,3757,14630,5420,284,1982,7683,1044,34,680,1756,49650,13726,40267,103638,4,208,7548,7763,319,1940,4812,7071,6580,4824,5732,17138,9603,2668,4477,16743,9971,2221,5198,17387,10563,1503,5477,17541,9189,696,5347,15232,3986,187,4002,8181,505,15,2073,2593,50708,14265,44671,109648,12,321,15809,16136,488,3270,10511,14270,11468,9408,12152,33025,18305,5333,8661,32301,19183,4481,9841,33499,20727,3107,10134,33969,19213,1548,9102,29863,9413,471,5986,15861,1547,52,2749,4355,100355,27992,84938,213289
107,0,71,8826,8902,143,1117,8504,9762,4936,4805,8574,18317,10566,2604,4372,17539,10970,2065,4910,17946,11299,1506,5080,17882,10128,741,3479,14339,5890,249,2136,8275,1472,48,960,2482,55399,13208,46834,115451,3,135,8374,8514,259,1617,7559,9439,6784,5053,6856,18685,11453,2538,4671,18667,11461,2048,5686,19198,11435,1382,6290,19106,9414,598,5766,15774,4460,178,4970,9608,716,24,2870,3603,55980,13576,53046,122601,3,211,17204,17419,401,2731,16066,19200,11721,9864,15429,37007,22024,5145,9042,36207,22428,4113,10596,37139,22729,2888,11362,36984,19532,1335,9244,30115,10350,429,7110,17887,2187,74,3827,6088,111375,26789,99880,238050
108,0,61,5603,5668,84,702,3285,4076,2142,2146,3887,8177,4601,1654,2773,9028,6007,1716,3708,11437,8165,1707,4833,14709,10758,1296,4713,16771,6650,486,2658,9794,1562,76,1114,2747,39976,9838,32583,82399,5,145,5122,5267,152,958,2818,3923,2978,2350,3822,9152,5348,1720,3276,10347,6715,1851,4363,12930,9241,1767,5812,16824,10162,1011,6033,17204,5033,317,5055,10408,762,44,2878,3674,40394,10165,39179,89736,8,202,10726,10934,234,1661,6104,8003,5123,4498,7710,17329,9950,3372,6052,19374,12722,3565,8072,24365,17408,3470,10644,31531,20922,2306,10743,33974,11678,807,7718,20205,2317,112,3984,6423,80367,20004,71760,172134
109,0,43,3129,3173,46,504,2129,2680,1745,1663,2472,5877,3292,931,1518,5745,3687,852,1872,6413,4364,762,2176,7306,4548,445,1966,6952,2565,144,1038,3746,585,16,420,1021,20830,5353,16724,42909,0,89,2970,3053,99,714,1842,2656,2347,1688,2209,6239,3709,954,1750,6416,3987,863,2088,6930,4643,722,2408,7775,4170,327,2441,6933,1976,90,2103,4170,275,13,1088,1373,21200,5463,18887,45554,0,129,6098,6228,143,1223,3969,5337,4088,3349,4683,12118,7002,1888,3269,12162,7670,1714,3957,13344,9010,1483,4589,15079,8717,775,4402,13892,4541,235,3139,7914,859,26,1508,2395,42031,10817,35606,88458
110,6,104,4659,4763,102,884,3123,4109,2631,2469,3904,9003,4657,1345,2463,8467,5265,1176,2843,9285,6110,993,3434,10532,6053,582,2809,9444,3587,166,1557,5298,804,21,519,1343,29213,7733,25312,62253,6,224,4437,4666,220,1208,2559,3985,3539,2558,3757,9851,5106,1377,2817,9300,5726,1207,3126,10062,6424,921,3729,11081,5504,426,3553,9482,2761,94,3157,6010,336,13,1593,1939,29620,8029,28737,66385,12,326,9098,9435,320,2094,5676,8095,6164,5025,7662,18852,9763,2731,5276,17769,10988,2386,5974,19348,12535,1911,7161,21616,11560,1001,6364,18926,6338,257,4715,11317,1144,29,2109,3284,58828,15768,54046,128634
