SA4_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
101,3952,2388,2601,2524,2847,3105,2502,1359,648,21932,41245,23664,26755,27123,31454,35370,31264,16162,5776,238810
102,5336,3293,3027,3187,3370,3167,2717,2025,1326,27457,62348,38764,38119,41358,44183,44882,40693,25702,10545,346596
103,4343,2636,2778,2758,2734,2589,2141,1347,602,21924,41367,23853,24861,24125,26203,27917,24652,14480,5504,212962
104,2515,1612,1859,1874,1819,1806,1498,933,495,14418,24834,14313,15030,15975,18106,21252,20649,11492,4473,146127
105,3575,2031,2358,2092,1949,1935,1485,1006,493,16925,22899,12519,15489,12978,13463,15228,12627,7498,2866,115566
106,5154,3155,3417,3206,3106,2839,2145,1454,737,25214,56899,33766,36516,35227,36228,37003,32654,17724,5922,291946
107,4305,3224,2818,2670,2777,2554,1998,1413,937,22704,56114,40453,39997,38572,39273,39152,32307,19744,8227,313842
108,3907,2374,2234,2260,2394,2763,2675,1723,811,21142,35834,21563,19774,21625,26807,34795,37531,22565,8536,229035
109,2431,1430,1377,1381,1507,1627,1444,868,340,12418,22291,13312,13683,13574,14812,17022,16158,9280,3413,123552
110,4763,3189,2705,2528,2722,2736,2183,1437,697,22955,35503,21767,21953,20328,22031,24586,21574,13144,4669,185560
111,5221,4115,3646,3353,3352,3152,2527,1782,1239,28386,67624,48868,51995,48540,48194,47431,41675,25316,10881,390519
112,4875,2843,2872,3263,3369,3452,2845,1708,1010,26236,42820,25007,25763,29993,33175,37504,35234,19222,8337,257061
113,3299,2280,2238,2104,2091,1935,1511,1013,475,16937,31999,20495,20957,19057,19343,20423,17036,10095,4250,163656
114,2587,1603,1604,1688,1744,1757,1597,1121,612,14311,26100,15312,15749,16449,19016,23275,24844,14997,5266,161006
115,2560,1771,1407,1805,1976,1558,1160,820,658,13719,53970,33968,25876,39217,37757,31141,24274,13127,5023,264371
116,7439,4504,5414,5130,3837,2679,1700,936,497,32148,91082,51193,60222,68328,47949,38101,27249,12543,4339,400997
117,2272,3491,7578,4578,3161,2535,1655,974,446,26685,32822,41325,95819,59167,38106,29296,20220,10722,3864,331340
118,2535,2248,4088,3092,2516,1913,1532,1167,987,20077,40017,28513,50336,39986,34027,26890,21255,13846,6538,261410
119,9176,6332,8127,6833,5919,5039,3619,2717,2264,50020,108789,76399,96482,84427,74330,68740,50540,30611,14802,605118
120,2623,2492,3888,2880,2337,2105,1529,1077,936,19860,45793,35983,57158,46480,39339,33603,25007,14410,7002,304771
121,3397,2333,2710,3119,2974,2424,1918,1412,1135,21423,76197,46590,52341,66457,60609,48514,38403,24095,10839,424045
122,2685,1789,1782,2048,2435,1994,1368,1007,681,15792,48729,30004,28875,35504,40004,32479,24219,16501,7243,263554
123,5590,3076,3112,3256,2782,2221,1459,929,494,22917,66343,37850,41205,43295,36693,32242,24464,11516,3676,297292
124,5676,3595,4103,3814,3418,2618,1965,1327,884,27400,66798,40996,45804,45750,42308,38760,31058,15357,5235,332056
125,8237,5451,8474,7097,4806,3906,2477,1531,1015,42999,94492,61222,92360,79837,55620,48592,34513,19004,7867,493515
126,1660,1202,1811,1618,1274,1207,873,697,809,11146,34421,23284,32358,31980,24919,22731,17441,9771,5131,202038
127,8818,5326,5549,5565,4757,4260,2803,1776,1158,40013,98998,64803,68011,65464,59513,54724,37252,18477,7189,474430
128,2501,1603,1555,1788,1921,1587,1212,854,651,13686,42415,26918,26347,30496,31812,28471,22879,13841,6432,229604
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,555,462,763,794,661,469,210,54,14,3980,1260,1357,2187,1859,1678,1648,1055,277,49,11371
