SA4_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101,28,197,3,2725,25,13,11,16,18,30,8,20,7,92,1008,1243,32,14,20,15,4,10,4,10,9,208,195,515,5637,1544,257,3770,500,2357,323,2348,397,11441,1383,29944
102,21,254,3,2802,28,8,7,8,8,31,11,21,16,143,986,1268,13,8,11,16,6,8,3,14,10,271,211,578,5194,1675,391,3997,1149,3134,650,2655,778,16473,1426,37532
103,8,117,7,1693,28,11,6,26,9,24,3,27,6,91,873,1103,37,13,18,11,0,15,3,11,9,190,171,479,4773,1094,205,3394,359,2143,220,1732,307,8209,1209,23651
104,17,107,6,792,7,6,4,7,7,9,4,20,3,65,581,716,13,8,13,9,0,9,0,7,3,159,106,322,2340,1007,122,2215,199,1267,156,1527,240,8288,814,18169
105,3,45,4,712,15,5,3,12,6,15,5,11,9,40,540,654,29,7,7,20,6,11,0,4,5,124,109,324,2788,498,110,1678,221,1023,104,739,146,3742,726,11773
106,27,183,0,2161,21,5,6,18,15,25,6,30,5,125,1105,1360,33,7,23,20,8,9,0,13,9,244,193,552,5597,1353,280,4107,637,2888,368,2298,517,13426,1467,32939
107,23,198,4,2653,11,4,12,6,10,23,10,20,17,120,754,976,8,9,10,10,9,11,0,7,7,193,183,442,5066,1306,316,3704,1019,2780,576,2301,674,14373,1108,33226
108,14,167,5,1212,20,9,8,13,8,27,3,31,14,118,922,1178,18,17,23,10,4,16,4,11,3,322,232,659,3343,1571,226,3003,340,1907,275,2607,452,16422,1406,31544
109,10,74,7,757,14,4,3,12,5,15,0,10,5,53,546,660,35,9,13,14,4,7,5,4,3,156,146,390,2715,667,117,2171,233,1154,129,1109,198,5593,804,14895
110,8,66,6,1210,26,0,5,19,0,38,9,8,9,69,732,917,35,9,11,27,5,12,0,9,7,171,166,451,4540,971,185,3041,327,1693,190,1415,268,7104,1069,20802
111,42,251,0,3560,19,9,10,19,13,21,12,24,11,106,1278,1525,11,6,10,17,5,6,0,8,7,273,213,564,7868,2033,249,5689,800,3221,468,3089,556,17064,1671,42710
112,20,198,0,1753,19,16,4,17,10,18,8,20,14,105,1001,1229,22,7,22,19,9,14,5,12,4,225,189,534,3882,2014,235,3866,408,2092,418,2566,438,12563,1404,29885
113,8,88,6,1055,16,3,6,13,7,26,4,11,9,61,647,802,36,10,15,15,7,11,0,12,4,141,142,393,3909,798,168,2725,268,1481,150,1183,225,5651,919,17471
114,22,210,4,1565,4,4,6,7,4,15,3,17,7,80,616,767,4,8,6,12,0,9,0,0,4,200,118,373,2541,1149,146,2319,310,1534,239,1808,329,10849,910,22138
115,15,209,7,3451,19,8,8,15,4,11,6,11,15,56,516,668,9,6,8,12,12,11,3,7,6,101,110,292,4200,1049,223,2414,680,2272,338,1702,500,9249,714,23351
116,14,46,9,2101,25,5,19,9,13,19,5,15,19,69,600,801,22,3,16,8,0,6,0,14,11,125,214,429,5647,867,425,2639,1337,3191,595,1588,780,8892,994,26949
117,53,279,20,12623,43,3,19,19,36,30,11,14,15,43,1257,1491,28,5,16,8,3,3,0,4,9,55,186,329,16066,2043,641,5630,1915,4442,920,2517,687,6480,1570,42915
118,37,633,12,8889,22,12,13,10,13,18,14,16,7,68,762,946,21,7,30,11,6,11,0,11,16,113,131,347,8709,1414,306,3445,928,2664,459,1998,451,6492,979,27848
119,34,204,18,4202,40,9,29,17,26,36,6,30,38,143,1206,1574,16,0,32,6,9,15,4,12,26,267,392,790,7957,2090,962,4319,1917,4617,1049,3366,1583,19691,1905,49457
120,28,289,3,7118,25,6,11,13,9,33,4,21,14,58,858,1056,21,3,18,5,4,0,4,6,10,92,140,307,9027,1673,469,3963,1116,3331,594,2169,686,8630,1135,32804
121,64,1190,10,12285,38,6,9,19,13,17,5,20,12,87,1082,1319,26,5,15,12,11,12,3,14,6,144,152,390,11378,2098,348,4886,1177,4461,573,3392,651,14168,1339,44467
122,31,605,9,6056,21,0,11,11,12,14,7,15,14,77,629,821,12,3,7,14,3,3,3,6,4,116,103,277,5888,1458,240,3186,794,2227,425,2194,441,9316,824,26993
123,19,76,3,1696,17,3,6,10,16,21,12,13,13,48,553,717,17,3,21,9,10,8,4,9,12,133,141,357,4429,820,389,2704,1145,2600,505,1479,660,8348,806,23900
124,24,121,3,2441,27,4,12,14,18,33,8,20,13,80,763,991,17,7,7,3,9,11,3,5,3,167,141,384,5975,1331,392,3720,1246,3186,586,2159,710,10452,1031,30798
125,17,95,8,3295,28,0,35,14,10,25,12,13,35,96,1019,1294,24,3,28,15,7,10,3,10,11,184,324,621,7459,1646,772,3612,1521,4414,819,2514,1152,13534,1573,39015
126,19,222,3,3385,10,10,7,7,7,15,7,7,11,38,512,635,6,0,7,3,7,4,0,3,3,63,105,207,4836,882,240,2192,731,2127,329,1421,384,6629,715,20484
127,16,102,11,1736,15,12,11,5,17,28,8,14,16,106,705,940,12,5,20,10,8,10,3,7,12,194,306,584,4613,826,558,2217,1297,3081,588,1749,1018,13102,1236,30284
128,29,254,4,3472,8,11,5,14,9,17,8,8,3,81,503,664,10,3,14,6,7,8,0,9,6,121,70,253,4693,1055,240,2480,846,1918,410,1692,483,9194,648,23653
