SA4_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,10,18,13,198,13,10,8,0,0,269,0,3,3,30,88,74,19,6,0,216,14,107,150,542,249,167,119,19,12,1377,0,0,0,39,29,33,60,25,16,207,0,5,7,29,17,11,7,0,0,72,0,10,12,65,100,221,253,199,52,904,4,13,8,37,35,30,17,3,0,152,5,51,48,228,165,150,105,52,13,802,0,16,10,105,36,30,30,9,0,234,0,0,5,118,7,10,3,0,0,143,3,36,40,178,108,54,24,3,0,447,0,3,4,13,19,12,3,9,0,75,18,93,78,243,124,173,176,72,6,988,4,5,15,90,69,32,24,4,0,229,0,4,6,20,34,63,46,35,12,217,0,4,11,47,35,32,30,7,0,170,19,87,132,882,466,612,693,505,199,3591,660,1671,1413,3557,2018,2547,2360,1350,644,16226,12752,28493,23664,53873,31454,35370,31264,16162,5776,238810
102,4,13,20,118,11,13,13,0,4,201,0,3,11,65,84,78,41,10,4,294,14,132,165,996,420,431,254,60,17,2487,0,4,4,131,61,54,102,51,24,431,0,0,0,26,19,16,9,3,0,68,3,31,55,190,230,372,418,369,141,1808,0,27,10,63,39,48,45,8,0,236,9,110,157,572,476,326,263,148,29,2100,4,9,9,103,50,41,54,24,8,306,0,19,4,50,22,15,9,0,0,115,6,66,69,413,177,90,26,9,3,856,0,7,3,34,25,45,25,12,0,139,6,89,124,369,220,190,168,74,13,1252,0,30,30,173,100,44,36,8,0,431,5,14,17,81,89,84,79,102,25,499,0,10,35,109,73,53,17,21,3,325,23,182,213,1358,934,947,977,780,292,5699,714,1830,1657,3801,1998,2005,2133,1878,1178,17199,19421,42931,38764,79477,44183,44882,40693,25702,10545,346596
103,6,24,4,127,13,4,7,0,0,188,0,4,8,29,28,27,13,4,0,105,11,100,107,481,176,146,83,12,0,1117,0,0,0,11,5,11,27,20,23,102,0,0,3,20,5,0,6,0,0,36,0,10,12,56,60,107,148,104,30,526,0,10,15,20,21,11,4,4,0,94,3,52,68,200,149,81,66,23,5,641,5,26,15,102,24,32,15,12,0,236,3,5,3,20,8,7,3,0,0,50,3,22,34,151,65,29,10,0,0,315,0,0,0,10,4,0,4,0,0,30,0,35,38,130,58,62,69,25,4,429,0,11,26,110,46,28,5,0,0,216,0,3,3,16,18,29,34,21,4,127,0,20,12,69,42,30,13,0,0,198,24,86,99,497,248,262,292,227,87,1821,682,1905,1581,3505,1907,2131,2006,1350,621,15707,12569,28797,23853,48985,26203,27917,24652,14480,5504,212962
104,0,3,12,19,3,8,6,0,0,43,0,0,11,36,52,46,20,0,3,177,9,59,45,267,93,127,64,13,0,663,0,0,0,18,12,14,26,7,6,85,0,0,5,9,7,3,3,0,0,24,0,8,17,29,60,106,128,111,29,495,0,10,4,27,12,11,6,3,0,69,7,27,39,157,143,93,98,41,7,606,0,6,4,24,12,10,10,3,0,74,0,3,4,97,3,10,3,4,0,128,4,44,48,88,53,28,8,4,3,275,3,0,0,7,3,10,5,0,0,34,6,32,23,131,62,75,124,32,7,480,0,7,7,74,14,13,6,0,0,126,0,0,3,13,20,38,34,20,13,140,0,0,8,19,22,20,13,6,0,86,23,141,190,664,303,318,267,205,81,2199,365,999,903,2209,1226,1399,1288,919,486,9795,7178,17662,14313,31005,18106,21252,20649,11492,4473,146127
105,4,13,17,159,6,0,3,0,0,209,0,8,10,15,19,15,4,3,0,67,13,78,66,328,120,61,47,18,4,741,0,0,0,10,3,6,4,0,5,23,0,0,0,0,4,0,0,0,0,4,0,4,5,18,13,25,37,40,8,151,0,6,0,3,4,4,0,4,0,24,4,18,23,80,41,34,12,15,4,237,0,26,14,95,27,21,6,7,0,197,0,6,0,46,0,0,0,0,0,45,3,15,3,57,18,18,0,0,0,116,0,0,0,0,0,0,0,0,0,9,7,10,11,49,14,21,24,16,0,152,0,0,5,54,13,8,3,0,0,91,0,0,0,6,0,0,10,6,3,31,0,9,18,52,33,13,5,0,0,135,8,41,42,232,78,89,117,92,27,741,759,1771,1439,3206,1528,1658,1457,1034,486,13349,7596,15301,12519,28469,13463,15228,12627,7498,2866,115566
106,0,12,13,111,27,16,15,0,0,198,0,0,3,19,55,35,26,4,0,142,11,120,153,649,254,223,144,33,12,1602,0,0,0,27,23,28,54,21,13,165,0,0,0,30,17,13,6,3,0,79,3,14,27,91,105,222,285,208,58,1007,0,19,9,17,21,23,12,7,0,110,10,87,112,345,271,140,121,72,17,1163,0,13,3,84,20,12,14,7,0,157,0,0,3,85,12,0,0,0,0,106,9,47,62,256,116,51,21,0,0,560,0,0,0,21,11,8,9,3,0,54,13,46,63,213,76,101,95,38,4,656,4,15,25,200,52,24,13,0,0,320,0,3,5,45,37,56,55,51,11,270,0,19,24,98,76,27,19,5,0,268,18,103,125,699,313,397,443,282,70,2457,628,1670,1567,3446,1698,1831,1760,1342,653,14587,17579,39317,33766,71744,36228,37003,32654,17724,5922,291946
107,10,36,56,351,43,24,16,4,0,540,0,4,9,27,35,28,16,5,0,129,11,99,129,699,298,297,226,64,5,1823,0,5,7,92,56,68,156,60,42,478,0,0,9,18,16,8,4,5,0,59,0,21,38,111,199,517,530,388,143,1951,5,47,21,43,45,27,21,8,0,216,4,58,88,412,191,151,149,51,20,1122,0,8,48,136,42,51,28,16,9,341,3,12,3,65,16,16,10,0,0,122,5,79,161,429,174,89,21,13,0,968,5,10,14,131,201,198,96,103,19,774,29,81,122,359,181,134,127,60,8,1105,9,43,171,327,185,189,140,48,16,1121,0,8,20,53,90,191,140,82,49,637,0,5,23,66,38,30,22,0,0,179,46,431,575,1903,1210,1527,1474,1116,567,8852,579,1475,1617,3310,1464,1423,1413,1257,684,13222,17827,38285,40453,78568,39273,39152,32307,19744,8227,313842
108,0,10,4,51,5,4,0,0,0,73,0,6,0,22,47,37,29,5,0,154,9,51,63,415,170,180,126,32,6,1049,0,5,3,16,12,28,49,20,13,138,0,0,0,8,5,0,0,3,0,16,0,21,14,43,48,183,284,227,43,875,0,4,5,19,16,19,19,8,0,84,3,22,51,150,130,111,158,75,16,714,0,5,9,44,21,15,13,14,0,118,0,5,5,23,9,10,0,0,0,42,3,36,29,136,84,34,18,7,0,351,0,4,0,12,9,12,3,5,3,45,10,50,52,132,74,100,149,57,8,628,0,16,9,84,32,14,13,0,0,182,0,3,6,21,28,35,50,46,11,206,0,0,3,33,32,31,28,7,6,140,15,72,84,385,297,364,481,408,120,2227,594,1639,1337,2902,1808,2381,2608,1836,779,15902,10190,25646,21563,41402,26807,34795,37531,22565,8536,229035
109,0,11,5,58,6,6,0,6,0,86,0,0,0,6,17,16,3,0,0,49,11,52,72,320,125,85,48,17,3,731,0,0,0,8,0,3,16,3,3,38,0,0,0,9,5,4,0,0,0,15,0,0,6,23,29,69,115,77,29,349,0,3,6,8,14,7,5,0,0,44,0,21,25,81,48,41,26,22,3,277,0,18,6,75,23,11,9,0,0,144,0,0,0,35,0,0,0,0,0,35,0,13,11,71,37,23,7,4,0,170,0,0,0,3,3,3,0,0,0,11,0,17,13,62,25,32,27,11,0,193,0,10,11,59,23,7,5,0,0,122,0,0,5,13,11,18,16,12,5,85,0,5,3,22,15,7,4,0,4,55,17,103,97,496,240,208,199,170,61,1584,459,1082,993,2158,1166,1436,1369,923,387,9973,7139,15152,13312,27263,14812,17022,16158,9280,3413,123552
110,0,6,11,97,9,0,3,0,0,130,0,11,11,24,39,27,12,0,0,123,12,114,144,480,201,108,63,10,0,1126,0,0,0,9,0,3,13,9,4,39,0,0,3,28,0,3,0,0,0,37,0,11,13,38,40,81,90,61,25,366,0,6,9,10,7,6,13,4,0,53,0,34,49,156,92,57,48,11,4,450,8,23,10,82,31,15,12,5,0,192,0,6,12,215,5,3,0,0,0,240,0,27,15,91,37,21,4,0,0,195,3,0,0,10,3,0,0,0,0,19,10,35,33,154,68,87,81,41,11,528,10,82,36,286,50,25,7,0,0,493,0,5,4,6,16,22,15,16,3,90,3,9,8,43,27,19,5,4,0,120,17,119,97,552,182,175,175,121,40,1472,840,2330,2386,4183,2217,2411,2080,1469,665,18579,10684,24821,21767,42280,22031,24586,21574,13144,4669,185560
