SA4_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
101,165,565,460,308,870,900,237,519,37,4048,193,533,327,238,691,815,176,456,832,4262,5531,15511,12711,8626,22586,22758,6708,14939,2049,111423
102,1314,905,534,291,1095,916,247,414,79,5803,508,758,563,326,1074,1078,210,517,1050,6083,16228,23823,17758,11348,29751,28195,7210,14128,2398,150834
103,136,525,400,245,736,753,255,599,49,3690,167,419,260,197,579,611,155,449,721,3567,4460,12881,10794,7072,18302,17986,6258,16005,1765,95519
104,76,354,288,216,533,463,115,234,29,2311,133,369,222,131,414,370,56,217,513,2435,2834,10003,8203,5753,12033,9889,2887,6401,1194,59192
105,56,227,165,121,398,367,115,268,20,1740,101,236,129,83,318,311,71,252,487,1985,2163,5928,4828,3551,10121,9549,2936,9267,1150,49502
106,353,832,669,411,1151,1184,353,616,73,5644,295,587,381,280,921,949,249,573,1017,5244,8405,18973,15050,9782,25729,24975,8201,17370,2332,130822
107,1206,765,497,245,941,958,209,444,60,5318,448,600,469,263,860,933,190,424,872,5063,14846,21900,16526,10030,28832,27121,7771,13725,1982,142732
108,131,557,412,281,713,634,190,339,43,3299,203,496,310,213,540,462,97,259,796,3371,4434,14768,11569,8436,17009,14747,4073,9051,1883,85976
109,77,299,217,146,348,438,146,269,20,1968,108,267,197,129,389,414,121,245,427,2293,2564,8043,6453,4577,10456,10694,3375,8374,1017,55555
110,109,416,345,209,740,635,193,423,34,3099,167,361,239,167,504,488,119,404,679,3133,3396,10697,8618,6209,16090,14702,4820,13936,1666,80142
111,481,1217,907,550,1454,1339,367,630,52,6995,328,764,548,383,1202,1277,294,556,1049,6406,11312,28729,23073,15668,38524,37209,10543,18940,2335,186341
112,265,745,556,392,825,757,171,401,57,4167,287,837,578,360,807,796,141,434,917,5145,6071,19760,16019,11414,20370,18457,4890,11650,2234,110874
113,86,367,345,209,601,667,180,402,33,2893,129,319,244,186,641,586,145,352,672,3276,2971,9955,8163,5661,16649,15309,4893,11540,1569,76713
114,165,463,333,198,479,485,125,264,34,2550,167,378,207,157,399,429,111,250,491,2600,3895,11552,8611,5428,12223,12186,3469,7552,1226,66151
115,935,766,441,229,709,795,204,482,38,4605,447,688,448,259,1055,1339,253,582,768,5844,12083,18233,12863,7434,25572,31487,6963,15728,1746,132111
116,1096,674,493,219,1161,942,238,322,54,5206,870,899,763,451,2425,1904,309,497,1878,9998,20609,19383,17068,10358,46616,39391,7452,12261,3785,176932
117,1166,790,571,278,1027,842,225,411,61,5378,506,887,834,394,1528,2042,403,947,1356,8895,16839,21804,18010,9665,38886,46444,11970,26467,2718,192809
118,728,698,451,229,552,614,148,329,42,3793,341,766,586,313,810,1556,376,995,967,6703,10553,17216,13452,7639,21676,33363,9147,23532,2059,138638
119,2339,1246,861,420,1480,1291,313,490,128,8571,1632,1427,1315,620,2572,2186,328,675,2817,13575,35464,32324,27796,14929,53269,47555,9902,18694,5663,245597
120,844,711,471,265,797,727,175,374,23,4383,572,789,735,340,1208,1447,267,606,1235,7195,14385,19731,16828,9263,30870,36152,9161,19497,2417,158306
121,1029,1065,614,343,881,922,258,489,50,5643,468,962,746,424,1454,2098,445,1199,1074,8883,15795,28287,20693,12221,37804,53378,13860,33210,2220,217473
122,985,800,507,273,644,773,207,421,34,4633,359,769,640,364,998,1487,339,790,712,6445,11640,20172,15050,8877,20937,30593,8225,19232,1502,136223
123,993,632,373,216,957,848,248,411,58,4738,646,726,516,317,1442,1332,233,453,1163,6820,16539,17079,13110,8406,30326,26151,6402,12355,2574,132941
124,1173,788,492,274,1060,1098,288,556,45,5765,581,745,536,318,1437,1366,300,569,1179,7024,17047,20786,15969,10098,33969,31505,8185,15827,2541,155914
125,1305,861,566,280,1128,961,210,341,71,5727,1297,1265,1184,593,2529,2125,298,537,2793,12627,24676,24915,21637,11321,47872,44813,7945,13813,5214,202211
126,537,492,314,148,511,470,115,232,26,2840,280,463,389,189,883,1062,175,334,740,4513,8979,13213,9862,5455,21713,24284,5175,10504,1415,100598
127,1773,752,578,257,1090,974,242,347,105,6123,1303,1107,858,504,2520,1679,289,524,2026,10808,25872,21392,16898,10179,41895,33154,6892,12485,4248,173019
128,973,664,425,254,660,798,187,368,38,4372,323,576,377,235,716,1000,206,481,513,4423,11738,16676,12472,7501,20782,25683,6910,14043,1288,117099
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
