SA4_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
101,815,3164,933,1298,115,7581,1244,714,3599,2106,3306,335,11293,110,51,397,174,489,36,1261,125,41,287,420,2076,57,2998,147,34,414,320,1148,396,2455,7230,3361,18407,12440,31861,2613,75910
102,915,4986,1424,1806,166,11034,2044,1137,7251,4128,7022,674,22260,80,33,372,255,499,33,1275,140,66,499,662,2911,101,4378,196,38,739,557,1635,470,3627,7457,3443,26260,18206,44860,3371,103592
103,681,3515,949,1461,136,7774,1133,644,3628,2107,3706,350,11575,42,16,161,75,243,15,557,62,30,261,318,2005,50,2730,69,17,221,185,996,366,1852,3994,2175,14839,9406,30765,2410,63584
104,516,2187,666,902,74,4891,792,462,2891,1678,3000,315,9141,28,5,130,80,243,15,511,56,19,154,258,1218,51,1758,49,24,196,156,685,247,1359,2367,1527,9748,6473,18585,1596,40296
105,343,1849,498,902,90,4142,655,324,2125,1235,1995,211,6548,18,15,65,62,214,12,380,29,10,99,130,964,46,1277,40,9,121,91,520,217,1003,1983,1077,7481,4697,15021,1392,31645
106,654,3343,1065,1859,113,8061,932,649,3957,2908,5839,467,14751,32,22,164,149,425,27,811,66,44,264,567,3223,88,4250,85,24,322,344,1623,444,2846,3978,2286,16008,13822,47088,2906,86085
107,1315,5535,1490,1894,170,13687,2768,1105,6929,3701,5802,510,20819,106,51,425,232,410,38,1265,210,54,549,581,2664,70,4131,252,45,681,403,1417,404,3196,11009,4026,28417,16643,40237,2697,103026
108,610,3128,1014,1489,116,7188,1112,606,4014,2541,5333,540,14143,34,17,137,104,294,20,596,59,28,198,363,1842,56,2555,62,25,198,233,1007,401,1925,3144,1922,12440,9274,28843,2535,58160
109,498,1972,541,771,56,4348,604,444,2242,1334,2167,213,7005,12,14,65,64,136,9,303,30,10,107,234,1042,35,1465,44,16,140,161,602,227,1188,1998,1468,8520,5832,16807,1334,35966
110,667,3134,965,1384,128,7586,864,495,2848,1744,3189,285,9428,25,13,104,55,197,19,417,50,21,203,259,1695,67,2295,62,12,190,164,812,322,1564,3639,1861,12004,7646,24261,2185,51597
111,1176,7290,1761,2267,219,16089,3813,1573,11499,4921,8058,754,30609,83,48,452,238,529,37,1382,210,88,697,755,3402,100,5254,253,68,829,509,1798,535,3989,12835,4985,39638,20295,51159,3551,132466
112,1003,4292,1213,1591,171,9708,1837,913,5664,3000,4687,514,16621,92,44,415,218,389,47,1203,104,60,447,530,2021,85,3237,172,47,784,469,1191,451,3110,5716,3071,21439,12436,31131,2895,76695
113,566,2688,711,1214,109,6048,745,475,2953,1672,2707,263,8816,22,6,103,61,158,17,351,46,24,200,281,1542,46,2140,54,16,205,173,897,334,1670,2745,1690,11565,7048,23072,2030,48145
114,579,2054,631,896,79,5173,951,463,2686,1558,2551,267,8474,74,26,198,100,247,22,667,79,24,192,324,1345,45,2007,102,28,276,226,749,210,1599,3859,1817,11075,7505,20830,1657,46741
115,829,4807,1160,1106,176,10724,2962,819,6169,2182,1945,352,14423,90,39,378,199,266,19,996,321,68,694,633,1810,80,3605,754,88,1403,558,1006,420,4231,18973,3882,38395,15101,23142,2706,102199
116,730,4247,1111,1386,171,10571,3297,928,9497,3571,4279,692,22271,104,23,338,178,322,17,981,310,70,759,626,2104,104,3970,873,98,1924,859,1630,886,6278,21707,3831,47132,19525,31154,4553,127895
117,980,5384,982,699,174,14317,4762,1049,8062,1842,1447,368,17525,744,152,2122,634,499,83,4230,577,153,1524,706,1351,119,4430,1302,160,2987,883,838,749,6909,36090,6634,74801,19791,18912,3992,160225
118,789,4412,871,597,171,10897,4013,805,7310,1538,1096,396,15154,412,82,1262,353,325,67,2496,379,85,1091,448,1026,97,3130,960,107,2534,616,589,548,5356,24664,4593,55961,12900,13967,3269,115361
119,1188,7272,2005,1680,324,17177,4983,1234,11891,4540,4407,925,27973,260,56,896,390,519,58,2174,529,130,1401,1074,3075,181,6389,1157,125,2735,1375,1810,1251,8455,28889,5547,69747,30069,37641,6612,178515
120,1082,5450,1057,809,127,13034,4785,1027,8528,2299,1686,413,18729,451,112,1103,349,335,45,2402,537,108,1107,556,1152,89,3538,1043,146,2120,767,688,666,5423,28346,5826,57748,17173,16901,3309,129302
121,1419,7300,1379,984,214,16911,6779,1554,12146,2851,2068,607,26004,480,112,1209,351,343,50,2548,696,164,1513,736,1367,99,4580,1766,204,3218,789,697,618,7296,45785,8902,86133,20334,18387,4207,183747
122,940,4753,1188,961,179,10348,2354,833,5728,2272,2053,376,13622,204,69,781,337,349,46,1785,231,87,873,659,1711,103,3670,670,98,1922,778,865,429,4757,15674,4477,43702,16908,22525,3062,106351
123,765,3897,1257,1701,158,10160,1839,733,5474,2907,3966,481,15403,62,9,236,177,313,32,829,108,41,389,496,2384,80,3500,266,30,725,604,1677,564,3863,9011,2626,23401,15518,35627,3085,89270
124,1039,5122,1643,2021,166,13435,2201,1070,6179,3249,4704,493,17900,136,63,400,254,517,31,1407,202,61,521,606,2904,83,4374,259,50,709,583,1871,497,3962,10836,3716,27228,17666,42824,3197,105458
125,918,5472,1285,1149,231,12872,5124,1200,10723,3825,3488,706,25067,202,28,566,284,322,48,1457,533,109,1111,745,1720,121,4333,1565,153,2794,1193,1351,1253,8301,32532,4952,62353,22567,25532,5461,153400
126,587,3386,668,540,98,8225,2924,669,5640,1396,1131,266,12033,159,42,458,139,177,23,994,370,74,716,347,746,56,2305,899,84,1441,385,421,347,3577,21294,3285,37179,9688,9956,2013,83416
127,664,4589,1350,1517,197,10993,2371,763,7419,3563,3944,598,18661,67,26,342,192,312,37,972,190,46,648,727,2521,123,4256,371,65,1361,902,1789,918,5404,11151,2751,36927,20595,33921,4461,109811
128,906,4799,1258,1216,176,10512,1872,748,4945,2206,2193,381,12345,105,31,449,240,411,44,1290,166,70,538,574,2021,58,3427,264,58,874,527,1064,269,3054,9552,3439,29133,16009,27490,2481,88102
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
