SA4_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
101,25,244,0,274,5832,594,6696,217,171,10,402,4818,456,5678,3612,326,89,4029,7971,1256,13251,6770,269,211,7255,4881,1030,13167,4447,459,148,5058,9191,1168,15413,927,1284,28,2236,14020,1279,17535,197,1428,11,1634,13033,1084,15755,23,267,5,294,6975,634,7909,6,12,0,18,2039,272,2332,16219,4469,504,21193,68757,7781,97725,43,446,5,492,5109,492,6085,506,348,31,881,3958,366,5199,5509,538,295,6341,6233,924,13501,8145,409,453,9010,4053,895,13960,4163,1104,197,5463,9664,913,16034,390,2926,29,3346,13409,1077,17838,98,2205,18,2324,12186,1005,15513,26,373,5,404,7151,704,8257,3,35,0,40,2977,435,3448,18876,8385,1028,28292,64736,6802,99836,63,696,6,762,10936,1083,12785,714,521,41,1278,8775,817,10876,9126,866,385,10366,14206,2182,26755,14916,682,666,16261,8935,1928,27123,8617,1562,341,10521,18848,2082,31454,1318,4210,56,5586,27431,2360,35370,292,3637,32,3958,25218,2084,31264,46,639,5,695,14128,1336,16162,10,49,0,55
102,34,396,5,434,9489,597,10523,385,248,0,632,8267,481,9383,5174,397,121,5692,11771,1157,18615,11352,307,210,11867,6964,1072,19909,7127,527,134,7790,12473,1134,21395,1240,1339,24,2607,17681,1000,21289,205,1538,17,1756,16138,1000,18898,38,293,6,334,10554,966,11851,9,12,0,17,3215,702,3929,25556,5051,519,31126,96545,8114,135785,70,616,5,693,8553,511,9754,800,465,24,1282,7334,485,9107,8293,603,270,9164,9246,1093,19505,14319,402,388,15108,5253,1081,21445,7255,1126,179,8555,13260,979,22793,580,3425,40,4036,18571,987,23597,119,2598,32,2753,17855,1188,21797,32,372,0,404,12075,1369,13850,8,25,0,35,5133,1448,6619,31466,9630,934,42034,97280,9149,148463,107,1013,9,1125,18045,1108,20276,1178,706,31,1916,15602,970,18486,13468,1000,383,14854,21013,2252,38119,25669,709,602,26978,12222,2157,41358,14385,1649,306,16343,25728,2112,44183,1818,4760,66,6645,36247,1989,44882,322,4143,46,4510,33987,2190,40693,72,664,8,740,22631,2329,25702,14,36,0,51
103,18,281,5,305,5751,630,6682,315,168,16,504,4668,640,5806,3905,317,121,4346,6560,1367,12266,6112,262,184,6566,4089,1291,11940,3538,436,112,4081,7648,1114,12847,654,1100,27,1780,11037,1093,13916,114,1108,11,1231,10214,941,12385,17,238,0,260,6087,623,6972,3,18,0,17,1854,217,2090,14684,3937,476,19097,57896,7915,84902,65,516,0,587,4921,499,6010,659,371,42,1064,3885,400,5354,5689,505,386,6578,5149,863,12591,7343,395,425,8159,3180,844,12185,3381,1162,146,4685,7803,869,13355,300,2678,29,3004,10160,843,14006,71,1874,10,1962,9513,785,12259,23,334,0,358,6474,676,7516,8,28,0,30,2989,394,3417,17535,7871,1035,26438,54074,6178,86692,87,802,3,889,10670,1127,12689,968,541,56,1565,8550,1039,11161,9594,822,506,10924,11706,2225,24861,13453,664,606,14727,7263,2133,24125,6922,1590,251,8771,15447,1983,26203,953,3779,50,4787,21197,1933,27917,189,2984,21,3192,19725,1733,24652,42,575,6,616,12561,1307,14480,11,41,0,53
104,27,169,0,198,3537,366,4101,177,116,7,305,2632,360,3291,2010,210,71,2288,4169,960,7415,3689,167,152,4011,2845,871,7727,2513,258,96,2864,5008,758,8641,533,750,17,1301,8185,707,10197,95,900,10,1003,8647,593,10242,33,178,0,213,4806,443,5462,3,22,0,25,1509,225,1758,9078,2777,356,12216,41332,5277,58824,39,303,0,340,3183,324,3849,352,207,21,575,2268,234,3073,3236,323,195,3747,3243,623,7617,4761,273,341,5372,2248,622,8243,2493,673,150,3316,5579,575,9471,241,1774,26,2037,8434,594,11056,69,1405,6,1474,8348,576,10399,11,243,0,263,5216,562,6036,4,10,0,13,2252,447,2718,11198,5211,734,17145,40775,4554,62467,62,478,0,536,6725,687,7950,522,323,29,876,4897,592,6369,5244,527,265,6040,7402,1587,15030,8452,440,497,9388,5093,1488,15975,5011,932,244,6184,10590,1337,18106,773,2525,39,3338,16618,1297,21252,158,2306,14,2480,16995,1169,20649,46,428,0,473,10018,1005,11492,9,31,0,39
105,24,127,0,151,2728,532,3408,181,88,4,271,2298,463,3038,2124,185,58,2366,4024,1190,7578,2876,136,88,3098,2277,970,6344,1532,246,48,1826,3924,867,6613,308,610,10,929,5779,855,7562,61,548,3,609,5117,694,6418,12,109,3,123,2950,458,3526,0,8,0,8,901,197,1104,7112,2046,217,9374,29993,6217,45590,48,246,5,299,2405,425,3133,405,204,16,619,1963,365,2945,3276,299,195,3764,3234,909,7914,3541,235,189,3966,1837,837,6641,1435,625,65,2124,3957,772,6852,125,1405,16,1541,5369,750,7663,45,892,0,943,4648,615,6204,14,170,0,186,3208,578,3973,3,16,0,21,1413,327,1761,8890,4092,484,13468,28038,5578,47084,72,370,5,449,5135,957,6541,582,290,17,888,4262,828,5979,5400,481,251,6135,7260,2094,15489,6416,372,275,7061,4110,1809,12978,2964,869,119,3957,7874,1633,13463,433,2017,28,2475,11147,1598,15228,104,1441,9,1548,9764,1314,12627,26,282,0,311,6156,1034,7498,3,23,0,26
106,45,369,4,425,8145,632,9202,442,252,10,709,6963,656,8325,5927,429,159,6509,9955,1630,18093,9444,373,313,10130,5876,1418,17424,4916,663,140,5720,10851,1213,17779,816,1641,31,2491,14560,1081,18133,123,1767,9,1899,13271,913,16078,20,292,0,319,7596,681,8597,4,9,0,10,1957,288,2259,21747,5798,666,28208,79174,8508,115891,78,642,4,725,7148,508,8383,942,527,43,1514,5909,427,7855,8835,699,458,9994,7513,920,18420,11419,507,530,12458,4483,863,17801,4724,1580,198,6507,11143,804,18448,375,3966,40,4380,13723,770,18866,86,2614,15,2721,13085,775,16575,22,378,0,395,8024,709,9129,0,28,0,32,3097,535,3668,26493,10938,1292,38720,74130,6309,119155,132,1012,14,1147,15290,1143,17584,1390,783,52,2225,12876,1079,16178,14760,1131,616,16505,17468,2544,36516,20871,880,841,22590,10354,2279,35227,9645,2243,336,12222,21997,2012,36228,1193,5607,67,6872,28284,1844,37003,214,4376,24,4614,26349,1690,32654,41,673,0,712,15619,1389,17724,3,40,0,41
107,16,309,0,332,8867,502,9703,250,219,14,479,9796,567,10836,4825,352,100,5279,13577,1049,19903,10916,306,206,11425,6495,873,18791,6637,438,100,7173,11092,852,19114,1041,1508,27,2577,15672,738,18989,141,1848,7,1993,12776,700,15471,38,329,0,365,8116,644,9129,9,15,0,26,2658,506,3187,23866,5323,451,29635,89061,6426,125125,39,622,7,667,8252,505,9419,548,464,31,1044,8939,502,10487,7498,637,238,8374,10748,976,20093,13197,446,378,14020,4916,841,19780,6290,1079,164,7529,11901,727,20156,511,3663,35,4205,15274,685,20163,99,2688,18,2807,13319,715,16842,23,392,5,422,9402,800,10615,0,24,0,27,4131,886,5039,28211,10016,865,39091,86873,6636,132598,59,931,5,998,17122,1003,19124,798,684,43,1520,18739,1071,21328,12323,995,333,13648,24324,2022,39997,24119,744,583,25443,11408,1718,38572,12921,1518,267,14703,22992,1576,39273,1552,5174,62,6784,30944,1429,39152,239,4536,24,4801,26099,1410,32307,62,715,7,787,17522,1443,19744,10,37,0,52
108,23,240,5,261,5389,620,6267,257,158,4,412,3927,490,4835,2840,257,117,3213,5333,1013,9552,5133,227,204,5570,3791,959,10315,3471,420,103,3999,7894,908,12794,744,1117,19,1884,13429,1086,16402,151,1318,14,1485,16000,1151,18637,34,305,0,339,9741,837,10910,4,14,0,22,2925,445,3396,12662,4056,462,17179,68419,7508,93102,49,459,10,526,4894,522,5942,551,321,40,914,3297,315,4529,4603,438,261,5303,4140,775,10220,6771,324,404,7498,3054,755,11306,3521,986,160,4661,8570,781,14011,338,2773,32,3146,14304,939,18396,84,2055,14,2148,15672,1079,18899,37,348,7,386,10210,1060,11656,12,15,0,30,4258,851,5138,15968,7722,929,24611,68402,7080,100094,68,702,11,788,10278,1141,12206,812,476,41,1328,7216,809,9356,7441,694,377,8517,9478,1788,19774,11910,553,609,13068,6841,1715,21625,6985,1404,265,8654,16463,1690,26807,1089,3887,56,5033,27737,2030,34795,232,3374,26,3631,31674,2225,37531,67,649,5,725,19949,1888,22565,16,31,0,53
109,15,127,0,140,3080,379,3602,148,87,3,242,2628,279,3152,1983,179,56,2221,3929,591,6738,3411,129,128,3668,2299,558,6530,2035,232,63,2329,4283,613,7224,401,666,14,1082,6558,638,8281,59,726,3,796,6693,656,8142,8,181,0,188,3804,400,4386,0,6,0,11,1171,198,1382,8077,2341,265,10679,34448,4310,49443,37,297,8,334,2825,326,3485,319,223,16,559,2284,234,3073,2938,294,168,3399,2998,546,6944,4189,232,275,4695,1817,537,7048,1939,608,96,2639,4443,503,7584,197,1636,13,1842,6303,588,8737,43,1125,7,1174,6265,575,8014,10,201,0,210,4145,537,4889,3,19,0,22,1731,281,2032,9667,4631,586,14879,32817,4124,51818,54,421,8,479,5901,709,7090,472,308,22,800,4915,508,6222,4919,478,223,5621,6927,1141,13683,7600,366,397,8365,4116,1100,13574,3979,837,161,4974,8727,1113,14812,598,2306,28,2931,12864,1229,17022,106,1856,9,1969,12963,1229,16158,18,374,3,399,7945,938,9280,0,26,0,25
110,29,201,0,238,4804,731,5771,299,144,3,448,4036,680,5172,2986,271,102,3360,6070,1218,10649,4781,199,157,5141,3637,1068,9843,2758,365,97,3216,6398,1120,10734,608,817,19,1439,9484,1115,12042,116,927,6,1049,8811,973,10835,17,222,4,240,5246,683,6162,0,9,0,14,1477,282,1773,11598,3151,389,15140,49966,7863,72974,74,429,4,507,4510,774,5790,650,279,33,962,3484,598,5044,4745,464,306,5512,4679,1116,11307,5873,305,322,6502,2973,1015,10485,2641,914,136,3695,6555,1051,11300,255,2090,19,2365,9162,1026,12547,70,1483,13,1569,8285,882,10739,17,283,4,303,5910,772,6981,3,17,0,19,2416,464,2895,14333,6265,829,21420,47974,7684,77085,105,636,5,743,9307,1507,11556,944,421,44,1412,7528,1279,10211,7734,730,407,8872,10750,2332,21953,10659,500,477,11637,6611,2081,20328,5396,1279,235,6909,12954,2163,22031,862,2902,37,3801,18647,2146,24586,191,2405,21,2615,17092,1859,21574,35,501,7,537,11162,1445,13144,7,26,0,33
