CED_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
CED101,10,21,0,0,0,18,36,34,95,1751,1137,522,3411,111,101,210,3622,3289,80,6990
CED102,9,18,0,0,0,21,30,48,95,1777,1170,430,3372,130,104,237,3607,3645,86,7339
CED103,14,15,0,0,0,15,22,28,70,2012,1121,345,3488,100,109,211,3698,2718,70,6486
CED104,0,9,0,0,0,9,13,16,38,1626,947,223,2802,58,50,116,2911,1571,29,4505
CED105,12,24,0,0,0,27,54,90,176,1282,1082,530,2898,175,163,339,3235,5120,183,8538
CED106,4,7,0,0,0,7,10,16,40,1882,1059,242,3185,104,88,193,3371,2203,34,5613
CED107,12,34,0,0,4,38,58,71,161,2271,1727,283,4275,136,140,278,4553,2849,127,7536
CED108,17,26,0,0,0,34,72,101,204,2258,1363,660,4288,218,150,364,4655,5273,175,10099
CED109,7,14,0,0,0,16,18,19,61,1895,1207,386,3486,72,76,147,3632,2045,43,5722
CED110,17,33,0,0,0,34,54,80,181,2166,2154,321,4639,173,162,338,4971,3607,162,8741
CED111,3,12,0,0,0,15,40,32,81,1888,1369,376,3637,115,82,200,3831,2874,79,6785
CED112,15,29,4,0,4,30,52,69,153,2351,1965,622,4938,160,137,300,5232,3792,117,9147
CED113,8,21,0,0,0,24,31,45,94,2133,1277,234,3644,89,94,178,3821,2043,84,5951
CED114,10,24,3,0,0,28,58,71,156,2075,1677,259,4017,137,154,289,4305,2589,118,7011
CED115,14,18,0,0,0,19,61,98,179,1588,1176,628,3396,209,211,422,3817,6215,166,10200
CED116,13,28,0,0,0,30,50,48,125,1712,1796,291,3800,107,118,224,4029,2872,89,6986
CED117,0,8,3,0,3,10,19,21,51,1981,898,238,3120,96,75,172,3292,1838,38,5168
CED118,11,22,0,0,0,24,44,48,114,2333,1171,515,4021,113,99,208,4233,2897,94,7223
CED119,9,11,0,0,0,11,21,16,57,1965,1133,354,3443,60,72,138,3580,1793,41,5418
CED120,20,35,0,0,0,32,36,39,111,2292,1542,408,4236,108,83,189,4422,2411,72,6900
CED121,23,47,0,5,3,48,56,63,167,2245,2037,467,4751,159,177,340,5093,3489,116,8695
CED122,6,23,0,0,0,23,28,32,77,2180,1206,343,3729,95,82,182,3916,2632,66,6612
CED123,22,41,0,7,5,45,42,71,162,2963,1720,695,5374,183,149,335,5706,4079,117,9899
CED124,7,22,0,0,0,21,74,69,162,1546,1748,293,3590,136,129,270,3854,3106,128,7090
CED125,15,40,0,0,0,43,62,68,168,2656,1697,722,5075,233,155,391,5461,4461,128,10056
CED126,7,18,0,0,0,19,23,28,70,1922,1257,305,3482,60,57,114,3595,1583,45,5222
CED127,0,13,0,0,0,13,29,29,69,1895,1437,403,3737,79,89,172,3905,2220,63,6188
CED128,7,20,0,0,0,20,52,76,148,1721,1101,505,3327,124,118,242,3575,4885,146,8606
CED129,12,28,0,0,0,28,19,18,62,2209,1052,340,3607,108,71,182,3786,1871,30,5683
CED130,0,23,0,0,0,23,59,72,159,1883,1560,262,3707,186,184,367,4072,2966,117,7157
CED131,7,15,0,0,0,20,35,33,86,2378,1736,271,4382,121,114,231,4617,2529,73,7223
CED132,8,15,0,0,0,15,12,19,42,2137,932,227,3296,101,89,192,3488,1670,34,5194
CED133,15,33,0,0,0,35,63,80,177,2041,1986,320,4344,149,170,320,4669,3566,152,8386
CED134,21,49,0,0,0,48,95,108,257,2041,1402,302,3746,153,141,295,4042,2979,162,7185
CED135,4,12,0,0,5,19,38,61,119,1908,1071,404,3383,141,123,256,3641,3573,106,7319
CED136,18,29,0,0,0,33,58,43,131,2473,2167,443,5082,187,193,381,5470,3604,107,9180
CED137,6,18,0,0,0,19,26,48,90,1955,1096,392,3449,121,100,220,3669,2890,80,6643
CED138,20,34,0,5,3,40,46,59,148,1875,2208,341,4419,100,147,247,4665,3005,108,7776
CED139,8,20,0,7,4,28,67,65,163,2004,1625,213,3841,159,153,313,4157,2735,126,7013
CED140,3,21,0,0,0,22,38,22,84,2052,1621,449,4124,102,92,200,4320,2789,64,7179
CED141,13,27,0,0,0,27,52,39,114,2256,1820,357,4427,121,140,258,4685,3029,73,7789
CED142,3,14,0,0,0,14,24,22,61,1440,739,207,2384,84,76,159,2550,1891,52,4488
CED143,0,15,0,0,0,15,12,22,47,1926,964,222,3117,83,54,137,3249,1408,31,4691
CED144,4,20,0,0,0,20,48,71,137,1371,1132,549,3053,128,142,267,3325,4522,118,7959
CED145,3,9,0,0,0,9,19,23,52,1599,901,200,2695,68,43,112,2810,1307,37,4152
CED146,14,26,0,3,6,34,79,95,196,2026,1263,633,3917,176,164,338,4255,5241,163,9657
CED147,10,31,0,0,0,37,49,48,136,2136,1885,518,4539,98,120,214,4755,3494,105,8357
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
