CED_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
CED101,17,7,0,23,15,3,7,0,29,4,0,6,31,5,0,40,1173,249,199,16,1632,29,8,38,1669,197,0,1874,224,62,63,3,354,8,4,12,366,179,5,549,4,0,0,0,4,0,0,0,4,0,7,10,1392,309,257,25,1993,40,11,54,2044,380,9,2433,308,59,35,0,400,3,0,3,403,59,0,464,197,89,40,0,317,3,0,3,326,50,0,370,42,12,26,0,83,0,0,0,86,11,0,96,0,0,0,0,0,0,0,0,0,3,0,7,548,159,99,3,808,5,0,8,818,118,0,938,8,5,3,0,14,3,0,7,18,0,0,22,4,3,0,0,12,3,0,3,15,8,0,24,12,4,7,0,24,10,0,10,35,6,0,41,557,160,105,8,828,19,3,18,855,132,0,981,128,42,41,0,218,3,0,5,223,130,0,351,0,0,0,0,3,0,0,0,3,0,0,5,695,206,148,11
CED102,37,5,0,41,21,12,5,0,34,13,0,18,50,5,0,56,926,237,149,25,1338,34,10,47,1384,186,3,1571,195,77,62,15,348,4,3,7,356,238,0,595,0,0,0,0,4,0,0,0,4,0,4,8,1125,311,210,39,1687,38,17,55,1743,427,7,2172,228,39,21,0,294,7,6,13,303,53,0,355,141,62,34,5,241,8,3,10,249,47,0,294,28,15,29,5,71,0,0,0,75,15,0,90,5,0,0,3,12,0,0,0,12,0,0,13,396,122,87,14,618,11,5,20,638,110,3,749,4,0,0,0,6,0,0,0,14,0,0,11,3,0,0,0,4,6,0,4,12,5,0,14,11,0,0,0,15,5,0,7,18,3,0,27,406,120,88,11,636,18,4,27,661,117,4,775,101,38,27,3,174,3,0,6,184,151,0,326,0,0,0,5,6,0,0,0,6,0,6,12,506,160,115,18
CED103,23,6,0,31,34,8,5,0,45,9,0,9,49,5,0,64,1457,293,113,12,1879,48,14,59,1934,150,0,2090,316,70,38,10,431,10,0,13,447,168,0,619,0,0,0,4,6,0,0,0,6,0,3,15,1767,371,151,26,2316,55,17,70,2389,321,3,2715,432,71,27,7,528,7,0,10,540,67,0,612,269,80,17,0,368,13,4,17,387,54,0,436,34,13,24,0,77,0,0,0,77,8,0,83,0,0,3,4,4,3,0,3,10,0,0,11,736,165,70,6,981,26,5,28,1008,130,0,1142,6,0,0,0,11,4,0,4,13,0,0,17,3,5,0,0,10,3,0,3,13,0,0,16,16,4,0,0,20,3,0,9,30,0,0,28,750,165,74,6,1004,30,3,39,1039,133,0,1172,178,57,34,3,268,8,0,10,284,131,0,412,0,0,0,3,3,0,0,0,3,0,3,3,926,221,107,12
CED104,35,4,0,37,44,6,0,0,49,0,4,4,54,7,0,60,2012,294,86,12,2408,43,13,61,2466,162,0,2625,329,60,15,7,416,12,0,14,422,111,0,534,0,0,0,0,0,0,0,0,0,0,0,8,2345,358,100,20,2822,53,17,66,2891,272,0,3170,567,86,24,0,671,17,0,17,687,53,0,741,400,108,17,4,530,6,0,6,543,45,0,584,45,10,7,4,60,0,0,0,67,9,0,73,5,0,0,3,5,0,0,0,5,0,0,10,1014,199,51,13,1272,29,0,28,1300,104,3,1408,0,0,0,0,3,0,0,0,7,3,0,10,12,3,0,0,16,0,0,0,18,3,0,18,15,3,0,0,20,0,3,9,25,7,0,33,1026,209,51,8,1289,25,6,31,1324,116,3,1440,189,38,9,4,240,7,6,7,252,96,0,347,0,0,0,0,3,0,0,0,3,0,4,9,1218,249,58,15
CED105,30,14,0,37,24,14,8,0,47,13,7,20,68,22,0,91,701,177,192,26,1093,50,12,63,1156,240,0,1392,336,154,122,9,617,42,14,54,665,667,8,1340,0,3,0,6,4,0,0,0,11,0,20,32,1040,329,311,40,1716,87,29,114,1831,909,31,2769,208,44,24,0,277,10,0,9,287,67,0,350,132,52,23,5,202,9,0,12,217,41,0,261,36,13,44,0,94,0,0,0,92,18,0,112,3,3,0,4,12,0,0,0,12,9,0,18,377,110,92,11,589,16,4,23,610,130,0,743,5,3,0,0,16,7,0,7,21,5,0,25,6,4,0,0,12,6,3,5,14,10,0,27,11,7,8,0,25,16,5,13,42,11,0,50,390,121,95,11,611,31,8,35,649,144,0,792,182,75,69,11,332,15,13,31,359,376,8,742,0,0,0,0,0,0,0,0,6,0,12,18,568,192,166,24
CED106,47,8,0,53,58,0,0,0,61,16,3,16,80,7,0,90,2143,368,75,15,2606,74,13,84,2684,153,0,2840,493,84,16,4,593,11,5,12,606,131,0,741,4,0,0,0,8,0,0,0,8,0,0,9,2635,452,89,20,3203,81,21,95,3298,286,7,3587,546,74,7,0,625,20,6,18,648,55,0,702,403,117,13,7,535,14,3,15,546,52,4,606,48,16,14,5,73,5,0,3,80,8,0,89,7,0,0,0,11,0,0,0,11,4,0,12,999,205,31,12,1245,33,10,45,1294,115,4,1406,8,4,0,0,14,5,0,5,19,0,0,19,10,0,0,0,14,3,0,10,21,3,0,26,20,6,0,0,31,9,0,9,42,3,0,46,1023,211,31,13,1280,46,13,54,1334,120,4,1459,270,44,5,0,324,3,3,8,332,113,0,445,4,0,0,3,3,0,0,0,3,0,0,3,1292,257,41,17
CED107,0,0,0,4,3,0,0,0,10,0,0,0,8,0,0,11,554,71,5,7,643,9,0,9,649,29,0,680,50,12,0,4,68,6,0,6,76,12,0,86,0,0,0,0,0,0,0,0,0,0,0,0,608,81,5,13,710,11,0,11,723,45,0,769,94,8,3,3,106,0,0,0,106,5,0,113,56,5,0,0,65,0,0,0,65,0,0,68,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,154,13,4,3,180,0,0,0,180,4,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,13,4,3,179,0,0,0,179,4,0,185,13,5,0,0,21,0,0,0,20,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,171,21,4,3
CED108,27,7,0,36,29,12,6,0,43,8,9,15,63,13,0,70,1170,244,113,29,1547,40,13,55,1604,196,8,1800,295,100,67,10,469,18,8,25,494,267,5,767,0,0,0,7,5,0,0,0,5,0,0,8,1458,339,184,38,2022,58,21,75,2104,464,11,2582,391,49,38,0,475,10,6,12,492,52,0,544,144,41,20,0,201,0,0,0,201,46,0,247,44,7,22,0,65,0,0,0,68,9,0,72,4,0,0,7,8,0,0,0,8,0,0,7,580,93,74,7,754,13,6,15,763,108,0,874,8,0,0,0,10,3,0,3,15,4,0,17,6,0,0,0,7,0,0,0,8,0,0,12,15,0,0,0,16,6,0,4,26,7,0,28,589,94,73,3,769,15,4,25,790,114,0,907,173,52,32,7,265,17,6,23,286,191,0,479,0,0,0,3,3,0,0,0,3,0,8,14,759,148,108,14
CED109,10,0,0,9,10,4,0,0,13,0,0,0,14,4,0,24,1208,228,91,16,1542,21,4,28,1569,129,0,1701,199,37,20,4,259,8,0,8,263,74,0,330,6,0,0,0,3,0,0,0,3,0,3,6,1411,265,108,19,1805,26,4,36,1838,200,3,2044,273,56,19,4,346,0,6,3,349,34,0,379,213,71,11,0,297,9,3,11,302,40,0,344,35,7,13,0,56,0,0,0,56,13,0,67,0,0,0,9,10,0,0,0,10,0,0,10,520,132,41,7,707,9,8,15,724,79,0,802,3,4,0,0,5,3,0,3,4,3,0,6,6,3,0,0,7,0,0,4,6,0,0,6,3,3,0,0,16,6,0,3,17,3,0,20,528,141,41,7,721,9,7,20,737,81,0,823,97,26,3,4,125,3,0,5,130,61,0,189,0,0,0,0,0,0,0,0,0,0,3,0,621,169,51,12
CED110,4,5,0,11,3,0,0,0,3,0,0,0,4,5,0,12,408,93,22,3,526,8,0,12,537,35,0,575,36,16,4,5,62,5,0,5,69,32,0,97,0,0,0,0,0,0,0,0,0,3,3,3,443,116,19,5,587,20,4,20,606,69,3,679,59,9,3,0,77,6,0,6,81,0,0,82,51,9,5,0,70,0,0,0,73,8,0,79,0,3,0,0,7,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,118,23,7,0,148,6,0,4,151,14,0,172,0,0,0,0,6,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,4,0,0,3,116,27,7,0,157,4,0,8,159,17,0,176,24,3,0,0,28,0,0,0,28,16,0,42,0,0,0,0,0,0,0,0,0,0,0,0,138,29,7,0
