CED_CODE_2021,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
CED101,11,19,0,0,3,0,3,0,0,32,52,369,5,3,9,3,5,0,5,451,743,1751,231,132,318,179,127,225,56,3763,14,47,0,5,10,7,7,7,0,99,93,227,20,18,36,11,10,12,5,436,37,62,8,10,13,7,0,4,0,138,1837,4342,802,425,920,547,411,430,135,9850,0,4,3,0,0,0,0,7,0,19,345,311,300,148,159,117,151,129,24,1679,529,442,447,210,248,201,172,193,44,2491,883,260,3006,306,469,321,622,582,128,6579,40,28,34,32,28,39,40,43,5,284,121,63,105,41,68,62,99,75,11,644,36,70,44,21,27,23,31,28,6,285,68,97,76,23,55,43,65,56,102,584,4804,8088,5106,1376,2371,1558,1727,1792,534,27354,11,33,0,3,8,0,0,0,0,58,43,254,7,6,17,0,0,0,3,334,521,2151,67,293,540,171,10,80,43,3863,16,56,3,0,15,0,0,4,6,101
CED102,9,28,3,0,0,4,0,5,0,51,70,546,19,9,14,3,3,4,10,673,893,2478,342,195,424,346,191,297,83,5256,35,42,16,7,4,8,7,7,7,146,89,307,33,24,47,12,11,12,11,541,39,92,9,4,25,10,8,3,4,193,2129,5621,1119,614,1149,721,587,763,198,12917,10,0,7,0,0,5,3,0,0,26,397,326,378,175,199,152,185,200,43,2055,528,492,599,269,254,288,221,311,51,3004,729,295,2658,338,437,272,573,523,121,5947,44,19,50,35,31,34,27,48,3,298,116,74,102,54,70,72,81,80,10,656,71,85,66,27,37,35,42,45,9,417,83,101,121,36,46,64,79,86,136,753,5238,10510,5521,1792,2748,2014,2013,2394,687,32925,13,42,0,4,12,0,0,6,0,74,63,426,6,8,27,0,0,0,3,543,747,3110,109,425,814,328,22,134,90,5787,28,64,4,9,19,4,0,10,0,142
CED103,18,49,4,3,5,0,0,0,0,78,146,1068,30,3,20,9,10,5,9,1303,1855,4856,391,131,728,343,146,136,124,8703,48,80,7,3,17,4,3,0,5,174,181,409,28,22,64,25,12,11,4,746,58,93,15,13,28,7,8,3,0,218,3208,8639,1239,565,1372,866,425,500,240,17058,3,4,11,0,4,7,0,5,0,33,447,396,326,131,138,126,110,102,24,1800,556,512,562,215,232,248,157,185,31,2690,799,359,2425,268,320,274,333,385,74,5228,50,40,47,22,38,30,19,36,4,283,107,100,103,36,65,64,57,52,14,600,75,119,59,24,34,27,38,22,14,412,80,125,96,21,46,33,36,35,134,597,7627,16848,5334,1451,3108,2063,1347,1476,670,39922,18,52,0,0,12,8,0,0,0,90,83,728,20,14,36,7,0,4,12,899,1382,4839,187,320,1277,374,27,69,116,8592,41,128,0,8,36,11,0,0,4,230
CED104,17,42,3,0,4,0,3,0,0,68,152,645,15,11,18,4,3,3,3,852,1652,2822,180,76,374,162,46,51,69,5429,52,81,0,0,13,0,4,0,4,160,166,396,41,30,45,9,3,5,0,707,85,81,7,12,19,4,0,0,4,208,2834,5695,595,373,781,428,196,264,136,11294,0,4,6,0,0,0,0,0,3,13,510,407,267,123,156,88,57,64,28,1698,524,493,346,187,171,149,86,108,26,2082,1255,404,3045,225,276,295,381,473,97,6451,51,28,37,21,16,27,11,26,6,226,158,112,106,31,51,78,43,65,8,657,74,99,39,12,25,13,9,9,11,296,102,70,46,14,27,33,25,33,66,414,7632,11369,4731,1121,1983,1291,880,1098,463,30559,13,51,0,0,9,0,0,0,0,73,103,485,13,3,34,7,0,3,3,650,909,2862,99,182,672,120,13,24,58,4942,21,101,4,3,22,0,0,0,4,155
CED105,0,9,0,0,4,0,0,0,0,19,24,192,7,8,4,0,7,6,3,242,387,1186,202,208,235,210,218,226,63,2949,8,23,8,9,8,5,8,9,3,91,39,102,12,8,22,12,17,10,3,226,14,24,3,3,8,0,8,5,3,64,982,2941,735,536,757,429,585,570,156,7692,0,0,3,0,5,4,4,8,0,32,180,180,264,109,141,92,146,171,33,1302,316,276,440,225,221,178,253,305,45,2274,456,150,2163,224,299,193,558,506,117,4667,21,9,40,35,35,23,45,47,4,260,58,35,96,45,51,55,80,89,14,524,40,49,50,23,33,26,38,37,6,301,70,58,110,42,41,52,95,87,193,753,2604,5235,4149,1473,1867,1282,2069,2089,636,21403,0,17,0,0,0,0,0,0,0,25,17,79,4,0,3,5,0,0,7,116,174,1298,38,277,293,120,27,84,37,2348,6,32,0,7,3,0,3,0,4,63
CED106,25,50,5,0,7,4,0,0,0,92,219,1000,14,7,28,7,9,5,20,1312,2568,4280,212,105,581,280,68,82,126,8301,66,134,0,0,18,9,3,0,3,240,279,482,17,18,58,21,3,7,18,905,68,92,6,10,13,3,0,0,4,194,4144,8050,695,413,1022,726,211,311,232,15800,0,3,3,0,0,0,0,0,0,9,437,425,182,94,112,101,64,78,25,1517,489,400,259,130,144,166,74,103,33,1790,550,258,1167,158,165,178,128,190,46,2848,28,17,18,19,17,21,16,23,3,161,125,105,53,27,44,57,26,42,11,482,83,153,26,12,20,23,9,17,6,344,77,111,29,16,27,26,28,24,89,429,9159,15558,2689,999,2256,1623,636,885,615,34424,24,65,3,0,14,4,0,0,0,114,144,740,16,18,41,11,0,0,3,977,1555,4066,96,262,961,248,14,41,100,7327,39,140,3,4,27,8,0,4,9,236
CED107,0,16,0,0,0,0,0,0,0,29,53,199,6,3,11,0,0,4,0,285,324,658,49,56,59,33,28,39,8,1249,12,32,0,0,3,0,0,0,0,57,79,174,19,21,10,10,3,11,3,334,42,65,6,15,13,0,0,5,0,139,1011,2212,322,324,225,132,128,182,39,4586,0,0,0,4,4,0,0,4,4,17,333,199,193,163,57,62,76,76,13,1173,427,253,374,289,132,97,143,103,23,1834,1960,421,6279,761,434,445,2184,1367,231,14079,67,21,82,38,35,43,104,112,11,512,126,32,82,68,37,45,97,85,11,580,31,29,28,16,3,14,34,22,3,181,108,37,77,54,22,35,143,111,80,668,4577,4355,7514,1809,1042,924,2950,2120,426,25718,6,38,0,0,3,0,0,0,0,43,37,204,5,11,7,0,0,0,0,263,260,1096,24,92,114,20,7,25,13,1660,12,43,0,0,3,5,0,0,0,67
CED108,8,15,3,0,3,0,0,0,0,36,20,153,14,5,11,0,0,5,3,207,692,1913,226,172,463,162,305,101,59,4092,19,55,9,3,17,4,18,5,3,134,52,141,21,17,39,13,23,13,3,325,23,54,4,8,7,3,0,6,0,100,1229,3674,902,574,999,358,1054,540,151,9479,6,3,7,3,0,4,5,8,0,38,233,215,322,154,151,80,323,110,24,1606,360,368,436,271,289,185,569,222,49,2756,671,299,3437,441,442,316,1412,796,154,7964,20,14,51,42,48,25,112,63,5,380,62,49,94,69,61,36,199,102,10,685,32,76,43,21,37,14,83,39,11,364,66,74,102,52,57,24,196,84,160,816,3495,7096,5666,1848,2614,1226,4309,2097,628,28994,4,22,0,0,3,0,0,4,0,39,11,117,8,6,7,0,0,0,4,160,297,1721,103,347,704,189,92,102,63,3624,15,72,6,21,25,7,0,7,0,143
CED109,11,22,0,0,3,0,0,0,0,46,53,289,7,3,5,0,0,0,4,355,827,1260,84,63,162,61,26,15,23,2528,21,40,0,0,3,0,0,0,0,78,107,253,11,10,32,9,5,6,3,437,50,54,3,13,17,7,0,0,4,143,2225,3884,443,411,631,415,174,163,138,8491,6,3,3,4,0,0,0,0,0,27,495,420,206,195,122,116,79,78,30,1741,721,483,411,252,217,197,98,91,51,2516,1751,459,4708,419,472,418,574,669,167,9629,51,24,26,29,24,42,32,21,4,250,197,99,104,57,64,86,69,69,20,761,60,60,39,20,28,23,13,21,4,257,118,86,67,39,45,45,43,42,66,545,6692,7436,6111,1508,1825,1429,1114,1171,513,27794,10,46,0,5,3,0,0,0,0,69,34,233,0,7,13,0,0,4,0,299,591,1647,48,87,250,65,7,7,35,2742,29,62,0,10,14,0,0,5,0,113
CED110,0,16,0,4,0,0,0,0,0,16,24,187,0,0,0,0,0,0,0,218,235,636,28,33,68,13,8,29,3,1069,11,18,4,3,0,3,0,3,0,44,55,241,14,24,18,0,6,9,7,380,35,60,4,6,9,0,0,0,0,115,744,2496,261,305,206,141,52,154,29,4387,4,0,0,0,0,0,0,0,0,9,233,241,154,148,73,60,43,65,13,1028,384,286,300,308,123,114,60,127,24,1719,1444,380,4779,981,416,579,936,1422,174,11110,53,14,57,70,27,48,53,93,3,421,94,41,63,84,24,53,72,113,12,566,24,49,28,19,10,13,8,36,3,186,89,59,112,50,26,29,89,110,79,646,3421,4716,5807,2037,1010,1063,1342,2157,355,21912,3,38,0,0,6,0,0,0,0,52,19,169,0,9,8,0,0,0,0,215,201,1007,17,72,90,24,4,17,16,1451,6,60,0,9,4,0,0,5,0,79
