CED_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
CED101,5033,366,17,5416,33,9,3,4,44,18,0,18,65,5,0,67,52,17,4,0,82,12,3,20,95,8,0,105,88,25,12,3,131,31,3,36,165,8,0,173,3744,729,557,64,5089,86,23,111,5197,376,17,5591,963,255,209,32,1459,50,7,59,1517,602,3,2125,3,3,5,19,27,3,0,3,29,4,24,58,4708,982,763,114,6574,142,30,173,6749,985,46,7771,1149,147,116,10,1417,20,4,19,1440,124,0,1567,850,246,99,4,1196,14,0,13,1208,93,0,1305,153,33,86,0,271,0,0,6,273,19,0,293,4,6,0,17,28,0,0,0,28,6,0,37,2147,427,304,27,2911,34,8,45,2950,234,4,3193,23,5,3,0,25,4,0,4,37,5,0,40,28,7,3,0,36,7,0,12,50,6,0,51,51,9,7,0,63,13,0,19,81,7,0,89,2199,433,314,32,2974,50,10,61,3032,247,4,3283,470,124,75,21
CED102,4539,354,10,4904,46,5,0,0,51,13,6,14,64,11,0,77,60,15,5,0,82,16,8,20,104,13,0,116,109,19,4,5,132,24,10,36,171,22,0,191,3320,808,353,90,4562,117,33,147,4707,374,10,5096,812,320,153,43,1332,41,13,57,1388,583,13,1982,7,4,0,11,24,3,0,3,28,15,34,72,4137,1123,507,148,5917,159,46,212,6128,969,58,7153,968,168,68,7,1214,34,5,35,1253,108,0,1357,695,244,70,12,1019,22,0,24,1048,95,0,1144,104,43,70,3,213,4,0,4,220,23,0,240,14,0,0,14,30,0,0,0,30,0,0,27,1780,452,204,41,2478,65,4,69,2546,222,3,2777,24,5,4,0,27,10,0,10,37,0,0,40,29,8,5,3,39,5,0,5,44,10,0,55,51,9,8,3,69,19,0,19,88,10,0,97,1827,471,215,42,2549,78,4,86,2637,232,5,2871,427,155,90,19
CED103,6689,333,26,7050,147,9,0,0,156,19,0,19,177,6,0,191,129,11,0,0,155,17,3,23,172,3,0,177,283,27,8,0,313,34,4,42,350,12,0,367,5437,970,380,68,6852,169,18,185,7035,344,26,7411,1400,310,111,43,1861,48,12,60,1923,411,14,2344,9,9,3,25,42,0,0,0,42,4,36,80,6844,1286,490,134,8750,222,32,244,8999,757,79,9836,1592,203,68,14,1882,39,7,42,1926,106,0,2031,1075,266,65,0,1417,26,16,32,1449,72,4,1524,131,45,71,6,249,8,0,8,259,16,3,272,8,0,0,18,25,0,0,0,28,5,5,37,2807,519,212,32,3575,66,15,87,3658,199,13,3866,75,6,0,0,87,4,0,4,94,3,0,99,58,7,4,0,69,17,0,16,89,4,0,95,132,20,7,0,160,20,0,20,183,9,0,189,2944,537,214,36,3733,82,22,106,3842,207,13,4058,671,140,54,17
CED104,7033,265,9,7310,54,8,3,0,62,3,0,5,62,0,0,67,73,10,0,5,85,7,0,5,96,3,0,100,123,15,3,5,144,8,4,14,161,12,0,167,5919,836,258,78,7095,81,11,91,7192,274,9,7480,1075,183,49,21,1325,22,8,29,1358,239,3,1596,4,0,0,15,25,0,0,0,25,0,29,48,7001,1020,307,116,8445,110,18,122,8571,512,39,9125,1986,222,60,8,2279,30,3,35,2309,99,6,2416,1589,285,52,13,1940,24,0,21,1965,53,0,2022,189,20,41,3,249,3,0,3,245,8,0,252,18,0,5,14,37,0,0,0,37,7,3,44,3776,533,149,32,4497,54,8,60,4558,160,8,4728,43,8,0,0,47,3,0,4,51,4,0,59,70,16,0,0,83,3,0,8,88,3,0,95,107,18,0,4,126,12,3,14,142,6,0,153,3888,552,153,38,4624,62,9,72,4700,171,8,4885,643,106,37,13
CED105,3019,505,28,3552,44,13,5,0,66,21,6,29,95,21,0,118,58,35,9,0,112,26,7,32,142,33,0,174,102,53,21,3,175,47,10,56,232,50,0,285,1989,563,489,62,3106,108,34,143,3251,560,31,3840,1400,707,515,139,2759,254,68,323,3085,2475,51,5606,17,3,10,36,67,0,0,0,67,17,125,203,3401,1276,1011,244,5928,365,102,465,6397,3055,201,9654,546,83,79,4,711,18,7,28,733,126,5,866,450,187,75,3,718,14,3,16,733,136,0,876,94,44,123,4,263,7,0,7,272,40,0,313,12,3,0,25,43,0,0,0,41,12,3,49,1104,318,271,37,1728,43,9,49,1782,315,7,2108,21,4,3,0,33,9,0,9,40,13,0,54,23,13,16,0,50,10,5,24,73,20,0,96,46,17,17,3,81,21,5,27,111,37,0,146,1146,335,287,44,1807,63,17,81,1893,353,10,2255,683,396,253,56
CED106,7199,332,21,7548,125,7,3,0,136,11,5,19,146,3,0,153,101,3,7,0,113,7,0,7,123,7,0,126,224,11,8,0,249,18,5,18,269,11,0,279,6223,841,179,61,7300,139,30,170,7464,336,21,7829,1582,203,60,19,1862,30,6,36,1898,321,4,2224,11,0,3,8,23,0,0,0,23,4,25,46,7811,1046,238,87,9184,171,35,202,9385,658,53,10098,2116,219,38,14,2393,51,14,63,2451,146,0,2599,1543,281,44,3,1883,28,5,30,1913,76,0,1984,138,23,28,0,182,4,0,4,197,13,0,203,3,3,0,21,32,0,0,0,36,3,3,42,3803,532,114,45,4492,90,15,105,4597,234,4,4839,58,0,0,0,59,9,0,10,68,3,0,74,68,7,6,0,78,3,0,3,81,0,0,82,124,8,6,0,135,9,0,7,152,9,0,156,3931,539,115,45,4630,95,20,117,4744,245,4,4998,928,98,29,17
CED107,5870,178,12,6063,22,5,0,0,28,3,0,3,31,4,0,36,70,14,0,0,82,3,5,9,91,3,0,89,89,15,0,0,104,9,3,9,118,4,0,124,5206,536,123,67,5924,53,15,62,5992,181,12,6184,884,186,32,34,1136,16,3,24,1154,204,8,1365,10,0,0,3,14,0,0,0,14,0,23,38,6092,719,156,108,7070,70,22,89,7163,387,46,7590,1522,131,36,10,1696,5,5,10,1706,55,3,1770,1492,186,44,12,1732,17,3,23,1753,72,5,1836,93,14,20,4,129,0,0,0,133,9,0,139,14,0,0,12,29,0,0,0,34,0,4,38,3119,334,104,40,3587,29,8,35,3628,139,9,3775,14,4,0,0,14,5,0,5,23,3,0,22,19,7,0,0,27,4,3,6,30,4,0,31,34,7,0,0,41,10,3,7,53,7,0,56,3150,339,104,40,3633,35,12,46,3677,144,9,3834,417,79,10,19
CED108,6600,565,31,7187,121,20,12,4,159,25,5,31,190,18,0,200,140,34,18,3,195,18,8,22,223,11,0,238,262,58,29,7,355,45,10,54,406,31,4,438,5124,959,585,134,6795,175,30,205,7000,590,33,7626,1791,546,311,99,2748,120,27,154,2898,1074,12,3983,30,0,3,36,79,3,0,4,84,13,64,160,6949,1512,899,272,9626,302,62,360,9987,1676,108,11763,1570,206,126,13,1912,34,13,47,1960,172,5,2137,852,220,103,23,1197,34,4,39,1231,139,4,1378,160,41,82,3,285,5,0,9,293,22,6,316,17,7,5,31,60,4,0,4,59,11,5,79,2607,472,316,72,3454,73,20,88,3540,343,19,3900,70,17,5,0,85,21,3,21,111,6,0,118,58,26,7,0,87,6,4,9,96,11,0,104,124,36,10,0,177,20,10,35,210,16,0,218,2725,503,322,75,3631,95,27,118,3750,360,19,4125,907,255,147,49
CED109,5464,223,13,5702,28,0,0,0,33,4,0,4,40,3,0,47,53,7,6,0,65,0,0,0,68,3,0,68,78,10,10,0,98,3,0,3,109,6,0,111,4325,820,305,56,5509,53,8,60,5570,230,16,5812,792,171,59,18,1037,17,10,33,1070,174,6,1247,8,0,3,12,24,0,0,0,24,0,19,46,5129,995,362,88,6572,71,17,92,6667,403,39,7103,1148,155,65,3,1367,18,0,19,1384,73,0,1455,1151,256,56,11,1477,16,5,23,1494,79,0,1572,160,51,44,0,251,4,0,4,262,12,4,269,6,4,0,8,19,0,0,0,19,4,0,22,2469,466,167,17,3119,33,6,39,3158,161,4,3321,12,4,0,0,21,3,0,3,20,4,0,26,17,3,0,0,21,0,0,0,24,3,0,32,32,7,0,0,45,3,0,3,43,11,0,57,2506,472,167,17,3162,36,6,45,3207,164,4,3379,433,97,34,22
CED110,4467,254,16,4730,13,6,0,0,23,11,0,11,33,4,0,34,50,6,0,0,56,7,5,10,61,17,0,78,63,12,0,0,78,13,5,18,98,21,0,111,3516,805,105,49,4478,51,25,80,4559,271,16,4846,583,222,28,29,860,40,17,54,911,286,5,1201,10,3,0,8,14,0,0,0,14,0,18,40,4107,1029,133,83,5357,89,43,133,5488,556,36,6084,1119,203,31,11,1358,14,11,23,1378,69,0,1447,1172,294,41,7,1516,19,7,19,1537,96,6,1639,43,23,11,0,83,0,0,0,83,4,0,85,16,9,0,13,36,0,0,0,36,4,4,44,2353,532,76,23,2992,28,10,42,3033,173,8,3217,14,0,0,0,12,8,0,8,19,5,0,25,16,7,0,0,19,6,0,6,31,5,0,31,27,7,0,0,37,8,0,11,45,14,0,55,2381,540,76,28,3028,33,12,52,3078,182,8,3273,296,125,11,12
