CED_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
CED101,0,0,0,60,59,3970,204,149,17,12,21,31,18,0,157,4587,332,3,0,0,0,0,0,0,0,40,372,478,9,0,0,0,0,0,0,0,15,509,740,49,29,0,0,4,10,0,3,32,876,5,0,0,0,0,0,0,0,0,7,9,1223,58,29,0,0,4,11,8,3,58,1395,4,0,0,0,0,0,0,0,0,94,97,1556,59,28,0,0,4,11,6,3,200,1859,8929,1232,1091,224,207,262,189,69,42,280,12520,20961,6059,4833,1299,1670,1915,1656,493,72,611,39574,7216,1766,1598,354,400,387,532,208,53,336,12852,35,6,13,0,3,5,9,7,0,22,109,28216,7838,6446,1656,2072,2310,2206,709,123,978,52532,17,8,4,0,0,0,4,0,0,279,321,37156,9077,7538,1880,2275,2566,2400,781,156,1530,65372
CED102,0,0,0,225,231,6236,166,138,25,20,30,44,14,0,437,7098,215,0,0,0,0,0,0,0,0,17,232,851,4,0,0,0,0,0,0,0,51,905,1370,44,25,5,4,4,4,3,0,136,1598,14,0,0,0,0,0,0,0,0,4,14,2233,44,29,4,4,4,3,3,0,188,2519,0,0,0,0,0,0,0,0,0,400,400,2445,44,29,4,7,4,3,3,0,608,3146,9132,1743,1689,406,424,470,405,144,46,354,14811,25616,7662,7928,2695,3280,4033,3934,1031,165,939,57296,10079,1553,1724,435,552,685,907,303,76,544,16855,81,10,9,3,4,15,16,10,4,25,171,35773,9229,9656,3134,3838,4725,4854,1346,241,1514,74322,30,3,16,5,8,7,11,4,4,879,970,44931,10974,11364,3546,4271,5206,5271,1497,289,2749,90093
CED103,0,0,0,48,50,3969,264,196,35,31,29,68,38,7,140,4785,409,0,0,0,0,0,0,0,0,26,445,538,12,0,0,0,0,0,0,0,17,573,734,45,20,0,3,0,10,7,5,33,860,4,0,0,0,0,0,0,0,0,4,8,1277,56,29,0,3,0,10,7,5,55,1446,0,0,0,0,0,0,0,0,0,79,79,1688,58,25,4,3,0,16,7,5,159,1968,11410,2015,1869,441,475,490,621,323,75,306,18018,27115,10613,10157,2943,3234,3242,3555,1494,375,732,63472,6074,2104,2369,649,664,746,1083,477,147,374,14682,47,10,10,4,6,3,19,12,11,26,150,33239,12726,12537,3599,3903,3993,4660,1987,526,1129,78303,27,15,13,7,0,0,8,0,7,257,332,44671,14758,14420,4039,4374,4488,5288,2317,607,1688,96647
CED104,0,0,0,75,92,3383,189,137,26,13,11,34,17,5,164,3968,555,17,10,0,0,0,0,0,0,62,653,318,15,4,0,0,0,0,0,0,26,365,267,26,13,3,0,0,5,8,0,15,332,5,0,0,0,0,0,0,0,0,8,13,588,39,18,3,0,0,3,10,0,45,707,12,5,0,0,0,0,0,0,0,93,105,1155,60,31,8,0,6,8,10,0,201,1469,14000,2424,1584,323,256,229,226,148,53,329,19567,16158,5749,4163,901,881,749,719,267,90,286,29960,2111,738,810,179,137,162,318,113,47,105,4721,23,7,7,0,0,3,4,0,0,16,57,18293,6492,4974,1078,1022,911,1040,381,146,404,34743,30,6,7,0,0,0,0,0,0,232,274,32319,8916,6565,1403,1273,1141,1270,529,197,968,54579
CED105,0,0,0,79,95,4555,183,129,15,11,17,26,15,0,227,5177,211,0,0,0,0,0,0,0,0,22,227,514,6,0,0,0,0,0,0,0,39,564,991,42,21,4,0,3,3,0,0,44,1114,8,0,0,0,0,0,0,0,0,0,10,1522,52,21,4,0,9,3,0,0,86,1694,4,0,0,0,0,0,0,0,0,139,144,1738,52,21,4,0,9,3,0,0,244,2069,5267,766,720,131,214,212,213,72,24,286,7908,27177,8141,7933,2145,2710,3514,3253,931,156,1239,57191,13812,3538,3531,927,1375,1428,1168,413,183,966,27332,91,39,28,0,8,11,11,11,5,46,253,41075,11714,11486,3072,4096,4955,4425,1350,345,2248,84775,44,23,15,3,7,17,8,0,0,883,1006,46386,12508,12220,3208,4316,5192,4653,1424,363,3417,93689
CED106,0,0,0,25,36,3968,227,161,28,29,26,66,45,6,125,4682,889,24,10,0,0,0,0,0,0,58,986,467,5,8,0,0,0,5,0,0,40,532,320,29,17,8,3,5,3,5,0,21,413,4,0,0,0,0,0,0,0,0,0,6,795,34,20,6,9,5,3,3,0,68,946,7,0,0,0,0,0,0,0,0,40,49,1687,63,33,10,9,8,3,3,0,167,1977,16945,3605,2597,506,478,518,524,264,154,369,25958,19252,8038,6586,1717,1826,1915,1834,870,280,497,42812,2938,1242,1544,399,385,411,756,446,126,229,8471,24,7,9,0,5,4,8,9,0,11,81,22217,9279,8136,2125,2217,2323,2600,1333,411,735,51366,34,7,5,0,0,6,0,0,0,163,222,39196,12891,10731,2628,2697,2850,3121,1603,561,1272,77546
CED107,0,0,0,8,15,1525,18,7,5,3,3,9,3,0,77,1649,358,0,3,0,0,0,0,0,0,35,395,93,0,0,0,0,0,0,0,0,7,103,29,0,0,0,0,0,0,0,0,7,38,0,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,13,138,0,0,0,0,0,0,0,0,0,7,7,481,3,3,0,0,0,0,0,0,53,542,7139,713,595,112,131,108,123,59,18,365,9360,1582,900,1126,293,357,371,380,156,19,83,5270,214,83,89,22,33,41,64,45,3,33,625,3,3,0,0,0,0,6,0,0,0,17,1802,985,1216,316,389,417,445,199,26,117,5909,22,0,0,0,0,0,0,0,0,376,400,8957,1702,1816,429,518,522,565,255,47,853,15670
CED108,0,0,0,10,25,3173,187,102,35,15,13,59,21,0,190,3791,289,0,0,0,0,0,0,0,0,29,327,449,8,5,0,0,0,3,3,0,68,531,388,22,12,0,3,0,0,6,0,124,557,9,0,0,0,0,0,0,0,0,0,11,838,32,19,3,3,0,5,9,0,191,1096,3,0,0,0,0,0,0,0,0,4,8,1135,33,25,4,3,0,5,5,0,225,1433,10456,2062,1725,386,324,353,283,112,36,506,16236,26303,14511,11356,2583,2403,2605,2593,816,152,862,64189,3869,1246,1231,361,351,314,656,254,79,379,8743,92,14,15,8,10,6,10,11,4,14,185,30265,15770,12605,2951,2761,2921,3261,1081,242,1255,73119,56,20,20,0,5,4,3,4,8,112,234,40782,17855,14352,3340,3088,3285,3551,1197,277,1873,89587
CED109,0,0,0,74,78,3537,66,35,8,3,0,8,5,0,169,3838,491,11,0,0,0,0,0,0,0,23,526,464,0,0,0,0,0,0,0,0,29,497,381,7,11,0,0,0,0,0,0,16,416,6,0,0,0,0,0,0,0,0,0,5,845,8,11,0,0,0,4,0,0,46,919,8,0,0,0,0,0,0,0,0,118,128,1347,16,14,0,0,0,4,0,0,189,1572,10408,1548,1451,336,218,282,249,139,83,315,15031,10519,2005,1950,431,425,321,321,154,43,221,16374,2176,282,323,71,66,72,118,44,11,75,3237,22,3,3,0,0,3,5,3,0,13,47,12709,2289,2268,500,491,389,440,199,56,311,19653,26,3,0,0,0,0,0,0,0,255,287,23143,3845,3723,840,705,672,692,344,135,877,34974
CED110,0,0,0,23,30,2683,55,16,9,0,5,7,3,0,157,2938,746,5,0,0,0,0,0,0,0,91,852,128,0,0,0,0,0,0,0,0,11,139,26,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,5,5,153,0,0,0,0,0,0,0,0,15,170,3,0,0,0,0,0,0,0,0,22,26,905,5,0,0,0,0,0,0,0,132,1047,11266,1221,928,188,171,153,159,85,40,586,14795,1841,883,971,310,383,377,397,146,74,136,5522,187,111,195,50,110,144,233,50,11,39,1135,7,4,5,0,0,0,4,3,12,12,46,2037,995,1174,360,489,521,634,202,98,186,6703,16,0,0,0,0,3,0,0,3,151,184,13327,2222,2102,548,661,678,788,286,141,926,21684
