CED_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
CED101,31592,96215,2854,6326,6947,19887,9802,26214,2254,4076,5415,11839,5819,13467,942,2074,314,768,14750,32228,0,0,0,0,0,0,323,717,320,719,85,199,56556,155573,3634,..,60189,155573
CED102,28545,87470,3416,8518,2842,8243,6256,16764,2787,5474,5478,11861,11555,26107,9274,21662,415,1040,29508,66142,68,86,0,0,0,0,391,821,454,900,142,302,64902,171577,6248,..,71146,171577
CED103,31313,96427,3326,8157,6248,16656,9578,24818,1757,2963,8242,15974,11391,25492,7548,15596,250,571,29184,60603,4,3,0,0,0,3,125,263,135,275,128,257,70339,182376,6548,..,76890,182376
CED104,41050,128156,1246,2193,3047,7970,4294,10168,949,1610,671,1211,2269,5135,108,239,238,532,4235,8726,11,22,52,82,0,0,53,136,119,240,84,161,49783,147450,2659,..,52441,147450
CED105,30677,107208,1539,4114,5924,19448,7460,23565,3755,8328,5292,13768,3695,9856,2581,7971,778,2442,16104,42362,0,0,0,0,0,0,279,772,279,776,170,447,54690,174364,4572,..,59258,174364
CED106,34611,109497,423,971,2132,5114,2555,6084,2316,4143,4644,9574,9140,20638,5087,11883,136,332,21316,46573,0,0,5,9,0,0,134,284,141,297,47,109,58668,162573,4681,..,63351,162573
CED107,55622,141354,4053,6562,715,1213,4766,7773,1509,2208,74,109,0,0,3,9,45,90,1631,2416,105,148,80,130,16,21,319,771,521,1075,190,393,62731,153014,7794,..,70528,153014
CED108,49761,159474,2283,6018,5216,16565,7494,22575,566,829,413,760,1792,4234,0,8,419,1056,3189,6875,0,0,0,0,12,19,33,110,42,128,80,219,60567,189276,3227,..,63799,189276
CED109,28901,88493,2806,5641,6640,15644,9443,21286,2646,4466,6739,12406,6139,11560,1564,2877,116,270,17207,31584,61,90,11,17,0,0,176,369,244,474,80,166,55876,142005,4278,..,60158,142005
CED110,50771,128593,5145,8840,2532,5141,7680,13980,4428,7278,1109,1825,1263,1993,252,420,107,221,7162,11737,233,372,532,788,10,21,104,203,877,1378,255,492,66737,156180,7233,..,73973,156180
