CED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED101,13333,2667,2045,31,9,18086,11506,3531,3200,36,14,18280,3832,1906,6074,186,35,12033,960,820,1603,0,5,3394,77,213,435,0,0,734,962,285,736,49,12,2042,136,84,75,5,3,307,38,13,47,0,3,97,6010,3324,8966,244,57,18603,383,155,287,11,0,843,359,130,251,4,6,747,31592,9802,14750,320,85,56556
CED102,13246,1718,3563,74,4,18603,9397,2165,7458,32,15,19069,3528,1443,14643,240,63,19920,196,218,702,0,0,1115,91,132,290,6,0,522,1116,311,1664,59,21,3166,157,56,232,28,15,493,16,13,65,5,0,107,5112,2176,17604,334,100,25314,388,103,461,9,4,965,403,97,415,10,22,956,28545,6256,29508,454,142,64902
CED103,13469,2291,3057,7,6,18833,11459,2992,6724,15,18,21213,3656,2622,15659,76,40,22055,469,594,523,0,0,1586,137,229,361,0,13,737,1168,395,1525,13,25,3127,238,165,214,6,16,639,37,28,63,0,0,122,5710,4025,18345,96,95,28274,366,161,719,0,4,1249,306,111,333,10,8,773,31313,9578,29184,135,128,70339
CED104,17300,1201,664,46,26,19235,18088,1308,1169,15,10,20597,3516,759,1507,23,14,5814,69,140,66,0,0,278,65,120,167,0,4,354,1066,129,211,4,9,1427,120,18,29,27,3,196,18,5,21,0,0,49,4851,1183,1992,52,33,8117,498,534,345,5,5,1392,314,65,57,0,9,444,41050,4294,4235,119,84,49783
CED105,11226,1302,1730,39,5,14302,9579,2513,3195,62,23,15382,4496,1606,7169,100,62,13431,1410,895,1694,0,6,4007,159,302,446,0,5,901,1847,424,861,37,34,3191,624,101,267,12,13,1020,81,23,67,5,3,173,8617,3347,10495,156,117,22730,552,135,257,11,6,956,700,167,432,9,20,1319,30677,7460,16104,279,170,54690
CED106,15383,1079,4612,13,4,21094,14583,701,5133,45,3,20478,3065,456,8997,65,19,12596,30,3,229,0,0,266,24,40,209,0,0,273,764,94,1029,9,6,1900,78,23,152,4,5,254,13,4,53,0,0,71,3973,624,10661,78,32,15367,438,124,695,0,9,1263,233,26,208,3,5,473,34611,2555,21316,141,47,58668
CED107,21677,849,183,206,48,22966,19768,414,96,100,31,20412,7715,2184,851,63,26,10831,1394,431,183,0,3,2013,226,198,77,4,0,513,2570,275,95,28,17,2989,393,53,25,36,21,528,87,18,6,0,0,114,12384,3168,1238,126,71,16988,946,204,72,21,21,1273,843,127,48,62,14,1094,55622,4766,1631,521,190,62731
CED108,10977,719,157,8,5,11863,20866,2646,539,7,17,24078,10173,2203,1516,22,27,13938,3710,1076,528,0,5,5323,245,148,79,0,0,476,2018,266,174,0,11,2470,387,62,28,0,5,478,93,25,21,0,0,143,16636,3782,2347,20,47,22829,450,183,57,0,4,695,832,171,93,0,3,1103,49761,7494,3189,42,80,60567
CED109,13032,3728,3635,62,17,20472,11858,2818,4155,26,20,18876,2483,1729,7114,91,33,11454,107,420,498,0,0,1017,41,54,165,0,0,263,669,284,861,29,6,1846,74,154,46,15,0,290,11,4,34,4,0,58,3392,2641,8718,142,36,14930,307,136,528,10,0,983,316,120,172,4,3,619,28901,9443,17207,244,80,55876
CED110,22908,2171,1574,479,96,27235,15851,1110,658,34,24,17682,5998,2314,3160,60,26,11561,754,376,365,3,0,1499,623,406,342,0,7,1385,2663,479,533,40,23,3741,337,82,63,156,26,660,70,37,37,6,4,150,10452,3702,4500,258,87,19002,769,487,250,37,11,1553,793,208,174,56,32,1260,50771,7680,7162,877,255,66737
