CED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
CED101,107,269,192,155,230,121,90,1162,70,98,68,39,58,43,34,404,14,14,10,9,12,3,3,66,306,687,518,441,611,365,267,3181,7,22,13,17,18,22,8,109,7,14,24,15,16,14,5,104,20,35,42,30,35,37,15,219,329,720,559,468,644,398,278,3399,449,487,331,242,284,184,105,2081,6,18,11,9,6,8,6,53,787,1224,900,719,938,591,387,5534
CED102,145,276,197,168,216,130,79,1205,47,49,40,33,63,37,29,293,3,10,6,7,12,8,5,56,366,645,519,409,575,385,241,3143,10,17,17,11,27,9,15,114,13,27,14,11,16,9,8,98,29,43,28,24,44,17,29,210,391,686,553,435,618,401,266,3354,455,536,312,230,301,206,119,2158,14,9,3,8,4,3,3,45,857,1236,873,666,927,615,390,5554
CED103,149,306,180,153,197,128,71,1187,47,47,37,20,51,32,26,264,6,8,3,6,3,7,0,31,375,746,549,421,596,411,269,3373,15,26,13,6,17,8,3,92,9,24,16,10,18,15,8,104,21,49,26,23,42,20,16,195,397,792,579,443,638,435,281,3568,233,367,242,179,264,162,128,1576,9,11,6,5,3,0,0,38,641,1172,819,629,906,593,413,5181
CED104,91,236,192,138,197,116,70,1042,23,34,21,25,34,20,15,177,10,0,6,8,0,5,4,30,223,540,517,408,615,337,214,2842,9,6,17,4,16,11,6,59,6,11,11,8,3,0,5,49,14,14,24,11,20,5,7,105,237,554,542,415,632,346,224,2954,123,197,140,101,169,82,59,870,6,8,3,0,0,0,0,16,363,763,688,517,807,424,280,3838
CED105,181,314,225,192,236,145,74,1369,71,96,64,57,91,48,46,471,20,15,17,10,12,16,15,105,399,710,500,424,588,357,244,3223,19,30,27,21,40,31,21,193,32,48,36,24,34,16,15,200,48,83,66,46,78,49,39,399,444,788,568,465,664,408,281,3617,1232,1332,829,489,707,381,211,5174,31,43,27,17,15,11,3,153,1712,2162,1421,972,1383,791,500,8945
CED106,115,211,185,181,236,157,101,1179,25,42,39,35,33,27,14,207,5,17,7,3,10,11,5,53,261,660,574,465,678,473,280,3385,4,20,10,9,29,20,20,121,5,18,10,15,15,13,9,92,11,39,20,30,48,29,29,213,270,701,592,493,726,509,307,3604,145,266,247,201,321,191,127,1500,4,6,5,0,0,0,0,20,412,970,851,696,1045,704,434,5119
CED107,372,705,425,312,337,61,11,2230,68,58,52,28,30,5,5,245,22,28,15,11,15,6,0,105,713,1387,989,742,864,183,41,4913,35,55,38,23,23,0,0,174,62,79,46,19,17,4,0,232,102,140,76,41,44,11,0,404,812,1525,1064,779,909,190,40,5322,818,846,462,312,246,24,17,2729,33,26,21,24,10,0,0,112,1662,2399,1553,1108,1168,217,55,8162
CED108,295,436,329,243,279,91,53,1716,103,151,111,65,88,44,17,579,32,26,25,15,11,12,7,125,709,1132,851,645,780,357,198,4671,51,65,45,35,42,7,16,265,72,66,44,23,37,10,0,257,120,133,86,58,77,13,15,516,830,1273,938,703,862,371,210,5188,1629,1628,922,634,611,174,113,5708,37,50,23,17,3,7,3,139,2491,2939,1889,1356,1474,554,331,11032
CED109,119,301,234,163,231,112,66,1219,66,88,49,32,45,21,15,324,10,12,4,3,8,3,0,41,308,707,570,474,659,327,192,3242,7,10,9,10,13,6,7,57,17,20,7,9,16,10,7,81,25,25,21,18,29,17,7,140,329,733,591,495,686,344,200,3377,206,245,182,117,179,76,45,1035,9,9,9,3,0,4,0,32,538,982,775,612,867,418,245,4443
CED110,383,771,538,404,396,68,23,2573,58,55,45,29,39,7,0,232,27,37,31,14,19,0,5,131,657,1337,1057,835,984,193,66,5126,27,52,47,42,36,3,0,218,57,69,48,34,35,3,0,243,88,127,92,70,77,8,0,460,741,1461,1150,907,1060,204,69,5586,948,862,525,347,344,52,19,3092,34,36,24,18,16,0,0,129,1726,2354,1692,1267,1417,253,91,8809
