CED_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
CED101,10,198,0,202,..,567,143,710,9,717,..,245,31,275,0,277,..,2705,938,3645,25,3670,..,2606,458,3064,111,3179,..,60244,14557,74803,620,75423,..,784,158,945,6536,7480,79993,61030,14719,75749,7154,162893
CED102,12,302,4,313,..,1108,324,1435,13,1457,..,534,116,649,3,649,..,2909,965,3871,28,3900,..,3713,960,4684,134,4812,..,83713,19000,102714,847,103562,..,1165,335,1502,9240,10745,67338,84882,19339,104218,10085,181643
CED103,58,1770,28,1794,..,709,164,872,10,883,..,333,38,371,0,373,..,1337,170,1510,17,1523,..,6145,908,7051,186,7238,..,82090,17148,99240,922,100168,..,790,215,997,6652,7653,83398,82882,17362,100243,7573,191219
CED104,39,1504,14,1516,..,284,43,323,0,330,..,136,5,143,0,143,..,503,77,575,6,583,..,2837,228,3068,69,3139,..,40418,5638,46057,387,46439,..,482,63,543,3567,4111,102018,40900,5704,46606,3954,152571
CED105,186,1303,11,1313,..,285,93,376,5,383,..,2999,1108,4105,29,4126,..,12197,6630,18829,126,18954,..,7519,2175,9695,210,9904,..,94479,31108,125583,1063,126652,..,1257,438,1701,14470,16170,45785,95736,31546,127282,15533,188607
CED106,9,799,0,803,..,475,122,595,0,599,..,150,6,157,0,157,..,634,102,732,7,740,..,3034,326,3365,109,3471,..,54797,9803,64601,572,65166,..,637,133,773,4132,4901,99107,55435,9937,65372,4702,169182
CED107,9,163,4,161,..,173,76,254,0,254,..,30,4,38,0,38,..,160,38,199,0,197,..,1318,155,1475,47,1521,..,7162,895,8055,133,8186,..,387,41,426,12498,12927,148123,7551,931,8486,12626,169232
CED108,221,2698,38,2742,..,264,69,335,5,337,..,961,281,1238,9,1247,..,637,279,911,0,917,..,11853,2223,14071,287,14353,..,82706,11089,93794,978,94772,..,1410,340,1754,12638,14392,92904,84121,11424,95545,13616,202063
CED109,0,59,0,59,..,392,66,457,0,455,..,291,43,331,0,332,..,446,81,521,6,527,..,1838,235,2071,69,2140,..,28359,3986,32343,284,32629,..,477,56,536,5858,6393,110423,28837,4048,32880,6142,149450
CED110,12,59,3,63,..,206,34,239,0,242,..,31,6,41,0,41,..,132,38,171,0,172,..,2310,762,3070,87,3157,..,7789,1452,9242,151,9390,..,532,63,586,10950,11536,149279,8320,1509,9830,11096,170205
