CED_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
CED111,13,17,12,9,15,0,0,287,0,0,0,6,0,14,41,146,75,11,4,58,11,0,8,380,4,17,47,48,58,46,97,60,0,3,4,10,3,0,12,407,48,753,683,129,40,30,44,44,8,7,6,14,4,0,127,1923,0,4,6,3,26,35,39,34,6,9,9,11,6,0,4,191,0,0,0,4,37,40,89,48,9,6,11,10,11,0,8,267,6,16,66,104,73,43,52,24,5,0,3,5,3,0,10,419,0,5,29,39,43,24,36,47,14,21,24,24,14,0,8,315,0,0,0,0,0,4,52,52,36,46,31,58,20,0,5,304,41,281,65,20,20,22,32,21,13,6,4,3,0,0,14,551,21,31,129,303,342,296,339,177,24,18,20,35,21,9,59,1811,0,56,851,750,151,104,82,15,9,9,4,7,3,3,84,2137,0,4,5,4,9,19,40,94,31,57,63,47,38,0,6,417
CED112,0,0,0,0,0,0,0,87,0,0,0,0,0,13,3,6,0,0,0,0,0,0,0,25,0,23,101,70,123,37,81,47,8,4,6,0,0,0,18,531,16,136,158,35,9,11,9,12,0,6,0,3,0,0,25,425,0,4,0,3,12,28,37,13,7,0,0,3,3,0,5,123,0,4,0,17,50,66,124,52,8,5,9,4,0,0,10,340,4,10,38,27,11,11,13,9,0,0,0,0,0,0,6,123,0,0,24,34,44,24,35,23,7,3,9,4,4,0,15,233,0,0,0,0,0,4,52,37,28,30,34,15,3,0,5,197,32,161,70,27,27,19,26,16,0,0,0,3,0,0,17,388,13,20,196,485,615,492,390,153,35,35,17,39,17,15,77,2608,0,0,6,3,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,6,7,8,18,40,4,3,4,10,0,0,0,106
CED113,3,0,0,4,5,0,5,91,0,0,3,0,5,4,6,9,0,0,4,0,0,0,0,25,0,18,50,38,39,14,57,44,0,4,0,4,0,0,7,277,15,194,194,38,31,12,20,17,5,0,5,3,3,5,23,576,3,5,0,4,7,5,28,9,7,0,4,4,0,0,5,80,0,0,0,7,17,11,41,23,6,3,8,3,4,0,4,124,0,3,21,16,11,4,6,4,0,0,0,0,0,0,5,72,0,8,32,35,39,23,39,22,10,0,6,8,7,0,18,262,0,0,0,0,0,0,76,129,102,145,85,49,5,0,5,616,27,220,57,42,46,33,32,14,0,0,3,7,0,0,9,498,8,29,155,444,446,290,327,140,27,21,13,22,10,11,87,2039,6,9,83,145,131,84,48,41,3,0,0,3,0,0,17,586,0,0,6,5,0,10,47,67,11,21,30,20,3,5,8,232
CED114,0,0,3,0,0,0,0,39,0,0,0,0,0,7,8,7,0,3,0,0,0,0,0,28,0,9,20,12,29,15,35,32,0,0,3,4,5,0,5,166,146,536,324,42,20,8,13,30,8,4,11,24,5,0,98,1270,0,0,0,0,0,7,21,8,0,0,0,0,0,0,4,47,0,0,0,0,0,11,26,15,6,10,3,26,7,0,3,113,0,0,8,7,0,0,11,0,0,0,0,0,0,0,0,38,0,0,10,15,12,8,29,68,61,120,151,93,17,5,13,608,0,0,0,0,0,4,98,170,34,54,28,20,0,0,8,415,23,235,58,29,21,24,12,9,0,3,0,4,0,0,14,430,10,22,93,240,324,286,362,190,31,10,25,46,16,11,77,1740,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,39,101,20,27,36,24,9,4,14,281
CED115,11,12,13,11,17,0,20,974,4,0,220,312,290,2402,3502,3072,1582,1068,671,1401,268,26,207,15022,0,9,18,15,23,3,8,11,7,0,0,0,0,0,10,102,84,779,790,264,64,33,28,19,8,4,8,8,4,0,105,2198,0,6,0,4,12,10,21,9,0,0,4,0,4,0,0,75,0,0,0,0,28,29,53,19,3,7,3,5,0,0,0,155,0,13,164,402,405,304,317,141,55,48,44,77,19,5,73,2084,0,3,9,41,150,80,110,109,63,60,39,46,6,0,30,754,0,0,0,0,0,13,160,101,29,51,84,85,14,4,18,557,3,31,9,6,7,0,3,9,0,0,0,0,0,0,3,75,0,0,22,93,232,476,538,325,60,60,58,41,26,14,63,2006,0,3,164,263,120,113,73,39,13,15,12,14,0,0,23,847,0,0,0,8,36,47,137,246,43,78,86,74,39,9,10,807
CED116,0,6,8,7,4,0,9,64,0,0,4,0,0,6,5,6,0,0,0,0,0,0,0,30,0,20,64,62,67,25,50,28,0,10,0,6,4,0,18,354,18,155,168,42,16,12,8,15,0,3,0,0,5,0,43,482,0,0,5,10,6,15,34,14,0,0,0,7,0,0,6,98,0,0,0,0,12,17,31,25,0,0,0,4,0,0,3,103,0,3,9,12,9,5,11,0,4,0,0,0,0,0,3,61,5,6,30,28,18,12,27,13,3,3,4,4,0,0,0,150,0,0,0,0,3,8,38,55,29,31,21,11,6,0,3,197,30,325,77,38,29,17,26,9,0,0,4,0,0,0,20,584,22,48,236,500,438,287,261,116,14,12,13,16,6,3,115,2091,0,0,52,24,3,3,0,0,0,0,0,0,0,0,5,88,0,0,0,0,0,0,6,17,5,0,10,16,0,0,0,58
CED117,7,14,10,15,3,4,0,282,0,0,8,12,8,23,17,17,0,0,3,0,0,0,0,86,3,12,34,70,177,193,354,228,24,25,17,20,10,4,17,1185,46,646,743,186,72,62,119,193,40,42,35,42,6,0,91,2320,0,5,6,20,61,102,152,72,26,24,12,16,14,3,12,530,0,0,0,64,139,100,161,73,18,9,4,13,8,5,68,665,4,47,195,184,101,34,24,26,9,8,3,10,0,0,61,698,0,6,33,92,211,103,183,89,44,39,30,35,9,0,10,895,0,0,0,0,0,30,245,191,119,273,389,299,69,3,22,1645,8,36,14,19,19,27,73,48,10,13,9,11,6,0,3,297,6,31,154,414,599,666,696,353,42,51,67,64,32,24,66,3269,0,9,56,61,17,20,12,4,0,0,3,0,0,0,8,191,0,0,0,12,17,11,31,20,9,14,12,10,3,0,0,142
CED118,56,44,40,57,13,7,34,1564,0,0,7,8,24,111,98,61,16,19,8,6,4,0,15,378,4,3,45,42,50,42,82,80,9,7,9,4,0,0,8,393,21,201,272,80,17,30,25,34,8,5,0,7,0,0,22,703,0,0,0,3,11,19,40,26,3,0,5,0,5,0,0,120,0,0,0,48,232,336,576,169,31,13,3,16,6,0,23,1468,3,27,141,233,203,142,103,42,13,14,12,6,0,0,51,997,0,0,31,82,294,149,296,143,42,44,48,23,14,0,25,1195,0,0,0,0,4,121,1019,482,102,128,147,142,55,9,28,2219,8,104,35,19,14,9,9,0,4,0,5,13,4,0,4,227,3,4,54,217,450,665,978,458,102,96,107,96,42,20,109,3396,0,0,19,25,7,9,11,0,0,0,0,0,0,0,6,76,0,0,4,20,127,260,488,585,157,186,147,110,79,11,34,2209
CED119,4,0,0,7,0,0,0,127,0,0,0,13,9,44,47,29,3,9,10,0,0,0,0,169,0,6,41,31,124,83,157,87,6,6,10,0,0,0,19,570,27,204,236,59,17,14,42,53,0,0,3,0,0,3,39,710,0,0,0,5,26,47,63,19,11,0,4,5,4,0,3,186,0,0,0,11,35,53,63,30,9,0,0,4,0,0,0,221,3,19,129,222,167,82,92,24,3,9,12,8,4,3,27,809,0,3,29,72,128,74,88,27,12,12,5,0,0,0,10,468,0,0,0,0,3,37,172,47,19,13,29,16,7,3,4,343,16,95,32,8,16,26,31,13,0,5,0,3,0,0,13,269,8,22,109,239,399,433,407,201,14,21,19,32,4,8,54,1972,0,8,162,164,72,62,42,3,0,0,0,0,0,0,17,530,0,0,5,10,23,33,37,38,0,14,7,15,0,0,0,183
CED120,0,9,6,0,0,0,4,108,0,0,14,13,15,63,80,55,3,13,0,0,0,0,14,267,0,13,54,82,93,33,78,71,0,3,7,7,0,0,6,456,27,205,225,65,34,17,6,17,4,0,4,0,0,0,35,642,0,7,0,0,4,9,7,0,5,0,0,0,4,0,6,44,0,0,0,9,8,14,27,26,0,0,9,9,3,0,6,109,0,9,50,73,68,43,31,10,3,7,0,0,0,6,29,331,5,6,15,37,48,16,21,11,7,3,6,0,0,0,4,179,0,0,0,0,0,6,73,64,11,21,26,15,0,0,8,231,16,176,59,34,25,18,16,5,0,0,0,4,0,0,14,375,8,23,122,345,403,338,292,141,21,23,32,33,9,15,58,1866,0,0,29,28,17,12,0,0,0,0,0,0,0,0,4,89,0,0,0,3,12,18,32,52,11,3,4,7,5,0,3,162
CED121,3,4,0,0,0,0,3,65,0,0,0,0,0,3,12,12,0,0,0,0,0,0,8,36,6,8,42,44,42,14,50,51,0,9,3,6,8,0,15,287,4,70,52,23,6,14,14,0,3,3,0,3,0,0,15,210,4,3,0,9,3,10,19,4,0,0,0,0,4,0,4,55,0,0,0,3,22,10,54,13,0,0,4,6,0,0,8,123,3,3,11,10,11,3,4,0,0,0,0,0,0,0,25,72,3,8,23,34,32,16,30,15,0,6,4,3,5,6,15,192,0,0,0,0,0,4,40,32,14,29,30,18,0,0,0,172,28,207,51,26,27,18,23,5,3,4,6,0,0,0,16,401,25,51,206,443,481,361,427,179,12,35,29,47,8,11,121,2436,0,6,10,3,5,3,0,0,0,0,0,0,0,0,6,37,0,0,0,4,9,3,41,21,14,5,13,3,3,0,3,126
CED122,22,32,32,42,19,10,18,557,0,0,20,26,47,212,128,87,21,14,17,3,0,0,7,590,4,9,74,77,191,234,855,1110,221,332,424,594,222,35,50,4426,24,291,293,124,52,45,128,260,48,43,44,49,21,0,54,1481,0,6,10,18,78,114,161,106,17,21,27,35,11,3,14,615,0,0,0,19,110,108,212,113,25,20,25,20,16,0,12,685,8,29,117,161,76,45,36,17,7,4,7,3,16,3,20,558,3,9,98,230,488,211,367,210,101,81,114,111,88,9,41,2149,0,0,0,0,5,7,40,45,21,47,103,32,13,6,7,323,9,28,22,18,29,20,53,39,12,13,18,33,4,4,9,308,3,24,156,409,569,593,709,388,66,74,69,80,44,61,109,3359,0,3,30,21,22,10,18,5,9,0,0,3,0,0,11,132,0,0,3,7,29,33,31,53,17,37,41,53,26,3,11,357
CED123,16,19,21,32,21,0,9,479,0,0,15,23,28,114,88,55,20,12,10,4,0,0,13,389,4,8,87,97,126,29,63,83,9,5,4,5,0,0,20,556,18,166,281,60,42,13,20,33,4,0,0,0,0,0,21,665,0,5,0,3,5,13,27,25,0,0,0,3,0,0,0,96,0,0,0,14,45,87,222,62,9,15,14,9,0,0,10,487,5,8,71,123,123,99,117,37,5,9,8,11,6,0,36,658,0,7,37,76,55,31,70,64,6,22,11,7,5,4,10,394,0,0,0,0,4,62,406,157,31,32,43,43,24,0,4,817,15,208,78,28,23,8,17,3,5,0,0,0,0,0,9,386,5,11,91,274,537,768,822,483,90,120,67,73,42,20,147,3538,0,3,29,30,8,14,5,4,0,0,0,0,0,0,5,101,0,3,0,27,45,79,232,231,52,62,49,47,19,0,3,853
