CED_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
CED101,8,79,3,1453,4,0,7,3,5,4,0,11,11,36,353,440,3,0,9,3,0,0,0,6,0,61,89,183,2404,562,243,1313,604,1298,305,973,440,5878,516,14538
CED102,14,58,4,1980,17,6,11,7,10,12,5,7,13,27,448,561,11,0,15,0,4,10,0,0,8,73,115,238,3896,929,322,1937,774,1646,391,1177,431,5840,652,17986
CED103,13,115,3,2782,14,3,13,3,7,12,12,5,12,26,504,614,4,0,12,5,3,6,0,3,3,57,113,203,4686,790,253,2004,735,1983,327,1254,381,6009,708,19143
CED104,12,171,4,2171,14,4,0,5,4,5,0,10,10,43,317,408,13,5,3,0,5,5,3,0,3,65,55,156,2193,637,125,1432,337,1356,194,1168,266,6203,420,14337
CED105,7,23,6,423,8,6,8,4,3,6,5,5,12,37,318,413,3,0,11,0,4,3,0,3,5,76,138,249,1213,472,261,770,362,1234,268,816,476,5318,557,11736
CED106,21,471,4,3390,7,0,5,4,0,8,4,11,0,42,366,457,9,0,8,7,0,0,0,5,4,72,60,172,2757,787,133,1568,337,1511,190,1303,248,6570,460,15871
CED107,7,98,3,1408,24,11,5,20,12,14,3,19,7,63,662,841,28,8,7,12,5,6,0,9,10,152,114,345,3725,865,140,2628,315,1683,175,1350,247,6295,902,18332
CED108,4,20,5,681,10,4,6,0,8,14,5,10,13,33,303,404,10,0,12,0,0,7,0,8,5,70,141,249,2367,378,195,1195,621,1583,263,786,391,4445,550,12788
CED109,27,226,0,2369,9,10,3,8,6,10,7,10,4,48,339,455,7,0,7,9,6,5,0,6,7,84,69,207,3009,783,200,1595,539,1197,269,1136,349,6045,487,15619
CED110,14,128,3,945,13,6,4,15,4,13,6,24,13,65,613,762,14,14,14,11,0,13,3,3,0,182,137,385,2610,1184,150,2374,246,1366,191,1793,306,9899,880,20996
CED111,15,108,0,1688,5,3,0,3,8,15,3,6,6,62,338,452,0,6,7,3,3,4,0,6,0,81,77,188,2762,720,163,1891,512,1432,319,1196,316,6773,477,16557
CED112,16,85,0,980,11,5,0,4,8,12,3,4,6,69,445,572,5,3,8,8,4,0,5,5,8,112,90,249,2441,711,190,1770,517,1335,301,1125,364,6971,636,16363
CED113,12,141,0,2153,21,7,6,20,6,21,6,16,9,50,680,838,24,11,8,7,0,4,4,7,3,115,119,306,4137,1006,162,2610,350,1595,219,1522,259,6929,904,19709
CED114,13,98,8,1045,18,7,9,17,6,27,0,16,7,69,703,868,46,9,19,19,8,15,5,11,6,199,191,518,3992,914,168,3019,320,1593,173,1410,261,7022,1058,19926
CED115,10,38,0,388,5,0,3,9,6,12,3,5,9,45,275,360,0,0,7,0,0,3,4,5,3,79,139,239,1195,293,209,668,417,1186,203,680,413,5602,520,11400
CED116,18,177,3,1288,8,8,3,5,4,18,6,14,8,87,654,811,7,8,6,10,3,10,0,8,7,206,137,404,2371,1133,152,2291,312,1495,246,1895,356,12038,981,23275
