CED_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
CED101,77,4341,254,4673,421,8848,433,9699,172,4396,178,4748,122,5316,275,5722,195,10618,647,11459,163,10110,511,10778,262,9277,368,9903,526,9077,402,10000,659,6237,325,7221,859,2879,220,3956,724,819,165,1708,4169,71923,3774,79869,31,3977,183,4196,171,8615,443,9222,84,4126,180,4391,69,4992,240,5304,140,10578,592,11309,176,10752,520,11446,330,10158,428,10912,630,9600,382,10613,936,6691,305,7934,1405,3191,307,4901,1466,937,404,2801,5438,73608,3976,83028,110,8315,434,8868,584,17460,875,18924,253,8520,363,9139,196,10312,513,11023,328,21196,1239,22767,338,20861,1029,22229,595,19434,788,20812,1149,18683,785,20615,1596,12934,625,15152,2262,6065,528,8857,2186,1754,573,4515,9608,145536,7750,162893
CED102,62,4747,310,5116,328,8275,473,9074,131,4031,223,4379,104,6697,450,7254,196,16445,1162,17800,182,12859,744,13783,265,9790,538,10595,450,8395,477,9324,773,5841,378,6993,1053,2890,369,4312,948,635,297,1877,4479,80612,5412,90505,40,4426,264,4725,148,7981,445,8572,68,3625,177,3875,79,6004,366,6453,178,16225,1073,17474,187,12613,697,13496,330,10514,524,11368,586,8926,417,9928,1007,6253,359,7618,1657,3009,378,5043,1417,669,492,2581,5701,80247,5190,91139,97,9175,572,9848,477,16250,922,17651,200,7655,398,8255,181,12702,822,13703,370,32667,2232,35274,366,25473,1438,27276,591,20305,1064,21959,1038,17320,895,19253,1776,12097,730,14612,2716,5897,744,9357,2363,1310,788,4459,10179,160858,10605,181643
CED103,62,5102,241,5407,368,10599,421,11387,99,4580,148,4820,98,6026,248,6369,167,15081,779,16022,171,14628,640,15438,228,10362,413,11005,382,9265,376,10025,575,6621,277,7472,763,2890,181,3832,773,812,153,1736,3683,85950,3883,93521,32,4908,218,5160,140,10159,377,10682,69,4257,149,4479,66,5728,264,6060,140,15866,752,16760,170,15114,601,15883,280,11235,381,11904,499,10187,366,11054,807,7220,270,8296,1257,3224,244,4725,1419,984,305,2710,4888,88885,3924,97697,96,10014,462,10569,511,20760,793,22066,165,8833,294,9295,160,11745,514,12422,313,30941,1530,32784,343,29742,1236,31319,512,21597,801,22907,886,19449,742,21079,1380,13844,543,15766,2019,6107,423,8557,2191,1795,453,4449,8571,174841,7809,191219
CED104,47,3410,111,3577,381,10761,276,11415,141,5262,141,5546,103,4434,119,4655,161,5853,176,6187,122,9042,269,9435,173,10529,284,10985,247,9314,240,9805,384,6953,208,7544,615,3656,202,4471,596,791,189,1578,2972,70012,2219,75201,21,3320,88,3436,189,9890,251,10329,98,4871,109,5080,76,3923,110,4109,112,5952,183,6248,131,10137,278,10548,196,11193,254,11646,306,9813,219,10343,496,7427,234,8158,928,3788,271,4987,1229,873,384,2491,3795,71195,2385,77373,72,6732,205,7012,571,20648,525,21749,239,10136,249,10623,180,8359,229,8767,274,11799,359,12432,256,19178,545,19980,372,21718,539,22631,557,19134,457,20148,882,14388,440,15702,1542,7442,475,9461,1824,1667,578,4070,6765,141208,4603,152571
CED105,124,6046,678,6842,533,11165,1247,12945,194,5447,495,6136,148,7317,772,8237,272,14868,1600,16742,360,11198,1322,12886,484,9367,966,10817,856,8495,715,10066,1146,5187,480,6813,1028,2237,346,3613,675,511,227,1413,5817,81840,8853,96511,57,5808,612,6475,242,11001,1095,12339,98,5067,421,5583,87,6476,574,7128,215,13480,1250,14941,335,10602,1021,11959,536,9324,784,10644,1091,8260,666,10018,1411,5158,503,7073,1453,2032,337,3818,1208,495,415,2114,6723,77693,7678,92095,182,11850,1287,13322,774,22163,2342,25283,291,10516,919,11724,230,13789,1341,15369,489,28348,2844,31675,693,21795,2348,24842,1019,18692,1754,21465,1950,16754,1383,20086,2555,10348,985,13887,2481,4265,680,7429,1881,1001,644,3523,12542,159528,16530,188607
CED106,44,4129,160,4331,306,11760,302,12366,123,5516,147,5788,75,4654,144,4876,120,7268,261,7657,93,11094,320,11509,145,11155,291,11591,176,9053,263,9500,348,6593,216,7152,678,3920,157,4754,832,1157,148,2140,2935,76309,2410,81650,28,3747,121,3896,158,11359,251,11779,67,5300,124,5485,71,4330,124,4526,90,7782,290,8159,104,12746,347,13200,163,12576,296,13038,252,9612,245,10103,543,7493,253,8284,1046,4415,275,5737,1651,1347,312,3309,4181,80710,2636,87529,69,7873,284,8228,470,23118,559,24142,190,10817,269,11279,150,8986,269,9400,207,15052,555,15818,204,23844,668,24709,303,23730,593,24628,432,18665,502,19602,891,14082,464,15435,1726,8336,429,10492,2479,2511,459,5448,7116,157016,5046,169182
CED107,87,4769,350,5207,774,10188,871,11828,276,4691,397,5362,180,4012,575,4765,264,8597,1388,10247,264,8304,1256,9825,432,8962,976,10363,602,9408,831,10845,821,8012,689,9525,883,3973,391,5246,613,793,123,1526,5195,71698,7843,84728,52,4422,319,4798,374,9926,799,11097,163,4357,287,4805,112,3890,290,4297,235,9307,676,10215,267,8900,659,9828,438,9559,686,10681,592,9844,623,11069,795,8153,554,9504,1113,4182,387,5684,1287,1000,234,2522,5435,73550,5516,84502,139,9192,670,10004,1142,20113,1671,22924,435,9047,689,10167,290,7904,866,9063,501,17901,2065,20457,533,17208,1919,19654,870,18516,1658,21049,1201,19252,1456,21909,1613,16163,1246,19023,1998,8160,780,10926,1900,1791,352,4049,10627,145251,13354,169232
CED108,154,7364,632,8150,887,13575,1297,15760,298,5716,494,6508,211,6457,556,7220,315,13308,1136,14758,331,14577,1035,15941,483,10334,764,11585,804,8315,570,9690,1013,5287,366,6661,876,1917,211,3012,464,286,84,833,5834,87153,7140,100120,83,6973,613,7669,419,13444,1264,15124,142,5515,418,6078,138,6036,453,6627,280,14621,1167,16069,341,14418,1091,15852,579,10363,724,11663,894,8682,524,10097,1353,5751,441,7547,1315,2018,250,3582,1050,353,228,1634,6594,88173,7177,101944,231,14333,1249,15819,1301,27027,2557,30886,442,11234,914,12586,345,12499,1006,13850,596,27933,2306,30830,669,28996,2124,31791,1064,20694,1488,23248,1702,16995,1100,19794,2363,11039,814,14213,2194,3940,454,6589,1511,642,309,2464,12425,175329,14315,202063
CED109,42,4089,165,4292,320,8344,392,9064,114,4095,158,4372,95,3936,155,4182,117,8166,483,8769,100,8740,460,9300,186,9368,437,9987,322,8429,352,9103,423,6409,272,7105,691,3571,237,4501,783,978,205,1967,3189,66138,3315,72635,19,3744,172,3941,124,7899,327,8346,66,3961,136,4165,51,3916,152,4115,104,8704,474,9279,142,9457,414,10011,211,10038,405,10660,339,8993,312,9639,550,7175,301,8028,1076,4091,341,5506,1476,1231,422,3133,4148,69202,3462,76813,64,7833,334,8231,441,16245,721,17406,185,8054,298,8537,146,7850,304,8298,223,16872,956,18049,240,18202,869,19311,389,19407,843,20639,657,17426,667,18747,972,13581,572,15129,1765,7660,578,10008,2260,2207,629,5094,7336,135338,6774,149450
CED110,98,3723,314,4127,861,8507,731,10092,308,4262,370,4938,194,3350,378,3928,321,6983,911,8214,316,7425,816,8556,481,8475,739,9691,845,9861,727,11430,1215,10076,623,11917,1209,5265,432,6910,880,1254,229,2368,6736,69179,6268,82185,44,3624,301,3976,472,8733,728,9934,175,4231,337,4737,115,3437,250,3802,237,7600,612,8450,319,8368,610,9302,485,9777,618,10877,880,11393,667,12940,1108,10695,651,12455,1582,5773,535,7896,1851,1350,451,3654,7269,74980,5771,88020,145,7345,610,8104,1331,17243,1458,20031,480,8491,707,9679,318,6783,629,7729,562,14586,1522,16670,640,15792,1429,17863,961,18245,1355,20566,1727,21248,1395,24368,2327,20776,1275,24373,2794,11041,972,14808,2730,2611,684,6018,14003,144160,12040,170205
