CED_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
CED101,9596,19525,8028,7129,11776,6199,4020,5360,1433,73074
CED102,11107,24287,8855,8199,11930,7326,4409,7180,1843,85136
CED103,14710,35820,8394,7093,13300,6969,2542,4382,1644,94855
CED104,13872,25534,7357,5825,10674,5326,1881,3442,1060,74975
CED105,5433,12135,7470,6982,8498,5215,5664,7499,1981,60874
CED106,16450,32718,4619,5665,10027,5610,1277,2798,1421,80589
CED107,10303,13555,11413,9933,8820,5934,6553,8414,1341,76265
CED108,7121,16275,8823,8856,12300,6254,11751,8660,1980,82020
CED109,13269,19167,8951,6958,11478,6231,2743,3651,1293,73740
CED110,8030,13734,8976,10519,7975,6594,3373,7681,1216,68093
CED111,9249,21039,9917,9495,9203,5676,3923,5667,1097,75267
CED112,8040,12636,10700,9719,9149,6738,4854,7479,1225,70527
CED113,13702,15218,11107,9152,10536,5794,4504,7718,1634,79354
CED114,13094,12096,11004,9184,8971,6436,5918,11032,1603,79341
CED115,4917,10304,6640,5984,7985,4814,7313,7177,1583,56720
CED116,8401,12547,10453,9248,7192,5903,3177,6616,1102,64638
CED117,16414,35353,6285,6140,9842,5177,1799,3134,1142,85290
CED118,12382,26783,9927,8816,14666,7187,7670,6527,1830,95788
CED119,11839,20102,10064,7892,12305,5801,3078,4036,1051,76164
CED120,12007,13600,13527,9520,11545,6876,6902,7808,1539,83323
CED121,7902,11533,13586,10147,8856,6535,8696,8506,1403,77165
CED122,15043,31195,9438,8502,12070,6862,3545,5328,1708,93684
CED123,10030,15277,12024,9863,14037,7221,9529,7920,1730,87639
CED124,7640,10176,9240,8531,6754,5623,4076,6912,1123,60066
CED125,9774,17033,11478,10125,13549,7888,9559,8483,1976,89856
CED126,15415,21511,9651,7270,9817,6601,2453,4231,1163,78113
CED127,9694,16262,10733,7797,9317,4989,4288,5476,1097,69656
CED128,6457,11005,7904,5934,10264,5205,6811,6112,1570,61251
CED129,17052,31015,8535,7179,14144,7452,2857,4121,1439,93781
CED130,10843,11769,9080,8358,7369,5682,4874,9727,1191,68894
CED131,9819,25391,10177,11393,9956,6980,4042,6410,1181,85350
CED132,19919,39342,4917,5389,10651,5575,1116,2207,1456,90576
CED133,8993,12174,9279,9816,7910,6144,4248,9583,1218,69368
CED134,11494,10490,8759,8727,7265,5102,6335,7773,1330,67270
CED135,10138,29112,8376,8265,12476,6616,6104,7026,2125,90249
CED136,7733,11753,13132,10834,9623,7230,7187,8872,1385,77758
CED137,16497,35023,8807,8243,13894,8007,3457,6683,2255,102861
CED138,9934,15822,10654,9919,7628,6701,3092,7399,1387,72542
CED139,11837,12262,10332,9509,7770,6197,5067,8628,1303,72911
CED140,9382,16521,9187,8059,9024,5873,3048,5615,1132,67844
CED141,7459,14692,10589,9148,9091,6058,4107,6213,941,68288
CED142,22698,50751,8793,9452,13020,7636,2465,5377,2234,122423
CED143,18473,29541,6072,6052,9073,5900,1617,2596,1320,80638
CED144,7611,16154,7525,7120,9521,6136,4750,6147,1681,66647
CED145,18464,34671,4394,4900,7938,5402,951,1931,1732,80383
CED146,8036,15356,8924,7694,11641,6347,8513,7371,1732,75612
CED147,8322,13345,12221,9924,9532,6696,5807,7640,1291,74778
CED194,234,500,279,334,236,171,253,419,77,2511
CED197,0,0,0,0,0,0,0,0,0,0
