CED_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED101,45007,47949,92958,3382,3481,6859,17111,17734,34844,201,183,386,221,189,418,93,80,172,112,103,214,29,25,53,40,38,77,69,69,139,0,0,3,17875,18421,36298,4917,4642,9560,490,458,952,26662,26998,53663,3525,3883,7412,75197,78837,154035
CED102,44688,46791,91480,4177,4043,8214,19691,19629,39320,386,359,744,342,348,686,112,92,199,144,131,278,31,32,68,53,35,84,119,103,227,4,0,4,20879,20728,41609,9883,9381,19264,681,559,1239,35620,34706,70325,5080,4912,9995,85390,86410,171799
CED103,43172,45744,88920,4603,4849,9449,24404,25030,49433,598,562,1159,525,572,1100,190,206,389,286,244,533,36,42,81,59,46,107,207,195,408,4,5,8,26307,26908,53212,9922,10876,20804,640,528,1170,41478,43162,84642,3464,3625,7086,88107,92535,180649
CED104,47048,48405,95447,3139,3270,6409,15433,15663,31098,242,216,453,207,237,445,75,86,162,113,113,221,9,17,29,20,25,45,66,56,129,0,0,0,16170,16409,32579,3014,3301,6314,274,273,544,22603,23257,45855,1977,2282,4260,71625,73936,145560
CED105,48783,49119,97900,4492,4233,8725,17471,16657,34130,240,203,449,178,148,328,77,70,146,123,89,217,19,21,39,16,11,26,65,42,102,0,0,0,18205,17249,35450,9496,7643,17144,759,529,1290,32954,29659,62609,7933,6846,14774,89663,85623,175283
CED106,43652,47259,90909,4172,4439,8605,18776,19826,38611,412,418,829,324,364,685,134,142,277,166,188,354,36,52,87,15,21,36,143,114,261,0,0,0,19996,21129,41128,7007,7959,14961,394,331,722,31569,33852,65422,2102,2515,4619,77322,83632,160950
CED107,42134,42519,84651,8683,9210,17893,17163,18367,35533,333,339,675,749,802,1553,119,146,270,174,164,339,58,66,126,84,90,173,127,151,279,5,3,5,18819,20137,38950,1226,1383,2607,577,493,1067,29299,31220,60518,8095,5962,14059,79526,79702,159230
CED108,47996,49259,97260,4048,4296,8349,25533,25855,51386,342,321,666,375,383,761,114,129,244,173,140,309,29,25,49,45,44,87,61,67,130,0,0,0,26679,26958,53631,6069,6513,12578,609,559,1162,37405,38319,75722,6578,6696,13270,91978,94276,186252
CED109,39729,42623,82354,4369,4460,8829,17740,18919,36663,204,202,405,396,373,768,58,53,110,99,94,198,18,16,40,38,33,76,81,74,161,3,0,3,18642,19773,38416,2019,2262,4284,427,359,788,25451,26860,52311,3156,3392,6550,68344,72877,141216
CED110,41397,44227,85628,7257,8051,15306,17134,19361,36493,811,945,1759,1525,1688,3211,137,140,279,235,224,460,95,114,211,133,145,275,224,235,452,5,0,0,20287,22859,43144,1703,1890,3600,720,711,1431,29969,33511,63486,6686,6303,12991,78052,84042,162097
