CED_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
CED101,9,8,14,19,4,83,5804,2241,354,302,64,59,48,131,46,10,77,3342,6,0,0,0,0,0,3,0,0,0,19,7604,572,398,76,66,56,154,65,9,159,9156,6,0,0,0,0,0,0,0,0,28,29,9753,646,419,89,71,63,150,69,8,208,11480,1659,21,10,0,0,0,5,0,3,26,1728,3304,49,51,7,7,12,17,14,0,62,3520,1924,329,408,84,59,56,119,54,5,76,3118,7,0,0,0,0,0,0,0,0,0,13,5232,382,466,96,69,65,135,67,5,138,6657,8,0,0,0,0,0,0,0,0,34,35,6900,402,473,94,68,66,134,67,3,198,8417,939,3,3,0,0,3,0,5,0,28,986,1660,16,9,0,0,0,8,3,0,36,1738,1359,181,139,17,11,17,25,13,0,35,1793,6,0,0,0,0,0,0,0,0,3,12,3027,201,145,18,12,17,31,16,0,75,3539,5,0,0,0,0,0
CED102,18,19,33,13,0,110,6562,2309,299,293,62,47,60,122,51,14,97,3354,14,0,3,0,0,0,0,0,0,9,25,8316,557,383,91,75,74,156,65,10,211,9939,11,0,0,0,0,0,0,0,0,50,54,10458,645,412,95,83,82,154,69,11,302,12314,1525,19,19,0,0,0,0,0,5,32,1601,4949,41,38,8,4,4,9,17,0,93,5158,2722,268,373,40,54,49,133,38,11,82,3778,16,0,0,0,0,0,0,0,0,5,21,7693,309,411,51,61,49,145,50,10,177,8960,3,0,0,0,0,0,0,0,0,93,97,9217,326,427,49,65,51,144,50,15,306,10657,756,14,6,0,0,0,3,0,0,35,807,2879,10,5,0,0,0,4,4,0,82,2987,2569,146,123,25,12,26,32,13,0,96,3043,23,0,0,0,0,0,0,0,0,5,24,5468,150,134,25,18,26,41,14,0,184,6057,9,0,0,0,0,0
CED103,27,17,31,37,5,83,7107,1685,352,401,102,99,112,256,122,19,92,3243,11,0,4,0,0,0,0,0,0,0,15,8164,633,525,130,124,133,297,158,22,177,10361,5,3,0,0,0,0,0,0,0,24,35,10540,721,568,140,138,136,311,164,24,234,12975,2049,18,22,0,4,4,5,7,3,36,2143,4206,73,78,6,12,15,23,24,8,56,4503,1562,413,622,164,78,107,232,93,21,82,3375,11,0,0,0,0,0,0,0,0,8,21,5782,491,700,169,91,125,257,118,30,145,7899,6,0,0,0,0,0,0,0,0,29,35,7835,505,716,170,92,124,263,128,28,210,10076,1211,11,4,0,0,0,0,4,0,32,1274,1628,25,28,4,6,8,14,8,0,25,1751,1117,224,167,31,30,15,58,26,5,37,1703,6,0,0,0,0,0,0,0,0,0,9,2755,250,189,34,33,29,72,30,7,67,3457,0,0,0,0,0,0
CED104,7,12,22,15,4,34,4683,583,109,148,42,29,32,92,19,7,24,1088,6,0,0,0,0,0,0,0,0,0,6,4803,376,240,50,39,43,113,35,16,66,5781,3,0,0,0,0,0,0,0,0,3,7,8288,619,307,60,47,48,120,51,15,110,9657,2960,39,26,4,0,6,0,9,4,30,3076,2870,61,55,3,17,8,21,20,10,34,3090,551,185,272,67,38,58,125,46,3,26,1366,6,0,0,0,0,0,0,0,0,4,11,3423,242,330,70,50,59,147,67,17,60,4468,3,0,0,0,0,0,0,0,0,26,28,6385,284,352,72,50,68,145,79,15,123,7579,1830,41,19,4,0,0,4,0,0,52,1944,1139,31,24,3,4,0,9,8,3,17,1239,403,113,96,19,10,8,20,13,0,11,682,4,0,0,0,0,0,0,0,0,7,8,1542,145,117,19,17,13,29,16,5,37,1935,10,0,4,0,0,0
CED105,22,16,33,13,5,198,7684,4148,637,531,128,159,109,161,72,18,224,6181,17,9,0,0,0,0,0,0,0,3,33,11116,935,670,156,181,128,194,88,19,424,13900,10,0,5,0,0,0,0,0,0,59,74,12232,979,686,156,186,130,198,89,19,529,15198,1034,15,6,6,0,0,5,0,0,29,1085,4216,71,56,8,0,6,16,13,0,99,4489,3415,282,283,73,44,46,68,36,4,126,4369,25,4,0,0,0,0,0,0,0,5,36,7658,352,339,80,43,49,88,45,0,229,8893,9,0,0,0,0,0,0,0,0,52,58,8701,362,345,79,43,49,89,45,0,306,10036,570,0,0,0,0,0,0,0,0,24,599,1797,40,11,0,0,4,3,0,0,57,1907,2165,150,117,15,6,17,23,10,0,59,2560,11,0,0,0,0,0,0,0,0,4,16,3969,181,125,15,11,17,26,9,0,121,4483,12,0,0,0,0,0
CED106,15,21,26,33,13,38,4697,736,221,271,63,58,66,159,96,16,54,1733,5,0,0,0,0,0,3,0,0,0,13,4816,549,397,88,73,82,185,131,27,88,6443,5,0,0,0,0,0,0,0,0,13,17,8841,884,501,99,81,98,199,139,31,133,11003,3075,45,46,11,7,10,7,6,0,35,3231,2810,69,65,8,10,10,36,22,7,34,3066,864,294,490,123,77,83,214,97,15,45,2294,9,0,0,0,0,0,0,0,0,0,8,3675,366,555,127,87,88,248,124,19,76,5363,6,0,4,0,0,0,0,0,0,19,28,6755,407,599,139,92,99,255,127,21,136,8623,2132,47,36,5,6,3,7,6,0,37,2288,1275,34,18,5,6,5,12,8,4,34,1399,550,147,104,15,26,13,54,26,0,21,962,5,0,0,0,0,0,0,0,0,4,4,1826,179,120,22,26,19,63,37,6,62,2363,8,0,0,0,0,0
CED107,0,4,0,3,0,7,465,43,7,6,4,3,0,5,8,0,3,86,0,0,0,0,0,0,0,0,0,0,0,409,63,34,3,3,4,10,10,0,12,548,7,0,0,0,0,0,0,0,0,29,35,2138,139,67,10,11,6,15,13,0,112,2503,1955,26,15,8,4,0,0,0,0,64,2068,342,13,5,0,0,0,3,4,3,11,385,56,13,11,0,0,4,11,0,0,5,103,0,0,0,0,0,0,0,0,0,0,0,397,25,17,0,3,8,14,10,3,21,489,4,0,0,0,0,0,0,0,0,22,32,2355,47,30,11,3,8,18,10,3,106,2588,1251,11,5,5,0,0,0,0,0,54,1328,214,0,4,0,3,0,0,3,0,14,240,45,7,0,0,0,3,0,0,0,7,65,0,0,0,0,0,0,0,0,0,0,0,266,4,5,0,0,3,5,3,0,17,302,11,0,0,0,0,0
CED108,31,23,61,39,10,102,7770,978,252,245,75,61,41,141,77,5,58,1929,15,0,0,0,0,0,0,0,0,0,22,7494,946,514,116,91,68,202,119,16,161,9725,5,4,0,0,0,0,0,0,0,12,18,9639,1049,560,122,96,76,205,126,16,228,12118,1839,43,12,0,5,3,5,0,0,53,1967,4262,180,134,29,17,17,68,44,0,69,4821,1104,175,247,48,46,37,130,61,4,55,1907,22,3,0,0,0,0,0,0,0,3,32,5385,361,383,77,60,56,200,109,4,124,6761,20,7,4,0,0,0,0,0,0,12,35,7241,404,400,77,65,61,199,110,10,196,8767,989,19,4,0,0,0,0,0,0,47,1059,1432,69,30,4,5,8,28,12,0,58,1644,735,98,63,25,9,5,30,13,0,75,1056,12,0,0,0,0,0,0,0,0,0,12,2178,171,93,28,10,13,57,21,0,135,2709,9,0,0,0,0,0
CED109,5,3,8,4,6,33,2716,450,60,71,14,16,14,23,6,0,9,660,6,0,0,0,0,0,0,0,0,0,6,2968,143,129,26,24,18,29,14,3,44,3380,6,0,0,0,0,0,0,0,0,13,16,5418,253,182,33,30,20,37,18,3,98,6087,2102,26,24,0,4,5,9,3,3,48,2223,2252,24,15,0,0,0,6,4,0,31,2335,547,62,72,17,7,12,31,9,0,12,767,3,0,0,0,0,0,0,0,0,0,5,2808,84,81,13,7,14,37,13,0,44,3105,6,0,0,0,0,0,0,0,0,21,26,4915,109,106,13,15,17,44,20,3,110,5349,1484,13,6,0,3,0,0,0,0,35,1546,1410,7,5,0,0,0,3,0,0,30,1463,631,43,26,6,0,0,5,8,0,26,744,6,0,0,0,0,0,0,0,0,6,10,2048,53,29,4,0,0,10,5,0,62,2214,3,0,0,0,0,0
CED110,4,3,6,5,0,18,499,40,20,25,10,4,18,20,5,0,10,147,4,0,0,0,0,0,0,0,0,0,4,430,68,55,11,9,17,25,11,0,21,649,4,0,0,0,0,0,0,0,0,4,13,2982,220,109,23,15,28,28,13,3,110,3534,3217,75,37,7,6,6,15,0,0,121,3485,404,19,7,5,0,0,3,3,0,10,452,37,9,11,6,6,5,14,6,0,0,93,0,0,0,0,0,0,0,0,0,0,0,445,28,18,12,6,5,16,7,0,12,550,3,0,0,0,0,0,0,0,0,6,9,3665,108,56,16,10,16,26,4,0,144,4044,2369,48,11,3,0,5,6,0,0,116,2564,277,3,0,0,0,0,0,0,0,12,297,30,6,3,0,0,0,3,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,312,7,5,0,0,0,3,0,0,15,352,9,0,0,0,0,0
