UCL_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
UCL101001,24255,776,280,1053,25311,5822,124,31263,126,44,4,102,276,9,3,7,285,44,326,659,85863,11581,1089,1831,100366,2459,720,3176,103540,9279,565,113387,20063,1953,192,155,22354,436,109,544,22896,1268,24,24191,19263,2567,206,183,22227,344,85,426,22652,828,18,23499,483,74,120,12,686,10,0,10,694,43,0,735,252,39,8,306,605,12,6,16,618,54,29,703,40066,4637,524,649,45869,792,200,993,46861,2194,74,49132,612,98,5,12,730,130,16,143,871,63,0,937,1027,222,11,39,1298,107,63,171,1472,106,4,1579,1636,323,24,51,2030,232,80,316,2342,169,4,2509,41697,4953,541,702,47895,1032,278,1307,49203,2363,77,51644,10857,2486,213,373,13926,421,174,601,14526,3671,70,18268,65,27,0,74,165,8,3,9,174,15,200,397,52622,7465,751,1146,61990,1458,458,1920,63914,6047,342,70302,28348,2766,292,247,31648,727,163,889,32543,1966,25,34534,24599,3596,295,265,28758,493,125,616,29379,1282,41,30697
UCL102001,121,3,0,3,122,18,0,141,3,0,0,0,6,0,0,0,6,0,3,8,787,69,19,21,901,16,4,18,918,39,6,963,278,17,5,0,303,3,0,4,310,9,0,320,163,13,3,0,178,0,0,0,179,4,0,181,4,3,0,0,10,0,0,0,10,0,0,8,4,0,0,0,4,0,0,0,4,0,0,8,454,33,6,3,492,5,0,6,502,21,0,521,3,0,0,0,3,0,0,0,3,0,0,3,4,4,0,0,8,0,0,0,8,0,0,8,5,4,0,0,9,0,0,0,9,0,0,9,457,38,6,3,505,5,0,6,511,21,0,530,55,3,4,6,68,0,0,0,68,17,0,81,0,0,0,0,0,0,0,0,0,0,0,3,518,43,9,6,570,4,0,7,578,31,4,617,412,24,4,0,444,6,0,9,452,30,0,478,219,14,6,0,240,3,0,3,246,9,0,252
UCL102002,1336,55,11,70,1403,239,8,1654,11,0,0,0,11,0,0,0,11,0,14,27,6048,713,128,110,6994,135,42,169,7162,500,28,7695,1197,160,16,7,1386,21,4,32,1415,96,8,1515,1665,171,28,12,1876,26,5,33,1913,88,3,1999,28,8,7,0,45,4,0,4,47,0,0,47,14,0,0,14,33,4,0,4,34,5,3,39,2907,337,54,36,3338,58,13,71,3411,187,13,3605,53,6,0,0,57,8,0,10,63,3,0,68,70,5,0,3,77,7,0,8,86,10,0,92,119,12,0,3,135,14,3,15,151,13,0,162,3024,349,57,42,3477,71,14,84,3561,199,13,3767,606,92,16,13,729,22,9,33,762,161,3,926,5,0,0,0,8,0,0,0,8,0,20,27,3638,442,77,52,4217,98,21,118,4335,356,28,4719,1822,193,27,12,2042,41,7,43,2091,116,4,2209,2049,264,22,17,2348,30,4,41,2392,114,3,2509
UCL102003,165,8,4,9,179,49,0,220,0,0,0,0,0,0,0,0,0,0,3,3,867,140,21,15,1038,23,12,39,1076,79,7,1160,188,34,10,3,231,4,3,6,240,7,0,248,268,56,3,0,327,9,4,9,336,15,0,354,7,6,3,0,15,0,0,0,15,0,0,15,3,0,0,5,5,0,0,0,8,0,0,8,457,97,13,7,575,13,5,23,600,28,0,624,5,0,0,0,10,0,0,0,10,0,0,12,10,0,0,0,12,0,0,0,14,3,0,19,22,0,0,0,24,0,0,0,20,5,0,27,477,97,13,7,601,19,5,19,622,28,0,654,70,23,3,0,96,5,0,5,98,44,0,142,0,0,0,0,0,0,0,0,0,0,4,4,548,120,19,8,692,19,5,25,722,73,5,800,301,42,3,0,350,6,0,7,357,21,0,379,331,65,4,0,404,8,3,8,414,19,0,435
UCL102004,1074,44,6,50,1126,277,5,1404,5,0,0,4,15,0,0,0,15,4,13,33,5951,682,115,84,6832,146,27,178,7006,549,24,7580,1264,142,15,13,1427,30,5,35,1466,79,0,1546,1739,196,24,16,1975,30,8,40,2016,77,0,2093,53,3,4,0,63,3,0,3,62,4,0,66,20,5,0,20,42,4,0,4,45,4,0,46,3070,343,42,45,3508,62,16,77,3583,170,0,3753,30,7,0,0,39,5,0,5,46,3,0,51,54,7,0,0,62,5,0,9,76,13,0,83,87,13,0,0,101,12,3,17,124,15,0,133,3160,355,45,46,3609,75,22,94,3704,181,0,3889,507,54,10,9,583,30,7,32,617,163,0,775,4,3,0,3,11,0,0,0,11,3,10,26,3675,415,58,61,4209,104,25,125,4334,344,14,4690,1922,182,38,7,2148,55,6,62,2205,140,3,2351,2179,271,31,18,2502,46,6,48,2548,119,0,2669
UCL102005,1138,35,14,48,1181,295,3,1481,4,3,0,3,13,0,0,0,13,0,13,24,5235,609,108,82,6037,118,36,160,6190,492,22,6709,1114,113,22,3,1248,21,5,32,1279,54,0,1334,1417,173,17,13,1616,24,3,24,1645,64,3,1711,36,3,6,0,50,0,0,0,52,0,0,55,5,0,0,10,15,3,0,3,22,0,5,23,2573,286,46,25,2935,50,7,61,2993,123,3,3122,39,7,0,0,45,3,3,8,56,3,0,58,66,9,0,0,73,7,0,7,85,5,0,83,105,13,0,3,126,10,3,11,138,8,0,145,2675,305,51,28,3055,63,9,69,3131,132,3,3268,564,89,9,16,683,19,15,33,711,195,3,911,3,0,0,0,8,0,0,0,8,0,6,17,3247,397,55,45,3743,81,25,101,3844,329,22,4193,1529,168,21,13,1734,33,11,43,1779,106,0,1879,1861,235,28,16,2144,36,3,35,2181,112,0,2289
UCL111001,154,10,0,9,166,46,0,212,0,0,0,3,3,0,0,0,3,0,5,9,838,91,17,8,958,25,4,26,985,73,6,1071,187,24,0,8,211,3,0,3,213,17,0,232,252,33,3,0,281,8,0,10,293,19,0,311,14,3,0,0,12,0,0,0,12,0,0,12,3,0,0,0,4,0,0,0,4,0,0,4,451,53,7,10,515,8,0,9,530,34,0,564,6,0,0,0,6,0,0,0,6,0,0,6,14,3,0,0,16,0,0,0,13,0,0,17,14,3,0,0,16,0,0,0,19,0,0,20,468,54,4,10,535,11,0,13,546,38,0,581,74,13,0,5,88,8,0,10,98,33,0,124,0,0,0,0,0,0,0,0,0,0,0,3,534,68,6,14,623,18,3,21,644,64,4,710,291,23,5,5,325,3,0,3,334,10,0,343,299,44,6,0,354,9,0,9,362,13,0,376
UCL111002,387,17,3,18,402,50,0,452,3,0,0,3,10,0,0,0,10,0,3,12,1667,163,38,32,1903,52,12,63,1966,112,4,2081,363,31,8,4,408,11,0,11,420,14,0,436,428,44,12,3,491,11,0,7,503,26,0,527,14,3,4,0,24,0,0,0,24,0,0,24,3,0,0,3,10,0,0,0,12,0,0,12,819,85,24,13,931,19,3,19,956,40,0,999,10,4,0,0,18,9,0,6,21,0,0,26,24,0,0,0,29,5,0,6,37,0,0,34,33,8,3,0,48,10,0,14,60,3,0,62,852,87,28,15,976,28,3,36,1008,44,0,1058,176,14,6,5,201,6,0,10,214,34,0,250,0,0,0,0,0,0,0,0,0,0,0,3,1030,108,31,21,1184,34,4,41,1223,84,3,1313,497,48,5,3,552,16,0,20,568,27,4,602,546,63,9,12,625,13,3,16,642,22,0,666
UCL112001,65,0,3,4,66,22,0,92,0,0,0,0,0,0,0,0,0,0,0,4,298,54,3,11,361,12,7,12,378,36,0,410,66,10,0,0,86,6,0,8,91,7,0,97,61,13,0,0,81,0,0,0,81,3,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,129,29,3,0,165,4,0,7,174,12,0,180,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,129,29,3,6,169,5,0,8,174,10,0,184,29,5,0,0,34,0,0,0,40,10,0,47,0,0,0,0,0,0,0,0,0,0,0,0,158,39,6,4,205,7,0,12,214,20,0,234,84,17,0,0,104,4,3,5,113,4,0,123,89,26,3,3,120,3,0,3,126,7,0,136
UCL112002,109,5,0,5,116,40,0,149,0,0,0,3,3,0,0,0,3,0,3,5,693,69,14,15,791,9,3,14,797,63,4,865,201,11,0,0,218,3,0,3,223,8,0,229,156,14,0,3,183,3,0,3,184,5,0,193,5,0,0,0,8,0,0,0,8,3,0,9,3,0,0,3,9,0,0,0,9,0,0,9,370,29,3,6,412,6,0,6,419,14,0,434,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,4,0,0,0,9,0,0,9,380,29,3,6,420,9,0,9,425,14,0,444,49,6,3,0,60,3,0,3,69,16,0,84,0,0,0,0,0,0,0,0,0,0,0,0,426,38,8,10,478,14,0,14,493,32,0,528,253,13,4,5,279,4,0,4,281,12,0,293,194,31,0,0,232,5,0,3,235,9,0,248
