UCL_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
UCL101001,1105,1985,1633,1388,2331,1211,729,10384,268,542,438,364,552,286,169,2616,26,37,24,26,44,32,12,201,64,64,45,39,53,36,21,323,1467,2632,2149,1806,2984,1553,933,13526,93,152,107,97,134,71,36,688,30,87,50,47,43,28,20,304,123,233,160,144,177,103,58,993,1590,2867,2303,1952,3165,1659,987,14518,544,842,667,540,675,387,299,3954,59,57,38,31,23,4,11,228,2200,3770,3015,2515,3858,2048,1295,18708,3608,8011,6550,5000,8016,4640,2581,38396,4565,8854,6073,4190,5736,2725,1419,33558,657,379,210,165,241,132,97,1878,195,302,239,176,277,128,78,1401,9032,17544,13066,9524,14267,7625,4167,75228,369,909,549,426,621,272,152,3297,867,1715,1000,643,753,343,159,5477,1232,2627,1550,1065,1374,611,312,8777,10264,20173,14618,10594,15635,8236,4482,84000,14756,14126,7691,5103,6415,3226,1946,53255,278,321,179,130,86,60,21,1074,25292,34615,22489,15826,22142,11520,6445,138332,4709,10000,8179,6384,10348,5842,3305,48776
UCL102001,16,37,22,19,27,13,4,142,8,9,8,3,3,0,0,30,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,23,48,33,28,30,20,4,179,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,13,27,50,35,29,29,20,6,190,10,14,6,7,9,0,0,48,4,0,0,0,5,0,0,8,34,66,45,32,45,21,8,245,66,117,74,56,109,43,16,490,63,87,47,36,38,10,8,293,14,4,0,0,3,0,0,25,3,0,0,0,7,0,0,15,151,211,126,98,154,60,23,825,6,10,3,3,5,0,0,25,15,21,6,3,0,0,0,47,15,29,6,3,3,3,0,71,167,244,137,105,161,62,25,892,158,106,39,26,26,0,8,359,3,0,0,0,0,0,0,8,325,348,171,137,184,66,31,1260,82,154,98,80,139,65,21,632
UCL102002,97,165,159,153,247,90,30,942,21,68,59,43,79,15,5,287,6,3,4,6,8,4,0,23,3,15,3,13,3,0,0,32,126,253,228,214,330,109,35,1294,4,15,17,15,22,0,4,76,8,14,4,0,5,0,3,30,13,32,22,12,22,0,6,106,142,280,249,230,349,108,40,1396,68,101,85,66,78,21,15,434,3,0,3,4,0,0,0,18,209,383,339,295,430,131,54,1851,231,636,556,435,727,252,127,2963,569,1256,889,578,727,172,75,4265,78,59,44,22,46,8,10,268,22,28,20,17,21,10,0,111,897,1980,1508,1056,1518,440,211,7601,64,147,80,45,78,13,3,429,146,255,109,60,73,18,7,662,211,396,193,107,148,31,9,1087,1107,2379,1700,1157,1659,472,221,8694,1900,1634,841,508,543,117,51,5606,19,23,19,9,4,0,0,69,3024,4026,2559,1678,2212,593,275,14367,328,804,717,588,968,341,158,3909
UCL102003,11,32,17,38,40,10,8,152,3,18,14,11,13,8,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,19,46,39,42,56,21,12,230,0,3,4,0,3,0,0,14,0,0,0,0,0,0,0,3,0,3,7,0,4,0,0,19,16,50,42,46,57,21,12,249,15,11,11,7,18,4,0,65,0,0,0,3,0,0,0,8,38,64,54,53,73,26,7,317,34,100,92,78,135,37,15,496,113,228,166,98,152,51,10,824,15,10,8,9,11,4,0,49,5,4,4,3,5,3,0,19,158,349,266,177,306,94,30,1386,11,20,10,3,12,3,0,66,23,41,24,12,15,0,3,111,26,59,39,13,25,6,3,175,186,406,309,195,333,104,34,1557,226,230,124,66,100,24,7,785,7,5,0,3,0,3,0,18,420,647,433,268,428,124,42,2359,44,134,110,110,176,47,26,652
UCL102004,86,197,169,153,246,105,38,986,29,63,53,40,66,19,14,285,0,9,8,5,5,3,3,34,3,8,0,3,0,0,0,18,122,267,236,205,313,127,50,1314,5,29,10,13,24,9,3,94,6,15,4,8,8,0,0,31,14,41,17,20,33,9,3,130,133,312,256,219,347,129,53,1449,59,97,92,79,64,21,19,435,3,9,3,3,0,0,0,12,197,414,347,300,418,156,68,1895,200,584,536,433,717,286,153,2906,595,1172,766,500,646,205,79,3950,69,60,45,32,40,10,4,252,21,21,21,11,19,5,4,99,882,1838,1361,964,1413,507,242,7213,48,132,76,53,57,17,5,397,123,197,99,51,65,15,8,552,173,329,178,102,120,27,17,948,1051,2169,1540,1073,1535,539,259,8162,1515,1317,690,469,473,85,62,4612,31,30,14,16,6,4,0,97,2594,3515,2246,1557,2020,629,324,12882,283,785,708,583,958,388,188,3895
UCL102005,71,151,138,134,190,77,36,801,8,34,27,30,48,20,14,175,3,8,5,5,3,4,0,34,6,0,7,0,0,3,0,20,92,200,174,175,246,96,52,1032,3,39,19,14,14,0,7,91,7,18,12,4,5,3,5,44,9,63,28,14,20,7,9,140,101,258,202,189,260,101,55,1170,49,83,83,59,71,21,16,381,0,0,3,6,3,0,0,16,152,338,294,251,333,125,74,1575,197,460,416,346,575,265,117,2370,496,924,605,415,544,170,72,3214,46,39,29,23,37,5,3,184,17,22,12,5,12,5,0,81,760,1450,1061,782,1163,436,195,5847,39,89,55,42,67,20,11,324,106,164,84,44,60,12,10,476,146,256,144,88,129,35,15,800,904,1703,1203,868,1293,474,209,6649,1337,1167,570,396,438,139,63,4113,13,24,23,6,3,0,0,75,2258,2896,1800,1272,1733,609,274,10839,270,618,550,475,764,335,159,3172
UCL111001,21,31,33,24,31,12,3,155,3,14,7,3,9,3,0,39,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,24,49,43,32,42,11,3,201,3,6,3,5,4,0,0,23,0,3,0,0,0,0,0,3,3,7,3,5,4,0,0,26,31,55,49,37,47,18,3,226,24,24,21,11,10,3,0,91,4,0,0,0,0,0,0,5,55,79,72,50,54,20,3,320,29,84,103,75,99,21,15,428,109,185,103,75,104,24,6,609,10,20,13,3,3,0,0,54,4,3,4,5,4,0,0,21,158,291,219,163,208,45,19,1112,10,35,19,15,15,0,0,94,22,46,20,12,9,0,0,107,28,80,31,22,22,0,0,193,189,372,258,190,236,47,19,1305,293,266,140,80,76,8,13,877,3,0,5,4,0,0,0,14,489,636,402,269,310,59,26,2197,56,120,131,101,134,28,13,582
UCL111002,29,62,45,34,56,11,9,241,12,16,10,9,13,3,3,52,0,3,3,0,0,0,0,9,4,0,0,3,0,0,0,9,44,82,59,41,67,13,5,308,9,3,12,0,9,0,0,31,0,0,0,0,0,0,0,0,9,9,12,0,9,0,0,36,51,83,68,43,76,13,7,342,25,41,23,24,23,5,3,155,0,4,3,0,0,0,0,7,74,134,96,69,101,25,12,512,96,173,154,114,200,63,36,847,217,337,236,123,165,30,20,1129,25,18,4,7,12,0,0,68,6,8,7,3,4,0,3,37,351,542,400,249,378,103,63,2082,26,45,34,21,26,5,0,168,58,94,32,19,26,11,0,241,86,143,73,39,48,13,0,403,433,679,474,289,427,116,63,2485,618,493,267,123,136,21,21,1677,9,11,5,3,0,0,0,29,1056,1189,743,412,570,138,82,4188,132,235,197,145,257,73,45,1091
UCL112001,0,9,13,8,13,3,6,58,3,3,3,0,7,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,17,23,15,21,3,6,83,0,7,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,7,4,3,3,0,0,10,3,25,25,16,26,3,6,96,4,13,4,9,3,0,0,34,0,0,3,0,0,0,0,3,8,32,32,24,32,3,6,136,24,33,47,38,51,10,4,211,38,63,43,39,52,3,0,238,4,0,3,3,3,3,0,19,3,0,3,0,0,0,0,9,68,94,93,84,107,20,0,470,3,8,7,7,0,0,0,24,10,18,5,0,4,0,0,37,14,24,10,8,8,3,0,69,83,121,100,88,118,23,0,542,148,114,56,34,29,9,5,386,3,3,3,3,0,0,0,14,228,241,159,122,147,27,10,939,26,44,60,52,66,19,4,271
UCL112002,14,28,23,16,26,13,0,121,3,5,3,3,3,0,0,24,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,40,28,19,33,10,3,152,0,3,3,0,3,0,0,10,0,0,0,3,3,0,0,6,0,0,4,3,3,0,0,16,14,42,35,27,36,10,3,166,4,4,7,3,9,0,0,34,0,3,0,0,0,0,0,3,24,50,42,29,49,11,3,206,41,106,82,64,91,26,10,421,93,148,92,64,67,19,3,498,18,11,4,0,3,0,0,37,0,3,0,3,6,0,0,9,153,263,182,132,168,49,17,961,8,24,9,5,0,3,0,56,14,35,19,8,10,0,0,94,21,60,25,19,19,3,0,149,174,330,207,148,183,53,17,1114,254,173,103,62,68,11,0,673,9,3,3,0,0,0,0,11,441,508,311,218,250,58,13,1798,52,138,103,83,117,34,12,538
