UCL_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
UCL101001,57573,129086,94117,636315,12308,929391,210,815,371,7258,182,8833,450844,6446,10838,9306,3701,481144,23679,2968,1798,6078,301,34822,19291,5721,3359,8606,293,37274,265669,103883,73805,554603,12961,1010918,88892,2058,6304,1019,878,99153,17951,2302,1554,6459,272,28541,40505,9665,6741,46844,1125,104884,66727,11003,5875,28847,1162,113620,11619,1975,1045,2555,142,17343,183412,2656,2305,1339,1080,190797,68623,29324,20362,232128,3601,354038,95652,22413,10517,56112,1878,186578,60553,384,1162,391,285,62773,105877,20455,9303,19595,1647,156876,18951,2100,1209,3111,189,25557,23070,5701,3246,13740,431,46194,16776,2376,1501,913,373,21946,19996,6140,4609,2359,286,33385,23387,3075,2371,5501,237,34576,19122,1401,1364,2510,305,24697,58377,24758,18192,153221,2601,257153,18595,1534,978,1673,273,23052,20219,2305,1743,704,139,25099,31081,1721,1474,2455,344,37070,21456,755,606,383,122,23318,19894,1953,1132,1330,227,24536,98952,1184,2271,984,1228,104616,8739,2247,1465,7642,144,20240,633586,41246,32598,37312,6783,751531,24610,2099,1602,10797,235182,274290,2284446,271292,193225,1292501,280077,4321535
UCL102001,271,1263,904,10484,160,13086,3,13,3,164,5,197,415,18,31,91,9,562,282,49,23,99,5,453,194,73,58,176,3,503,1790,1129,830,8746,170,12659,399,9,56,8,4,472,69,10,10,93,0,186,389,147,93,991,8,1624,275,44,15,134,3,468,90,24,9,39,0,168,885,16,10,12,13,936,401,320,230,3608,46,4604,756,179,71,659,14,1682,46,3,3,0,0,62,43,11,0,26,3,83,817,103,49,124,14,1108,101,41,14,114,4,277,173,35,16,23,5,251,128,75,47,21,0,278,203,31,24,92,3,350,95,8,3,29,3,144,521,288,231,2315,29,3385,246,29,25,38,5,349,51,19,4,7,0,82,116,5,13,27,0,161,59,7,8,9,0,80,30,8,0,0,0,38,92,4,0,0,0,96,69,37,20,97,3,220,2363,253,249,384,31,3290,112,26,16,228,1889,2266,9594,2508,1765,20152,2327,36348
UCL102002,1586,13113,9091,102607,2339,128735,6,78,39,1233,28,1384,2813,195,247,712,37,4005,486,146,69,258,9,969,1960,629,370,1210,43,4209,22880,12013,8421,88266,2241,133827,1732,103,433,83,38,2391,746,163,118,846,24,1901,2440,901,559,6366,158,10421,902,309,127,772,15,2127,455,120,42,163,11,794,1825,129,88,144,6,2199,4959,2899,1805,29705,550,39914,2514,1054,380,3605,102,7656,674,11,30,17,3,740,368,158,52,245,9,827,73,20,7,32,0,134,1216,382,184,1072,46,2906,1067,325,209,212,23,1828,1403,755,491,420,25,3095,885,215,131,433,20,1682,668,86,97,192,6,1054,5419,2937,1997,21114,451,31917,232,31,19,77,5,365,958,170,128,86,11,1354,1039,101,73,356,9,1581,202,45,25,33,4,307,164,37,21,27,0,244,326,14,39,18,3,396,904,255,188,1001,17,2367,9648,2491,1653,3214,185,17196,542,179,140,2124,15270,18257,57055,23251,15898,191230,20298,307742
UCL102003,326,2217,1557,18454,457,23014,0,15,6,353,12,386,364,29,31,146,7,574,69,25,12,43,5,147,393,120,62,220,13,808,5306,2048,1475,16833,469,26123,344,14,100,0,7,469,156,35,18,176,0,385,528,174,135,1654,46,2541,96,50,10,144,5,307,68,22,4,20,4,121,281,16,14,30,3,339,1010,514,336,6324,112,8298,415,171,69,681,14,1356,31,0,3,3,0,43,22,14,8,37,0,80,6,3,0,4,0,15,108,41,11,91,0,251,325,47,32,47,6,463,383,147,109,68,10,723,158,33,22,69,3,294,71,22,15,18,3,135,1314,581,410,4514,100,6919,22,7,0,10,0,37,109,26,17,16,5,171,111,19,23,60,4,215,14,4,3,11,0,39,19,8,0,3,0,29,22,13,3,10,0,50,211,56,36,169,15,482,1677,405,335,931,44,3391,123,46,27,433,3653,4284,11232,4095,2864,36870,4724,59776
UCL102004,1138,10842,7786,111905,1962,133627,5,89,29,1378,13,1510,4012,181,313,688,64,5262,573,135,50,184,0,944,1406,641,395,1412,29,3893,12746,10375,7345,105179,1820,137468,1397,57,503,61,22,2039,417,133,124,899,14,1584,2454,1095,768,9166,143,13630,1182,345,123,1059,19,2729,346,95,44,160,9,658,2326,99,77,114,18,2635,2850,2413,1598,33071,450,40380,2443,939,315,3835,67,7587,624,9,48,29,10,722,161,61,33,243,0,493,1720,255,118,579,21,2696,318,125,73,422,3,942,470,207,145,168,13,998,787,566,418,308,17,2097,1479,330,252,1104,25,3191,390,79,64,284,4,823,3940,3071,2098,28854,418,38381,381,41,30,82,3,546,525,140,93,65,6,826,512,85,49,317,14,977,327,22,35,39,4,424,103,20,6,12,0,144,649,20,47,12,8,744,733,437,234,2144,27,3573,10682,2332,1708,3836,159,18714,461,129,106,2376,14219,17300,47447,20534,14485,221436,18375,322278
UCL102005,1853,10567,7640,71728,1504,93293,4,93,43,1014,15,1176,4830,103,169,382,45,5535,1543,256,141,443,38,2415,1992,637,407,1326,47,4406,17557,9501,7336,59047,1468,94909,1514,67,315,62,41,2012,508,104,107,599,15,1333,3250,1043,758,5193,147,10395,2010,440,222,1177,59,3914,622,115,55,227,17,1036,2152,75,54,68,18,2368,3475,2039,1469,19935,358,27277,6792,1688,815,5130,207,14632,409,0,23,22,3,459,1258,266,168,330,26,2055,6325,697,368,1295,110,8791,1476,442,214,1070,32,3235,701,160,138,134,21,1149,764,446,309,237,25,1786,1202,222,162,498,28,2108,384,48,60,160,14,665,4903,2561,1903,15139,267,24771,1750,189,105,235,35,2313,400,99,73,40,12,619,1912,265,182,504,39,2907,324,23,18,18,6,392,1215,152,78,83,16,1546,1246,39,50,40,10,1383,1089,317,245,864,28,2537,15126,2288,1740,3005,286,22450,697,127,90,1351,11677,13945,76150,20578,14887,134700,15582,261896
UCL111001,213,1272,852,16076,265,18676,0,7,3,154,4,168,242,12,24,85,3,374,87,24,13,42,0,165,340,100,75,285,7,806,1658,1233,796,14855,312,18855,254,9,38,9,5,317,43,11,11,114,3,187,423,209,134,2792,51,3611,123,41,14,128,3,312,77,16,9,39,0,142,605,32,20,9,5,671,334,330,213,5746,81,6705,223,111,44,688,9,1077,26,0,5,0,0,29,45,16,9,61,3,137,7,3,3,3,0,19,31,15,3,58,0,113,98,19,12,22,0,154,96,77,56,41,3,278,134,31,18,95,0,282,48,10,10,22,0,86,439,304,218,4298,74,5330,61,0,0,23,0,87,51,11,12,5,0,80,78,3,4,67,3,163,88,5,6,3,0,100,3,5,0,0,0,10,44,3,3,0,3,50,70,33,12,137,12,260,1899,220,165,491,29,2807,121,24,10,421,3126,3698,6672,2457,1627,33412,3803,47974
UCL111002,246,2307,1627,30796,438,35416,3,18,11,399,6,434,482,22,44,133,3,684,57,22,9,34,0,124,313,158,88,366,12,933,2594,2222,1516,27478,465,34278,388,16,113,19,7,545,59,12,7,160,4,241,481,262,151,2752,37,3679,86,36,12,162,0,300,50,23,9,32,0,119,527,24,3,26,4,589,543,468,337,8132,119,9599,232,121,49,727,11,1132,42,3,3,7,0,55,27,17,5,37,0,88,32,14,0,39,0,83,56,29,18,101,0,213,181,75,35,66,4,358,184,134,94,93,0,501,365,64,26,299,7,765,66,9,21,53,0,151,749,590,430,6509,79,8356,23,6,6,5,0,43,162,27,23,22,3,234,95,14,7,76,0,192,31,11,11,12,0,58,10,3,0,3,0,17,75,8,0,3,0,84,142,81,36,348,3,616,1637,439,302,830,34,3248,91,34,22,676,3551,4383,8052,4264,2901,58298,4506,78015
UCL112001,90,587,438,6875,127,8117,4,9,3,290,3,313,380,15,15,56,0,464,3,5,0,6,0,20,81,31,18,83,7,217,754,547,401,6092,138,7935,131,3,16,3,3,159,43,23,4,46,0,116,146,50,51,699,8,961,33,3,3,33,0,76,19,10,0,13,0,42,182,4,4,3,0,199,171,144,103,2400,35,2864,54,33,16,166,4,271,18,0,0,0,0,21,13,9,4,27,0,53,0,0,0,0,0,0,10,6,0,16,0,33,40,5,9,7,0,65,55,23,15,24,0,115,26,6,4,24,0,67,26,4,0,24,0,54,248,145,108,1800,39,2333,9,0,0,3,0,13,33,7,3,3,0,57,34,3,4,22,0,56,50,0,3,0,0,55,7,0,0,0,0,7,58,4,0,0,0,61,35,11,15,65,0,127,1322,134,130,214,9,1812,25,7,4,163,1392,1589,3427,1046,787,13434,1698,20386
UCL112002,126,912,668,12570,221,14490,0,6,7,238,3,262,210,9,21,106,6,348,30,10,12,17,0,68,161,78,37,182,0,457,1159,832,622,10915,231,13760,129,6,46,9,8,196,36,8,14,117,0,178,170,84,58,839,13,1171,34,16,8,74,5,133,33,5,3,17,0,60,219,14,9,3,0,238,279,226,156,4461,69,5191,110,97,32,368,3,619,19,0,6,0,0,25,53,26,6,35,0,121,9,3,3,0,0,14,35,10,14,68,0,123,56,22,14,11,0,106,89,57,22,44,0,213,68,23,6,55,0,152,21,10,7,14,0,56,359,216,162,2681,52,3469,22,0,3,15,0,41,53,17,12,5,0,89,41,5,0,22,0,69,45,0,3,12,0,60,4,0,0,0,0,9,55,0,3,0,0,59,53,33,12,95,0,190,791,179,119,316,11,1409,52,8,14,309,2582,2967,3646,1667,1222,23988,3057,33587
UCL112003,171,1444,963,7644,157,10385,0,17,3,129,0,145,353,23,33,57,12,481,81,16,12,41,0,152,279,111,62,146,5,603,2720,1455,986,7522,179,12864,121,3,19,8,4,153,137,38,19,90,4,284,526,169,120,740,20,1572,124,42,29,83,0,278,155,24,16,35,0,224,139,17,9,10,0,181,717,436,291,3444,63,4949,300,104,55,325,19,799,70,0,4,3,0,73,60,23,3,29,0,114,7,0,4,0,0,10,99,36,18,73,0,233,40,14,8,13,0,70,120,73,37,31,3,265,213,38,30,68,0,348,96,22,12,45,3,175,732,400,265,2355,45,3803,19,12,3,0,0,40,46,16,14,4,0,70,115,8,4,26,0,149,29,9,0,3,0,40,15,3,3,0,0,22,85,8,4,5,0,101,112,35,24,150,3,330,1341,360,194,406,15,2314,51,18,11,131,1611,1824,7048,2797,1836,15613,2015,29319
UCL112004,117,938,600,5868,132,7653,0,4,0,33,3,40,151,11,15,39,0,215,55,17,12,12,0,97,183,56,28,75,4,353,1953,954,652,5944,149,9657,57,10,18,0,0,81,69,21,8,56,0,154,261,68,55,498,14,904,112,27,18,69,4,222,55,9,5,10,0,79,158,4,3,0,0,164,399,228,152,2328,51,3160,225,94,32,289,11,647,29,0,3,3,0,35,50,19,4,19,0,93,23,0,0,9,0,26,47,16,12,39,0,115,14,5,5,5,3,30,70,36,23,17,3,142,104,16,14,43,0,172,48,7,10,16,0,76,516,270,201,1814,43,2836,24,0,0,0,0,29,66,3,9,14,0,99,48,6,6,19,0,75,11,0,3,4,0,24,14,0,5,3,0,21,30,0,3,4,0,43,87,18,15,79,4,195,818,176,125,271,6,1399,23,8,7,115,1172,1326,4647,1761,1182,12300,1505,21394
UCL112005,57,578,396,8773,202,10010,0,3,0,117,3,120,62,4,9,30,0,109,6,4,0,3,0,19,50,34,26,61,0,174,608,516,353,7385,178,9038,66,3,26,7,0,106,20,8,6,45,4,78,90,45,33,628,12,814,11,9,0,35,0,59,15,3,0,17,0,34,53,7,0,7,3,73,126,94,51,1735,44,2048,42,28,3,176,7,251,3,0,0,0,0,3,18,0,5,18,0,38,0,0,0,0,0,3,10,6,3,23,4,49,37,11,12,21,0,87,42,28,24,31,0,135,22,11,4,40,3,79,14,4,7,19,0,36,259,197,135,2078,36,2702,3,0,0,0,0,3,17,3,0,10,0,32,22,0,0,34,0,53,7,0,0,0,0,5,3,0,0,0,0,7,4,0,0,0,0,4,19,13,5,120,3,168,264,61,37,177,9,543,10,7,3,220,2130,2387,1568,1018,667,15929,2546,21725
UCL112006,187,1632,1122,16004,316,19267,0,16,7,336,10,370,245,35,39,106,6,421,50,11,5,17,0,85,290,100,60,195,3,652,2742,1528,1042,14345,352,20006,210,9,51,18,5,291,103,17,9,122,0,257,412,142,101,1411,34,2091,64,30,4,80,0,189,82,13,9,23,0,120,389,19,20,21,4,452,613,337,205,5024,82,6258,299,127,50,629,14,1127,16,0,0,6,0,25,28,11,6,35,0,75,17,3,0,11,0,26,59,23,26,52,4,165,103,32,15,14,0,172,169,94,61,40,3,369,126,22,15,65,4,230,63,11,5,18,3,96,646,392,280,3783,62,5170,13,0,3,4,0,21,99,16,11,11,0,130,117,11,17,67,3,208,24,0,0,3,0,28,15,10,0,3,0,30,49,3,0,0,0,55,104,33,20,153,3,312,2315,324,236,472,47,3397,109,38,16,378,3230,3769,8025,2944,2011,31256,3986,48225
UCL112007,77,663,458,14750,248,16203,3,12,5,516,13,549,271,15,16,101,4,408,11,5,3,9,0,23,113,48,35,146,0,342,626,602,442,11378,252,13295,187,4,39,5,9,240,34,9,6,93,0,144,97,58,40,936,8,1142,52,13,13,76,0,155,14,3,0,7,0,26,432,6,11,15,3,466,169,161,110,3861,59,4364,81,49,17,295,4,447,53,3,0,0,0,56,37,9,3,35,3,86,0,3,0,0,0,0,17,12,6,38,0,69,59,15,15,20,0,111,49,31,16,33,4,137,36,9,9,48,0,109,26,3,3,11,0,38,176,182,119,2625,37,3132,3,0,3,4,0,16,35,7,3,8,0,55,15,4,0,33,7,55,99,7,6,0,0,109,7,4,0,0,0,7,55,0,3,0,4,63,28,11,8,72,0,116,1004,114,68,254,25,1467,36,8,8,352,2155,2559,3377,1209,865,26187,2700,34339
UCL112008,68,560,414,8320,179,9535,0,0,0,71,4,81,120,0,9,57,0,186,23,8,3,7,0,34,75,23,23,58,0,179,712,537,358,7353,212,9171,126,0,26,4,0,167,31,10,0,53,0,97,109,60,35,511,7,722,60,15,9,68,0,157,19,11,8,14,0,46,140,3,3,12,0,154,158,158,85,2563,55,3017,87,34,15,161,8,303,67,0,0,3,0,70,15,10,0,11,0,35,9,0,0,0,0,12,17,8,5,27,0,56,44,12,6,5,0,59,47,21,19,18,0,101,40,14,6,27,0,90,18,0,5,9,0,33,209,156,91,1663,34,2146,0,0,0,3,0,4,8,6,17,4,0,35,32,4,0,16,3,50,17,0,0,3,0,19,12,0,0,0,0,12,3,0,0,0,0,3,31,13,12,86,0,147,581,96,61,155,7,902,41,7,12,227,1907,2192,2436,1033,696,15955,2299,22419
UCL112009,98,826,552,9781,187,11447,0,10,11,302,3,332,131,9,10,60,0,204,14,3,0,0,0,22,109,43,31,78,3,262,1058,798,515,8949,159,11486,119,6,53,12,5,197,58,8,8,82,0,155,167,89,49,905,17,1226,29,15,3,44,0,91,33,8,3,7,0,48,117,9,11,24,0,163,227,237,106,3572,51,4198,291,140,37,733,13,1206,25,0,7,0,0,32,3,4,0,40,0,49,3,0,0,0,0,3,21,11,4,42,0,83,58,15,19,32,0,117,59,49,33,22,3,161,46,14,7,34,0,92,16,6,0,18,0,37,285,209,151,2518,26,3193,4,0,0,0,0,6,41,4,6,12,0,65,33,0,3,21,0,60,12,0,0,0,0,12,0,0,0,0,0,3,40,0,8,0,7,55,34,7,13,99,0,153,640,191,119,358,18,1324,40,15,12,219,1996,2293,3007,1586,1021,19574,2378,27569
UCL112010,5,29,36,936,11,1010,0,0,0,23,0,19,3,0,0,0,0,3,8,0,0,0,0,12,8,0,4,8,0,25,65,34,33,676,11,819,0,0,0,0,0,0,0,0,0,8,0,10,10,9,0,93,0,112,7,4,0,5,0,9,3,0,0,0,0,4,5,0,0,0,0,5,9,15,10,159,6,191,55,12,0,56,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,10,0,0,0,0,0,3,4,0,0,3,0,6,0,0,0,0,0,6,0,0,0,0,0,0,11,13,12,195,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,22,3,3,15,3,54,3,0,0,34,116,156,202,80,55,1667,144,2154
UCL112011,131,1110,811,11322,242,13614,0,17,3,360,13,397,186,10,18,63,8,284,37,16,9,18,4,87,194,60,47,132,0,428,1752,1085,806,8947,251,12833,167,12,47,9,0,238,38,16,13,55,3,120,257,96,60,745,28,1185,66,16,12,113,0,203,56,8,6,17,0,89,181,9,3,13,0,217,268,212,127,2699,55,3366,147,70,28,291,14,545,27,4,0,3,0,35,19,5,0,21,0,54,17,0,3,3,0,27,61,14,6,59,7,149,49,23,6,17,0,100,67,63,30,30,4,197,84,28,5,35,0,148,28,3,8,11,4,56,405,244,186,1952,50,2830,13,0,0,7,0,23,38,6,6,0,0,51,57,4,5,33,0,104,27,4,0,4,0,35,9,4,0,3,0,13,31,10,0,0,0,45,80,17,15,86,4,197,781,183,127,281,26,1397,49,16,8,204,2705,2988,4402,1974,1390,19844,3243,30853
UCL112012,83,940,589,13986,322,15920,0,7,3,261,4,273,285,19,12,95,4,409,54,28,0,24,0,101,183,61,38,157,3,446,1064,951,634,12447,300,15402,188,10,34,8,6,240,30,14,10,94,0,144,198,86,57,1060,27,1429,70,18,7,46,0,139,44,7,6,24,3,77,497,17,3,11,5,537,247,200,161,4438,73,5117,238,86,39,458,13,828,74,4,0,8,0,84,29,9,7,30,0,73,14,5,3,0,0,25,17,13,11,41,0,97,55,27,7,19,9,120,74,40,37,46,3,195,104,9,22,66,3,196,80,18,17,35,0,148,313,239,157,2915,53,3674,26,9,6,8,0,43,84,3,7,3,3,101,45,6,4,26,0,79,42,3,0,3,0,50,24,3,0,0,0,21,40,0,8,3,0,49,41,13,17,143,13,222,1128,189,101,366,14,1803,47,22,9,341,2112,2529,4529,1806,1146,26918,2788,37182
UCL112013,159,1555,1098,15338,331,18475,0,3,9,193,5,209,245,20,34,99,10,405,54,7,6,20,0,91,327,90,66,148,14,650,3119,1519,1083,14184,358,20260,176,6,37,3,7,227,111,19,16,140,3,298,380,107,92,1234,20,1828,50,30,13,93,8,189,64,30,11,28,3,129,208,8,7,23,3,249,658,370,260,4876,102,6262,226,125,42,466,15,867,39,0,3,0,0,45,21,12,0,34,3,74,12,0,0,0,0,20,82,19,18,82,0,204,57,27,11,24,0,120,156,78,69,44,3,343,97,30,13,59,3,194,63,10,10,19,0,108,741,356,291,3473,63,4927,19,4,0,5,0,25,99,19,16,9,0,152,84,22,17,53,4,174,26,3,0,3,0,32,10,0,0,0,0,13,63,0,5,3,0,78,106,39,25,129,0,298,968,245,184,404,26,1827,73,11,9,325,2497,2918,6897,2792,1982,29886,3253,44814
UCL112014,99,708,522,14568,335,16220,0,7,0,410,7,419,287,17,9,113,10,431,9,10,3,10,0,30,80,37,18,78,0,210,735,616,444,11053,311,13165,336,3,24,3,5,367,33,9,6,88,5,143,104,63,35,1217,21,1439,24,7,4,48,0,79,15,3,4,12,0,37,230,8,3,9,0,256,155,141,87,3420,71,3872,49,38,13,258,7,366,150,0,8,0,0,157,20,7,3,27,0,61,3,6,0,0,0,10,20,12,4,41,0,76,67,24,20,25,0,140,45,43,25,33,6,162,31,5,7,38,0,80,21,3,0,9,0,29,203,159,117,2516,44,3043,3,0,0,4,0,9,59,5,9,10,0,86,36,3,3,17,3,56,32,3,0,0,0,31,0,0,0,0,0,3,57,0,3,0,0,64,23,14,8,103,0,144,716,116,90,247,10,1172,32,3,4,383,2346,2766,3125,1229,855,25678,2999,33885
UCL112015,142,1095,728,18225,336,20533,0,14,3,371,8,397,396,21,38,116,0,568,34,3,9,26,0,76,198,67,54,205,9,535,1191,1055,732,16021,275,19276,341,4,40,23,0,413,51,21,14,151,3,242,242,100,95,2139,31,2605,81,24,8,113,0,229,36,6,5,18,0,60,664,7,12,17,0,696,271,259,211,6213,92,7046,140,98,32,579,11,864,57,0,10,6,0,74,23,7,3,39,3,75,3,0,0,8,0,12,28,10,8,63,0,107,59,15,8,26,6,113,72,50,46,32,0,193,68,15,21,71,3,181,26,0,0,6,0,34,354,261,201,4219,56,5093,16,0,0,4,0,23,107,15,22,3,0,149,64,3,3,36,0,105,75,0,7,4,0,86,3,0,0,0,0,3,46,0,3,0,0,56,39,27,17,134,0,214,1854,227,116,431,36,2661,72,13,6,501,2229,2824,5766,2028,1402,36161,2903,48263
UCL113001,62,521,379,5443,146,6545,0,0,0,84,0,89,64,14,0,34,3,108,20,4,6,4,0,33,98,16,22,40,3,173,838,517,369,5213,146,7087,53,0,18,0,0,78,32,11,3,40,0,90,113,46,24,502,8,691,18,7,0,32,0,62,15,3,4,5,0,33,84,3,0,15,0,96,178,143,102,1837,43,2299,109,56,10,257,6,436,14,0,0,0,0,11,8,7,0,13,0,30,4,0,0,3,0,3,25,5,3,13,0,49,25,9,5,14,0,58,59,35,29,14,5,149,32,3,4,23,0,65,10,3,3,10,0,29,226,152,87,1430,41,1932,12,3,0,0,0,13,17,12,0,3,0,35,24,4,3,13,0,44,0,0,0,6,0,4,9,3,0,4,0,12,19,0,4,0,0,17,40,12,3,52,3,103,359,87,88,174,12,718,16,17,7,155,1248,1444,2064,976,691,11204,1559,16506
UCL113002,51,343,251,3737,131,4513,0,6,0,116,8,127,32,0,8,35,5,89,75,9,4,13,0,103,93,18,14,40,4,163,811,382,234,3260,115,4810,41,0,16,3,0,54,29,0,3,42,0,76,134,30,18,277,9,467,43,0,3,30,0,82,31,7,0,3,0,34,40,0,3,0,0,41,132,80,47,1103,25,1393,111,31,12,108,6,269,3,0,0,0,0,3,6,4,0,5,0,15,3,0,0,0,0,3,22,9,0,12,3,50,20,10,3,3,0,40,37,8,14,14,3,75,47,5,4,20,0,82,18,4,0,3,0,24,209,94,65,840,20,1226,13,0,0,0,0,16,10,3,4,4,0,20,19,0,3,11,0,30,6,3,0,0,0,6,7,3,0,0,0,11,9,0,0,0,0,10,40,19,7,44,0,100,275,49,26,90,8,451,16,7,8,107,746,889,1971,666,440,7212,1007,11294
UCL113003,31,376,216,7546,204,8369,0,3,0,156,6,170,24,4,0,20,0,47,33,3,0,27,0,61,30,17,14,21,0,81,280,319,173,5802,176,6745,103,0,33,8,7,149,9,4,3,44,0,58,62,38,19,707,24,845,20,9,0,40,5,75,3,0,0,3,0,7,57,0,0,17,0,76,49,57,33,1483,26,1652,120,75,22,329,12,556,7,0,0,0,0,5,3,3,6,17,0,29,0,0,0,0,0,3,64,34,23,112,3,234,14,7,3,5,0,27,18,12,8,5,0,40,11,0,4,32,0,49,0,7,0,9,0,14,91,60,45,1237,32,1467,8,0,0,0,0,12,11,0,4,0,0,17,14,0,0,12,0,27,10,0,4,0,0,17,0,0,0,0,0,3,3,0,3,0,0,7,16,8,3,46,0,67,198,63,26,152,6,444,22,3,3,250,1344,1626,1079,679,377,13703,1751,17589
