UCL_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL101001,283998,556667,229152,192633,299794,183251,113438,149613,40357,2048906
UCL102001,2772,3684,2582,2186,3678,1703,925,1525,430,19476
UCL102002,14153,24302,20128,16398,17910,14004,7765,13537,2217,130416
UCL102003,2353,3994,3561,3382,2881,2776,1215,2670,376,23208
UCL102004,14642,34997,20930,17454,20080,14175,8455,13033,2075,145825
UCL102005,11231,23455,17321,14197,15215,10851,7840,10588,1772,112471
UCL111001,2243,4142,3117,2697,2773,2364,1462,2239,313,21339
UCL111002,3085,5533,5950,3912,4508,3579,3448,3964,508,34491
UCL112001,796,2096,888,1083,1005,872,310,926,99,8068
UCL112002,1464,2817,2081,2117,1762,1520,937,1722,219,14638
UCL112003,1498,3550,1600,1757,1538,980,565,1135,173,12795
UCL112004,1301,2116,1265,959,968,909,338,756,119,8726
UCL112005,646,832,1304,1004,778,869,973,1130,128,7661
UCL112006,2105,3720,2544,2502,2617,2335,979,2254,315,19363
UCL112007,1663,2855,2230,2079,2077,1832,930,1788,255,15716
UCL112008,932,1382,1335,1535,1134,1040,777,1162,173,9471
UCL112009,947,2131,1502,1525,1449,1298,607,1494,150,11100
UCL112010,151,165,172,114,106,103,72,108,13,1007
UCL112011,1038,1710,1905,1724,1258,1273,700,1374,186,11176
UCL112012,1672,3384,2379,1924,2097,1594,1117,1758,237,16153
UCL112013,1865,3801,2408,2278,2396,1972,730,1645,240,17335
UCL112014,1367,2591,1997,1621,1673,1536,929,2268,216,14212
UCL112015,2398,4574,3497,2756,2867,2475,1219,2424,288,22481
UCL113001,647,1174,862,826,702,721,314,763,105,6114
UCL113002,406,442,527,526,432,545,209,435,80,3601
UCL113003,633,1109,1012,1049,750,699,716,754,135,6846
UCL113004,361,406,338,272,255,266,136,273,27,2334
UCL113005,635,1023,853,818,662,853,274,766,122,6009
UCL113006,490,867,775,927,781,669,398,730,92,5725
UCL113007,1051,1193,1180,792,975,891,555,1612,149,8386
UCL113008,216,369,365,538,313,338,233,475,66,2914
UCL113009,779,1473,928,722,760,476,324,384,90,5938
UCL113010,417,610,1199,785,735,667,895,1049,105,6475
UCL113011,312,494,716,538,561,395,495,538,77,4130
UCL113012,624,1372,1239,830,937,605,550,842,126,7126
UCL113013,482,682,844,490,468,505,583,542,59,4661
UCL113014,281,488,900,423,426,384,773,517,66,4250
UCL113015,673,940,862,740,661,613,223,586,92,5387
UCL113016,388,567,883,626,643,558,574,754,73,5059
UCL113017,486,758,1097,642,666,515,1121,613,99,6003
UCL113018,276,373,579,551,369,390,207,410,64,3218
UCL113019,522,884,767,794,641,827,393,863,74,5765
UCL113020,505,716,743,630,487,603,221,556,61,4516
UCL114001,186,424,276,247,259,185,88,202,34,1896
UCL114002,239,337,372,286,218,244,128,228,18,2064
UCL114003,675,1055,549,547,365,413,130,385,72,4189
UCL114004,180,281,308,280,201,228,134,280,35,1933
UCL114005,229,318,382,405,347,316,268,840,56,3166
UCL114006,317,451,377,367,345,315,178,319,43,2700
UCL114007,186,274,285,246,227,186,147,366,26,1944
UCL114008,232,261,329,236,210,214,175,456,33,2143
UCL114009,306,427,427,359,328,364,188,475,51,2934
UCL114010,296,423,389,351,343,286,218,431,51,2782
UCL114011,296,429,424,304,283,300,228,367,62,2691
UCL114012,189,245,247,240,210,181,130,257,37,1726
UCL114013,355,463,472,343,335,326,513,416,60,3282
UCL114014,350,672,584,389,502,277,193,251,51,3265
UCL114015,330,521,506,472,311,418,207,653,73,3483
UCL114016,344,420,437,245,343,230,249,569,65,2910
UCL114017,401,912,384,359,325,327,81,232,39,3059
UCL114018,412,631,787,532,645,388,341,385,74,4201
UCL114019,373,451,461,385,321,385,113,319,51,2861
UCL114020,340,503,428,364,374,276,257,310,55,2895
UCL114021,348,540,601,410,408,359,271,433,58,3424
UCL114022,312,520,539,453,390,380,258,465,60,3372
UCL114023,184,237,232,251,180,149,100,272,46,1647
UCL114024,259,400,414,269,264,253,262,316,48,2493
UCL114025,424,595,612,446,468,422,431,402,80,3880
UCL114026,270,513,444,363,343,249,122,266,43,2604
UCL114027,233,292,326,239,241,233,110,175,40,1881
UCL114028,188,224,235,209,185,172,80,216,37,1547
UCL114029,205,258,445,319,292,279,219,292,40,2346
UCL114030,216,330,397,252,258,228,311,363,34,2401
UCL114031,196,260,382,318,293,288,216,317,41,2324
UCL114032,221,373,301,249,213,201,77,225,33,1888
UCL114033,108,84,147,99,83,71,50,109,15,778
UCL114034,290,425,356,343,338,202,148,235,55,2390
UCL114035,280,339,372,303,289,344,171,463,30,2590
UCL115001,55,57,169,71,81,80,156,126,11,801
UCL115002,66,94,135,82,111,71,67,68,12,709
UCL115003,71,128,73,70,54,43,27,86,6,557
UCL115004,49,52,63,65,53,25,68,95,15,475
UCL115005,123,235,88,86,70,80,25,61,15,784
UCL115006,178,184,290,152,192,165,162,166,21,1522
UCL115007,53,66,53,46,32,33,30,69,16,404
UCL115008,107,86,103,82,76,60,47,119,15,701
UCL115009,36,43,36,45,32,26,11,56,0,291
UCL115010,53,73,107,86,59,68,41,71,13,568
UCL115011,35,33,42,50,32,14,60,116,13,402
UCL115012,137,232,188,196,172,188,97,360,31,1599
UCL115013,129,315,146,169,99,111,43,111,18,1144
UCL115014,67,69,89,68,40,63,19,57,6,483
UCL115015,112,196,115,64,81,73,22,45,14,716
UCL115016,42,49,41,40,37,17,23,46,0,298
UCL115017,226,531,232,203,197,142,83,161,17,1783
UCL115018,96,115,191,148,133,100,164,204,25,1179
UCL115019,70,61,72,56,54,30,88,83,16,517
UCL115020,126,257,181,153,134,109,54,116,16,1157
UCL115021,67,50,81,55,49,43,37,71,4,468
UCL115022,76,133,73,142,70,48,52,81,21,697
UCL115023,75,138,147,105,103,64,48,68,10,756
UCL115024,84,109,77,54,56,42,38,53,15,521
UCL115025,107,131,250,116,152,106,234,135,18,1250
UCL115026,102,203,150,110,102,88,34,65,13,864
UCL115027,87,116,101,86,70,55,29,78,5,615
UCL115028,33,36,67,53,38,47,46,55,11,376
UCL115029,122,205,145,113,131,82,45,88,17,945
UCL115030,127,266,145,107,108,62,27,71,16,929
UCL115031,348,354,273,172,353,105,70,86,26,1794
UCL115032,76,82,161,93,112,91,123,113,8,863
UCL115033,125,293,209,166,180,166,90,140,16,1391
UCL115034,117,183,170,155,118,136,49,120,19,1084
UCL115035,80,169,70,72,73,73,25,44,3,605
UCL115036,66,79,72,78,49,46,43,80,10,522
UCL115037,159,223,326,164,154,99,309,173,26,1634
UCL115038,60,88,122,94,76,62,49,86,8,652
UCL115039,138,144,158,159,99,92,110,123,24,1042
UCL115040,72,106,88,90,74,56,60,79,5,638
UCL115041,88,142,104,139,80,84,49,111,13,814
UCL115042,86,109,107,118,101,57,66,124,18,774
UCL115043,58,96,105,84,63,51,40,107,15,621
UCL115044,92,107,161,107,86,71,66,105,14,818
UCL115045,95,206,220,171,128,107,68,137,26,1155
UCL115046,43,51,73,50,46,29,45,69,7,408
UCL115047,52,96,101,88,63,60,31,55,6,555
UCL115048,32,46,97,49,67,44,113,80,14,541
UCL115049,29,38,55,44,40,27,37,60,9,339
UCL115050,52,108,112,43,83,38,62,34,8,539
UCL115051,72,92,139,102,84,73,89,104,6,748
UCL115052,90,122,182,139,107,126,109,199,16,1084
UCL115053,122,440,244,314,183,184,72,163,10,1741
UCL115054,112,190,151,160,97,96,73,137,17,1029
UCL115055,39,69,85,80,54,59,23,39,11,462
UCL115056,82,102,87,100,77,68,77,93,7,692
UCL115057,90,132,314,188,131,90,97,123,23,1197
UCL115058,18,49,63,40,39,42,30,68,12,351
UCL115059,91,131,127,67,93,78,50,64,10,711
UCL115060,95,138,101,43,95,54,24,36,5,602
UCL115061,265,522,294,249,209,138,78,146,26,1928
UCL115062,86,113,140,166,94,77,72,142,12,902
UCL115063,122,142,314,144,217,104,126,160,28,1356
UCL115064,100,95,132,94,62,86,81,113,3,763
UCL115065,123,229,99,102,183,57,23,39,19,876
UCL115066,54,57,81,41,62,38,25,65,5,432
UCL115067,92,93,104,70,63,52,73,102,4,666
UCL115068,84,99,266,126,110,103,189,160,26,1167
UCL115069,65,72,138,81,55,63,124,95,8,709
UCL115070,50,86,105,79,71,79,49,74,4,588
UCL115071,83,82,103,83,77,90,62,158,13,760
UCL115072,83,74,122,71,88,71,74,170,5,765
UCL115073,91,76,112,90,79,54,66,115,10,692
UCL115074,87,119,94,110,80,78,47,107,13,729
UCL115075,126,102,151,99,95,93,125,159,21,963
UCL115076,98,111,210,130,109,122,114,155,20,1061
UCL115077,72,43,73,54,43,25,76,114,5,502
UCL115078,48,49,69,62,52,47,52,81,12,458
UCL115079,109,97,157,89,116,89,91,156,13,918
UCL115080,43,41,60,49,27,55,21,76,12,377
UCL115081,156,127,181,174,102,127,68,159,26,1122
UCL115082,52,79,109,64,65,71,44,62,11,556
UCL115083,46,106,54,65,70,59,39,52,4,495
UCL115084,128,152,201,244,166,127,168,326,20,1536
UCL115085,15,28,59,44,26,18,37,57,9,293
UCL115086,35,35,71,41,43,34,52,57,9,375
UCL115087,39,101,133,90,71,70,56,118,13,683
UCL115088,77,133,85,42,84,47,17,43,6,535
UCL115089,74,107,126,96,92,78,80,152,16,819
UCL115090,74,53,61,42,46,45,24,66,8,436
UCL115091,120,213,191,151,145,120,69,124,21,1152
UCL115092,89,105,156,114,116,88,86,115,15,884
UCL115093,36,80,34,78,41,37,31,51,5,396
UCL115094,75,110,125,143,102,98,68,138,16,870
UCL115095,69,150,94,122,77,80,47,121,14,768
UCL115096,98,151,122,102,116,105,31,91,9,826
UCL115097,65,56,96,89,72,47,66,99,12,601
UCL115098,57,100,58,56,41,60,17,43,12,441
UCL115099,79,86,106,79,87,66,51,84,18,644
UCL115100,67,111,152,98,118,105,67,111,17,843
UCL115101,138,308,177,160,110,138,59,148,12,1248
UCL115102,192,229,104,76,187,46,30,55,18,945
UCL115103,122,170,156,146,127,108,42,142,12,1028
UCL115104,143,173,192,171,133,99,131,287,21,1358
UCL115105,148,171,211,183,127,113,134,146,17,1255
