UCL_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
UCL101001,908,121,0,1029,932,271,20,37,1267,177,82,254,1522,217,0,1744,31013,4509,534,609,36659,917,285,1209,37863,2628,52,40547,7792,1887,173,312,10165,385,163,547,10707,3630,27,14364,30,5,0,42,81,0,0,0,80,22,106,200,38833,6401,703,964,46899,1301,448,1753,48652,6280,184,55110,8462,933,88,72,9553,224,56,279,9832,876,3,10712,5794,1308,92,60,7256,154,55,208,7466,680,5,8147,198,44,104,4,350,4,3,9,354,32,0,390,107,15,3,168,291,0,3,3,295,34,10,337,14558,2300,285,308,17445,379,119,496,17947,1609,23,19578,169,47,4,3,228,61,9,69,298,50,0,347,240,90,5,3,341,37,36,75,410,64,0,482,409,144,6,10,569,102,41,143,705,113,3,826,14962,2440,297,312,18012,480,158,643,18657,1729,26,20403,3763,1011,104,148,5027,182,90,281,5301,2449,20,7766,22,3,0,22,48,3,0,3,50,6,56,116,18743,3457,404,485
UCL102001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,20,6,0,261,3,0,3,265,16,0,279,24,3,0,0,26,0,0,0,26,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,255,23,6,0,287,3,0,3,293,19,0,309,65,6,0,0,69,0,0,0,69,5,0,74,33,5,0,0,39,0,0,0,35,3,0,39,3,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,99,9,0,0,111,0,0,0,115,8,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,9,0,0,117,0,0,0,117,10,0,126,7,0,0,0,7,0,0,0,7,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,106,9,0,0
UCL102002,29,3,0,29,44,3,0,0,46,5,3,5,54,3,0,60,1478,195,38,20,1732,31,4,41,1770,98,3,1868,229,29,9,7,269,5,0,7,271,70,0,349,0,0,0,0,0,0,0,0,0,0,3,3,1707,227,47,22,2003,36,9,46,2042,166,10,2222,308,36,4,0,348,4,0,4,354,29,0,379,272,60,5,0,340,8,3,10,349,28,0,383,5,3,10,0,18,0,0,0,18,3,0,20,3,0,0,0,4,0,0,0,4,3,0,5,583,95,21,8,708,17,3,16,723,64,0,791,6,0,0,0,6,0,0,0,8,0,0,9,13,0,0,0,10,0,0,0,10,3,0,16,16,0,0,0,18,0,0,0,16,3,0,23,603,95,19,8,726,19,3,18,747,61,3,808,91,15,9,0,118,5,0,7,127,54,0,177,0,0,0,0,0,0,0,0,0,0,0,0,695,110,30,3
UCL102003,3,0,0,3,4,0,0,0,3,0,0,0,5,0,0,5,195,35,5,11,246,3,4,8,252,8,0,261,25,4,0,0,33,0,0,0,36,18,0,52,0,0,0,0,0,0,0,0,0,0,0,0,221,44,5,13,278,6,4,8,284,25,0,314,34,5,0,0,40,4,0,4,44,13,0,49,33,5,0,0,42,0,0,0,42,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,0,0,78,4,0,4,84,20,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,13,0,0,78,4,0,4,84,20,0,98,8,3,0,0,7,0,0,0,7,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,71,19,0,0
UCL102004,26,3,0,30,44,5,0,0,46,6,0,6,57,6,0,62,1571,212,30,24,1834,52,5,60,1893,148,0,2042,249,28,4,5,285,5,3,9,294,81,0,375,4,0,0,0,4,0,0,0,4,0,0,4,1824,240,37,22,2122,57,12,69,2191,229,4,2423,317,40,11,3,364,8,4,9,378,42,0,420,361,43,4,6,416,8,5,12,426,48,0,476,10,0,4,0,19,0,0,0,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,689,82,19,9,793,21,4,23,818,96,4,914,3,3,0,0,4,0,0,0,4,0,0,5,10,4,3,0,12,0,0,0,12,0,0,12,8,4,3,0,16,0,0,0,20,0,0,21,697,84,19,9,810,21,4,22,836,99,4,936,116,23,0,3,152,4,5,9,162,59,0,218,0,0,0,0,0,0,0,0,0,0,0,5,815,109,20,12
UCL102005,25,0,0,30,27,3,0,0,33,4,0,8,43,6,0,45,1510,184,38,11,1736,37,17,56,1790,144,0,1931,270,40,7,7,324,7,4,13,337,108,3,443,3,0,0,0,5,0,0,0,5,0,3,10,1776,223,44,23,2061,48,21,69,2128,247,7,2385,304,38,5,0,345,6,4,15,359,37,0,398,328,53,9,3,387,6,3,6,397,32,0,432,12,3,7,0,18,0,0,0,18,3,0,19,0,0,0,3,3,0,0,0,3,3,0,9,645,89,17,9,756,9,11,19,778,74,3,858,5,0,0,0,5,0,0,0,6,3,0,11,8,0,0,0,13,0,0,0,13,3,0,10,12,0,0,0,18,0,0,0,16,4,0,24,660,89,17,9,769,15,11,20,797,85,3,882,131,18,7,6,151,3,0,6,160,74,0,233,0,0,0,0,0,0,0,0,0,0,0,0,787,107,25,13
UCL111001,4,0,0,4,0,0,0,0,7,3,0,5,5,0,0,5,169,22,0,0,197,8,0,5,202,3,0,210,17,5,0,0,26,0,0,0,25,15,0,47,0,0,0,0,0,0,0,0,0,0,0,0,190,29,0,0,218,9,4,8,232,21,0,251,20,0,0,0,26,0,0,0,26,0,0,26,26,3,0,0,30,0,0,0,30,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,53,0,0,0,53,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,0,53,0,0,0,59,0,0,59,7,3,0,0,7,0,0,0,7,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,50,11,0,0
UCL111002,7,3,0,8,14,0,0,0,12,3,0,4,18,3,0,16,374,33,5,3,418,5,0,10,427,24,0,454,38,6,3,0,49,3,0,3,57,14,0,67,0,0,0,0,0,0,0,0,0,0,0,0,411,44,5,8,472,9,3,10,483,37,0,521,74,0,0,0,74,5,3,5,78,11,0,93,61,4,0,0,67,0,0,0,67,8,0,76,3,0,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,139,6,3,0,150,5,3,8,156,17,0,174,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,7,0,0,0,7,0,0,7,142,6,3,0,152,5,3,8,161,17,0,179,21,5,0,0,32,0,0,0,30,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,165,10,8,0
UCL112001,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,43,4,0,0,52,4,0,4,55,3,0,57,4,0,0,0,3,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,48,9,0,0,57,4,0,4,62,3,0,67,7,3,0,0,6,0,0,0,6,0,0,7,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,10,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,10,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0
UCL112002,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,122,6,0,0,131,3,0,3,132,5,0,139,11,3,0,0,18,3,0,3,17,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,136,9,0,0,143,3,0,6,148,9,0,162,17,0,0,0,21,0,0,0,18,0,0,24,13,3,0,0,12,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,34,0,0,0,33,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4,0,0,34,0,0,0,33,0,0,42,8,0,0,0,8,0,0,0,8,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0
