UCL_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL101001,284624,173078,82025,38071,2202073
UCL102001,2424,1212,525,205,17610
UCL102002,24120,18210,10248,4983,145546
UCL102003,5067,4185,2710,1302,28643
UCL102004,26024,17520,8953,4485,160467
UCL102005,19683,12616,6642,2754,125506
UCL111001,3722,2341,1289,505,22934
UCL111002,5009,3165,1527,580,34190
UCL112001,1514,1054,610,241,10125
UCL112002,2445,1571,806,394,16095
UCL112003,3668,2713,1102,365,16737
UCL112004,2108,2305,1389,425,11610
UCL112005,1347,973,504,220,9236
UCL112006,4264,3060,1723,935,23401
UCL112007,2262,1312,774,314,15558
UCL112008,1635,1185,680,386,10542
UCL112009,2407,1460,721,390,13266
UCL112010,154,98,40,9,976
UCL112011,2254,1784,1005,478,14668
UCL112012,2474,1712,977,367,17304
UCL112013,3921,3522,2100,1009,22382
UCL112014,2384,1597,941,398,15055
UCL112015,3541,2160,1067,435,22234
UCL113001,1650,1354,847,509,8395
UCL113002,1010,1062,630,290,5269
UCL113003,1380,895,488,306,7523
UCL113004,381,372,221,68,2493
UCL113005,1796,1928,1237,609,9499
UCL113006,1217,853,571,285,7289
UCL113007,1093,653,430,279,7895
UCL113008,775,550,346,238,4771
UCL113009,1563,1167,579,239,7551
UCL113010,1044,693,338,125,6560
UCL113011,816,697,431,155,4995
UCL113012,1630,1351,1001,517,9489
UCL113013,685,510,302,103,5000
UCL113014,612,330,153,61,4078
UCL113015,1314,1443,723,347,7413
UCL113016,897,574,247,90,5319
UCL113017,783,384,219,90,5700
UCL113018,850,810,453,125,4427
UCL113019,1344,1041,744,404,7667
UCL113020,1283,1203,707,223,6320
UCL114001,489,397,278,136,2526
UCL114002,511,430,207,44,2584
UCL114003,1114,630,205,103,5711
UCL114004,753,906,615,282,3774
UCL114005,576,476,309,117,3670
UCL114006,535,426,290,126,3238
UCL114007,450,388,276,87,2428
UCL114008,425,359,237,110,2399
UCL114009,583,481,286,125,3345
UCL114010,557,390,227,102,3047
UCL114011,480,373,228,49,2904
UCL114012,398,332,180,106,2194
UCL114013,487,349,248,94,3317
UCL114014,448,221,69,19,3041
UCL114015,566,499,298,109,3820
UCL114016,462,319,199,90,2942
UCL114017,738,399,119,43,3392
UCL114018,626,421,138,13,4324
UCL114019,847,800,439,176,3987
UCL114020,452,340,210,56,3164
UCL114021,646,574,263,67,3732
UCL114022,801,593,335,216,4289
UCL114023,624,591,364,205,2939
UCL114024,413,231,156,59,2479
UCL114025,629,456,287,129,4244
UCL114026,531,438,183,118,3131
UCL114027,488,527,347,123,2713
UCL114028,521,519,279,66,2387
UCL114029,441,420,179,46,2541
UCL114030,439,317,220,124,2679
UCL114031,491,372,252,113,2940
UCL114032,618,602,334,141,3018
UCL114033,147,196,117,21,912
UCL114034,388,287,200,137,2564
UCL114035,370,394,210,88,2800
UCL115001,113,61,28,14,736
UCL115002,107,42,17,3,629
UCL115003,208,165,75,26,860
UCL115004,80,44,31,11,423
UCL115005,154,91,35,33,906
UCL115006,233,134,103,29,1454
UCL115007,93,83,65,31,481
UCL115008,119,109,62,16,730
UCL115009,86,86,54,17,442
UCL115010,125,121,53,38,728
UCL115011,93,64,31,24,439
UCL115012,317,179,145,73,1725
UCL115013,343,218,99,31,1576
UCL115014,186,191,68,27,774
UCL115015,209,231,200,103,1178
UCL115016,75,83,58,34,441
UCL115017,549,502,186,35,2507
UCL115018,157,128,67,37,1194
UCL115019,90,51,32,21,478
UCL115020,276,251,112,22,1413
UCL115021,97,98,30,19,520
UCL115022,110,54,32,12,771
UCL115023,114,59,19,6,722
UCL115024,110,114,56,19,641
UCL115025,178,86,20,13,1214
UCL115026,246,201,146,53,1247
UCL115027,209,123,59,27,882
UCL115028,95,77,36,18,432
UCL115029,310,394,177,79,1489
UCL115030,233,209,71,17,1122
UCL115031,261,128,35,16,1695
UCL115032,96,39,9,4,709
UCL115033,235,153,75,18,1380
UCL115034,312,286,111,41,1547
UCL115035,132,57,22,6,621
UCL115036,97,75,46,19,552
UCL115037,241,101,64,18,1631
UCL115038,122,81,28,3,660
UCL115039,160,91,77,38,1052
UCL115040,137,111,56,32,783
UCL115041,201,144,85,44,1058
UCL115042,143,122,51,25,954
UCL115043,115,77,25,3,702
UCL115044,165,132,115,48,939
UCL115045,350,288,169,58,1727
UCL115046,97,73,38,17,467
UCL115047,212,192,92,102,978
UCL115048,63,66,27,16,487
UCL115049,109,81,52,23,460
UCL115050,119,51,8,5,519
UCL115051,177,136,97,55,939
UCL115052,284,242,138,81,1360
UCL115053,137,79,76,47,1658
UCL115054,305,211,122,39,1350
UCL115055,189,224,140,83,937
UCL115056,144,113,63,28,787
UCL115057,86,49,18,0,955
UCL115058,70,45,39,29,428
UCL115059,121,60,21,3,616
